"","age","pop","gp","year","country","seed","share"
"1",0,940,0,1960,"Afghanistan","205969",0
"2",1,800,0,1960,"Afghanistan","205969",0
"3",2,785,0,1960,"Afghanistan","205969",0
"4",3,668,0,1960,"Afghanistan","205969",0
"5",4,621,0,1960,"Afghanistan","205969",0
"6",5,607,0,1960,"Afghanistan","205969",0
"7",6,624,0,1960,"Afghanistan","205969",0
"8",7,560,0,1960,"Afghanistan","205969",0
"9",8,517,0,1960,"Afghanistan","205969",0
"10",9,534,0,1960,"Afghanistan","205969",0
"11",10,633,0,1960,"Afghanistan","205969",0
"12",11,600,0,1960,"Afghanistan","205969",0
"13",12,620,0,1960,"Afghanistan","205969",0
"14",13,612,0,1960,"Afghanistan","205969",0
"15",14,564,0,1960,"Afghanistan","205969",0
"16",15,551,0,1960,"Afghanistan","205969",0
"17",16,556,0,1960,"Afghanistan","205969",0
"18",17,545,0,1960,"Afghanistan","205969",0
"19",18,521,0,1960,"Afghanistan","205969",0
"20",19,514,0,1960,"Afghanistan","205969",0
"21",20,499,0,1960,"Afghanistan","205969",0
"22",21,460,0,1960,"Afghanistan","205969",0
"23",22,440,0,1960,"Afghanistan","205969",0
"24",23,438,0,1960,"Afghanistan","205969",0
"25",24,445,1,1960,"Afghanistan","205969",0.00224719101123596
"26",25,420,0,1960,"Afghanistan","205969",0
"27",26,426,0,1960,"Afghanistan","205969",0
"28",27,370,0,1960,"Afghanistan","205969",0
"29",28,384,1,1960,"Afghanistan","205969",0.00260416666666667
"30",29,394,1,1960,"Afghanistan","205969",0.00253807106598985
"31",30,381,2,1960,"Afghanistan","205969",0.005249343832021
"32",31,366,4,1960,"Afghanistan","205969",0.0109289617486339
"33",32,349,8,1960,"Afghanistan","205969",0.0229226361031519
"34",33,349,17,1960,"Afghanistan","205969",0.0487106017191977
"35",34,316,20,1960,"Afghanistan","205969",0.0632911392405063
"36",35,331,21,1960,"Afghanistan","205969",0.0634441087613293
"37",36,298,28,1960,"Afghanistan","205969",0.0939597315436242
"38",37,270,46,1960,"Afghanistan","205969",0.17037037037037
"39",38,279,58,1960,"Afghanistan","205969",0.207885304659498
"40",39,294,68,1960,"Afghanistan","205969",0.231292517006803
"41",40,247,68,1960,"Afghanistan","205969",0.275303643724696
"42",41,243,82,1960,"Afghanistan","205969",0.337448559670782
"43",42,225,87,1960,"Afghanistan","205969",0.386666666666667
"44",43,247,104,1960,"Afghanistan","205969",0.421052631578947
"45",44,192,93,1960,"Afghanistan","205969",0.484375
"46",45,206,113,1960,"Afghanistan","205969",0.548543689320388
"47",46,211,120,1960,"Afghanistan","205969",0.568720379146919
"48",47,201,121,1960,"Afghanistan","205969",0.601990049751244
"49",48,185,121,1960,"Afghanistan","205969",0.654054054054054
"50",49,209,135,1960,"Afghanistan","205969",0.645933014354067
"51",50,156,103,1960,"Afghanistan","205969",0.66025641025641
"52",51,165,123,1960,"Afghanistan","205969",0.745454545454545
"53",52,170,119,1960,"Afghanistan","205969",0.7
"54",53,155,121,1960,"Afghanistan","205969",0.780645161290323
"55",54,141,116,1960,"Afghanistan","205969",0.822695035460993
"56",55,136,108,1960,"Afghanistan","205969",0.794117647058823
"57",56,146,114,1960,"Afghanistan","205969",0.780821917808219
"58",57,136,115,1960,"Afghanistan","205969",0.845588235294118
"59",58,113,91,1960,"Afghanistan","205969",0.805309734513274
"60",59,102,83,1960,"Afghanistan","205969",0.813725490196078
"61",60,95,83,1960,"Afghanistan","205969",0.873684210526316
"62",61,127,108,1960,"Afghanistan","205969",0.850393700787402
"63",62,73,65,1960,"Afghanistan","205969",0.89041095890411
"64",63,79,70,1960,"Afghanistan","205969",0.886075949367089
"65",64,73,64,1960,"Afghanistan","205969",0.876712328767123
"66",65,58,52,1960,"Afghanistan","205969",0.896551724137931
"67",66,64,51,1960,"Afghanistan","205969",0.796875
"68",67,46,39,1960,"Afghanistan","205969",0.847826086956522
"69",68,51,44,1960,"Afghanistan","205969",0.862745098039216
"70",69,46,43,1960,"Afghanistan","205969",0.934782608695652
"71",70,51,43,1960,"Afghanistan","205969",0.843137254901961
"72",71,50,45,1960,"Afghanistan","205969",0.9
"73",72,32,24,1960,"Afghanistan","205969",0.75
"74",73,27,24,1960,"Afghanistan","205969",0.888888888888889
"75",74,27,24,1960,"Afghanistan","205969",0.888888888888889
"76",75,29,25,1960,"Afghanistan","205969",0.862068965517241
"77",76,17,16,1960,"Afghanistan","205969",0.941176470588235
"78",77,25,21,1960,"Afghanistan","205969",0.84
"79",78,11,9,1960,"Afghanistan","205969",0.818181818181818
"80",79,3,3,1960,"Afghanistan","205969",1
"81",80,8,7,1960,"Afghanistan","205969",0.875
"82",81,1,1,1960,"Afghanistan","205969",1
"83",82,6,3,1960,"Afghanistan","205969",0.5
"84",83,3,3,1960,"Afghanistan","205969",1
"85",84,2,2,1960,"Afghanistan","205969",1
"86",85,2,2,1960,"Afghanistan","205969",1
"87",86,2,2,1960,"Afghanistan","205969",1
"88",87,1,1,1960,"Afghanistan","205969",1
"89",89,1,1,1960,"Afghanistan","205969",1
"90",0,1030,0,1965,"Afghanistan","205969",0
"91",1,937,0,1965,"Afghanistan","205969",0
"92",2,824,0,1965,"Afghanistan","205969",0
"93",3,820,0,1965,"Afghanistan","205969",0
"94",4,741,0,1965,"Afghanistan","205969",0
"95",5,692,0,1965,"Afghanistan","205969",0
"96",6,696,0,1965,"Afghanistan","205969",0
"97",7,696,0,1965,"Afghanistan","205969",0
"98",8,619,0,1965,"Afghanistan","205969",0
"99",9,579,0,1965,"Afghanistan","205969",0
"100",10,583,0,1965,"Afghanistan","205969",0
"101",11,597,0,1965,"Afghanistan","205969",0
"102",12,529,0,1965,"Afghanistan","205969",0
"103",13,503,0,1965,"Afghanistan","205969",0
"104",14,521,0,1965,"Afghanistan","205969",0
"105",15,610,0,1965,"Afghanistan","205969",0
"106",16,581,0,1965,"Afghanistan","205969",0
"107",17,599,0,1965,"Afghanistan","205969",0
"108",18,590,0,1965,"Afghanistan","205969",0
"109",19,536,0,1965,"Afghanistan","205969",0
"110",20,530,0,1965,"Afghanistan","205969",0
"111",21,523,0,1965,"Afghanistan","205969",0
"112",22,523,0,1965,"Afghanistan","205969",0
"113",23,498,0,1965,"Afghanistan","205969",0
"114",24,485,0,1965,"Afghanistan","205969",0
"115",25,472,0,1965,"Afghanistan","205969",0
"116",26,438,0,1965,"Afghanistan","205969",0
"117",27,415,2,1965,"Afghanistan","205969",0.00481927710843374
"118",28,406,2,1965,"Afghanistan","205969",0.00492610837438424
"119",29,411,2,1965,"Afghanistan","205969",0.0048661800486618
"120",30,394,4,1965,"Afghanistan","205969",0.0101522842639594
"121",31,394,3,1965,"Afghanistan","205969",0.00761421319796954
"122",32,350,12,1965,"Afghanistan","205969",0.0342857142857143
"123",33,347,11,1965,"Afghanistan","205969",0.031700288184438
"124",34,371,22,1965,"Afghanistan","205969",0.0592991913746631
"125",35,350,32,1965,"Afghanistan","205969",0.0914285714285714
"126",36,345,34,1965,"Afghanistan","205969",0.0985507246376812
"127",37,333,57,1965,"Afghanistan","205969",0.171171171171171
"128",38,322,63,1965,"Afghanistan","205969",0.195652173913043
"129",39,288,66,1965,"Afghanistan","205969",0.229166666666667
"130",40,306,77,1965,"Afghanistan","205969",0.251633986928105
"131",41,267,78,1965,"Afghanistan","205969",0.292134831460674
"132",42,253,104,1965,"Afghanistan","205969",0.411067193675889
"133",43,249,111,1965,"Afghanistan","205969",0.44578313253012
"134",44,259,133,1965,"Afghanistan","205969",0.513513513513513
"135",45,226,112,1965,"Afghanistan","205969",0.495575221238938
"136",46,225,144,1965,"Afghanistan","205969",0.64
"137",47,203,129,1965,"Afghanistan","205969",0.635467980295567
"138",48,220,150,1965,"Afghanistan","205969",0.681818181818182
"139",49,179,126,1965,"Afghanistan","205969",0.70391061452514
"140",50,189,133,1965,"Afghanistan","205969",0.703703703703704
"141",51,187,140,1965,"Afghanistan","205969",0.748663101604278
"142",52,179,137,1965,"Afghanistan","205969",0.76536312849162
"143",53,159,116,1965,"Afghanistan","205969",0.729559748427673
"144",54,186,135,1965,"Afghanistan","205969",0.725806451612903
"145",55,130,103,1965,"Afghanistan","205969",0.792307692307692
"146",56,141,110,1965,"Afghanistan","205969",0.780141843971631
"147",57,148,114,1965,"Afghanistan","205969",0.77027027027027
"148",58,128,107,1965,"Afghanistan","205969",0.8359375
"149",59,126,115,1965,"Afghanistan","205969",0.912698412698413
"150",60,110,93,1965,"Afghanistan","205969",0.845454545454545
"151",61,120,96,1965,"Afghanistan","205969",0.8
"152",62,112,98,1965,"Afghanistan","205969",0.875
"153",63,90,82,1965,"Afghanistan","205969",0.911111111111111
"154",64,80,68,1965,"Afghanistan","205969",0.85
"155",65,78,71,1965,"Afghanistan","205969",0.91025641025641
"156",66,89,79,1965,"Afghanistan","205969",0.887640449438202
"157",67,52,48,1965,"Afghanistan","205969",0.923076923076923
"158",68,62,56,1965,"Afghanistan","205969",0.903225806451613
"159",69,55,49,1965,"Afghanistan","205969",0.890909090909091
"160",70,38,36,1965,"Afghanistan","205969",0.947368421052632
"161",71,41,30,1965,"Afghanistan","205969",0.731707317073171
"162",72,32,27,1965,"Afghanistan","205969",0.84375
"163",73,32,29,1965,"Afghanistan","205969",0.90625
"164",74,31,28,1965,"Afghanistan","205969",0.903225806451613
"165",75,32,28,1965,"Afghanistan","205969",0.875
"166",76,29,26,1965,"Afghanistan","205969",0.896551724137931
"167",77,17,13,1965,"Afghanistan","205969",0.764705882352941
"168",78,13,11,1965,"Afghanistan","205969",0.846153846153846
