"","age","pop","gp","year","country","seed","share"
"1",0,291,0,1960,"Albania","143763",0
"2",1,286,0,1960,"Albania","143763",0
"3",2,249,0,1960,"Albania","143763",0
"4",3,252,0,1960,"Albania","143763",0
"5",4,227,0,1960,"Albania","143763",0
"6",5,233,0,1960,"Albania","143763",0
"7",6,202,0,1960,"Albania","143763",0
"8",7,215,0,1960,"Albania","143763",0
"9",8,198,0,1960,"Albania","143763",0
"10",9,194,0,1960,"Albania","143763",0
"11",10,201,0,1960,"Albania","143763",0
"12",11,154,0,1960,"Albania","143763",0
"13",12,156,0,1960,"Albania","143763",0
"14",13,154,0,1960,"Albania","143763",0
"15",14,180,0,1960,"Albania","143763",0
"16",15,134,0,1960,"Albania","143763",0
"17",16,137,0,1960,"Albania","143763",0
"18",17,146,0,1960,"Albania","143763",0
"19",18,138,0,1960,"Albania","143763",0
"20",19,147,0,1960,"Albania","143763",0
"21",20,126,0,1960,"Albania","143763",0
"22",21,131,0,1960,"Albania","143763",0
"23",22,131,0,1960,"Albania","143763",0
"24",23,121,0,1960,"Albania","143763",0
"25",24,112,0,1960,"Albania","143763",0
"26",25,131,0,1960,"Albania","143763",0
"27",26,105,0,1960,"Albania","143763",0
"28",27,132,0,1960,"Albania","143763",0
"29",28,106,1,1960,"Albania","143763",0.00943396226415094
"30",29,103,0,1960,"Albania","143763",0
"31",30,100,0,1960,"Albania","143763",0
"32",31,99,0,1960,"Albania","143763",0
"33",32,93,0,1960,"Albania","143763",0
"34",33,111,2,1960,"Albania","143763",0.018018018018018
"35",34,97,1,1960,"Albania","143763",0.0103092783505155
"36",35,88,0,1960,"Albania","143763",0
"37",36,85,8,1960,"Albania","143763",0.0941176470588235
"38",37,91,1,1960,"Albania","143763",0.010989010989011
"39",38,81,5,1960,"Albania","143763",0.0617283950617284
"40",39,79,6,1960,"Albania","143763",0.0759493670886076
"41",40,84,13,1960,"Albania","143763",0.154761904761905
"42",41,85,11,1960,"Albania","143763",0.129411764705882
"43",42,68,16,1960,"Albania","143763",0.235294117647059
"44",43,68,20,1960,"Albania","143763",0.294117647058824
"45",44,59,17,1960,"Albania","143763",0.288135593220339
"46",45,72,24,1960,"Albania","143763",0.333333333333333
"47",46,58,27,1960,"Albania","143763",0.46551724137931
"48",47,63,34,1960,"Albania","143763",0.53968253968254
"49",48,56,35,1960,"Albania","143763",0.625
"50",49,52,32,1960,"Albania","143763",0.615384615384615
"51",50,60,39,1960,"Albania","143763",0.65
"52",51,40,31,1960,"Albania","143763",0.775
"53",52,54,35,1960,"Albania","143763",0.648148148148148
"54",53,47,38,1960,"Albania","143763",0.808510638297872
"55",54,51,37,1960,"Albania","143763",0.725490196078431
"56",55,50,32,1960,"Albania","143763",0.64
"57",56,48,37,1960,"Albania","143763",0.770833333333333
"58",57,42,37,1960,"Albania","143763",0.880952380952381
"59",58,55,48,1960,"Albania","143763",0.872727272727273
"60",59,50,40,1960,"Albania","143763",0.8
"61",60,28,24,1960,"Albania","143763",0.857142857142857
"62",61,40,37,1960,"Albania","143763",0.925
"63",62,37,36,1960,"Albania","143763",0.972972972972973
"64",63,18,17,1960,"Albania","143763",0.944444444444444
"65",64,40,37,1960,"Albania","143763",0.925
"66",65,31,29,1960,"Albania","143763",0.935483870967742
"67",66,31,27,1960,"Albania","143763",0.870967741935484
"68",67,29,25,1960,"Albania","143763",0.862068965517241
"69",68,20,18,1960,"Albania","143763",0.9
"70",69,31,28,1960,"Albania","143763",0.903225806451613
"71",70,22,21,1960,"Albania","143763",0.954545454545455
"72",71,20,17,1960,"Albania","143763",0.85
"73",72,18,17,1960,"Albania","143763",0.944444444444444
"74",73,21,20,1960,"Albania","143763",0.952380952380952
"75",74,23,23,1960,"Albania","143763",1
"76",75,21,21,1960,"Albania","143763",1
"77",76,14,14,1960,"Albania","143763",1
"78",77,11,11,1960,"Albania","143763",1
"79",78,8,6,1960,"Albania","143763",0.75
"80",79,16,14,1960,"Albania","143763",0.875
"81",80,6,6,1960,"Albania","143763",1
"82",81,9,8,1960,"Albania","143763",0.888888888888889
"83",82,10,9,1960,"Albania","143763",0.9
"84",83,6,6,1960,"Albania","143763",1
"85",84,7,7,1960,"Albania","143763",1
"86",85,3,3,1960,"Albania","143763",1
"87",86,4,4,1960,"Albania","143763",1
"88",87,3,3,1960,"Albania","143763",1
"89",88,4,4,1960,"Albania","143763",1
"90",89,2,2,1960,"Albania","143763",1
"91",90,1,1,1960,"Albania","143763",1
"92",91,1,1,1960,"Albania","143763",1
"93",0,356,0,1965,"Albania","143763",0
"94",1,309,0,1965,"Albania","143763",0
"95",2,297,0,1965,"Albania","143763",0
"96",3,292,0,1965,"Albania","143763",0
"97",4,275,0,1965,"Albania","143763",0
"98",5,267,0,1965,"Albania","143763",0
"99",6,279,0,1965,"Albania","143763",0
"100",7,247,0,1965,"Albania","143763",0
"101",8,245,0,1965,"Albania","143763",0
"102",9,225,0,1965,"Albania","143763",0
"103",10,232,0,1965,"Albania","143763",0
"104",11,201,0,1965,"Albania","143763",0
"105",12,212,0,1965,"Albania","143763",0
"106",13,198,0,1965,"Albania","143763",0
"107",14,194,0,1965,"Albania","143763",0
"108",15,201,0,1965,"Albania","143763",0
"109",16,154,0,1965,"Albania","143763",0
"110",17,155,0,1965,"Albania","143763",0
"111",18,152,0,1965,"Albania","143763",0
"112",19,180,0,1965,"Albania","143763",0
"113",20,133,0,1965,"Albania","143763",0
"114",21,136,0,1965,"Albania","143763",0
"115",22,146,0,1965,"Albania","143763",0
"116",23,137,0,1965,"Albania","143763",0
"117",24,146,0,1965,"Albania","143763",0
"118",25,123,0,1965,"Albania","143763",0
"119",26,131,0,1965,"Albania","143763",0
"120",27,130,0,1965,"Albania","143763",0
"121",28,121,0,1965,"Albania","143763",0
"122",29,111,0,1965,"Albania","143763",0
"123",30,131,0,1965,"Albania","143763",0
"124",31,103,0,1965,"Albania","143763",0
"125",32,131,1,1965,"Albania","143763",0.00763358778625954
"126",33,105,1,1965,"Albania","143763",0.00952380952380952
"127",34,101,2,1965,"Albania","143763",0.0198019801980198
"128",35,99,4,1965,"Albania","143763",0.0404040404040404
"129",36,98,5,1965,"Albania","143763",0.0510204081632653
"130",37,93,7,1965,"Albania","143763",0.0752688172043011
"131",38,111,12,1965,"Albania","143763",0.108108108108108
"132",39,97,9,1965,"Albania","143763",0.0927835051546392
"133",40,86,20,1965,"Albania","143763",0.232558139534884
"134",41,84,18,1965,"Albania","143763",0.214285714285714
"135",42,91,21,1965,"Albania","143763",0.230769230769231
"136",43,80,27,1965,"Albania","143763",0.3375
"137",44,78,33,1965,"Albania","143763",0.423076923076923
"138",45,82,30,1965,"Albania","143763",0.365853658536585
"139",46,83,40,1965,"Albania","143763",0.481927710843373
"140",47,66,39,1965,"Albania","143763",0.590909090909091
"141",48,66,45,1965,"Albania","143763",0.681818181818182
"142",49,58,36,1965,"Albania","143763",0.620689655172414
"143",50,72,47,1965,"Albania","143763",0.652777777777778
"144",51,57,43,1965,"Albania","143763",0.754385964912281
"145",52,63,43,1965,"Albania","143763",0.682539682539683
"146",53,51,42,1965,"Albania","143763",0.823529411764706
"147",54,52,43,1965,"Albania","143763",0.826923076923077
"148",55,60,49,1965,"Albania","143763",0.816666666666667
"149",56,39,34,1965,"Albania","143763",0.871794871794872
"150",57,52,42,1965,"Albania","143763",0.807692307692308
"151",58,45,43,1965,"Albania","143763",0.955555555555556
"152",59,49,42,1965,"Albania","143763",0.857142857142857
"153",60,46,34,1965,"Albania","143763",0.739130434782609
"154",61,41,34,1965,"Albania","143763",0.829268292682927
"155",62,42,40,1965,"Albania","143763",0.952380952380952
"156",63,54,49,1965,"Albania","143763",0.907407407407407
"157",64,48,41,1965,"Albania","143763",0.854166666666667
"158",65,24,22,1965,"Albania","143763",0.916666666666667
"159",66,38,35,1965,"Albania","143763",0.921052631578947
"160",67,34,33,1965,"Albania","143763",0.970588235294118
"161",68,17,16,1965,"Albania","143763",0.941176470588235
"162",69,39,38,1965,"Albania","143763",0.974358974358974
"163",70,29,27,1965,"Albania","143763",0.931034482758621
"164",71,29,26,1965,"Albania","143763",0.896551724137931
"165",72,25,23,1965,"Albania","143763",0.92
"166",73,16,14,1965,"Albania","143763",0.875
"167",74,29,26,1965,"Albania","143763",0.896551724137931
"168",75,21,20,1965,"Albania","143763",0.952380952380952
"169",76,16,14,1965,"Albania","143763",0.875
"170",77,13,12,1965,"Albania","143763",0.923076923076923
"171",78,18,17,1965,"Albania","143763",0.944444444444444
"172",79,10,10,1965,"Albania","143763",1
"173",80,11,11,1965,"Albania","143763",1
"174",81,10,10,1965,"Albania","143763",1
"175",82,5,5,1965,"Albania","143763",1
"176",83,5,4,1965,"Albania","143763",0.8
"177",84,8,7,1965,"Albania","143763",0.875
"178",85,3,3,1965,"Albania","143763",1
"179",86,5,4,1965,"Albania","143763",0.8
"180",87,6,6,1965,"Albania","143763",1
"181",88,3,3,1965,"Albania","143763",1
"182",89,2,2,1965,"Albania","143763",1
"183",90,2,2,1965,"Albania","143763",1
"184",91,1,1,1965,"Albania","143763",1
"185",92,1,1,1965,"Albania","143763",1
"186",93,1,1,1965,"Albania","143763",1
"187",0,345,0,1970,"Albania","143763",0
"188",1,316,0,1970,"Albania","143763",0
"189",2,326,0,1970,"Albania","143763",0
"190",3,276,0,1970,"Albania","143763",0
"191",4,271,0,1970,"Albania","143763",0
"192",5,331,0,1970,"Albania","143763",0
"193",6,299,0,1970,"Albania","143763",0
"194",7,290,0,1970,"Albania","143763",0
"195",8,288,0,1970,"Albania","143763",0
"196",9,273,0,1970,"Albania","143763",0
"197",10,267,0,1970,"Albania","143763",0
"198",11,275,0,1970,"Albania","143763",0
"199",12,246,0,1970,"Albania","143763",0
"200",13,245,0,1970,"Albania","143763",0
"201",14,224,0,1970,"Albania","143763",0
"202",15,231,0,1970,"Albania","143763",0
"203",16,200,0,1970,"Albania","143763",0
"204",17,212,0,1970,"Albania","143763",0
"205",18,198,0,1970,"Albania","143763",0
"206",19,193,0,1970,"Albania","143763",0
"207",20,199,0,1970,"Albania","143763",0
"208",21,154,0,1970,"Albania","143763",0
"209",22,155,0,1970,"Albania","143763",0
"210",23,149,0,1970,"Albania","143763",0
"211",24,178,0,1970,"Albania","143763",0
"212",25,132,0,1970,"Albania","143763",0
"213",26,136,0,1970,"Albania","143763",0
"214",27,144,0,1970,"Albania","143763",0
"215",28,136,0,1970,"Albania","143763",0
"216",29,144,0,1970,"Albania","143763",0
"217",30,121,0,1970,"Albania","143763",0
"218",31,130,0,1970,"Albania","143763",0
"219",32,126,1,1970,"Albania","143763",0.00793650793650794
"220",33,119,3,1970,"Albania","143763",0.0252100840336134
"221",34,111,2,1970,"Albania","143763",0.018018018018018
"222",35,129,5,1970,"Albania","143763",0.0387596899224806
"223",36,101,6,1970,"Albania","143763",0.0594059405940594
"224",37,128,5,1970,"Albania","143763",0.0390625
"225",38,104,5,1970,"Albania","143763",0.0480769230769231
"226",39,101,12,1970,"Albania","143763",0.118811881188119
"227",40,99,13,1970,"Albania","143763",0.131313131313131
"228",41,97,24,1970,"Albania","143763",0.247422680412371
"229",42,92,22,1970,"Albania","143763",0.239130434782609
"230",43,109,35,1970,"Albania","143763",0.321100917431193
"231",44,96,31,1970,"Albania","143763",0.322916666666667
"232",45,84,34,1970,"Albania","143763",0.404761904761905
"233",46,83,34,1970,"Albania","143763",0.409638554216867
"234",47,89,51,1970,"Albania","143763",0.573033707865168
"235",48,80,44,1970,"Albania","143763",0.55
"236",49,76,52,1970,"Albania","143763",0.68421052631579
"237",50,78,48,1970,"Albania","143763",0.615384615384615
"238",51,79,52,1970,"Albania","143763",0.658227848101266
"239",52,64,46,1970,"Albania","143763",0.71875
"240",53,65,55,1970,"Albania","143763",0.846153846153846
"241",54,57,43,1970,"Albania","143763",0.754385964912281
"242",55,69,56,1970,"Albania","143763",0.811594202898551
"243",56,54,47,1970,"Albania","143763",0.87037037037037
"244",57,59,51,1970,"Albania","143763",0.864406779661017
"245",58,51,46,1970,"Albania","143763",0.901960784313726
"246",59,51,48,1970,"Albania","143763",0.941176470588235
"247",60,57,49,1970,"Albania","143763",0.859649122807018
"248",61,37,33,1970,"Albania","143763",0.891891891891892
"249",62,50,45,1970,"Albania","143763",0.9
"250",63,40,39,1970,"Albania","143763",0.975
"251",64,46,40,1970,"Albania","143763",0.869565217391304
"252",65,41,33,1970,"Albania","143763",0.804878048780488
"253",66,38,33,1970,"Albania","143763",0.868421052631579
"254",67,38,36,1970,"Albania","143763",0.947368421052632
"255",68,49,45,1970,"Albania","143763",0.918367346938776
"256",69,42,37,1970,"Albania","143763",0.880952380952381
"257",70,23,21,1970,"Albania","143763",0.91304347826087
"258",71,31,28,1970,"Albania","143763",0.903225806451613
"259",72,28,27,1970,"Albania","143763",0.964285714285714
"260",73,12,12,1970,"Albania","143763",1
"261",74,34,33,1970,"Albania","143763",0.970588235294118
"262",75,17,16,1970,"Albania","143763",0.941176470588235
"263",76,21,19,1970,"Albania","143763",0.904761904761905
"264",77,21,19,1970,"Albania","143763",0.904761904761905
"265",78,12,10,1970,"Albania","143763",0.833333333333333
"266",79,20,18,1970,"Albania","143763",0.9
"267",80,15,14,1970,"Albania","143763",0.933333333333333
"268",81,13,11,1970,"Albania","143763",0.846153846153846
"269",82,8,7,1970,"Albania","143763",0.875
"270",83,14,13,1970,"Albania","143763",0.928571428571429
"271",84,6,6,1970,"Albania","143763",1
"272",85,6,6,1970,"Albania","143763",1
"273",86,5,5,1970,"Albania","143763",1
"274",87,1,1,1970,"Albania","143763",1
"275",88,1,0,1970,"Albania","143763",0
"276",89,2,2,1970,"Albania","143763",1
"277",90,2,2,1970,"Albania","143763",1
"278",91,2,2,1970,"Albania","143763",1
"279",92,1,1,1970,"Albania","143763",1
"280",93,1,1,1970,"Albania","143763",1
"281",94,1,1,1970,"Albania","143763",1
"282",0,356,0,1975,"Albania","143763",0
"283",1,294,0,1975,"Albania","143763",0
"284",2,304,0,1975,"Albania","143763",0
"285",3,305,0,1975,"Albania","143763",0
"286",4,285,0,1975,"Albania","143763",0
"287",5,334,0,1975,"Albania","143763",0
"288",6,312,0,1975,"Albania","143763",0
"289",7,319,0,1975,"Albania","143763",0
"290",8,271,0,1975,"Albania","143763",0
