"","age","pop","gp","country","seed","year","share"
"1",0,743,0,"Algeria","263003",2022,0
"2",1,750,0,"Algeria","263003",2022,0
"3",2,799,0,"Algeria","263003",2022,0
"4",3,793,0,"Algeria","263003",2022,0
"5",4,820,0,"Algeria","263003",2022,0
"6",5,807,0,"Algeria","263003",2022,0
"7",6,787,0,"Algeria","263003",2022,0
"8",7,763,0,"Algeria","263003",2022,0
"9",8,773,0,"Algeria","263003",2022,0
"10",9,781,0,"Algeria","263003",2022,0
"11",10,761,0,"Algeria","263003",2022,0
"12",11,773,0,"Algeria","263003",2022,0
"13",12,672,0,"Algeria","263003",2022,0
"14",13,663,0,"Algeria","263003",2022,0
"15",14,654,0,"Algeria","263003",2022,0
"16",15,626,0,"Algeria","263003",2022,0
"17",16,611,0,"Algeria","263003",2022,0
"18",17,540,0,"Algeria","263003",2022,0
"19",18,506,0,"Algeria","263003",2022,0
"20",19,521,0,"Algeria","263003",2022,0
"21",20,485,0,"Algeria","263003",2022,0
"22",21,516,0,"Algeria","263003",2022,0
"23",22,540,0,"Algeria","263003",2022,0
"24",23,592,0,"Algeria","263003",2022,0
"25",24,536,0,"Algeria","263003",2022,0
"26",25,524,0,"Algeria","263003",2022,0
"27",26,546,0,"Algeria","263003",2022,0
"28",27,658,0,"Algeria","263003",2022,0
"29",28,658,0,"Algeria","263003",2022,0
"30",29,629,0,"Algeria","263003",2022,0
"31",30,610,0,"Algeria","263003",2022,0
"32",31,608,1,"Algeria","263003",2022,0.00164473684210526
"33",32,746,1,"Algeria","263003",2022,0.00134048257372654
"34",33,677,1,"Algeria","263003",2022,0.00147710487444609
"35",34,683,2,"Algeria","263003",2022,0.00292825768667643
"36",35,637,2,"Algeria","263003",2022,0.00313971742543171
"37",36,620,0,"Algeria","263003",2022,0
"38",37,655,5,"Algeria","263003",2022,0.00763358778625954
"39",38,662,10,"Algeria","263003",2022,0.0151057401812689
"40",39,678,16,"Algeria","263003",2022,0.023598820058997
"41",40,657,24,"Algeria","263003",2022,0.0365296803652968
"42",41,591,33,"Algeria","263003",2022,0.0558375634517767
"43",42,645,44,"Algeria","263003",2022,0.0682170542635659
"44",43,600,58,"Algeria","263003",2022,0.0966666666666667
"45",44,558,62,"Algeria","263003",2022,0.111111111111111
"46",45,569,88,"Algeria","263003",2022,0.154657293497364
"47",46,536,104,"Algeria","263003",2022,0.194029850746269
"48",47,526,112,"Algeria","263003",2022,0.212927756653992
"49",48,523,128,"Algeria","263003",2022,0.244741873804971
"50",49,515,145,"Algeria","263003",2022,0.281553398058252
"51",50,508,178,"Algeria","263003",2022,0.350393700787402
"52",51,492,192,"Algeria","263003",2022,0.390243902439024
"53",52,460,238,"Algeria","263003",2022,0.517391304347826
"54",53,463,245,"Algeria","263003",2022,0.529157667386609
"55",54,437,234,"Algeria","263003",2022,0.535469107551487
"56",55,389,225,"Algeria","263003",2022,0.57840616966581
"57",56,448,274,"Algeria","263003",2022,0.611607142857143
"58",57,376,263,"Algeria","263003",2022,0.699468085106383
"59",58,378,273,"Algeria","263003",2022,0.722222222222222
"60",59,376,283,"Algeria","263003",2022,0.752659574468085
"61",60,332,238,"Algeria","263003",2022,0.716867469879518
"62",61,336,255,"Algeria","263003",2022,0.758928571428571
"63",62,322,255,"Algeria","263003",2022,0.791925465838509
"64",63,301,247,"Algeria","263003",2022,0.820598006644518
"65",64,296,254,"Algeria","263003",2022,0.858108108108108
"66",65,277,241,"Algeria","263003",2022,0.870036101083033
"67",66,274,247,"Algeria","263003",2022,0.901459854014598
"68",67,241,215,"Algeria","263003",2022,0.892116182572614
"69",68,207,189,"Algeria","263003",2022,0.91304347826087
"70",69,207,187,"Algeria","263003",2022,0.903381642512077
"71",70,219,197,"Algeria","263003",2022,0.899543378995434
"72",71,192,169,"Algeria","263003",2022,0.880208333333333
"73",72,213,192,"Algeria","263003",2022,0.901408450704225
"74",73,202,169,"Algeria","263003",2022,0.836633663366337
"75",74,163,145,"Algeria","263003",2022,0.889570552147239
"76",75,171,138,"Algeria","263003",2022,0.807017543859649
"77",76,162,134,"Algeria","263003",2022,0.827160493827161
"78",77,155,139,"Algeria","263003",2022,0.896774193548387
"79",78,136,129,"Algeria","263003",2022,0.948529411764706
"80",79,111,92,"Algeria","263003",2022,0.828828828828829
"81",80,126,111,"Algeria","263003",2022,0.880952380952381
"82",81,102,92,"Algeria","263003",2022,0.901960784313726
"83",82,96,84,"Algeria","263003",2022,0.875
"84",83,75,66,"Algeria","263003",2022,0.88
"85",84,73,68,"Algeria","263003",2022,0.931506849315068
"86",85,49,41,"Algeria","263003",2022,0.836734693877551
"87",86,52,46,"Algeria","263003",2022,0.884615384615385
"88",87,50,45,"Algeria","263003",2022,0.9
"89",88,34,30,"Algeria","263003",2022,0.882352941176471
"90",89,19,18,"Algeria","263003",2022,0.947368421052632
"91",90,23,22,"Algeria","263003",2022,0.956521739130435
"92",91,20,18,"Algeria","263003",2022,0.9
"93",92,17,17,"Algeria","263003",2022,1
"94",93,10,10,"Algeria","263003",2022,1
"95",94,7,5,"Algeria","263003",2022,0.714285714285714
"96",95,4,3,"Algeria","263003",2022,0.75
