"","age","pop","gp","year","country","seed","share"
"1",0,840,0,1990,"Angola","112903",0
"2",1,786,0,1990,"Angola","112903",0
"3",2,702,0,1990,"Angola","112903",0
"4",3,691,0,1990,"Angola","112903",0
"5",4,641,0,1990,"Angola","112903",0
"6",5,600,0,1990,"Angola","112903",0
"7",6,606,0,1990,"Angola","112903",0
"8",7,612,0,1990,"Angola","112903",0
"9",8,567,0,1990,"Angola","112903",0
"10",9,573,0,1990,"Angola","112903",0
"11",10,540,0,1990,"Angola","112903",0
"12",11,512,0,1990,"Angola","112903",0
"13",12,468,0,1990,"Angola","112903",0
"14",13,500,0,1990,"Angola","112903",0
"15",14,464,0,1990,"Angola","112903",0
"16",15,471,0,1990,"Angola","112903",0
"17",16,476,0,1990,"Angola","112903",0
"18",17,425,0,1990,"Angola","112903",0
"19",18,436,0,1990,"Angola","112903",0
"20",19,439,0,1990,"Angola","112903",0
"21",20,420,0,1990,"Angola","112903",0
"22",21,384,0,1990,"Angola","112903",0
"23",22,369,0,1990,"Angola","112903",0
"24",23,376,0,1990,"Angola","112903",0
"25",24,336,0,1990,"Angola","112903",0
"26",25,350,0,1990,"Angola","112903",0
"27",26,353,0,1990,"Angola","112903",0
"28",27,307,1,1990,"Angola","112903",0.00325732899022801
"29",28,297,1,1990,"Angola","112903",0.00336700336700337
"30",29,307,4,1990,"Angola","112903",0.0130293159609121
"31",30,268,3,1990,"Angola","112903",0.0111940298507463
"32",31,244,7,1990,"Angola","112903",0.0286885245901639
"33",32,243,14,1990,"Angola","112903",0.0576131687242798
"34",33,233,24,1990,"Angola","112903",0.103004291845494
"35",34,245,24,1990,"Angola","112903",0.0979591836734694
"36",35,201,30,1990,"Angola","112903",0.149253731343284
"37",36,202,39,1990,"Angola","112903",0.193069306930693
"38",37,207,41,1990,"Angola","112903",0.198067632850242
"39",38,225,73,1990,"Angola","112903",0.324444444444444
"40",39,214,88,1990,"Angola","112903",0.411214953271028
"41",40,213,96,1990,"Angola","112903",0.450704225352113
"42",41,247,114,1990,"Angola","112903",0.461538461538462
"43",42,213,117,1990,"Angola","112903",0.549295774647887
"44",43,209,124,1990,"Angola","112903",0.593301435406699
"45",44,204,136,1990,"Angola","112903",0.666666666666667
"46",45,172,119,1990,"Angola","112903",0.691860465116279
"47",46,200,132,1990,"Angola","112903",0.66
"48",47,195,138,1990,"Angola","112903",0.707692307692308
"49",48,167,113,1990,"Angola","112903",0.676646706586826
"50",49,163,128,1990,"Angola","112903",0.785276073619632
"51",50,158,126,1990,"Angola","112903",0.79746835443038
"52",51,168,128,1990,"Angola","112903",0.761904761904762
"53",52,153,124,1990,"Angola","112903",0.810457516339869
"54",53,151,114,1990,"Angola","112903",0.754966887417219
"55",54,134,104,1990,"Angola","112903",0.776119402985075
"56",55,129,108,1990,"Angola","112903",0.837209302325581
"57",56,128,105,1990,"Angola","112903",0.8203125
"58",57,130,101,1990,"Angola","112903",0.776923076923077
"59",58,135,97,1990,"Angola","112903",0.718518518518519
"60",59,118,98,1990,"Angola","112903",0.830508474576271
"61",60,112,97,1990,"Angola","112903",0.866071428571429
"62",61,101,92,1990,"Angola","112903",0.910891089108911
"63",62,105,85,1990,"Angola","112903",0.80952380952381
"64",63,100,89,1990,"Angola","112903",0.89
"65",64,92,80,1990,"Angola","112903",0.869565217391304
"66",65,73,66,1990,"Angola","112903",0.904109589041096
"67",66,78,66,1990,"Angola","112903",0.846153846153846
"68",67,63,54,1990,"Angola","112903",0.857142857142857
"69",68,56,43,1990,"Angola","112903",0.767857142857143
"70",69,80,67,1990,"Angola","112903",0.8375
"71",70,59,51,1990,"Angola","112903",0.864406779661017
"72",71,54,49,1990,"Angola","112903",0.907407407407407
"73",72,50,45,1990,"Angola","112903",0.9
"74",73,56,45,1990,"Angola","112903",0.803571428571429
"75",74,32,28,1990,"Angola","112903",0.875
"76",75,30,25,1990,"Angola","112903",0.833333333333333
"77",76,31,28,1990,"Angola","112903",0.903225806451613
"78",77,22,20,1990,"Angola","112903",0.909090909090909
"79",78,19,15,1990,"Angola","112903",0.789473684210526
"80",79,21,19,1990,"Angola","112903",0.904761904761905
"81",80,16,14,1990,"Angola","112903",0.875
"82",81,12,10,1990,"Angola","112903",0.833333333333333
"83",82,10,10,1990,"Angola","112903",1
"84",83,7,6,1990,"Angola","112903",0.857142857142857
"85",84,10,8,1990,"Angola","112903",0.8
"86",85,7,5,1990,"Angola","112903",0.714285714285714
"87",86,3,2,1990,"Angola","112903",0.666666666666667
"88",87,7,5,1990,"Angola","112903",0.714285714285714
"89",88,3,2,1990,"Angola","112903",0.666666666666667
"90",89,4,3,1990,"Angola","112903",0.75
"91",90,1,1,1990,"Angola","112903",1
"92",91,3,3,1990,"Angola","112903",1
"93",92,2,1,1990,"Angola","112903",0.5
"94",0,908,0,1995,"Angola","112903",0
"95",1,831,0,1995,"Angola","112903",0
"96",2,815,0,1995,"Angola","112903",0
"97",3,755,0,1995,"Angola","112903",0
"98",4,702,0,1995,"Angola","112903",0
"99",5,703,0,1995,"Angola","112903",0
"100",6,731,0,1995,"Angola","112903",0
"101",7,648,0,1995,"Angola","112903",0
"102",8,647,0,1995,"Angola","112903",0
"103",9,614,0,1995,"Angola","112903",0
"104",10,581,0,1995,"Angola","112903",0
"105",11,588,0,1995,"Angola","112903",0
"106",12,596,0,1995,"Angola","112903",0
"107",13,557,0,1995,"Angola","112903",0
"108",14,556,0,1995,"Angola","112903",0
"109",15,531,0,1995,"Angola","112903",0
"110",16,500,0,1995,"Angola","112903",0
"111",17,461,0,1995,"Angola","112903",0
"112",18,483,0,1995,"Angola","112903",0
"113",19,454,0,1995,"Angola","112903",0
"114",20,461,0,1995,"Angola","112903",0
"115",21,457,0,1995,"Angola","112903",0
"116",22,414,0,1995,"Angola","112903",0
"117",23,419,0,1995,"Angola","112903",0
"118",24,426,1,1995,"Angola","112903",0.00234741784037559
"119",25,407,1,1995,"Angola","112903",0.00245700245700246
"120",26,370,0,1995,"Angola","112903",0
"121",27,358,0,1995,"Angola","112903",0
"122",28,356,1,1995,"Angola","112903",0.00280898876404494
"123",29,323,4,1995,"Angola","112903",0.0123839009287926
"124",30,338,6,1995,"Angola","112903",0.0177514792899408
"125",31,340,11,1995,"Angola","112903",0.0323529411764706
"126",32,296,21,1995,"Angola","112903",0.0709459459459459
"127",33,281,19,1995,"Angola","112903",0.0676156583629893
