"","age","pop","gp","year","country","seed","share"
"1",0,791,0,1990,"Argentina","17839",0
"2",1,778,0,1990,"Argentina","17839",0
"3",2,754,0,1990,"Argentina","17839",0
"4",3,756,0,1990,"Argentina","17839",0
"5",4,772,0,1990,"Argentina","17839",0
"6",5,766,0,1990,"Argentina","17839",0
"7",6,768,0,1990,"Argentina","17839",0
"8",7,748,0,1990,"Argentina","17839",0
"9",8,773,0,1990,"Argentina","17839",0
"10",9,677,0,1990,"Argentina","17839",0
"11",10,742,0,1990,"Argentina","17839",0
"12",11,817,0,1990,"Argentina","17839",0
"13",12,805,0,1990,"Argentina","17839",0
"14",13,722,0,1990,"Argentina","17839",0
"15",14,736,0,1990,"Argentina","17839",0
"16",15,707,0,1990,"Argentina","17839",0
"17",16,656,0,1990,"Argentina","17839",0
"18",17,616,0,1990,"Argentina","17839",0
"19",18,685,0,1990,"Argentina","17839",0
"20",19,638,0,1990,"Argentina","17839",0
"21",20,604,0,1990,"Argentina","17839",0
"22",21,619,0,1990,"Argentina","17839",0
"23",22,532,0,1990,"Argentina","17839",0
"24",23,617,0,1990,"Argentina","17839",0
"25",24,597,0,1990,"Argentina","17839",0
"26",25,613,0,1990,"Argentina","17839",0
"27",26,600,0,1990,"Argentina","17839",0
"28",27,575,1,1990,"Argentina","17839",0.00173913043478261
"29",28,547,2,1990,"Argentina","17839",0.0036563071297989
"30",29,550,1,1990,"Argentina","17839",0.00181818181818182
"31",30,560,2,1990,"Argentina","17839",0.00357142857142857
"32",31,540,3,1990,"Argentina","17839",0.00555555555555556
"33",32,533,7,1990,"Argentina","17839",0.0131332082551595
"34",33,541,9,1990,"Argentina","17839",0.0166358595194085
"35",34,508,17,1990,"Argentina","17839",0.0334645669291339
"36",35,491,21,1990,"Argentina","17839",0.0427698574338086
"37",36,490,28,1990,"Argentina","17839",0.0571428571428571
"38",37,481,44,1990,"Argentina","17839",0.0914760914760915
"39",38,516,53,1990,"Argentina","17839",0.102713178294574
"40",39,501,54,1990,"Argentina","17839",0.107784431137725
"41",40,471,89,1990,"Argentina","17839",0.18895966029724
"42",41,494,113,1990,"Argentina","17839",0.228744939271255
"43",42,468,121,1990,"Argentina","17839",0.258547008547009
"44",43,464,127,1990,"Argentina","17839",0.273706896551724
"45",44,460,159,1990,"Argentina","17839",0.345652173913043
"46",45,436,156,1990,"Argentina","17839",0.357798165137615
"47",46,445,177,1990,"Argentina","17839",0.397752808988764
"48",47,416,179,1990,"Argentina","17839",0.430288461538462
"49",48,415,222,1990,"Argentina","17839",0.534939759036145
"50",49,439,250,1990,"Argentina","17839",0.569476082004556
"51",50,426,243,1990,"Argentina","17839",0.570422535211268
"52",51,379,240,1990,"Argentina","17839",0.633245382585752
"53",52,380,239,1990,"Argentina","17839",0.628947368421053
"54",53,426,263,1990,"Argentina","17839",0.617370892018779
"55",54,394,256,1990,"Argentina","17839",0.649746192893401
"56",55,384,273,1990,"Argentina","17839",0.7109375
"57",56,356,242,1990,"Argentina","17839",0.679775280898876
"58",57,358,253,1990,"Argentina","17839",0.706703910614525
"59",58,342,256,1990,"Argentina","17839",0.748538011695906
"60",59,352,269,1990,"Argentina","17839",0.764204545454545
"61",60,331,244,1990,"Argentina","17839",0.737160120845921
"62",61,326,232,1990,"Argentina","17839",0.711656441717791
"63",62,309,233,1990,"Argentina","17839",0.754045307443366
"64",63,294,228,1990,"Argentina","17839",0.775510204081633
"65",64,272,217,1990,"Argentina","17839",0.797794117647059
"66",65,260,205,1990,"Argentina","17839",0.788461538461538
"67",66,268,204,1990,"Argentina","17839",0.761194029850746
"68",67,264,200,1990,"Argentina","17839",0.757575757575758
"69",68,244,185,1990,"Argentina","17839",0.758196721311475
"70",69,274,220,1990,"Argentina","17839",0.802919708029197
"71",70,248,199,1990,"Argentina","17839",0.80241935483871
"72",71,220,165,1990,"Argentina","17839",0.75
"73",72,199,159,1990,"Argentina","17839",0.798994974874372
"74",73,172,124,1990,"Argentina","17839",0.720930232558139
"75",74,204,171,1990,"Argentina","17839",0.838235294117647
"76",75,162,120,1990,"Argentina","17839",0.740740740740741
"77",76,172,140,1990,"Argentina","17839",0.813953488372093
"78",77,138,107,1990,"Argentina","17839",0.77536231884058
"79",78,147,116,1990,"Argentina","17839",0.789115646258503
"80",79,115,88,1990,"Argentina","17839",0.765217391304348
"81",80,115,91,1990,"Argentina","17839",0.791304347826087
"82",81,81,65,1990,"Argentina","17839",0.802469135802469
"83",82,86,73,1990,"Argentina","17839",0.848837209302326
"84",83,66,52,1990,"Argentina","17839",0.787878787878788
"85",84,86,65,1990,"Argentina","17839",0.755813953488372
"86",85,54,47,1990,"Argentina","17839",0.87037037037037
"87",86,49,39,1990,"Argentina","17839",0.795918367346939
"88",87,28,21,1990,"Argentina","17839",0.75
"89",88,37,34,1990,"Argentina","17839",0.918918918918919
"90",89,29,17,1990,"Argentina","17839",0.586206896551724
"91",90,17,16,1990,"Argentina","17839",0.941176470588235
"92",91,11,9,1990,"Argentina","17839",0.818181818181818
"93",92,5,2,1990,"Argentina","17839",0.4
"94",93,12,8,1990,"Argentina","17839",0.666666666666667
"95",94,6,5,1990,"Argentina","17839",0.833333333333333
"96",95,6,6,1990,"Argentina","17839",1
"97",96,2,2,1990,"Argentina","17839",1
"98",97,3,3,1990,"Argentina","17839",1
"99",0,827,0,1995,"Argentina","17839",0
"100",1,854,0,1995,"Argentina","17839",0
"101",2,798,0,1995,"Argentina","17839",0
"102",3,789,0,1995,"Argentina","17839",0
"103",4,790,0,1995,"Argentina","17839",0
"104",5,779,0,1995,"Argentina","17839",0
"105",6,775,0,1995,"Argentina","17839",0
"106",7,751,0,1995,"Argentina","17839",0
"107",8,753,0,1995,"Argentina","17839",0
"108",9,769,0,1995,"Argentina","17839",0
"109",10,764,0,1995,"Argentina","17839",0
"110",11,766,0,1995,"Argentina","17839",0
"111",12,745,0,1995,"Argentina","17839",0
"112",13,770,0,1995,"Argentina","17839",0
"113",14,677,0,1995,"Argentina","17839",0
"114",15,742,0,1995,"Argentina","17839",0
"115",16,815,0,1995,"Argentina","17839",0
"116",17,800,0,1995,"Argentina","17839",0
