"","age","pop","gp","year","country","seed","share"
"1",0,2452,0,1990,"Armenia","311308",0
"2",1,2396,0,1990,"Armenia","311308",0
"3",2,2499,0,1990,"Armenia","311308",0
"4",3,2337,0,1990,"Armenia","311308",0
"5",4,2416,0,1990,"Armenia","311308",0
"6",5,2347,0,1990,"Armenia","311308",0
"7",6,2219,0,1990,"Armenia","311308",0
"8",7,2355,0,1990,"Armenia","311308",0
"9",8,2201,0,1990,"Armenia","311308",0
"10",9,2255,0,1990,"Armenia","311308",0
"11",10,2287,0,1990,"Armenia","311308",0
"12",11,2202,0,1990,"Armenia","311308",0
"13",12,2190,0,1990,"Armenia","311308",0
"14",13,2219,0,1990,"Armenia","311308",0
"15",14,2129,0,1990,"Armenia","311308",0
"16",15,2296,0,1990,"Armenia","311308",0
"17",16,2319,0,1990,"Armenia","311308",0
"18",17,2220,0,1990,"Armenia","311308",0
"19",18,2271,0,1990,"Armenia","311308",0
"20",19,2146,0,1990,"Armenia","311308",0
"21",20,2431,0,1990,"Armenia","311308",0
"22",21,2363,0,1990,"Armenia","311308",0
"23",22,2262,0,1990,"Armenia","311308",0
"24",23,2196,0,1990,"Armenia","311308",0
"25",24,2195,1,1990,"Armenia","311308",0.000455580865603645
"26",25,2736,0,1990,"Armenia","311308",0
"27",26,2605,0,1990,"Armenia","311308",0
"28",27,2452,0,1990,"Armenia","311308",0
"29",28,2526,2,1990,"Armenia","311308",0.000791765637371338
"30",29,2423,4,1990,"Armenia","311308",0.00165084605860504
"31",30,2480,6,1990,"Armenia","311308",0.00241935483870968
"32",31,2418,10,1990,"Armenia","311308",0.00413564929693962
"33",32,2421,10,1990,"Armenia","311308",0.00413052457662123
"34",33,2366,29,1990,"Armenia","311308",0.0122569737954353
"35",34,2323,59,1990,"Armenia","311308",0.0253981919931124
"36",35,2052,71,1990,"Armenia","311308",0.0346003898635478
"37",36,2022,105,1990,"Armenia","311308",0.0519287833827893
"38",37,1952,148,1990,"Armenia","311308",0.0758196721311475
"39",38,1985,247,1990,"Armenia","311308",0.124433249370277
