"","age","pop","gp","year","country","seed","share"
"1",0,2554,0,1990,"Aruba","122245",0
"2",1,2582,0,1990,"Aruba","122245",0
"3",2,2420,0,1990,"Aruba","122245",0
"4",3,2513,0,1990,"Aruba","122245",0
"5",4,2489,0,1990,"Aruba","122245",0
"6",5,2516,0,1990,"Aruba","122245",0
"7",6,2418,0,1990,"Aruba","122245",0
"8",7,2444,0,1990,"Aruba","122245",0
"9",8,2401,0,1990,"Aruba","122245",0
"10",9,2470,0,1990,"Aruba","122245",0
"11",10,2435,0,1990,"Aruba","122245",0
"12",11,2382,0,1990,"Aruba","122245",0
"13",12,2287,0,1990,"Aruba","122245",0
"14",13,2369,0,1990,"Aruba","122245",0
"15",14,2432,0,1990,"Aruba","122245",0
"16",15,2448,0,1990,"Aruba","122245",0
"17",16,2452,0,1990,"Aruba","122245",0
"18",17,2267,0,1990,"Aruba","122245",0
"19",18,2312,0,1990,"Aruba","122245",0
"20",19,2339,0,1990,"Aruba","122245",0
"21",20,2555,0,1990,"Aruba","122245",0
"22",21,2660,0,1990,"Aruba","122245",0
"23",22,2583,0,1990,"Aruba","122245",0
"24",23,2451,0,1990,"Aruba","122245",0
"25",24,2447,0,1990,"Aruba","122245",0
"26",25,2912,0,1990,"Aruba","122245",0
"27",26,2892,0,1990,"Aruba","122245",0
"28",27,2792,2,1990,"Aruba","122245",0.000716332378223496
"29",28,2688,3,1990,"Aruba","122245",0.00111607142857143
"30",29,2602,4,1990,"Aruba","122245",0.00153727901614143
"31",30,2799,7,1990,"Aruba","122245",0.00250089317613433
"32",31,2670,6,1990,"Aruba","122245",0.00224719101123596
"33",32,2532,21,1990,"Aruba","122245",0.00829383886255924
"34",33,2529,30,1990,"Aruba","122245",0.0118623962040332
"35",34,2421,47,1990,"Aruba","122245",0.0194134655101198
"36",35,2450,79,1990,"Aruba","122245",0.0322448979591837
"37",36,2378,117,1990,"Aruba","122245",0.0492010092514718
"38",37,2312,174,1990,"Aruba","122245",0.0752595155709343
"39",38,2216,219,1990,"Aruba","122245",0.098826714801444
"40",39,2212,274,1990,"Aruba","122245",0.123869801084991
"41",40,2456,391,1990,"Aruba","122245",0.159201954397394
"42",41,2403,472,1990,"Aruba","122245",0.196421140241365
"43",42,2370,529,1990,"Aruba","122245",0.223206751054852
"44",43,2229,680,1990,"Aruba","122245",0.305069537909376
"45",44,2235,775,1990,"Aruba","122245",0.34675615212528
"46",45,2103,775,1990,"Aruba","122245",0.368521160247266
"47",46,2027,875,1990,"Aruba","122245",0.431672422298964
"48",47,1972,1001,1990,"Aruba","122245",0.507606490872211
"49",48,1883,1001,1990,"Aruba","122245",0.531598513011152
"50",49,1851,1039,1990,"Aruba","122245",0.561318206374932
"51",50,1840,1125,1990,"Aruba","122245",0.611413043478261
"52",51,1760,1125,1990,"Aruba","122245",0.639204545454545
"53",52,1645,1088,1990,"Aruba","122245",0.661398176291793
"54",53,1657,1143,1990,"Aruba","122245",0.689800844900422
"55",54,1510,1092,1990,"Aruba","122245",0.72317880794702
"56",55,1436,1040,1990,"Aruba","122245",0.724233983286908
"57",56,1462,1087,1990,"Aruba","122245",0.743502051983584
"58",57,1358,1076,1990,"Aruba","122245",0.792341678939617
"59",58,1235,1006,1990,"Aruba","122245",0.814574898785425
"60",59,1188,1002,1990,"Aruba","122245",0.843434343434343
"61",60,1174,974,1990,"Aruba","122245",0.829642248722317
"62",61,1057,902,1990,"Aruba","122245",0.853358561967833
"63",62,1077,926,1990,"Aruba","122245",0.859795728876509
"64",63,991,860,1990,"Aruba","122245",0.867810292633703
"65",64,936,828,1990,"Aruba","122245",0.884615384615385
"66",65,906,780,1990,"Aruba","122245",0.860927152317881
"67",66,828,721,1990,"Aruba","122245",0.870772946859903
"68",67,793,693,1990,"Aruba","122245",0.873896595208071
"69",68,759,670,1990,"Aruba","122245",0.882740447957839
"70",69,724,667,1990,"Aruba","122245",0.921270718232044
"71",70,638,585,1990,"Aruba","122245",0.91692789968652
"72",71,605,557,1990,"Aruba","122245",0.920661157024793
"73",72,538,502,1990,"Aruba","122245",0.933085501858736
"74",73,554,505,1990,"Aruba","122245",0.911552346570397
"75",74,476,433,1990,"Aruba","122245",0.909663865546218
"76",75,461,426,1990,"Aruba","122245",0.924078091106291
"77",76,405,370,1990,"Aruba","122245",0.91358024691358
"78",77,350,322,1990,"Aruba","122245",0.92
"79",78,346,315,1990,"Aruba","122245",0.910404624277457
"80",79,294,270,1990,"Aruba","122245",0.918367346938776
"81",80,258,243,1990,"Aruba","122245",0.941860465116279
