"","age","pop","gp","year","country","seed","share"
"1",0,2182,0,1960,"Australia","211431",0
"2",1,2222,0,1960,"Australia","211431",0
"3",2,2105,0,1960,"Australia","211431",0
"4",3,2152,0,1960,"Australia","211431",0
"5",4,1998,0,1960,"Australia","211431",0
"6",5,1839,0,1960,"Australia","211431",0
"7",6,1823,0,1960,"Australia","211431",0
"8",7,1881,0,1960,"Australia","211431",0
"9",8,1847,0,1960,"Australia","211431",0
"10",9,1765,0,1960,"Australia","211431",0
"11",10,1975,0,1960,"Australia","211431",0
"12",11,1897,0,1960,"Australia","211431",0
"13",12,1890,0,1960,"Australia","211431",0
"14",13,1849,0,1960,"Australia","211431",0
"15",14,1924,0,1960,"Australia","211431",0
"16",15,1858,0,1960,"Australia","211431",0
"17",16,1863,0,1960,"Australia","211431",0
"18",17,1768,0,1960,"Australia","211431",0
"19",18,1768,0,1960,"Australia","211431",0
"20",19,1834,0,1960,"Australia","211431",0
"21",20,1712,0,1960,"Australia","211431",0
"22",21,1703,0,1960,"Australia","211431",0
"23",22,1668,0,1960,"Australia","211431",0
"24",23,1637,0,1960,"Australia","211431",0
"25",24,1582,0,1960,"Australia","211431",0
"26",25,1598,0,1960,"Australia","211431",0
"27",26,1568,0,1960,"Australia","211431",0
"28",27,1522,0,1960,"Australia","211431",0
"29",28,1506,0,1960,"Australia","211431",0
"30",29,1506,3,1960,"Australia","211431",0.00199203187250996
"31",30,1408,2,1960,"Australia","211431",0.00142045454545455
"32",31,1468,7,1960,"Australia","211431",0.00476839237057221
"33",32,1478,10,1960,"Australia","211431",0.006765899864682
"34",33,1477,20,1960,"Australia","211431",0.01354096140826
"35",34,1414,25,1960,"Australia","211431",0.0176803394625177
"36",35,1465,45,1960,"Australia","211431",0.0307167235494881
"37",36,1316,64,1960,"Australia","211431",0.0486322188449848
"38",37,1361,110,1960,"Australia","211431",0.0808229243203527
"39",38,1318,131,1960,"Australia","211431",0.0993930197268589
"40",39,1295,173,1960,"Australia","211431",0.133590733590734
"41",40,1269,204,1960,"Australia","211431",0.160756501182033
"42",41,1290,291,1960,"Australia","211431",0.225581395348837
"43",42,1229,364,1960,"Australia","211431",0.296175752644426
"44",43,1259,436,1960,"Australia","211431",0.346306592533757
"45",44,1196,466,1960,"Australia","211431",0.389632107023411
"46",45,1124,507,1960,"Australia","211431",0.451067615658363
"47",46,1183,569,1960,"Australia","211431",0.480980557903635
"48",47,1145,621,1960,"Australia","211431",0.54235807860262
"49",48,1159,606,1960,"Australia","211431",0.522864538395168
"50",49,1121,661,1960,"Australia","211431",0.589652096342551
"51",50,1045,605,1960,"Australia","211431",0.578947368421053
"52",51,1068,636,1960,"Australia","211431",0.595505617977528
"53",52,1006,664,1960,"Australia","211431",0.660039761431412
"54",53,1065,713,1960,"Australia","211431",0.669483568075117
"55",54,959,663,1960,"Australia","211431",0.691345151199166
"56",55,959,702,1960,"Australia","211431",0.732012513034411
"57",56,947,693,1960,"Australia","211431",0.731784582893347
"58",57,962,710,1960,"Australia","211431",0.738045738045738
"59",58,904,699,1960,"Australia","211431",0.773230088495575
"60",59,839,628,1960,"Australia","211431",0.748510131108462
"61",60,858,682,1960,"Australia","211431",0.794871794871795
"62",61,797,636,1960,"Australia","211431",0.797992471769134
"63",62,806,665,1960,"Australia","211431",0.825062034739454
"64",63,729,590,1960,"Australia","211431",0.809327846364883
"65",64,753,598,1960,"Australia","211431",0.794156706507304
"66",65,726,582,1960,"Australia","211431",0.801652892561983
"67",66,694,564,1960,"Australia","211431",0.812680115273775
"68",67,697,558,1960,"Australia","211431",0.800573888091822
"69",68,615,495,1960,"Australia","211431",0.804878048780488
"70",69,574,472,1960,"Australia","211431",0.822299651567944
"71",70,570,450,1960,"Australia","211431",0.789473684210526
"72",71,546,421,1960,"Australia","211431",0.771062271062271
"73",72,491,421,1960,"Australia","211431",0.857433808553971
"74",73,448,378,1960,"Australia","211431",0.84375
"75",74,452,374,1960,"Australia","211431",0.827433628318584
"76",75,401,304,1960,"Australia","211431",0.758104738154613
"77",76,379,299,1960,"Australia","211431",0.788918205804749
"78",77,305,236,1960,"Australia","211431",0.773770491803279
"79",78,334,282,1960,"Australia","211431",0.844311377245509
"80",79,252,214,1960,"Australia","211431",0.849206349206349
"81",80,248,205,1960,"Australia","211431",0.826612903225806
"82",81,210,178,1960,"Australia","211431",0.847619047619048
"83",82,185,158,1960,"Australia","211431",0.854054054054054
"84",83,149,123,1960,"Australia","211431",0.825503355704698
"85",84,152,126,1960,"Australia","211431",0.828947368421053
"86",85,93,79,1960,"Australia","211431",0.849462365591398
"87",86,105,91,1960,"Australia","211431",0.866666666666667
"88",87,64,52,1960,"Australia","211431",0.8125
"89",88,82,64,1960,"Australia","211431",0.780487804878049
"90",89,48,37,1960,"Australia","211431",0.770833333333333
"91",90,23,18,1960,"Australia","211431",0.782608695652174
"92",91,29,22,1960,"Australia","211431",0.758620689655172
"93",92,17,16,1960,"Australia","211431",0.941176470588235
"94",93,13,12,1960,"Australia","211431",0.923076923076923
"95",94,13,11,1960,"Australia","211431",0.846153846153846
"96",95,4,3,1960,"Australia","211431",0.75
"97",96,4,3,1960,"Australia","211431",0.75
"98",97,5,5,1960,"Australia","211431",1
"99",98,5,5,1960,"Australia","211431",1
"100",0,2201,0,1965,"Australia","211431",0
"101",1,2157,0,1965,"Australia","211431",0
"102",2,2181,0,1965,"Australia","211431",0
"103",3,2109,0,1965,"Australia","211431",0
"104",4,2189,0,1965,"Australia","211431",0
"105",5,2152,0,1965,"Australia","211431",0
"106",6,2219,0,1965,"Australia","211431",0
"107",7,2094,0,1965,"Australia","211431",0
"108",8,2144,0,1965,"Australia","211431",0
"109",9,1989,0,1965,"Australia","211431",0
