"","age","pop","gp","year","country","seed","share"
"1",0,1718,0,1960,"Azerbaijan","168480",0
"2",1,1670,0,1960,"Azerbaijan","168480",0
"3",2,1634,0,1960,"Azerbaijan","168480",0
"4",3,1501,0,1960,"Azerbaijan","168480",0
"5",4,1499,0,1960,"Azerbaijan","168480",0
"6",5,1472,0,1960,"Azerbaijan","168480",0
"7",6,1344,0,1960,"Azerbaijan","168480",0
"8",7,1285,0,1960,"Azerbaijan","168480",0
"9",8,1252,0,1960,"Azerbaijan","168480",0
"10",9,1189,0,1960,"Azerbaijan","168480",0
"11",10,1374,0,1960,"Azerbaijan","168480",0
"12",11,1360,0,1960,"Azerbaijan","168480",0
"13",12,1265,0,1960,"Azerbaijan","168480",0
"14",13,1349,0,1960,"Azerbaijan","168480",0
"15",14,1226,0,1960,"Azerbaijan","168480",0
"16",15,1197,0,1960,"Azerbaijan","168480",0
"17",16,1233,0,1960,"Azerbaijan","168480",0
"18",17,1129,0,1960,"Azerbaijan","168480",0
"19",18,1181,0,1960,"Azerbaijan","168480",0
"20",19,1101,0,1960,"Azerbaijan","168480",0
"21",20,1037,0,1960,"Azerbaijan","168480",0
"22",21,1032,0,1960,"Azerbaijan","168480",0
"23",22,1020,0,1960,"Azerbaijan","168480",0
"24",23,970,0,1960,"Azerbaijan","168480",0
"25",24,982,0,1960,"Azerbaijan","168480",0
"26",25,953,0,1960,"Azerbaijan","168480",0
"27",26,921,0,1960,"Azerbaijan","168480",0
"28",27,853,0,1960,"Azerbaijan","168480",0
"29",28,884,0,1960,"Azerbaijan","168480",0
"30",29,887,0,1960,"Azerbaijan","168480",0
"31",30,868,1,1960,"Azerbaijan","168480",0.00115207373271889
"32",31,802,3,1960,"Azerbaijan","168480",0.00374064837905237
"33",32,854,3,1960,"Azerbaijan","168480",0.00351288056206089
"34",33,789,7,1960,"Azerbaijan","168480",0.00887198986058302
"35",34,747,11,1960,"Azerbaijan","168480",0.0147255689424364
"36",35,791,27,1960,"Azerbaijan","168480",0.034134007585335
"37",36,719,26,1960,"Azerbaijan","168480",0.0361613351877608
"38",37,709,45,1960,"Azerbaijan","168480",0.0634696755994358
"39",38,731,72,1960,"Azerbaijan","168480",0.0984952120383037
"40",39,712,83,1960,"Azerbaijan","168480",0.116573033707865
"41",40,633,98,1960,"Azerbaijan","168480",0.154818325434439
"42",41,630,143,1960,"Azerbaijan","168480",0.226984126984127
"43",42,604,168,1960,"Azerbaijan","168480",0.278145695364238
"44",43,598,190,1960,"Azerbaijan","168480",0.317725752508361
"45",44,593,193,1960,"Azerbaijan","168480",0.325463743676223
"46",45,572,223,1960,"Azerbaijan","168480",0.38986013986014
"47",46,589,287,1960,"Azerbaijan","168480",0.487266553480475
"48",47,542,281,1960,"Azerbaijan","168480",0.518450184501845
"49",48,513,285,1960,"Azerbaijan","168480",0.555555555555556
"50",49,551,318,1960,"Azerbaijan","168480",0.577132486388385
"51",50,494,322,1960,"Azerbaijan","168480",0.651821862348178
"52",51,474,322,1960,"Azerbaijan","168480",0.679324894514768
"53",52,435,303,1960,"Azerbaijan","168480",0.696551724137931
"54",53,492,366,1960,"Azerbaijan","168480",0.74390243902439
"55",54,459,358,1960,"Azerbaijan","168480",0.779956427015251
"56",55,453,356,1960,"Azerbaijan","168480",0.785871964679912
"57",56,405,320,1960,"Azerbaijan","168480",0.790123456790123
"58",57,417,351,1960,"Azerbaijan","168480",0.841726618705036
"59",58,425,352,1960,"Azerbaijan","168480",0.828235294117647
"60",59,374,313,1960,"Azerbaijan","168480",0.836898395721925
"61",60,382,332,1960,"Azerbaijan","168480",0.869109947643979
"62",61,339,294,1960,"Azerbaijan","168480",0.867256637168142
"63",62,325,284,1960,"Azerbaijan","168480",0.873846153846154
"64",63,315,281,1960,"Azerbaijan","168480",0.892063492063492
"65",64,308,272,1960,"Azerbaijan","168480",0.883116883116883
"66",65,313,261,1960,"Azerbaijan","168480",0.833865814696486
"67",66,266,231,1960,"Azerbaijan","168480",0.868421052631579
"68",67,259,227,1960,"Azerbaijan","168480",0.876447876447876
"69",68,258,231,1960,"Azerbaijan","168480",0.895348837209302
"70",69,219,187,1960,"Azerbaijan","168480",0.853881278538813
"71",70,223,194,1960,"Azerbaijan","168480",0.869955156950673
"72",71,195,174,1960,"Azerbaijan","168480",0.892307692307692
"73",72,175,159,1960,"Azerbaijan","168480",0.908571428571429
"74",73,162,152,1960,"Azerbaijan","168480",0.938271604938272
"75",74,170,151,1960,"Azerbaijan","168480",0.888235294117647
"76",75,138,120,1960,"Azerbaijan","168480",0.869565217391304
"77",76,108,95,1960,"Azerbaijan","168480",0.87962962962963
"78",77,100,93,1960,"Azerbaijan","168480",0.93
"79",78,115,101,1960,"Azerbaijan","168480",0.878260869565217
"80",79,68,62,1960,"Azerbaijan","168480",0.911764705882353
"81",80,77,69,1960,"Azerbaijan","168480",0.896103896103896
"82",81,71,60,1960,"Azerbaijan","168480",0.845070422535211
"83",82,57,52,1960,"Azerbaijan","168480",0.912280701754386
"84",83,49,42,1960,"Azerbaijan","168480",0.857142857142857
"85",84,35,28,1960,"Azerbaijan","168480",0.8
"86",85,28,23,1960,"Azerbaijan","168480",0.821428571428571
"87",86,20,18,1960,"Azerbaijan","168480",0.9
"88",87,22,19,1960,"Azerbaijan","168480",0.863636363636364
"89",88,12,10,1960,"Azerbaijan","168480",0.833333333333333
"90",89,11,11,1960,"Azerbaijan","168480",1
"91",90,9,9,1960,"Azerbaijan","168480",1
"92",91,6,6,1960,"Azerbaijan","168480",1
"93",92,7,7,1960,"Azerbaijan","168480",1
"94",93,1,1,1960,"Azerbaijan","168480",1
"95",94,4,2,1960,"Azerbaijan","168480",0.5
"96",95,3,2,1960,"Azerbaijan","168480",0.666666666666667
"97",0,2207,0,1965,"Azerbaijan","168480",0
"98",1,1969,0,1965,"Azerbaijan","168480",0
"99",2,1958,0,1965,"Azerbaijan","168480",0
"100",3,1917,0,1965,"Azerbaijan","168480",0
"101",4,1741,0,1965,"Azerbaijan","168480",0
"102",5,1573,0,1965,"Azerbaijan","168480",0
"103",6,1604,0,1965,"Azerbaijan","168480",0
"104",7,1600,0,1965,"Azerbaijan","168480",0
"105",8,1471,0,1965,"Azerbaijan","168480",0
"106",9,1479,0,1965,"Azerbaijan","168480",0
"107",10,1461,0,1965,"Azerbaijan","168480",0
"108",11,1338,0,1965,"Azerbaijan","168480",0
"109",12,1280,0,1965,"Azerbaijan","168480",0
"110",13,1244,0,1965,"Azerbaijan","168480",0
"111",14,1184,0,1965,"Azerbaijan","168480",0
"112",15,1367,0,1965,"Azerbaijan","168480",0
"113",16,1357,0,1965,"Azerbaijan","168480",0
"114",17,1264,0,1965,"Azerbaijan","168480",0
"115",18,1341,0,1965,"Azerbaijan","168480",0
"116",19,1219,0,1965,"Azerbaijan","168480",0
"117",20,1192,0,1965,"Azerbaijan","168480",0
"118",21,1223,0,1965,"Azerbaijan","168480",0
"119",22,1122,0,1965,"Azerbaijan","168480",0
"120",23,1166,0,1965,"Azerbaijan","168480",0
"121",24,1085,0,1965,"Azerbaijan","168480",0
"122",25,1034,0,1965,"Azerbaijan","168480",0
"123",26,1025,0,1965,"Azerbaijan","168480",0
"124",27,1011,0,1965,"Azerbaijan","168480",0
"125",28,961,0,1965,"Azerbaijan","168480",0
"126",29,972,1,1965,"Azerbaijan","168480",0.00102880658436214
"127",30,946,0,1965,"Azerbaijan","168480",0
"128",31,913,2,1965,"Azerbaijan","168480",0.00219058050383352
"129",32,849,4,1965,"Azerbaijan","168480",0.00471142520612485
"130",33,877,12,1965,"Azerbaijan","168480",0.0136830102622577
"131",34,881,9,1965,"Azerbaijan","168480",0.0102156640181612
"132",35,858,22,1965,"Azerbaijan","168480",0.0256410256410256
"133",36,797,36,1965,"Azerbaijan","168480",0.0451693851944793
"134",37,849,48,1965,"Azerbaijan","168480",0.0565371024734982
"135",38,778,76,1965,"Azerbaijan","168480",0.0976863753213368
"136",39,734,84,1965,"Azerbaijan","168480",0.114441416893733
