"","age","pop","gp","year","country","seed","share"
"1",0,2786,0,1990,"Bahamas","261075",0
"2",1,2714,0,1990,"Bahamas","261075",0
"3",2,2687,0,1990,"Bahamas","261075",0
"4",3,2615,0,1990,"Bahamas","261075",0
"5",4,2634,0,1990,"Bahamas","261075",0
"6",5,2880,0,1990,"Bahamas","261075",0
"7",6,2873,0,1990,"Bahamas","261075",0
"8",7,2877,0,1990,"Bahamas","261075",0
"9",8,2694,0,1990,"Bahamas","261075",0
"10",9,2810,0,1990,"Bahamas","261075",0
"11",10,2640,0,1990,"Bahamas","261075",0
"12",11,2493,0,1990,"Bahamas","261075",0
"13",12,2460,0,1990,"Bahamas","261075",0
"14",13,2414,0,1990,"Bahamas","261075",0
"15",14,2458,0,1990,"Bahamas","261075",0
"16",15,2791,0,1990,"Bahamas","261075",0
"17",16,2645,0,1990,"Bahamas","261075",0
"18",17,2645,0,1990,"Bahamas","261075",0
"19",18,2564,0,1990,"Bahamas","261075",0
"20",19,2540,0,1990,"Bahamas","261075",0
"21",20,2596,0,1990,"Bahamas","261075",0
"22",21,2496,0,1990,"Bahamas","261075",0
"23",22,2510,0,1990,"Bahamas","261075",0
"24",23,2466,0,1990,"Bahamas","261075",0
"25",24,2379,1,1990,"Bahamas","261075",0.000420344682639765
"26",25,2840,1,1990,"Bahamas","261075",0.000352112676056338
"27",26,2800,3,1990,"Bahamas","261075",0.00107142857142857
"28",27,2732,0,1990,"Bahamas","261075",0
"29",28,2739,1,1990,"Bahamas","261075",0.000365096750638919
"30",29,2554,5,1990,"Bahamas","261075",0.00195771339075959
"31",30,2415,13,1990,"Bahamas","261075",0.00538302277432712
"32",31,2391,13,1990,"Bahamas","261075",0.0054370556252614
"33",32,2323,31,1990,"Bahamas","261075",0.0133448127421438
"34",33,2301,68,1990,"Bahamas","261075",0.0295523685354194
"35",34,2128,83,1990,"Bahamas","261075",0.0390037593984962
"36",35,2013,100,1990,"Bahamas","261075",0.0496770988574267
"37",36,2013,144,1990,"Bahamas","261075",0.0715350223546945
"38",37,1898,174,1990,"Bahamas","261075",0.0916754478398314
"39",38,1820,282,1990,"Bahamas","261075",0.154945054945055
"40",39,1820,307,1990,"Bahamas","261075",0.168681318681319
"41",40,2007,402,1990,"Bahamas","261075",0.200298953662182
"42",41,1965,495,1990,"Bahamas","261075",0.251908396946565
"43",42,1917,613,1990,"Bahamas","261075",0.319770474700052
"44",43,1899,681,1990,"Bahamas","261075",0.358609794628752
"45",44,1855,797,1990,"Bahamas","261075",0.429649595687332
"46",45,1786,787,1990,"Bahamas","261075",0.440649496080627
"47",46,1723,862,1990,"Bahamas","261075",0.500290191526407
"48",47,1769,949,1990,"Bahamas","261075",0.536461277557942
"49",48,1632,923,1990,"Bahamas","261075",0.565563725490196
"50",49,1613,962,1990,"Bahamas","261075",0.596404215747055
"51",50,1528,966,1990,"Bahamas","261075",0.632198952879581
"52",51,1553,1036,1990,"Bahamas","261075",0.66709594333548
"53",52,1549,1047,1990,"Bahamas","261075",0.675919948353777
"54",53,1427,1047,1990,"Bahamas","261075",0.733707077785564
"55",54,1399,994,1990,"Bahamas","261075",0.710507505360972
"56",55,1332,980,1990,"Bahamas","261075",0.735735735735736
"57",56,1280,960,1990,"Bahamas","261075",0.75
"58",57,1221,946,1990,"Bahamas","261075",0.774774774774775
"59",58,1213,951,1990,"Bahamas","261075",0.784006595218467
"60",59,1171,888,1990,"Bahamas","261075",0.758326216908625
"61",60,1145,903,1990,"Bahamas","261075",0.788646288209607
"62",61,1029,814,1990,"Bahamas","261075",0.791059280855199
"63",62,1009,784,1990,"Bahamas","261075",0.777006937561943
"64",63,981,785,1990,"Bahamas","261075",0.800203873598369
"65",64,974,759,1990,"Bahamas","261075",0.779260780287474
"66",65,869,716,1990,"Bahamas","261075",0.823935558112773
"67",66,841,690,1990,"Bahamas","261075",0.820451843043995
"68",67,829,692,1990,"Bahamas","261075",0.834740651387214
"69",68,730,595,1990,"Bahamas","261075",0.815068493150685
"70",69,734,628,1990,"Bahamas","261075",0.85558583106267
"71",70,646,553,1990,"Bahamas","261075",0.856037151702786
"72",71,616,533,1990,"Bahamas","261075",0.86525974025974
"73",72,601,512,1990,"Bahamas","261075",0.851913477537438
"74",73,540,446,1990,"Bahamas","261075",0.825925925925926
"75",74,510,431,1990,"Bahamas","261075",0.845098039215686
"76",75,470,403,1990,"Bahamas","261075",0.857446808510638
"77",76,449,377,1990,"Bahamas","261075",0.839643652561247
"78",77,372,310,1990,"Bahamas","261075",0.833333333333333
"79",78,363,313,1990,"Bahamas","261075",0.862258953168044
"80",79,289,254,1990,"Bahamas","261075",0.878892733564014
"81",80,286,254,1990,"Bahamas","261075",0.888111888111888
"82",81,244,209,1990,"Bahamas","261075",0.85655737704918
"83",82,224,190,1990,"Bahamas","261075",0.848214285714286
"84",83,170,151,1990,"Bahamas","261075",0.888235294117647
"85",84,157,142,1990,"Bahamas","261075",0.904458598726115
"86",85,127,108,1990,"Bahamas","261075",0.850393700787402
"87",86,108,93,1990,"Bahamas","261075",0.861111111111111
"88",87,68,61,1990,"Bahamas","261075",0.897058823529412
"89",88,70,60,1990,"Bahamas","261075",0.857142857142857
"90",89,46,41,1990,"Bahamas","261075",0.891304347826087
"91",90,43,32,1990,"Bahamas","261075",0.744186046511628
"92",91,31,29,1990,"Bahamas","261075",0.935483870967742
"93",92,16,13,1990,"Bahamas","261075",0.8125
"94",93,24,23,1990,"Bahamas","261075",0.958333333333333
"95",94,7,5,1990,"Bahamas","261075",0.714285714285714
"96",95,9,9,1990,"Bahamas","261075",1
"97",96,4,4,1990,"Bahamas","261075",1
"98",97,2,2,1990,"Bahamas","261075",1
"99",0,2796,0,1995,"Bahamas","261075",0
"100",1,2711,0,1995,"Bahamas","261075",0
"101",2,2784,0,1995,"Bahamas","261075",0
"102",3,2775,0,1995,"Bahamas","261075",0
"103",4,2598,0,1995,"Bahamas","261075",0
"104",5,2754,0,1995,"Bahamas","261075",0
