"","age","pop","gp","year","country","seed","share"
"1",0,370,0,1960,"Bahrain","110630",0
"2",1,329,0,1960,"Bahrain","110630",0
"3",2,312,0,1960,"Bahrain","110630",0
"4",3,299,0,1960,"Bahrain","110630",0
"5",4,239,0,1960,"Bahrain","110630",0
"6",5,271,0,1960,"Bahrain","110630",0
"7",6,258,0,1960,"Bahrain","110630",0
"8",7,242,0,1960,"Bahrain","110630",0
"9",8,220,0,1960,"Bahrain","110630",0
"10",9,206,0,1960,"Bahrain","110630",0
"11",10,184,0,1960,"Bahrain","110630",0
"12",11,193,0,1960,"Bahrain","110630",0
"13",12,198,0,1960,"Bahrain","110630",0
"14",13,191,0,1960,"Bahrain","110630",0
"15",14,200,0,1960,"Bahrain","110630",0
"16",15,169,0,1960,"Bahrain","110630",0
"17",16,166,0,1960,"Bahrain","110630",0
"18",17,155,0,1960,"Bahrain","110630",0
"19",18,166,0,1960,"Bahrain","110630",0
"20",19,149,0,1960,"Bahrain","110630",0
"21",20,138,0,1960,"Bahrain","110630",0
"22",21,138,0,1960,"Bahrain","110630",0
"23",22,144,0,1960,"Bahrain","110630",0
"24",23,136,1,1960,"Bahrain","110630",0.00735294117647059
"25",24,122,1,1960,"Bahrain","110630",0.00819672131147541
"26",25,133,2,1960,"Bahrain","110630",0.0150375939849624
"27",26,110,0,1960,"Bahrain","110630",0
"28",27,92,0,1960,"Bahrain","110630",0
"29",28,113,0,1960,"Bahrain","110630",0
"30",29,113,0,1960,"Bahrain","110630",0
"31",30,92,0,1960,"Bahrain","110630",0
"32",31,108,1,1960,"Bahrain","110630",0.00925925925925926
"33",32,95,1,1960,"Bahrain","110630",0.0105263157894737
"34",33,93,3,1960,"Bahrain","110630",0.032258064516129
"35",34,95,0,1960,"Bahrain","110630",0
"36",35,97,3,1960,"Bahrain","110630",0.0309278350515464
"37",36,82,6,1960,"Bahrain","110630",0.0731707317073171
"38",37,78,5,1960,"Bahrain","110630",0.0641025641025641
"39",38,88,17,1960,"Bahrain","110630",0.193181818181818
"40",39,69,7,1960,"Bahrain","110630",0.101449275362319
"41",40,77,23,1960,"Bahrain","110630",0.298701298701299
"42",41,75,30,1960,"Bahrain","110630",0.4
"43",42,77,41,1960,"Bahrain","110630",0.532467532467532
"44",43,67,37,1960,"Bahrain","110630",0.552238805970149
"45",44,74,52,1960,"Bahrain","110630",0.702702702702703
"46",45,60,38,1960,"Bahrain","110630",0.633333333333333
"47",46,61,47,1960,"Bahrain","110630",0.770491803278688
"48",47,54,49,1960,"Bahrain","110630",0.907407407407407
"49",48,59,49,1960,"Bahrain","110630",0.830508474576271
"50",49,61,50,1960,"Bahrain","110630",0.819672131147541
"51",50,38,34,1960,"Bahrain","110630",0.894736842105263
"52",51,44,34,1960,"Bahrain","110630",0.772727272727273
"53",52,43,40,1960,"Bahrain","110630",0.930232558139535
"54",53,45,38,1960,"Bahrain","110630",0.844444444444444
"55",54,43,37,1960,"Bahrain","110630",0.86046511627907
"56",55,37,34,1960,"Bahrain","110630",0.918918918918919
"57",56,31,31,1960,"Bahrain","110630",1
"58",57,41,41,1960,"Bahrain","110630",1
"59",58,28,25,1960,"Bahrain","110630",0.892857142857143
"60",59,32,29,1960,"Bahrain","110630",0.90625
"61",60,22,20,1960,"Bahrain","110630",0.909090909090909
"62",61,26,24,1960,"Bahrain","110630",0.923076923076923
"63",62,27,27,1960,"Bahrain","110630",1
"64",63,29,27,1960,"Bahrain","110630",0.931034482758621
"65",64,27,26,1960,"Bahrain","110630",0.962962962962963
"66",65,16,16,1960,"Bahrain","110630",1
"67",66,15,15,1960,"Bahrain","110630",1
"68",67,27,26,1960,"Bahrain","110630",0.962962962962963
"69",68,10,10,1960,"Bahrain","110630",1
"70",69,19,18,1960,"Bahrain","110630",0.947368421052632
"71",70,15,15,1960,"Bahrain","110630",1
"72",71,12,11,1960,"Bahrain","110630",0.916666666666667
"73",72,8,7,1960,"Bahrain","110630",0.875
"74",73,13,12,1960,"Bahrain","110630",0.923076923076923
"75",74,12,10,1960,"Bahrain","110630",0.833333333333333
"76",75,9,9,1960,"Bahrain","110630",1
"77",76,10,10,1960,"Bahrain","110630",1
"78",77,7,6,1960,"Bahrain","110630",0.857142857142857
"79",78,5,4,1960,"Bahrain","110630",0.8
"80",79,2,2,1960,"Bahrain","110630",1
"81",80,5,5,1960,"Bahrain","110630",1
"82",81,9,9,1960,"Bahrain","110630",1
"83",82,3,3,1960,"Bahrain","110630",1
"84",83,1,1,1960,"Bahrain","110630",1
"85",84,1,1,1960,"Bahrain","110630",1
"86",85,1,1,1960,"Bahrain","110630",1
"87",87,2,2,1960,"Bahrain","110630",1
"88",88,1,1,1960,"Bahrain","110630",1
"89",92,1,1,1960,"Bahrain","110630",1
"90",0,434,0,1965,"Bahrain","110630",0
"91",1,370,0,1965,"Bahrain","110630",0
"92",2,374,0,1965,"Bahrain","110630",0
"93",3,347,0,1965,"Bahrain","110630",0
"94",4,344,0,1965,"Bahrain","110630",0
"95",5,330,0,1965,"Bahrain","110630",0
"96",6,313,0,1965,"Bahrain","110630",0
"97",7,295,0,1965,"Bahrain","110630",0
"98",8,292,0,1965,"Bahrain","110630",0
"99",9,237,0,1965,"Bahrain","110630",0
"100",10,268,0,1965,"Bahrain","110630",0
"101",11,256,0,1965,"Bahrain","110630",0
"102",12,238,0,1965,"Bahrain","110630",0
"103",13,219,0,1965,"Bahrain","110630",0
"104",14,205,0,1965,"Bahrain","110630",0
"105",15,182,1,1965,"Bahrain","110630",0.0054945054945055
"106",16,193,0,1965,"Bahrain","110630",0
"107",17,197,0,1965,"Bahrain","110630",0
"108",18,189,0,1965,"Bahrain","110630",0
"109",19,198,0,1965,"Bahrain","110630",0
"110",20,167,1,1965,"Bahrain","110630",0.00598802395209581
"111",21,165,1,1965,"Bahrain","110630",0.00606060606060606
"112",22,153,0,1965,"Bahrain","110630",0
"113",23,164,0,1965,"Bahrain","110630",0
"114",24,146,0,1965,"Bahrain","110630",0
"115",25,136,1,1965,"Bahrain","110630",0.00735294117647059
"116",26,136,0,1965,"Bahrain","110630",0
"117",27,142,0,1965,"Bahrain","110630",0
"118",28,132,1,1965,"Bahrain","110630",0.00757575757575758
"119",29,119,1,1965,"Bahrain","110630",0.00840336134453781
"120",30,133,2,1965,"Bahrain","110630",0.0150375939849624
"121",31,108,0,1965,"Bahrain","110630",0
"122",32,92,0,1965,"Bahrain","110630",0
"123",33,109,0,1965,"Bahrain","110630",0
"124",34,111,1,1965,"Bahrain","110630",0.00900900900900901
"125",35,90,2,1965,"Bahrain","110630",0.0222222222222222
"126",36,105,8,1965,"Bahrain","110630",0.0761904761904762
"127",37,93,11,1965,"Bahrain","110630",0.118279569892473
"128",38,91,16,1965,"Bahrain","110630",0.175824175824176
"129",39,93,15,1965,"Bahrain","110630",0.161290322580645
"130",40,95,31,1965,"Bahrain","110630",0.326315789473684
"131",41,81,37,1965,"Bahrain","110630",0.45679012345679
"132",42,78,37,1965,"Bahrain","110630",0.474358974358974
"133",43,84,60,1965,"Bahrain","110630",0.714285714285714
"134",44,68,42,1965,"Bahrain","110630",0.61764705882353
"135",45,75,56,1965,"Bahrain","110630",0.746666666666667
"136",46,73,49,1965,"Bahrain","110630",0.671232876712329
"137",47,76,57,1965,"Bahrain","110630",0.75
"138",48,62,51,1965,"Bahrain","110630",0.82258064516129
"139",49,73,64,1965,"Bahrain","110630",0.876712328767123
"140",50,59,50,1965,"Bahrain","110630",0.847457627118644
"141",51,60,52,1965,"Bahrain","110630",0.866666666666667
"142",52,53,51,1965,"Bahrain","110630",0.962264150943396
"143",53,55,48,1965,"Bahrain","110630",0.872727272727273
"144",54,57,52,1965,"Bahrain","110630",0.912280701754386
"145",55,36,35,1965,"Bahrain","110630",0.972222222222222
"146",56,41,36,1965,"Bahrain","110630",0.878048780487805
"147",57,42,40,1965,"Bahrain","110630",0.952380952380952
"148",58,42,36,1965,"Bahrain","110630",0.857142857142857
"149",59,39,37,1965,"Bahrain","110630",0.948717948717949
"150",60,33,31,1965,"Bahrain","110630",0.93939393939394
"151",61,29,29,1965,"Bahrain","110630",1
"152",62,36,36,1965,"Bahrain","110630",1
"153",63,21,18,1965,"Bahrain","110630",0.857142857142857
