"","age","pop","gp","year","country","seed","share"
"1",0,421,0,1960,"Bangladesh","214246",0
"2",1,417,0,1960,"Bangladesh","214246",0
"3",2,372,0,1960,"Bangladesh","214246",0
"4",3,349,0,1960,"Bangladesh","214246",0
"5",4,360,0,1960,"Bangladesh","214246",0
"6",5,286,0,1960,"Bangladesh","214246",0
"7",6,281,0,1960,"Bangladesh","214246",0
"8",7,284,0,1960,"Bangladesh","214246",0
"9",8,261,0,1960,"Bangladesh","214246",0
"10",9,281,0,1960,"Bangladesh","214246",0
"11",10,253,0,1960,"Bangladesh","214246",0
"12",11,228,0,1960,"Bangladesh","214246",0
"13",12,229,0,1960,"Bangladesh","214246",0
"14",13,210,0,1960,"Bangladesh","214246",0
"15",14,225,0,1960,"Bangladesh","214246",0
"16",15,221,0,1960,"Bangladesh","214246",0
"17",16,197,0,1960,"Bangladesh","214246",0
"18",17,228,0,1960,"Bangladesh","214246",0
"19",18,208,0,1960,"Bangladesh","214246",0
"20",19,192,0,1960,"Bangladesh","214246",0
"21",20,190,0,1960,"Bangladesh","214246",0
"22",21,192,0,1960,"Bangladesh","214246",0
"23",22,169,0,1960,"Bangladesh","214246",0
"24",23,185,0,1960,"Bangladesh","214246",0
"25",24,159,0,1960,"Bangladesh","214246",0
"26",25,178,0,1960,"Bangladesh","214246",0
"27",26,178,0,1960,"Bangladesh","214246",0
"28",27,169,0,1960,"Bangladesh","214246",0
"29",28,153,1,1960,"Bangladesh","214246",0.0065359477124183
"30",29,151,1,1960,"Bangladesh","214246",0.00662251655629139
"31",30,153,5,1960,"Bangladesh","214246",0.0326797385620915
"32",31,148,5,1960,"Bangladesh","214246",0.0337837837837838
"33",32,127,6,1960,"Bangladesh","214246",0.047244094488189
"34",33,117,9,1960,"Bangladesh","214246",0.0769230769230769
"35",34,131,13,1960,"Bangladesh","214246",0.099236641221374
"36",35,119,19,1960,"Bangladesh","214246",0.159663865546218
"37",36,109,20,1960,"Bangladesh","214246",0.18348623853211
"38",37,141,33,1960,"Bangladesh","214246",0.234042553191489
"39",38,128,40,1960,"Bangladesh","214246",0.3125
"40",39,109,36,1960,"Bangladesh","214246",0.330275229357798
"41",40,110,48,1960,"Bangladesh","214246",0.436363636363636
"42",41,119,56,1960,"Bangladesh","214246",0.470588235294118
"43",42,107,61,1960,"Bangladesh","214246",0.570093457943925
"44",43,114,70,1960,"Bangladesh","214246",0.614035087719298
"45",44,119,74,1960,"Bangladesh","214246",0.621848739495798
"46",45,104,63,1960,"Bangladesh","214246",0.605769230769231
"47",46,96,66,1960,"Bangladesh","214246",0.6875
"48",47,99,60,1960,"Bangladesh","214246",0.606060606060606
"49",48,95,68,1960,"Bangladesh","214246",0.71578947368421
"50",49,85,65,1960,"Bangladesh","214246",0.764705882352941
"51",50,88,62,1960,"Bangladesh","214246",0.704545454545455
"52",51,66,45,1960,"Bangladesh","214246",0.681818181818182
"53",52,74,56,1960,"Bangladesh","214246",0.756756756756757
"54",53,65,50,1960,"Bangladesh","214246",0.769230769230769
"55",54,70,48,1960,"Bangladesh","214246",0.685714285714286
"56",55,65,52,1960,"Bangladesh","214246",0.8
"57",56,64,59,1960,"Bangladesh","214246",0.921875
"58",57,65,52,1960,"Bangladesh","214246",0.8
"59",58,51,43,1960,"Bangladesh","214246",0.843137254901961
"60",59,63,51,1960,"Bangladesh","214246",0.80952380952381
"61",60,62,57,1960,"Bangladesh","214246",0.919354838709677
"62",61,71,67,1960,"Bangladesh","214246",0.943661971830986
"63",62,49,35,1960,"Bangladesh","214246",0.714285714285714
"64",63,50,43,1960,"Bangladesh","214246",0.86
"65",64,45,41,1960,"Bangladesh","214246",0.911111111111111
"66",65,45,40,1960,"Bangladesh","214246",0.888888888888889
"67",66,38,36,1960,"Bangladesh","214246",0.947368421052632
"68",67,35,31,1960,"Bangladesh","214246",0.885714285714286
"69",68,27,23,1960,"Bangladesh","214246",0.851851851851852
"70",69,29,26,1960,"Bangladesh","214246",0.896551724137931
"71",70,28,25,1960,"Bangladesh","214246",0.892857142857143
"72",71,26,23,1960,"Bangladesh","214246",0.884615384615385
"73",72,16,13,1960,"Bangladesh","214246",0.8125
"74",73,16,15,1960,"Bangladesh","214246",0.9375
"75",74,17,16,1960,"Bangladesh","214246",0.941176470588235
"76",75,16,14,1960,"Bangladesh","214246",0.875
"77",76,8,7,1960,"Bangladesh","214246",0.875
"78",77,5,5,1960,"Bangladesh","214246",1
"79",78,8,6,1960,"Bangladesh","214246",0.75
