"","age","pop","gp","year","country","seed","share"
"1",0,1739,0,1960,"Barbados","131586",0
"2",1,1644,0,1960,"Barbados","131586",0
"3",2,1569,0,1960,"Barbados","131586",0
"4",3,1557,0,1960,"Barbados","131586",0
"5",4,1461,0,1960,"Barbados","131586",0
"6",5,1495,0,1960,"Barbados","131586",0
"7",6,1388,0,1960,"Barbados","131586",0
"8",7,1375,0,1960,"Barbados","131586",0
"9",8,1295,0,1960,"Barbados","131586",0
"10",9,1323,0,1960,"Barbados","131586",0
"11",10,1425,0,1960,"Barbados","131586",0
"12",11,1417,0,1960,"Barbados","131586",0
"13",12,1360,0,1960,"Barbados","131586",0
"14",13,1397,0,1960,"Barbados","131586",0
"15",14,1338,0,1960,"Barbados","131586",0
"16",15,1300,0,1960,"Barbados","131586",0
"17",16,1322,0,1960,"Barbados","131586",0
"18",17,1248,0,1960,"Barbados","131586",0
"19",18,1217,0,1960,"Barbados","131586",0
"20",19,1205,0,1960,"Barbados","131586",0
"21",20,1152,0,1960,"Barbados","131586",0
"22",21,1139,0,1960,"Barbados","131586",0
"23",22,1120,0,1960,"Barbados","131586",0
"24",23,1095,0,1960,"Barbados","131586",0
"25",24,1085,0,1960,"Barbados","131586",0
"26",25,1058,0,1960,"Barbados","131586",0
"27",26,1034,0,1960,"Barbados","131586",0
"28",27,1017,2,1960,"Barbados","131586",0.00196656833824975
"29",28,958,3,1960,"Barbados","131586",0.00313152400835073
"30",29,992,6,1960,"Barbados","131586",0.00604838709677419
"31",30,955,10,1960,"Barbados","131586",0.0104712041884817
"32",31,924,12,1960,"Barbados","131586",0.012987012987013
"33",32,880,36,1960,"Barbados","131586",0.0409090909090909
"34",33,883,41,1960,"Barbados","131586",0.0464326160815402
"35",34,901,64,1960,"Barbados","131586",0.0710321864594895
"36",35,870,102,1960,"Barbados","131586",0.117241379310345
"37",36,869,125,1960,"Barbados","131586",0.143843498273878
"38",37,839,150,1960,"Barbados","131586",0.178784266984505
"39",38,796,178,1960,"Barbados","131586",0.223618090452261
"40",39,802,216,1960,"Barbados","131586",0.269326683291771
"41",40,771,250,1960,"Barbados","131586",0.324254215304799
"42",41,782,318,1960,"Barbados","131586",0.406649616368286
"43",42,693,301,1960,"Barbados","131586",0.434343434343434
"44",43,727,366,1960,"Barbados","131586",0.50343878954608
"45",44,669,330,1960,"Barbados","131586",0.493273542600897
"46",45,667,390,1960,"Barbados","131586",0.584707646176912
"47",46,681,418,1960,"Barbados","131586",0.613803230543319
"48",47,636,431,1960,"Barbados","131586",0.677672955974843
"49",48,606,398,1960,"Barbados","131586",0.656765676567657
"50",49,620,440,1960,"Barbados","131586",0.709677419354839
"51",50,591,416,1960,"Barbados","131586",0.703891708967851
"52",51,547,396,1960,"Barbados","131586",0.723948811700183
"53",52,600,438,1960,"Barbados","131586",0.73
"54",53,573,416,1960,"Barbados","131586",0.726003490401396
"55",54,509,425,1960,"Barbados","131586",0.834970530451866
"56",55,474,392,1960,"Barbados","131586",0.827004219409283
"57",56,517,433,1960,"Barbados","131586",0.83752417794971
"58",57,470,409,1960,"Barbados","131586",0.870212765957447
"59",58,515,423,1960,"Barbados","131586",0.821359223300971
"60",59,454,385,1960,"Barbados","131586",0.848017621145374
"61",60,469,393,1960,"Barbados","131586",0.837953091684435
"62",61,434,365,1960,"Barbados","131586",0.841013824884793
"63",62,406,345,1960,"Barbados","131586",0.849753694581281
"64",63,392,321,1960,"Barbados","131586",0.818877551020408
"65",64,382,326,1960,"Barbados","131586",0.853403141361257
"66",65,364,314,1960,"Barbados","131586",0.862637362637363
"67",66,335,289,1960,"Barbados","131586",0.862686567164179
"68",67,303,270,1960,"Barbados","131586",0.891089108910891
"69",68,305,270,1960,"Barbados","131586",0.885245901639344
"70",69,250,219,1960,"Barbados","131586",0.876
"71",70,264,238,1960,"Barbados","131586",0.901515151515151
"72",71,254,220,1960,"Barbados","131586",0.866141732283465
"73",72,215,182,1960,"Barbados","131586",0.846511627906977
"74",73,201,177,1960,"Barbados","131586",0.880597014925373
"75",74,174,149,1960,"Barbados","131586",0.85632183908046
"76",75,172,157,1960,"Barbados","131586",0.912790697674419
"77",76,168,151,1960,"Barbados","131586",0.898809523809524
"78",77,133,113,1960,"Barbados","131586",0.849624060150376
"79",78,117,108,1960,"Barbados","131586",0.923076923076923
"80",79,86,78,1960,"Barbados","131586",0.906976744186046
"81",80,86,78,1960,"Barbados","131586",0.906976744186046
"82",81,85,76,1960,"Barbados","131586",0.894117647058824
"83",82,60,51,1960,"Barbados","131586",0.85
"84",83,51,46,1960,"Barbados","131586",0.901960784313726
"85",84,49,42,1960,"Barbados","131586",0.857142857142857
"86",85,33,31,1960,"Barbados","131586",0.93939393939394
"87",86,33,30,1960,"Barbados","131586",0.909090909090909
"88",87,24,22,1960,"Barbados","131586",0.916666666666667
"89",88,13,11,1960,"Barbados","131586",0.846153846153846
"90",89,18,15,1960,"Barbados","131586",0.833333333333333
"91",90,10,8,1960,"Barbados","131586",0.8
"92",91,3,3,1960,"Barbados","131586",1
"93",92,2,1,1960,"Barbados","131586",0.5
"94",93,1,1,1960,"Barbados","131586",1
"95",94,1,0,1960,"Barbados","131586",0
"96",95,1,1,1960,"Barbados","131586",1
"97",96,2,0,1960,"Barbados","131586",0
"98",98,1,0,1960,"Barbados","131586",0
"99",0,1939,0,1965,"Barbados","131586",0
"100",1,1858,0,1965,"Barbados","131586",0
"101",2,1809,0,1965,"Barbados","131586",0
"102",3,1788,0,1965,"Barbados","131586",0
"103",4,1643,0,1965,"Barbados","131586",0
"104",5,1661,0,1965,"Barbados","131586",0
"105",6,1606,0,1965,"Barbados","131586",0
"106",7,1543,0,1965,"Barbados","131586",0
"107",8,1546,0,1965,"Barbados","131586",0
"108",9,1455,0,1965,"Barbados","131586",0
"109",10,1486,0,1965,"Barbados","131586",0
"110",11,1378,0,1965,"Barbados","131586",0
"111",12,1366,0,1965,"Barbados","131586",0
"112",13,1288,0,1965,"Barbados","131586",0
"113",14,1316,0,1965,"Barbados","131586",0
"114",15,1421,0,1965,"Barbados","131586",0
"115",16,1410,0,1965,"Barbados","131586",0
"116",17,1355,0,1965,"Barbados","131586",0
"117",18,1386,0,1965,"Barbados","131586",0
"118",19,1328,0,1965,"Barbados","131586",0
"119",20,1289,0,1965,"Barbados","131586",0
"120",21,1314,0,1965,"Barbados","131586",0
"121",22,1239,0,1965,"Barbados","131586",0
"122",23,1211,0,1965,"Barbados","131586",0
"123",24,1190,0,1965,"Barbados","131586",0
"124",25,1145,0,1965,"Barbados","131586",0
"125",26,1131,1,1965,"Barbados","131586",0.000884173297966401
"126",27,1115,1,1965,"Barbados","131586",0.000896860986547085
"127",28,1089,3,1965,"Barbados","131586",0.00275482093663912
"128",29,1071,8,1965,"Barbados","131586",0.00746965452847806
"129",30,1047,13,1965,"Barbados","131586",0.0124164278892073
"130",31,1022,20,1965,"Barbados","131586",0.0195694716242661
"131",32,1013,36,1965,"Barbados","131586",0.035538005923001
"132",33,950,51,1965,"Barbados","131586",0.0536842105263158
"133",34,986,73,1965,"Barbados","131586",0.0740365111561866
"134",35,950,105,1965,"Barbados","131586",0.110526315789474
"135",36,910,134,1965,"Barbados","131586",0.147252747252747
"136",37,866,198,1965,"Barbados","131586",0.228637413394919
"137",38,873,207,1965,"Barbados","131586",0.237113402061856
"138",39,880,232,1965,"Barbados","131586",0.263636363636364
"139",40,862,275,1965,"Barbados","131586",0.319025522041763
"140",41,859,325,1965,"Barbados","131586",0.378346915017462
"141",42,823,371,1965,"Barbados","131586",0.450789793438639
"142",43,783,357,1965,"Barbados","131586",0.455938697318008
"143",44,794,402,1965,"Barbados","131586",0.506297229219144
"144",45,755,418,1965,"Barbados","131586",0.55364238410596
"145",46,765,476,1965,"Barbados","131586",0.622222222222222
"146",47,681,426,1965,"Barbados","131586",0.625550660792952
"147",48,712,494,1965,"Barbados","131586",0.693820224719101
"148",49,654,453,1965,"Barbados","131586",0.692660550458716
"149",50,654,484,1965,"Barbados","131586",0.740061162079511
"150",51,661,501,1965,"Barbados","131586",0.757942511346445
"151",52,612,476,1965,"Barbados","131586",0.777777777777778
"152",53,590,462,1965,"Barbados","131586",0.783050847457627
"153",54,594,486,1965,"Barbados","131586",0.818181818181818
"154",55,572,448,1965,"Barbados","131586",0.783216783216783
"155",56,517,408,1965,"Barbados","131586",0.789168278529981
"156",57,565,446,1965,"Barbados","131586",0.789380530973451
"157",58,540,418,1965,"Barbados","131586",0.774074074074074
"158",59,475,423,1965,"Barbados","131586",0.890526315789474
"159",60,438,380,1965,"Barbados","131586",0.867579908675799
"160",61,470,405,1965,"Barbados","131586",0.861702127659574
"161",62,445,404,1965,"Barbados","131586",0.907865168539326
"162",63,461,388,1965,"Barbados","131586",0.841648590021692
"163",64,418,366,1965,"Barbados","131586",0.875598086124402
"164",65,418,363,1965,"Barbados","131586",0.868421052631579
"165",66,392,334,1965,"Barbados","131586",0.852040816326531
"166",67,351,303,1965,"Barbados","131586",0.863247863247863
"167",68,330,276,1965,"Barbados","131586",0.836363636363636
"168",69,326,283,1965,"Barbados","131586",0.868098159509202
"169",70,298,262,1965,"Barbados","131586",0.879194630872483
"170",71,267,230,1965,"Barbados","131586",0.861423220973783
"171",72,239,216,1965,"Barbados","131586",0.903765690376569
"172",73,232,208,1965,"Barbados","131586",0.896551724137931
"173",74,186,163,1965,"Barbados","131586",0.876344086021505
"174",75,200,179,1965,"Barbados","131586",0.895
"175",76,172,146,1965,"Barbados","131586",0.848837209302326
"176",77,154,132,1965,"Barbados","131586",0.857142857142857
"177",78,123,107,1965,"Barbados","131586",0.869918699186992
"178",79,118,105,1965,"Barbados","131586",0.889830508474576
"179",80,112,102,1965,"Barbados","131586",0.910714285714286
"180",81,102,91,1965,"Barbados","131586",0.892156862745098
"181",82,74,59,1965,"Barbados","131586",0.797297297297297
"182",83,65,62,1965,"Barbados","131586",0.953846153846154
"183",84,44,39,1965,"Barbados","131586",0.886363636363636
"184",85,38,32,1965,"Barbados","131586",0.842105263157895
"185",86,34,28,1965,"Barbados","131586",0.823529411764706
"186",87,21,19,1965,"Barbados","131586",0.904761904761905
"187",88,23,22,1965,"Barbados","131586",0.956521739130435
"188",89,16,14,1965,"Barbados","131586",0.875
"189",90,11,11,1965,"Barbados","131586",1
"190",91,10,9,1965,"Barbados","131586",0.9
"191",92,10,9,1965,"Barbados","131586",0.9
"192",93,5,4,1965,"Barbados","131586",0.8
"193",94,4,3,1965,"Barbados","131586",0.75
"194",95,1,0,1965,"Barbados","131586",0
"195",0,1819,0,1970,"Barbados","131586",0
"196",1,1815,0,1970,"Barbados","131586",0
"197",2,1662,0,1970,"Barbados","131586",0
"198",3,1667,0,1970,"Barbados","131586",0
"199",4,1671,0,1970,"Barbados","131586",0
"200",5,1871,0,1970,"Barbados","131586",0
"201",6,1838,0,1970,"Barbados","131586",0
"202",7,1789,0,1970,"Barbados","131586",0
"203",8,1775,0,1970,"Barbados","131586",0
"204",9,1635,0,1970,"Barbados","131586",0
"205",10,1657,0,1970,"Barbados","131586",0
"206",11,1601,0,1970,"Barbados","131586",0
"207",12,1538,0,1970,"Barbados","131586",0
"208",13,1536,0,1970,"Barbados","131586",0
"209",14,1451,0,1970,"Barbados","131586",0
"210",15,1482,0,1970,"Barbados","131586",0
"211",16,1370,0,1970,"Barbados","131586",0
"212",17,1360,0,1970,"Barbados","131586",0
"213",18,1281,0,1970,"Barbados","131586",0
"214",19,1306,0,1970,"Barbados","131586",0
"215",20,1408,0,1970,"Barbados","131586",0
"216",21,1400,0,1970,"Barbados","131586",0
"217",22,1345,0,1970,"Barbados","131586",0
"218",23,1376,0,1970,"Barbados","131586",0
"219",24,1316,0,1970,"Barbados","131586",0
"220",25,1276,0,1970,"Barbados","131586",0
"221",26,1303,0,1970,"Barbados","131586",0
"222",27,1230,0,1970,"Barbados","131586",0
"223",28,1200,3,1970,"Barbados","131586",0.0025
"224",29,1186,6,1970,"Barbados","131586",0.00505902192242833
"225",30,1139,8,1970,"Barbados","131586",0.00702370500438982
"226",31,1118,19,1970,"Barbados","131586",0.016994633273703
"227",32,1101,39,1970,"Barbados","131586",0.0354223433242507
"228",33,1077,52,1970,"Barbados","131586",0.0482822655524605
"229",34,1060,62,1970,"Barbados","131586",0.0584905660377358
"230",35,1035,92,1970,"Barbados","131586",0.0888888888888889
"231",36,1014,141,1970,"Barbados","131586",0.13905325443787
"232",37,1004,159,1970,"Barbados","131586",0.158366533864542
"233",38,939,218,1970,"Barbados","131586",0.232161874334398
"234",39,976,254,1970,"Barbados","131586",0.260245901639344
"235",40,945,280,1970,"Barbados","131586",0.296296296296296
"236",41,898,333,1970,"Barbados","131586",0.370824053452116
"237",42,853,377,1970,"Barbados","131586",0.441969519343494
"238",43,864,405,1970,"Barbados","131586",0.46875
"239",44,867,410,1970,"Barbados","131586",0.472895040369089
"240",45,845,460,1970,"Barbados","131586",0.544378698224852
"241",46,844,483,1970,"Barbados","131586",0.572274881516588
"242",47,806,520,1970,"Barbados","131586",0.645161290322581
