"","age","pop","gp","year","country","seed","share"
"1",0,759,0,1990,"Belgium","261885",0
"2",1,736,0,1990,"Belgium","261885",0
"3",2,746,0,1990,"Belgium","261885",0
"4",3,757,0,1990,"Belgium","261885",0
"5",4,758,0,1990,"Belgium","261885",0
"6",5,708,0,1990,"Belgium","261885",0
"7",6,755,0,1990,"Belgium","261885",0
"8",7,772,0,1990,"Belgium","261885",0
"9",8,762,0,1990,"Belgium","261885",0
"10",9,755,0,1990,"Belgium","261885",0
"11",10,806,0,1990,"Belgium","261885",0
"12",11,761,0,1990,"Belgium","261885",0
"13",12,776,0,1990,"Belgium","261885",0
"14",13,785,0,1990,"Belgium","261885",0
"15",14,738,0,1990,"Belgium","261885",0
"16",15,883,0,1990,"Belgium","261885",0
"17",16,839,0,1990,"Belgium","261885",0
"18",17,876,0,1990,"Belgium","261885",0
"19",18,908,0,1990,"Belgium","261885",0
"20",19,887,0,1990,"Belgium","261885",0
"21",20,1026,0,1990,"Belgium","261885",0
"22",21,1050,0,1990,"Belgium","261885",0
"23",22,991,0,1990,"Belgium","261885",0
"24",23,950,0,1990,"Belgium","261885",0
"25",24,979,0,1990,"Belgium","261885",0
"26",25,1037,0,1990,"Belgium","261885",0
"27",26,1056,0,1990,"Belgium","261885",0
"28",27,1120,0,1990,"Belgium","261885",0
"29",28,1082,0,1990,"Belgium","261885",0
"30",29,1044,0,1990,"Belgium","261885",0
"31",30,1050,0,1990,"Belgium","261885",0
"32",31,1016,1,1990,"Belgium","261885",0.000984251968503937
"33",32,977,1,1990,"Belgium","261885",0.00102354145342886
"34",33,1004,3,1990,"Belgium","261885",0.00298804780876494
"35",34,994,6,1990,"Belgium","261885",0.00603621730382294
"36",35,876,7,1990,"Belgium","261885",0.00799086757990868
"37",36,907,10,1990,"Belgium","261885",0.0110253583241455
"38",37,933,19,1990,"Belgium","261885",0.0203644158628081
"39",38,935,15,1990,"Belgium","261885",0.0160427807486631
"40",39,931,33,1990,"Belgium","261885",0.0354457572502685
"41",40,890,39,1990,"Belgium","261885",0.0438202247191011
"42",41,901,56,1990,"Belgium","261885",0.0621531631520533
"43",42,903,82,1990,"Belgium","261885",0.0908084163898117
"44",43,890,96,1990,"Belgium","261885",0.107865168539326
"45",44,867,125,1990,"Belgium","261885",0.144175317185698
"46",45,917,153,1990,"Belgium","261885",0.166848418756816
"47",46,837,179,1990,"Belgium","261885",0.213859020310633
"48",47,879,229,1990,"Belgium","261885",0.260523321956769
"49",48,826,247,1990,"Belgium","261885",0.299031476997579
"50",49,917,291,1990,"Belgium","261885",0.317339149400218
"51",50,883,347,1990,"Belgium","261885",0.392978482446206
"52",51,894,358,1990,"Belgium","261885",0.400447427293065
"53",52,791,345,1990,"Belgium","261885",0.436156763590392
"54",53,834,413,1990,"Belgium","261885",0.495203836930456
