"","age","pop","gp","year","country","seed","share"
"1",0,1430,0,1990,"Belize","129297",0
"2",1,1359,0,1990,"Belize","129297",0
"3",2,1366,0,1990,"Belize","129297",0
"4",3,1284,0,1990,"Belize","129297",0
"5",4,1236,0,1990,"Belize","129297",0
"6",5,1432,0,1990,"Belize","129297",0
"7",6,1366,0,1990,"Belize","129297",0
"8",7,1205,0,1990,"Belize","129297",0
"9",8,1224,0,1990,"Belize","129297",0
"10",9,1152,0,1990,"Belize","129297",0
"11",10,1298,0,1990,"Belize","129297",0
"12",11,1235,0,1990,"Belize","129297",0
"13",12,1232,0,1990,"Belize","129297",0
"14",13,1121,0,1990,"Belize","129297",0
"15",14,1096,0,1990,"Belize","129297",0
"16",15,1098,0,1990,"Belize","129297",0
"17",16,1032,0,1990,"Belize","129297",0
"18",17,1030,0,1990,"Belize","129297",0
"19",18,986,0,1990,"Belize","129297",0
"20",19,990,0,1990,"Belize","129297",0
"21",20,928,0,1990,"Belize","129297",0
"22",21,909,0,1990,"Belize","129297",0
"23",22,951,0,1990,"Belize","129297",0
"24",23,832,0,1990,"Belize","129297",0
"25",24,838,0,1990,"Belize","129297",0
"26",25,860,2,1990,"Belize","129297",0.00232558139534884
"27",26,781,1,1990,"Belize","129297",0.00128040973111396
"28",27,767,3,1990,"Belize","129297",0.00391134289439374
"29",28,738,3,1990,"Belize","129297",0.0040650406504065
"30",29,655,4,1990,"Belize","129297",0.00610687022900763
"31",30,685,6,1990,"Belize","129297",0.00875912408759124
"32",31,639,20,1990,"Belize","129297",0.0312989045383412
"33",32,630,22,1990,"Belize","129297",0.0349206349206349
"34",33,588,38,1990,"Belize","129297",0.0646258503401361
"35",34,595,67,1990,"Belize","129297",0.112605042016807
"36",35,555,79,1990,"Belize","129297",0.142342342342342
"37",36,513,98,1990,"Belize","129297",0.191033138401559
"38",37,514,135,1990,"Belize","129297",0.262645914396887
"39",38,502,159,1990,"Belize","129297",0.316733067729084
"40",39,467,175,1990,"Belize","129297",0.374732334047109
"41",40,548,226,1990,"Belize","129297",0.412408759124088
"42",41,532,244,1990,"Belize","129297",0.458646616541353
