"","age","pop","gp","year","country","seed","share"
"1",0,1047,0,1990,"Benin","211964",0
"2",1,998,0,1990,"Benin","211964",0
"3",2,951,0,1990,"Benin","211964",0
"4",3,912,0,1990,"Benin","211964",0
"5",4,871,0,1990,"Benin","211964",0
"6",5,813,0,1990,"Benin","211964",0
"7",6,816,0,1990,"Benin","211964",0
"8",7,764,0,1990,"Benin","211964",0
"9",8,776,0,1990,"Benin","211964",0
"10",9,782,0,1990,"Benin","211964",0
"11",10,710,0,1990,"Benin","211964",0
"12",11,661,0,1990,"Benin","211964",0
"13",12,663,0,1990,"Benin","211964",0
"14",13,711,0,1990,"Benin","211964",0
"15",14,657,0,1990,"Benin","211964",0
"16",15,599,0,1990,"Benin","211964",0
"17",16,572,0,1990,"Benin","211964",0
"18",17,578,0,1990,"Benin","211964",0
"19",18,548,0,1990,"Benin","211964",0
"20",19,587,0,1990,"Benin","211964",0
"21",20,516,0,1990,"Benin","211964",0
"22",21,534,0,1990,"Benin","211964",0
"23",22,476,0,1990,"Benin","211964",0
"24",23,490,0,1990,"Benin","211964",0
"25",24,475,0,1990,"Benin","211964",0
"26",25,440,0,1990,"Benin","211964",0
"27",26,447,0,1990,"Benin","211964",0
"28",27,439,0,1990,"Benin","211964",0
"29",28,429,0,1990,"Benin","211964",0
"30",29,435,0,1990,"Benin","211964",0
"31",30,375,2,1990,"Benin","211964",0.00533333333333333
"32",31,379,4,1990,"Benin","211964",0.0105540897097625
"33",32,355,8,1990,"Benin","211964",0.0225352112676056
"34",33,386,9,1990,"Benin","211964",0.0233160621761658
"35",34,326,17,1990,"Benin","211964",0.0521472392638037
"36",35,340,31,1990,"Benin","211964",0.0911764705882353
"37",36,316,38,1990,"Benin","211964",0.120253164556962
"38",37,306,46,1990,"Benin","211964",0.150326797385621
"39",38,272,54,1990,"Benin","211964",0.198529411764706
"40",39,272,66,1990,"Benin","211964",0.242647058823529
"41",40,318,93,1990,"Benin","211964",0.292452830188679
"42",41,298,84,1990,"Benin","211964",0.281879194630872
"43",42,340,122,1990,"Benin","211964",0.358823529411765
"44",43,329,131,1990,"Benin","211964",0.398176291793313
"45",44,277,123,1990,"Benin","211964",0.444043321299639
"46",45,295,150,1990,"Benin","211964",0.508474576271186
"47",46,268,138,1990,"Benin","211964",0.514925373134328
"48",47,279,165,1990,"Benin","211964",0.591397849462366
"49",48,278,133,1990,"Benin","211964",0.47841726618705
"50",49,244,148,1990,"Benin","211964",0.60655737704918
"51",50,239,155,1990,"Benin","211964",0.648535564853556
"52",51,238,175,1990,"Benin","211964",0.735294117647059
"53",52,233,171,1990,"Benin","211964",0.733905579399142
"54",53,206,162,1990,"Benin","211964",0.786407766990291
"55",54,208,158,1990,"Benin","211964",0.759615384615385
"56",55,210,151,1990,"Benin","211964",0.719047619047619
"57",56,208,153,1990,"Benin","211964",0.735576923076923
"58",57,197,161,1990,"Benin","211964",0.817258883248731
"59",58,194,141,1990,"Benin","211964",0.72680412371134
"60",59,183,149,1990,"Benin","211964",0.814207650273224
"61",60,172,129,1990,"Benin","211964",0.75
"62",61,173,137,1990,"Benin","211964",0.791907514450867
"63",62,176,129,1990,"Benin","211964",0.732954545454545
"64",63,163,133,1990,"Benin","211964",0.815950920245399
"65",64,145,123,1990,"Benin","211964",0.848275862068966
"66",65,137,122,1990,"Benin","211964",0.89051094890511
"67",66,125,109,1990,"Benin","211964",0.872
"68",67,131,109,1990,"Benin","211964",0.83206106870229
"69",68,114,95,1990,"Benin","211964",0.833333333333333
"70",69,108,83,1990,"Benin","211964",0.768518518518518
"71",70,103,84,1990,"Benin","211964",0.815533980582524
"72",71,104,89,1990,"Benin","211964",0.855769230769231
"73",72,80,62,1990,"Benin","211964",0.775
"74",73,89,73,1990,"Benin","211964",0.820224719101124
"75",74,87,70,1990,"Benin","211964",0.804597701149425
"76",75,71,60,1990,"Benin","211964",0.845070422535211
"77",76,53,49,1990,"Benin","211964",0.924528301886792
"78",77,61,55,1990,"Benin","211964",0.901639344262295
"79",78,56,45,1990,"Benin","211964",0.803571428571429
"80",79,40,36,1990,"Benin","211964",0.9
"81",80,32,28,1990,"Benin","211964",0.875
"82",81,34,29,1990,"Benin","211964",0.852941176470588
"83",82,24,20,1990,"Benin","211964",0.833333333333333
"84",83,20,13,1990,"Benin","211964",0.65
"85",84,15,13,1990,"Benin","211964",0.866666666666667
"86",85,17,15,1990,"Benin","211964",0.882352941176471
"87",86,3,2,1990,"Benin","211964",0.666666666666667
"88",87,4,4,1990,"Benin","211964",1
"89",88,3,2,1990,"Benin","211964",0.666666666666667
"90",89,3,3,1990,"Benin","211964",1
"91",90,3,2,1990,"Benin","211964",0.666666666666667
"92",91,1,1,1990,"Benin","211964",1
"93",93,2,2,1990,"Benin","211964",1
"94",94,1,1,1990,"Benin","211964",1
"95",95,1,1,1990,"Benin","211964",1
"96",0,1126,0,1995,"Benin","211964",0
"97",1,1069,0,1995,"Benin","211964",0
"98",2,1023,0,1995,"Benin","211964",0
"99",3,989,0,1995,"Benin","211964",0
"100",4,882,0,1995,"Benin","211964",0
"101",5,912,0,1995,"Benin","211964",0
"102",6,939,0,1995,"Benin","211964",0
"103",7,909,0,1995,"Benin","211964",0
"104",8,885,0,1995,"Benin","211964",0
"105",9,855,0,1995,"Benin","211964",0
"106",10,800,0,1995,"Benin","211964",0
"107",11,804,0,1995,"Benin","211964",0
"108",12,746,0,1995,"Benin","211964",0
"109",13,768,0,1995,"Benin","211964",0
"110",14,773,0,1995,"Benin","211964",0
"111",15,705,0,1995,"Benin","211964",0
"112",16,656,0,1995,"Benin","211964",0
"113",17,651,0,1995,"Benin","211964",0
"114",18,702,0,1995,"Benin","211964",0
"115",19,651,0,1995,"Benin","211964",0
"116",20,591,0,1995,"Benin","211964",0
"117",21,562,0,1995,"Benin","211964",0
"118",22,567,0,1995,"Benin","211964",0
"119",23,539,0,1995,"Benin","211964",0
"120",24,574,0,1995,"Benin","211964",0
"121",25,507,0,1995,"Benin","211964",0
"122",26,524,2,1995,"Benin","211964",0.00381679389312977
"123",27,466,0,1995,"Benin","211964",0
"124",28,481,1,1995,"Benin","211964",0.00207900207900208
"125",29,470,2,1995,"Benin","211964",0.00425531914893617
"126",30,429,2,1995,"Benin","211964",0.00466200466200466
"127",31,440,6,1995,"Benin","211964",0.0136363636363636
"128",32,429,5,1995,"Benin","211964",0.0116550116550117
"129",33,420,10,1995,"Benin","211964",0.0238095238095238
"130",34,428,20,1995,"Benin","211964",0.0467289719626168
"131",35,367,26,1995,"Benin","211964",0.0708446866485014
"132",36,369,49,1995,"Benin","211964",0.132791327913279
"133",37,343,42,1995,"Benin","211964",0.122448979591837
"134",38,375,58,1995,"Benin","211964",0.154666666666667
"135",39,320,79,1995,"Benin","211964",0.246875
