"","age","pop","gp","year","country","seed","share"
"1",0,897,0,1990,"BoliviaPlurinationalStateof","274334",0
"2",1,847,0,1990,"BoliviaPlurinationalStateof","274334",0
"3",2,833,0,1990,"BoliviaPlurinationalStateof","274334",0
"4",3,792,0,1990,"BoliviaPlurinationalStateof","274334",0
"5",4,756,0,1990,"BoliviaPlurinationalStateof","274334",0
"6",5,693,0,1990,"BoliviaPlurinationalStateof","274334",0
"7",6,732,0,1990,"BoliviaPlurinationalStateof","274334",0
"8",7,715,0,1990,"BoliviaPlurinationalStateof","274334",0
"9",8,689,0,1990,"BoliviaPlurinationalStateof","274334",0
"10",9,743,0,1990,"BoliviaPlurinationalStateof","274334",0
"11",10,708,0,1990,"BoliviaPlurinationalStateof","274334",0
"12",11,686,0,1990,"BoliviaPlurinationalStateof","274334",0
"13",12,681,0,1990,"BoliviaPlurinationalStateof","274334",0
"14",13,637,0,1990,"BoliviaPlurinationalStateof","274334",0
"15",14,617,0,1990,"BoliviaPlurinationalStateof","274334",0
"16",15,621,0,1990,"BoliviaPlurinationalStateof","274334",0
"17",16,582,0,1990,"BoliviaPlurinationalStateof","274334",0
"18",17,604,0,1990,"BoliviaPlurinationalStateof","274334",0
"19",18,583,0,1990,"BoliviaPlurinationalStateof","274334",0
"20",19,552,0,1990,"BoliviaPlurinationalStateof","274334",0
"21",20,569,0,1990,"BoliviaPlurinationalStateof","274334",0
"22",21,606,0,1990,"BoliviaPlurinationalStateof","274334",0
"23",22,537,0,1990,"BoliviaPlurinationalStateof","274334",0
"24",23,534,0,1990,"BoliviaPlurinationalStateof","274334",0
"25",24,529,0,1990,"BoliviaPlurinationalStateof","274334",0
"26",25,498,0,1990,"BoliviaPlurinationalStateof","274334",0
"27",26,504,0,1990,"BoliviaPlurinationalStateof","274334",0
"28",27,530,0,1990,"BoliviaPlurinationalStateof","274334",0
"29",28,472,0,1990,"BoliviaPlurinationalStateof","274334",0
"30",29,443,2,1990,"BoliviaPlurinationalStateof","274334",0.00451467268623025
"31",30,404,1,1990,"BoliviaPlurinationalStateof","274334",0.00247524752475248
"32",31,447,4,1990,"BoliviaPlurinationalStateof","274334",0.00894854586129754
"33",32,380,6,1990,"BoliviaPlurinationalStateof","274334",0.0157894736842105
"34",33,420,10,1990,"BoliviaPlurinationalStateof","274334",0.0238095238095238
"35",34,393,21,1990,"BoliviaPlurinationalStateof","274334",0.0534351145038168
"36",35,352,26,1990,"BoliviaPlurinationalStateof","274334",0.0738636363636364
"37",36,373,30,1990,"BoliviaPlurinationalStateof","274334",0.0804289544235925
"38",37,373,43,1990,"BoliviaPlurinationalStateof","274334",0.115281501340483
"39",38,366,56,1990,"BoliviaPlurinationalStateof","274334",0.153005464480874
"40",39,338,75,1990,"BoliviaPlurinationalStateof","274334",0.22189349112426
"41",40,395,80,1990,"BoliviaPlurinationalStateof","274334",0.20253164556962
"42",41,367,115,1990,"BoliviaPlurinationalStateof","274334",0.313351498637602
"43",42,382,118,1990,"BoliviaPlurinationalStateof","274334",0.308900523560209
"44",43,296,106,1990,"BoliviaPlurinationalStateof","274334",0.358108108108108
"45",44,338,141,1990,"BoliviaPlurinationalStateof","274334",0.417159763313609
"46",45,352,164,1990,"BoliviaPlurinationalStateof","274334",0.465909090909091
"47",46,311,161,1990,"BoliviaPlurinationalStateof","274334",0.517684887459807
"48",47,297,180,1990,"BoliviaPlurinationalStateof","274334",0.606060606060606
"49",48,307,185,1990,"BoliviaPlurinationalStateof","274334",0.602605863192182
"50",49,302,188,1990,"BoliviaPlurinationalStateof","274334",0.622516556291391
