"","age","pop","gp","year","country","seed","share"
"1",0,1350,0,1990,"BosniaandHerzegovina","372861",0
"2",1,1355,0,1990,"BosniaandHerzegovina","372861",0
"3",2,1355,0,1990,"BosniaandHerzegovina","372861",0
"4",3,1394,0,1990,"BosniaandHerzegovina","372861",0
"5",4,1377,0,1990,"BosniaandHerzegovina","372861",0
"6",5,1498,0,1990,"BosniaandHerzegovina","372861",0
"7",6,1379,0,1990,"BosniaandHerzegovina","372861",0
"8",7,1441,0,1990,"BosniaandHerzegovina","372861",0
"9",8,1425,0,1990,"BosniaandHerzegovina","372861",0
"10",9,1407,0,1990,"BosniaandHerzegovina","372861",0
"11",10,1549,0,1990,"BosniaandHerzegovina","372861",0
"12",11,1511,0,1990,"BosniaandHerzegovina","372861",0
"13",12,1557,0,1990,"BosniaandHerzegovina","372861",0
"14",13,1428,0,1990,"BosniaandHerzegovina","372861",0
"15",14,1463,0,1990,"BosniaandHerzegovina","372861",0
"16",15,1735,0,1990,"BosniaandHerzegovina","372861",0
"17",16,1612,0,1990,"BosniaandHerzegovina","372861",0
"18",17,1703,0,1990,"BosniaandHerzegovina","372861",0
"19",18,1628,0,1990,"BosniaandHerzegovina","372861",0
"20",19,1630,0,1990,"BosniaandHerzegovina","372861",0
"21",20,1710,0,1990,"BosniaandHerzegovina","372861",0
"22",21,1718,0,1990,"BosniaandHerzegovina","372861",0
"23",22,1587,0,1990,"BosniaandHerzegovina","372861",0
"24",23,1612,0,1990,"BosniaandHerzegovina","372861",0
"25",24,1580,0,1990,"BosniaandHerzegovina","372861",0
"26",25,1691,0,1990,"BosniaandHerzegovina","372861",0
"27",26,1688,0,1990,"BosniaandHerzegovina","372861",0
"28",27,1594,0,1990,"BosniaandHerzegovina","372861",0
"29",28,1546,0,1990,"BosniaandHerzegovina","372861",0
"30",29,1543,0,1990,"BosniaandHerzegovina","372861",0
"31",30,1521,0,1990,"BosniaandHerzegovina","372861",0
"32",31,1539,3,1990,"BosniaandHerzegovina","372861",0.00194931773879142
"33",32,1485,6,1990,"BosniaandHerzegovina","372861",0.00404040404040404
"34",33,1451,11,1990,"BosniaandHerzegovina","372861",0.00758097863542385
"35",34,1416,20,1990,"BosniaandHerzegovina","372861",0.0141242937853107
"36",35,1662,31,1990,"BosniaandHerzegovina","372861",0.0186522262334537
"37",36,1450,49,1990,"BosniaandHerzegovina","372861",0.0337931034482759
"38",37,1472,73,1990,"BosniaandHerzegovina","372861",0.0495923913043478
"39",38,1360,76,1990,"BosniaandHerzegovina","372861",0.0558823529411765
"40",39,1382,105,1990,"BosniaandHerzegovina","372861",0.0759768451519537
"41",40,1401,128,1990,"BosniaandHerzegovina","372861",0.0913633119200571
"42",41,1341,204,1990,"BosniaandHerzegovina","372861",0.152125279642058
"43",42,1260,218,1990,"BosniaandHerzegovina","372861",0.173015873015873
"44",43,1356,324,1990,"BosniaandHerzegovina","372861",0.238938053097345
"45",44,1279,305,1990,"BosniaandHerzegovina","372861",0.238467552775606
"46",45,1238,374,1990,"BosniaandHerzegovina","372861",0.302100161550889
"47",46,1272,463,1990,"BosniaandHerzegovina","372861",0.363993710691824
"48",47,1186,446,1990,"BosniaandHerzegovina","372861",0.376053962900506
"49",48,1123,471,1990,"BosniaandHerzegovina","372861",0.419412288512912
"50",49,1078,514,1990,"BosniaandHerzegovina","372861",0.476808905380334
"51",50,1119,572,1990,"BosniaandHerzegovina","372861",0.511170688114388
"52",51,1082,590,1990,"BosniaandHerzegovina","372861",0.545286506469501
"53",52,1044,625,1990,"BosniaandHerzegovina","372861",0.598659003831418
"54",53,989,600,1990,"BosniaandHerzegovina","372861",0.606673407482305
"55",54,951,617,1990,"BosniaandHerzegovina","372861",0.648790746582545
"56",55,984,634,1990,"BosniaandHerzegovina","372861",0.644308943089431
"57",56,896,604,1990,"BosniaandHerzegovina","372861",0.674107142857143
"58",57,883,616,1990,"BosniaandHerzegovina","372861",0.69762174405436
"59",58,864,605,1990,"BosniaandHerzegovina","372861",0.700231481481482
"60",59,857,610,1990,"BosniaandHerzegovina","372861",0.711785297549592
"61",60,828,599,1990,"BosniaandHerzegovina","372861",0.723429951690821
"62",61,828,613,1990,"BosniaandHerzegovina","372861",0.740338164251208
"63",62,782,592,1990,"BosniaandHerzegovina","372861",0.757033248081841
"64",63,699,542,1990,"BosniaandHerzegovina","372861",0.775393419170243
"65",64,679,527,1990,"BosniaandHerzegovina","372861",0.776141384388807
"66",65,660,530,1990,"BosniaandHerzegovina","372861",0.803030303030303
"67",66,631,515,1990,"BosniaandHerzegovina","372861",0.816164817749604
"68",67,624,513,1990,"BosniaandHerzegovina","372861",0.822115384615385
"69",68,584,477,1990,"BosniaandHerzegovina","372861",0.816780821917808
"70",69,539,461,1990,"BosniaandHerzegovina","372861",0.855287569573284
"71",70,503,436,1990,"BosniaandHerzegovina","372861",0.866799204771372
"72",71,458,374,1990,"BosniaandHerzegovina","372861",0.816593886462882
"73",72,411,339,1990,"BosniaandHerzegovina","372861",0.824817518248175
"74",73,405,335,1990,"BosniaandHerzegovina","372861",0.827160493827161
"75",74,353,303,1990,"BosniaandHerzegovina","372861",0.858356940509915
"76",75,316,276,1990,"BosniaandHerzegovina","372861",0.873417721518987
"77",76,290,245,1990,"BosniaandHerzegovina","372861",0.844827586206897
"78",77,297,229,1990,"BosniaandHerzegovina","372861",0.771043771043771
"79",78,258,217,1990,"BosniaandHerzegovina","372861",0.84108527131783
"80",79,232,197,1990,"BosniaandHerzegovina","372861",0.849137931034483
"81",80,182,158,1990,"BosniaandHerzegovina","372861",0.868131868131868
"82",81,183,162,1990,"BosniaandHerzegovina","372861",0.885245901639344
"83",82,152,130,1990,"BosniaandHerzegovina","372861",0.855263157894737
"84",83,129,107,1990,"BosniaandHerzegovina","372861",0.829457364341085
"85",84,102,85,1990,"BosniaandHerzegovina","372861",0.833333333333333
"86",85,76,67,1990,"BosniaandHerzegovina","372861",0.881578947368421
"87",86,63,49,1990,"BosniaandHerzegovina","372861",0.777777777777778
"88",87,57,52,1990,"BosniaandHerzegovina","372861",0.912280701754386
"89",88,42,35,1990,"BosniaandHerzegovina","372861",0.833333333333333
"90",89,39,34,1990,"BosniaandHerzegovina","372861",0.871794871794872
"91",90,20,16,1990,"BosniaandHerzegovina","372861",0.8
"92",91,24,21,1990,"BosniaandHerzegovina","372861",0.875
"93",92,17,14,1990,"BosniaandHerzegovina","372861",0.823529411764706
"94",93,10,9,1990,"BosniaandHerzegovina","372861",0.9
"95",94,6,5,1990,"BosniaandHerzegovina","372861",0.833333333333333
"96",95,9,6,1990,"BosniaandHerzegovina","372861",0.666666666666667
"97",96,2,2,1990,"BosniaandHerzegovina","372861",1
"98",97,3,3,1990,"BosniaandHerzegovina","372861",1
"99",98,2,2,1990,"BosniaandHerzegovina","372861",1
"100",99,2,1,1990,"BosniaandHerzegovina","372861",0.5
"101",0,1327,0,1995,"BosniaandHerzegovina","372861",0
"102",1,1246,0,1995,"BosniaandHerzegovina","372861",0
"103",2,1188,0,1995,"BosniaandHerzegovina","372861",0
"104",3,1295,0,1995,"BosniaandHerzegovina","372861",0
"105",4,1311,0,1995,"BosniaandHerzegovina","372861",0
"106",5,1331,0,1995,"BosniaandHerzegovina","372861",0
"107",6,1348,0,1995,"BosniaandHerzegovina","372861",0
"108",7,1348,0,1995,"BosniaandHerzegovina","372861",0
"109",8,1392,0,1995,"BosniaandHerzegovina","372861",0
"110",9,1376,0,1995,"BosniaandHerzegovina","372861",0
"111",10,1493,0,1995,"BosniaandHerzegovina","372861",0
"112",11,1374,0,1995,"BosniaandHerzegovina","372861",0
"113",12,1434,0,1995,"BosniaandHerzegovina","372861",0
"114",13,1416,0,1995,"BosniaandHerzegovina","372861",0
"115",14,1403,0,1995,"BosniaandHerzegovina","372861",0
"116",15,1544,0,1995,"BosniaandHerzegovina","372861",0
"117",16,1499,0,1995,"BosniaandHerzegovina","372861",0
"118",17,1546,0,1995,"BosniaandHerzegovina","372861",0
"119",18,1417,0,1995,"BosniaandHerzegovina","372861",0
"120",19,1455,0,1995,"BosniaandHerzegovina","372861",0
"121",20,1723,0,1995,"BosniaandHerzegovina","372861",0
"122",21,1595,0,1995,"BosniaandHerzegovina","372861",0
"123",22,1687,0,1995,"BosniaandHerzegovina","372861",0
"124",23,1613,1,1995,"BosniaandHerzegovina","372861",0.000619962802231866
"125",24,1603,0,1995,"BosniaandHerzegovina","372861",0
"126",25,1681,0,1995,"BosniaandHerzegovina","372861",0
"127",26,1697,0,1995,"BosniaandHerzegovina","372861",0
"128",27,1570,1,1995,"BosniaandHerzegovina","372861",0.000636942675159236
"129",28,1584,1,1995,"BosniaandHerzegovina","372861",0.000631313131313131
"130",29,1562,1,1995,"BosniaandHerzegovina","372861",0.000640204865556978
"131",30,1670,1,1995,"BosniaandHerzegovina","372861",0.000598802395209581
"132",31,1659,6,1995,"BosniaandHerzegovina","372861",0.00361663652802893
"133",32,1580,9,1995,"BosniaandHerzegovina","372861",0.00569620253164557
"134",33,1525,11,1995,"BosniaandHerzegovina","372861",0.00721311475409836
