"","age","pop","gp","year","country","seed","share"
"1",0,348,0,1990,"Botswana","183265",0
"2",1,288,0,1990,"Botswana","183265",0
"3",2,294,0,1990,"Botswana","183265",0
"4",3,280,0,1990,"Botswana","183265",0
"5",4,282,0,1990,"Botswana","183265",0
"6",5,323,0,1990,"Botswana","183265",0
"7",6,285,0,1990,"Botswana","183265",0
"8",7,318,0,1990,"Botswana","183265",0
"9",8,295,0,1990,"Botswana","183265",0
"10",9,279,0,1990,"Botswana","183265",0
"11",10,271,0,1990,"Botswana","183265",0
"12",11,242,0,1990,"Botswana","183265",0
"13",12,224,0,1990,"Botswana","183265",0
"14",13,246,0,1990,"Botswana","183265",0
"15",14,239,0,1990,"Botswana","183265",0
"16",15,234,0,1990,"Botswana","183265",0
"17",16,211,0,1990,"Botswana","183265",0
"18",17,223,0,1990,"Botswana","183265",0
"19",18,206,0,1990,"Botswana","183265",0
"20",19,196,0,1990,"Botswana","183265",0
"21",20,208,0,1990,"Botswana","183265",0
"22",21,201,0,1990,"Botswana","183265",0
"23",22,184,0,1990,"Botswana","183265",0
"24",23,163,0,1990,"Botswana","183265",0
"25",24,160,0,1990,"Botswana","183265",0
"26",25,156,0,1990,"Botswana","183265",0
"27",26,143,0,1990,"Botswana","183265",0
"28",27,146,1,1990,"Botswana","183265",0.00684931506849315
"29",28,137,0,1990,"Botswana","183265",0
"30",29,149,0,1990,"Botswana","183265",0
"31",30,125,3,1990,"Botswana","183265",0.024
"32",31,114,3,1990,"Botswana","183265",0.0263157894736842
"33",32,120,7,1990,"Botswana","183265",0.0583333333333333
"34",33,121,7,1990,"Botswana","183265",0.0578512396694215
"35",34,101,9,1990,"Botswana","183265",0.0891089108910891
"36",35,97,5,1990,"Botswana","183265",0.0515463917525773
"37",36,92,14,1990,"Botswana","183265",0.152173913043478
"38",37,93,20,1990,"Botswana","183265",0.21505376344086
"39",38,107,24,1990,"Botswana","183265",0.224299065420561
"40",39,93,25,1990,"Botswana","183265",0.268817204301075
"41",40,96,37,1990,"Botswana","183265",0.385416666666667
"42",41,85,34,1990,"Botswana","183265",0.4
"43",42,77,38,1990,"Botswana","183265",0.493506493506494
"44",43,68,45,1990,"Botswana","183265",0.661764705882353
"45",44,61,50,1990,"Botswana","183265",0.819672131147541
"46",45,70,43,1990,"Botswana","183265",0.614285714285714
"47",46,64,41,1990,"Botswana","183265",0.640625
"48",47,59,43,1990,"Botswana","183265",0.728813559322034
"49",48,66,56,1990,"Botswana","183265",0.848484848484849
"50",49,65,48,1990,"Botswana","183265",0.738461538461539
"51",50,49,44,1990,"Botswana","183265",0.897959183673469
"52",51,66,60,1990,"Botswana","183265",0.909090909090909
"53",52,56,49,1990,"Botswana","183265",0.875
"54",53,48,46,1990,"Botswana","183265",0.958333333333333
"55",54,57,55,1990,"Botswana","183265",0.964912280701754
"56",55,38,35,1990,"Botswana","183265",0.921052631578947
"57",56,45,42,1990,"Botswana","183265",0.933333333333333
"58",57,33,28,1990,"Botswana","183265",0.848484848484849
"59",58,47,43,1990,"Botswana","183265",0.914893617021277
"60",59,37,37,1990,"Botswana","183265",1
"61",60,37,37,1990,"Botswana","183265",1
"62",61,34,32,1990,"Botswana","183265",0.941176470588235
"63",62,32,28,1990,"Botswana","183265",0.875
"64",63,29,26,1990,"Botswana","183265",0.896551724137931
"65",64,20,17,1990,"Botswana","183265",0.85
"66",65,19,15,1990,"Botswana","183265",0.789473684210526
"67",66,22,20,1990,"Botswana","183265",0.909090909090909
"68",67,26,26,1990,"Botswana","183265",1
"69",68,13,12,1990,"Botswana","183265",0.923076923076923
"70",69,19,19,1990,"Botswana","183265",1
"71",70,25,23,1990,"Botswana","183265",0.92
"72",71,10,10,1990,"Botswana","183265",1
"73",72,15,14,1990,"Botswana","183265",0.933333333333333
"74",73,14,13,1990,"Botswana","183265",0.928571428571429
"75",74,18,17,1990,"Botswana","183265",0.944444444444444
"76",75,13,12,1990,"Botswana","183265",0.923076923076923
"77",76,10,9,1990,"Botswana","183265",0.9
"78",77,9,9,1990,"Botswana","183265",1
"79",78,7,7,1990,"Botswana","183265",1
"80",79,8,7,1990,"Botswana","183265",0.875
"81",80,2,2,1990,"Botswana","183265",1
"82",81,9,9,1990,"Botswana","183265",1
"83",82,3,3,1990,"Botswana","183265",1
"84",83,4,4,1990,"Botswana","183265",1
"85",84,3,3,1990,"Botswana","183265",1
"86",85,2,1,1990,"Botswana","183265",0.5
"87",86,2,2,1990,"Botswana","183265",1
"88",0,336,0,1995,"Botswana","183265",0
"89",1,289,0,1995,"Botswana","183265",0
"90",2,268,0,1995,"Botswana","183265",0
"91",3,257,0,1995,"Botswana","183265",0
"92",4,284,0,1995,"Botswana","183265",0
"93",5,335,0,1995,"Botswana","183265",0
"94",6,283,0,1995,"Botswana","183265",0
"95",7,289,0,1995,"Botswana","183265",0
"96",8,273,0,1995,"Botswana","183265",0
"97",9,279,0,1995,"Botswana","183265",0
"98",10,319,0,1995,"Botswana","183265",0
"99",11,283,0,1995,"Botswana","183265",0
"100",12,316,0,1995,"Botswana","183265",0
"101",13,293,0,1995,"Botswana","183265",0
"102",14,278,0,1995,"Botswana","183265",0
"103",15,270,0,1995,"Botswana","183265",0
"104",16,239,0,1995,"Botswana","183265",0
"105",17,222,0,1995,"Botswana","183265",0
"106",18,243,0,1995,"Botswana","183265",0
"107",19,237,0,1995,"Botswana","183265",0
"108",20,231,0,1995,"Botswana","183265",0
"109",21,206,0,1995,"Botswana","183265",0
"110",22,219,0,1995,"Botswana","183265",0
"111",23,204,0,1995,"Botswana","183265",0
"112",24,194,0,1995,"Botswana","183265",0
"113",25,198,0,1995,"Botswana","183265",0
"114",26,195,0,1995,"Botswana","183265",0
"115",27,178,0,1995,"Botswana","183265",0
"116",28,157,0,1995,"Botswana","183265",0
"117",29,149,0,1995,"Botswana","183265",0
"118",30,149,1,1995,"Botswana","183265",0.00671140939597315
"119",31,136,2,1995,"Botswana","183265",0.0147058823529412
"120",32,142,4,1995,"Botswana","183265",0.028169014084507
"121",33,129,5,1995,"Botswana","183265",0.0387596899224806
"122",34,147,6,1995,"Botswana","183265",0.0408163265306122
"123",35,122,14,1995,"Botswana","183265",0.114754098360656
"124",36,109,13,1995,"Botswana","183265",0.119266055045872
"125",37,109,26,1995,"Botswana","183265",0.238532110091743
"126",38,113,22,1995,"Botswana","183265",0.194690265486726
"127",39,96,26,1995,"Botswana","183265",0.270833333333333
"128",40,87,25,1995,"Botswana","183265",0.28735632183908
"129",41,87,32,1995,"Botswana","183265",0.367816091954023
"130",42,83,41,1995,"Botswana","183265",0.493975903614458
"131",43,94,49,1995,"Botswana","183265",0.521276595744681
"132",44,87,43,1995,"Botswana","183265",0.494252873563218
"133",45,89,56,1995,"Botswana","183265",0.629213483146067
"134",46,76,55,1995,"Botswana","183265",0.723684210526316
"135",47,70,53,1995,"Botswana","183265",0.757142857142857
"136",48,63,55,1995,"Botswana","183265",0.873015873015873
"137",49,56,50,1995,"Botswana","183265",0.892857142857143
"138",50,67,56,1995,"Botswana","183265",0.835820895522388
"139",51,62,46,1995,"Botswana","183265",0.741935483870968
"140",52,56,48,1995,"Botswana","183265",0.857142857142857
"141",53,56,52,1995,"Botswana","183265",0.928571428571429
"142",54,62,52,1995,"Botswana","183265",0.838709677419355
"143",55,47,44,1995,"Botswana","183265",0.936170212765957
"144",56,59,56,1995,"Botswana","183265",0.949152542372881
"145",57,49,44,1995,"Botswana","183265",0.897959183673469
"146",58,45,43,1995,"Botswana","183265",0.955555555555556
"147",59,52,50,1995,"Botswana","183265",0.961538461538462
"148",60,36,34,1995,"Botswana","183265",0.944444444444444
"149",61,37,34,1995,"Botswana","183265",0.918918918918919
"150",62,28,25,1995,"Botswana","183265",0.892857142857143
"151",63,43,39,1995,"Botswana","183265",0.906976744186046
"152",64,31,31,1995,"Botswana","183265",1
"153",65,32,32,1995,"Botswana","183265",1
"154",66,27,27,1995,"Botswana","183265",1
