"","age","pop","gp","year","country","seed","share"
"1",0,874,0,1960,"Brazil","107241",0
"2",1,797,0,1960,"Brazil","107241",0
"3",2,780,0,1960,"Brazil","107241",0
"4",3,719,0,1960,"Brazil","107241",0
"5",4,712,0,1960,"Brazil","107241",0
"6",5,681,0,1960,"Brazil","107241",0
"7",6,682,0,1960,"Brazil","107241",0
"8",7,623,0,1960,"Brazil","107241",0
"9",8,630,0,1960,"Brazil","107241",0
"10",9,620,0,1960,"Brazil","107241",0
"11",10,563,0,1960,"Brazil","107241",0
"12",11,559,0,1960,"Brazil","107241",0
"13",12,508,0,1960,"Brazil","107241",0
"14",13,497,0,1960,"Brazil","107241",0
"15",14,536,0,1960,"Brazil","107241",0
"16",15,469,0,1960,"Brazil","107241",0
"17",16,471,0,1960,"Brazil","107241",0
"18",17,450,0,1960,"Brazil","107241",0
"19",18,426,0,1960,"Brazil","107241",0
"20",19,417,0,1960,"Brazil","107241",0
"21",20,417,0,1960,"Brazil","107241",0
"22",21,391,0,1960,"Brazil","107241",0
"23",22,405,0,1960,"Brazil","107241",0
"24",23,385,0,1960,"Brazil","107241",0
"25",24,385,0,1960,"Brazil","107241",0
"26",25,349,0,1960,"Brazil","107241",0
"27",26,353,0,1960,"Brazil","107241",0
"28",27,357,0,1960,"Brazil","107241",0
"29",28,333,0,1960,"Brazil","107241",0
"30",29,339,2,1960,"Brazil","107241",0.00589970501474926
"31",30,306,0,1960,"Brazil","107241",0
"32",31,305,2,1960,"Brazil","107241",0.00655737704918033
"33",32,288,0,1960,"Brazil","107241",0
"34",33,288,9,1960,"Brazil","107241",0.03125
"35",34,276,18,1960,"Brazil","107241",0.0652173913043478
"36",35,247,12,1960,"Brazil","107241",0.048582995951417
"37",36,312,24,1960,"Brazil","107241",0.0769230769230769
"38",37,244,26,1960,"Brazil","107241",0.10655737704918
"39",38,228,29,1960,"Brazil","107241",0.12719298245614
"40",39,226,38,1960,"Brazil","107241",0.168141592920354
"41",40,235,52,1960,"Brazil","107241",0.221276595744681
"42",41,219,58,1960,"Brazil","107241",0.264840182648402
"43",42,207,64,1960,"Brazil","107241",0.309178743961353
"44",43,183,64,1960,"Brazil","107241",0.349726775956284
"45",44,194,91,1960,"Brazil","107241",0.469072164948454
"46",45,187,94,1960,"Brazil","107241",0.502673796791444
"47",46,184,107,1960,"Brazil","107241",0.581521739130435
"48",47,167,104,1960,"Brazil","107241",0.622754491017964
"49",48,160,103,1960,"Brazil","107241",0.64375
"50",49,157,101,1960,"Brazil","107241",0.643312101910828
"51",50,146,105,1960,"Brazil","107241",0.719178082191781
"52",51,152,112,1960,"Brazil","107241",0.736842105263158
"53",52,149,113,1960,"Brazil","107241",0.758389261744966
"54",53,157,129,1960,"Brazil","107241",0.821656050955414
"55",54,133,110,1960,"Brazil","107241",0.827067669172932
"56",55,151,131,1960,"Brazil","107241",0.867549668874172
"57",56,104,93,1960,"Brazil","107241",0.894230769230769
"58",57,118,105,1960,"Brazil","107241",0.889830508474576
"59",58,117,105,1960,"Brazil","107241",0.897435897435897
"60",59,101,91,1960,"Brazil","107241",0.900990099009901
"61",60,102,98,1960,"Brazil","107241",0.96078431372549
"62",61,96,87,1960,"Brazil","107241",0.90625
"63",62,80,74,1960,"Brazil","107241",0.925
"64",63,86,84,1960,"Brazil","107241",0.976744186046512
"65",64,81,74,1960,"Brazil","107241",0.91358024691358
"66",65,71,68,1960,"Brazil","107241",0.957746478873239
"67",66,73,70,1960,"Brazil","107241",0.958904109589041
