"","age","pop","gp","year","country","seed","share"
"1",0,709,0,1990,"BruneiDarussalam","328899",0
"2",1,654,0,1990,"BruneiDarussalam","328899",0
"3",2,651,0,1990,"BruneiDarussalam","328899",0
"4",3,659,0,1990,"BruneiDarussalam","328899",0
"5",4,659,0,1990,"BruneiDarussalam","328899",0
"6",5,663,0,1990,"BruneiDarussalam","328899",0
"7",6,666,0,1990,"BruneiDarussalam","328899",0
"8",7,655,0,1990,"BruneiDarussalam","328899",0
"9",8,628,0,1990,"BruneiDarussalam","328899",0
"10",9,578,0,1990,"BruneiDarussalam","328899",0
"11",10,641,0,1990,"BruneiDarussalam","328899",0
"12",11,628,0,1990,"BruneiDarussalam","328899",0
"13",12,602,0,1990,"BruneiDarussalam","328899",0
"14",13,599,0,1990,"BruneiDarussalam","328899",0
"15",14,557,0,1990,"BruneiDarussalam","328899",0
"16",15,699,0,1990,"BruneiDarussalam","328899",0
"17",16,685,0,1990,"BruneiDarussalam","328899",0
"18",17,635,0,1990,"BruneiDarussalam","328899",0
"19",18,589,0,1990,"BruneiDarussalam","328899",0
"20",19,612,0,1990,"BruneiDarussalam","328899",0
"21",20,599,0,1990,"BruneiDarussalam","328899",0
"22",21,628,0,1990,"BruneiDarussalam","328899",0
"23",22,589,0,1990,"BruneiDarussalam","328899",0
"24",23,561,0,1990,"BruneiDarussalam","328899",0
"25",24,562,0,1990,"BruneiDarussalam","328899",0
"26",25,574,0,1990,"BruneiDarussalam","328899",0
"27",26,521,0,1990,"BruneiDarussalam","328899",0
"28",27,544,0,1990,"BruneiDarussalam","328899",0
"29",28,483,0,1990,"BruneiDarussalam","328899",0
"30",29,465,1,1990,"BruneiDarussalam","328899",0.0021505376344086
"31",30,447,0,1990,"BruneiDarussalam","328899",0
"32",31,417,1,1990,"BruneiDarussalam","328899",0.00239808153477218
"33",32,420,1,1990,"BruneiDarussalam","328899",0.00238095238095238
"34",33,397,2,1990,"BruneiDarussalam","328899",0.00503778337531486
"35",34,376,8,1990,"BruneiDarussalam","328899",0.0212765957446809
"36",35,364,15,1990,"BruneiDarussalam","328899",0.0412087912087912
"37",36,371,22,1990,"BruneiDarussalam","328899",0.0592991913746631
"38",37,324,28,1990,"BruneiDarussalam","328899",0.0864197530864197
"39",38,342,52,1990,"BruneiDarussalam","328899",0.152046783625731
"40",39,312,47,1990,"BruneiDarussalam","328899",0.150641025641026
"41",40,361,88,1990,"BruneiDarussalam","328899",0.243767313019391
"42",41,341,94,1990,"BruneiDarussalam","328899",0.275659824046921
"43",42,339,113,1990,"BruneiDarussalam","328899",0.333333333333333
"44",43,308,123,1990,"BruneiDarussalam","328899",0.399350649350649
"45",44,333,136,1990,"BruneiDarussalam","328899",0.408408408408408
"46",45,312,150,1990,"BruneiDarussalam","328899",0.480769230769231
"47",46,301,171,1990,"BruneiDarussalam","328899",0.568106312292359
"48",47,267,183,1990,"BruneiDarussalam","328899",0.685393258426966
"49",48,243,168,1990,"BruneiDarussalam","328899",0.691358024691358
"50",49,244,175,1990,"BruneiDarussalam","328899",0.717213114754098
"51",50,239,167,1990,"BruneiDarussalam","328899",0.698744769874477
"52",51,232,182,1990,"BruneiDarussalam","328899",0.78448275862069
"53",52,221,181,1990,"BruneiDarussalam","328899",0.819004524886878
"54",53,219,170,1990,"BruneiDarussalam","328899",0.776255707762557
"55",54,209,180,1990,"BruneiDarussalam","328899",0.861244019138756
"56",55,199,160,1990,"BruneiDarussalam","328899",0.804020100502513
"57",56,181,162,1990,"BruneiDarussalam","328899",0.895027624309392
"58",57,163,146,1990,"BruneiDarussalam","328899",0.895705521472393
"59",58,160,141,1990,"BruneiDarussalam","328899",0.88125
"60",59,162,151,1990,"BruneiDarussalam","328899",0.932098765432099
"61",60,148,132,1990,"BruneiDarussalam","328899",0.891891891891892
"62",61,145,134,1990,"BruneiDarussalam","328899",0.924137931034483
"63",62,133,124,1990,"BruneiDarussalam","328899",0.932330827067669
"64",63,136,128,1990,"BruneiDarussalam","328899",0.941176470588235
"65",64,130,117,1990,"BruneiDarussalam","328899",0.9
"66",65,93,85,1990,"BruneiDarussalam","328899",0.913978494623656
"67",66,100,95,1990,"BruneiDarussalam","328899",0.95
"68",67,99,87,1990,"BruneiDarussalam","328899",0.878787878787879
"69",68,97,89,1990,"BruneiDarussalam","328899",0.917525773195876
"70",69,85,76,1990,"BruneiDarussalam","328899",0.894117647058824
"71",70,81,78,1990,"BruneiDarussalam","328899",0.962962962962963
"72",71,73,67,1990,"BruneiDarussalam","328899",0.917808219178082
"73",72,87,85,1990,"BruneiDarussalam","328899",0.977011494252874
"74",73,68,60,1990,"BruneiDarussalam","328899",0.882352941176471
"75",74,57,54,1990,"BruneiDarussalam","328899",0.947368421052632
"76",75,39,35,1990,"BruneiDarussalam","328899",0.897435897435897
"77",76,32,31,1990,"BruneiDarussalam","328899",0.96875
"78",77,37,35,1990,"BruneiDarussalam","328899",0.945945945945946
"79",78,29,27,1990,"BruneiDarussalam","328899",0.931034482758621
"80",79,16,16,1990,"BruneiDarussalam","328899",1
"81",80,18,18,1990,"BruneiDarussalam","328899",1
"82",81,12,11,1990,"BruneiDarussalam","328899",0.916666666666667
"83",82,12,10,1990,"BruneiDarussalam","328899",0.833333333333333
"84",83,11,10,1990,"BruneiDarussalam","328899",0.909090909090909
"85",84,7,6,1990,"BruneiDarussalam","328899",0.857142857142857
"86",85,5,3,1990,"BruneiDarussalam","328899",0.6
"87",86,7,7,1990,"BruneiDarussalam","328899",1
"88",87,5,5,1990,"BruneiDarussalam","328899",1
"89",88,3,3,1990,"BruneiDarussalam","328899",1
"90",89,1,1,1990,"BruneiDarussalam","328899",1
"91",90,5,5,1990,"BruneiDarussalam","328899",1
"92",91,1,1,1990,"BruneiDarussalam","328899",1
"93",94,1,1,1990,"BruneiDarussalam","328899",1
"94",95,1,1,1990,"BruneiDarussalam","328899",1
"95",0,689,0,1995,"BruneiDarussalam","328899",0
"96",1,683,0,1995,"BruneiDarussalam","328899",0
"97",2,671,0,1995,"BruneiDarussalam","328899",0
"98",3,664,0,1995,"BruneiDarussalam","328899",0
"99",4,660,0,1995,"BruneiDarussalam","328899",0
"100",5,699,0,1995,"BruneiDarussalam","328899",0
"101",6,652,0,1995,"BruneiDarussalam","328899",0
"102",7,649,0,1995,"BruneiDarussalam","328899",0
"103",8,657,0,1995,"BruneiDarussalam","328899",0
"104",9,657,0,1995,"BruneiDarussalam","328899",0
"105",10,663,0,1995,"BruneiDarussalam","328899",0
"106",11,666,0,1995,"BruneiDarussalam","328899",0
"107",12,653,0,1995,"BruneiDarussalam","328899",0
"108",13,627,0,1995,"BruneiDarussalam","328899",0
"109",14,578,0,1995,"BruneiDarussalam","328899",0
"110",15,641,0,1995,"BruneiDarussalam","328899",0
"111",16,628,0,1995,"BruneiDarussalam","328899",0
"112",17,600,0,1995,"BruneiDarussalam","328899",0
"113",18,597,0,1995,"BruneiDarussalam","328899",0
"114",19,557,0,1995,"BruneiDarussalam","328899",0
"115",20,697,0,1995,"BruneiDarussalam","328899",0
"116",21,677,0,1995,"BruneiDarussalam","328899",0
"117",22,633,0,1995,"BruneiDarussalam","328899",0
"118",23,587,0,1995,"BruneiDarussalam","328899",0
"119",24,607,0,1995,"BruneiDarussalam","328899",0
"120",25,594,0,1995,"BruneiDarussalam","328899",0
"121",26,628,0,1995,"BruneiDarussalam","328899",0
"122",27,587,0,1995,"BruneiDarussalam","328899",0
"123",28,560,1,1995,"BruneiDarussalam","328899",0.00178571428571429
"124",29,556,0,1995,"BruneiDarussalam","328899",0
"125",30,573,1,1995,"BruneiDarussalam","328899",0.00174520069808028
"126",31,517,2,1995,"BruneiDarussalam","328899",0.00386847195357834
"127",32,540,3,1995,"BruneiDarussalam","328899",0.00555555555555556
"128",33,483,8,1995,"BruneiDarussalam","328899",0.0165631469979296
"129",34,461,9,1995,"BruneiDarussalam","328899",0.0195227765726681
"130",35,439,17,1995,"BruneiDarussalam","328899",0.0387243735763098
"131",36,416,12,1995,"BruneiDarussalam","328899",0.0288461538461538
