"","age","pop","gp","year","country","seed","share"
"1",0,1709,0,1960,"Bulgaria","348439",0
"2",1,1655,0,1960,"Bulgaria","348439",0
"3",2,1569,0,1960,"Bulgaria","348439",0
"4",3,1613,0,1960,"Bulgaria","348439",0
"5",4,1607,0,1960,"Bulgaria","348439",0
"6",5,1716,0,1960,"Bulgaria","348439",0
"7",6,1748,0,1960,"Bulgaria","348439",0
"8",7,1630,0,1960,"Bulgaria","348439",0
"9",8,1655,0,1960,"Bulgaria","348439",0
"10",9,1652,0,1960,"Bulgaria","348439",0
"11",10,1654,0,1960,"Bulgaria","348439",0
"12",11,1643,0,1960,"Bulgaria","348439",0
"13",12,1575,0,1960,"Bulgaria","348439",0
"14",13,1669,0,1960,"Bulgaria","348439",0
"15",14,1620,0,1960,"Bulgaria","348439",0
"16",15,1660,0,1960,"Bulgaria","348439",0
"17",16,1627,0,1960,"Bulgaria","348439",0
"18",17,1596,0,1960,"Bulgaria","348439",0
"19",18,1622,0,1960,"Bulgaria","348439",0
"20",19,1622,0,1960,"Bulgaria","348439",0
"21",20,1633,0,1960,"Bulgaria","348439",0
"22",21,1608,0,1960,"Bulgaria","348439",0
"23",22,1632,0,1960,"Bulgaria","348439",0
"24",23,1573,0,1960,"Bulgaria","348439",0
"25",24,1624,0,1960,"Bulgaria","348439",0
"26",25,1591,2,1960,"Bulgaria","348439",0.00125707102451289
"27",26,1574,2,1960,"Bulgaria","348439",0.00127064803049555
"28",27,1668,0,1960,"Bulgaria","348439",0
"29",28,1583,4,1960,"Bulgaria","348439",0.00252684775742262
"30",29,1558,3,1960,"Bulgaria","348439",0.00192554557124519
"31",30,1537,6,1960,"Bulgaria","348439",0.00390370852309694
"32",31,1571,6,1960,"Bulgaria","348439",0.00381922342457034
"33",32,1499,15,1960,"Bulgaria","348439",0.010006671114076
"34",33,1567,27,1960,"Bulgaria","348439",0.017230376515635
"35",34,1511,46,1960,"Bulgaria","348439",0.0304434149569821
"36",35,1504,52,1960,"Bulgaria","348439",0.0345744680851064
"37",36,1570,78,1960,"Bulgaria","348439",0.0496815286624204
"38",37,1502,115,1960,"Bulgaria","348439",0.0765645805592543
"39",38,1519,154,1960,"Bulgaria","348439",0.101382488479263
"40",39,1536,184,1960,"Bulgaria","348439",0.119791666666667
"41",40,1505,257,1960,"Bulgaria","348439",0.170764119601329
"42",41,1380,270,1960,"Bulgaria","348439",0.195652173913043
"43",42,1507,341,1960,"Bulgaria","348439",0.226277372262774
"44",43,1491,408,1960,"Bulgaria","348439",0.27364185110664
"45",44,1485,458,1960,"Bulgaria","348439",0.308417508417508
"46",45,1492,482,1960,"Bulgaria","348439",0.323056300268097
"47",46,1438,533,1960,"Bulgaria","348439",0.370653685674548
"48",47,1491,575,1960,"Bulgaria","348439",0.385647216633132
"49",48,1432,630,1960,"Bulgaria","348439",0.439944134078212
"50",49,1398,626,1960,"Bulgaria","348439",0.447782546494993
"51",50,1394,667,1960,"Bulgaria","348439",0.478479196556671
"52",51,1453,748,1960,"Bulgaria","348439",0.514796971782519
"53",52,1412,809,1960,"Bulgaria","348439",0.572946175637394
"54",53,1388,794,1960,"Bulgaria","348439",0.572046109510086
"55",54,1344,833,1960,"Bulgaria","348439",0.619791666666667
"56",55,1401,870,1960,"Bulgaria","348439",0.620985010706638
"57",56,1342,858,1960,"Bulgaria","348439",0.639344262295082
"58",57,1361,844,1960,"Bulgaria","348439",0.620132255694342
"59",58,1308,862,1960,"Bulgaria","348439",0.659021406727829
"60",59,1302,861,1960,"Bulgaria","348439",0.661290322580645
"61",60,1265,851,1960,"Bulgaria","348439",0.672727272727273
"62",61,1238,857,1960,"Bulgaria","348439",0.692245557350565
"63",62,1195,785,1960,"Bulgaria","348439",0.656903765690377
"64",63,1208,843,1960,"Bulgaria","348439",0.697847682119205
"65",64,1178,809,1960,"Bulgaria","348439",0.686757215619694
"66",65,1163,811,1960,"Bulgaria","348439",0.697334479793637
"67",66,1022,724,1960,"Bulgaria","348439",0.708414872798434
"68",67,1045,753,1960,"Bulgaria","348439",0.720574162679426
"69",68,1064,727,1960,"Bulgaria","348439",0.683270676691729
"70",69,1001,691,1960,"Bulgaria","348439",0.69030969030969
"71",70,876,625,1960,"Bulgaria","348439",0.713470319634703
"72",71,927,644,1960,"Bulgaria","348439",0.694714131607336
"73",72,848,575,1960,"Bulgaria","348439",0.678066037735849
"74",73,792,578,1960,"Bulgaria","348439",0.72979797979798
"75",74,754,535,1960,"Bulgaria","348439",0.709549071618037
"76",75,709,504,1960,"Bulgaria","348439",0.710860366713681
"77",76,724,506,1960,"Bulgaria","348439",0.69889502762431
"78",77,593,438,1960,"Bulgaria","348439",0.738617200674536
"79",78,558,418,1960,"Bulgaria","348439",0.74910394265233
"80",79,477,355,1960,"Bulgaria","348439",0.744234800838574
"81",80,453,328,1960,"Bulgaria","348439",0.724061810154525
"82",81,388,286,1960,"Bulgaria","348439",0.737113402061856
"83",82,347,242,1960,"Bulgaria","348439",0.697406340057637
"84",83,285,206,1960,"Bulgaria","348439",0.72280701754386
"85",84,277,184,1960,"Bulgaria","348439",0.664259927797834
"86",85,225,159,1960,"Bulgaria","348439",0.706666666666667
"87",86,186,145,1960,"Bulgaria","348439",0.779569892473118
"88",87,146,110,1960,"Bulgaria","348439",0.753424657534247
"89",88,127,95,1960,"Bulgaria","348439",0.748031496062992
"90",89,115,82,1960,"Bulgaria","348439",0.71304347826087
"91",90,85,62,1960,"Bulgaria","348439",0.729411764705882
"92",91,75,58,1960,"Bulgaria","348439",0.773333333333333
"93",92,54,34,1960,"Bulgaria","348439",0.62962962962963
"94",93,40,28,1960,"Bulgaria","348439",0.7
"95",94,40,31,1960,"Bulgaria","348439",0.775
"96",95,28,19,1960,"Bulgaria","348439",0.678571428571429
"97",96,22,11,1960,"Bulgaria","348439",0.5
"98",97,20,14,1960,"Bulgaria","348439",0.7
"99",98,19,12,1960,"Bulgaria","348439",0.631578947368421
"100",99,7,6,1960,"Bulgaria","348439",0.857142857142857
"101",0,1777,0,1965,"Bulgaria","348439",0
"102",1,1565,0,1965,"Bulgaria","348439",0
"103",2,1687,0,1965,"Bulgaria","348439",0
"104",3,1659,0,1965,"Bulgaria","348439",0
"105",4,1587,0,1965,"Bulgaria","348439",0
"106",5,1659,0,1965,"Bulgaria","348439",0
"107",6,1637,0,1965,"Bulgaria","348439",0
"108",7,1554,0,1965,"Bulgaria","348439",0
"109",8,1608,0,1965,"Bulgaria","348439",0
"110",9,1602,0,1965,"Bulgaria","348439",0
"111",10,1705,0,1965,"Bulgaria","348439",0
"112",11,1745,0,1965,"Bulgaria","348439",0
"113",12,1627,0,1965,"Bulgaria","348439",0
"114",13,1652,0,1965,"Bulgaria","348439",0
"115",14,1644,0,1965,"Bulgaria","348439",0
"116",15,1651,0,1965,"Bulgaria","348439",0
"117",16,1638,0,1965,"Bulgaria","348439",0
"118",17,1565,0,1965,"Bulgaria","348439",0
"119",18,1663,0,1965,"Bulgaria","348439",0
"120",19,1616,0,1965,"Bulgaria","348439",0
"121",20,1653,0,1965,"Bulgaria","348439",0
"122",21,1618,0,1965,"Bulgaria","348439",0
"123",22,1589,0,1965,"Bulgaria","348439",0
"124",23,1618,1,1965,"Bulgaria","348439",0.000618046971569839
"125",24,1615,0,1965,"Bulgaria","348439",0
"126",25,1622,0,1965,"Bulgaria","348439",0
"127",26,1601,0,1965,"Bulgaria","348439",0
"128",27,1625,0,1965,"Bulgaria","348439",0
"129",28,1564,4,1965,"Bulgaria","348439",0.00255754475703325
"130",29,1616,3,1965,"Bulgaria","348439",0.00185643564356436
"131",30,1583,6,1965,"Bulgaria","348439",0.00379027163613392
"132",31,1565,14,1965,"Bulgaria","348439",0.00894568690095847
"133",32,1662,19,1965,"Bulgaria","348439",0.0114320096269555
"134",33,1577,32,1965,"Bulgaria","348439",0.020291693088142
"135",34,1546,25,1965,"Bulgaria","348439",0.0161707632600259
"136",35,1522,56,1965,"Bulgaria","348439",0.0367936925098555
"137",36,1555,89,1965,"Bulgaria","348439",0.0572347266881029
"138",37,1486,115,1965,"Bulgaria","348439",0.0773889636608345
"139",38,1554,169,1965,"Bulgaria","348439",0.108751608751609
"140",39,1501,222,1965,"Bulgaria","348439",0.147901399067288
"141",40,1481,242,1965,"Bulgaria","348439",0.163403106009453
"142",41,1559,311,1965,"Bulgaria","348439",0.199486850545221
"143",42,1482,375,1965,"Bulgaria","348439",0.253036437246964
"144",43,1498,431,1965,"Bulgaria","348439",0.287716955941255
"145",44,1513,513,1965,"Bulgaria","348439",0.339061467283543
"146",45,1480,568,1965,"Bulgaria","348439",0.383783783783784
"147",46,1361,563,1965,"Bulgaria","348439",0.413666421748714
"148",47,1482,663,1965,"Bulgaria","348439",0.447368421052632
"149",48,1454,684,1965,"Bulgaria","348439",0.470426409903714
"150",49,1454,744,1965,"Bulgaria","348439",0.511691884456671
"151",50,1458,721,1965,"Bulgaria","348439",0.494513031550069
"152",51,1406,739,1965,"Bulgaria","348439",0.525604551920341
"153",52,1447,786,1965,"Bulgaria","348439",0.543192812715964
"154",53,1384,786,1965,"Bulgaria","348439",0.567919075144509
"155",54,1354,758,1965,"Bulgaria","348439",0.559822747415066
"156",55,1348,804,1965,"Bulgaria","348439",0.596439169139466
"157",56,1405,871,1965,"Bulgaria","348439",0.619928825622776
"158",57,1360,894,1965,"Bulgaria","348439",0.657352941176471
"159",58,1324,865,1965,"Bulgaria","348439",0.653323262839879
"160",59,1270,877,1965,"Bulgaria","348439",0.690551181102362
"161",60,1329,915,1965,"Bulgaria","348439",0.688487584650113
"162",61,1263,868,1965,"Bulgaria","348439",0.687252573238321
"163",62,1275,846,1965,"Bulgaria","348439",0.663529411764706
"164",63,1214,843,1965,"Bulgaria","348439",0.694398682042834
"165",64,1196,840,1965,"Bulgaria","348439",0.702341137123746
"166",65,1153,811,1965,"Bulgaria","348439",0.70338248048569
"167",66,1117,794,1965,"Bulgaria","348439",0.710832587287377
"168",67,1052,720,1965,"Bulgaria","348439",0.684410646387833
"169",68,1073,756,1965,"Bulgaria","348439",0.704566635601118
"170",69,1022,723,1965,"Bulgaria","348439",0.707436399217221
"171",70,980,698,1965,"Bulgaria","348439",0.712244897959184
"172",71,857,617,1965,"Bulgaria","348439",0.719953325554259
"173",72,877,634,1965,"Bulgaria","348439",0.722919042189282
"174",73,874,596,1965,"Bulgaria","348439",0.681922196796339
"175",74,789,555,1965,"Bulgaria","348439",0.703422053231939
