"","age","pop","gp","year","country","seed","share"
"1",0,511,0,1960,"BurkinaFaso","234435",0
"2",1,449,0,1960,"BurkinaFaso","234435",0
"3",2,394,0,1960,"BurkinaFaso","234435",0
"4",3,376,0,1960,"BurkinaFaso","234435",0
"5",4,359,0,1960,"BurkinaFaso","234435",0
"6",5,341,0,1960,"BurkinaFaso","234435",0
"7",6,309,0,1960,"BurkinaFaso","234435",0
"8",7,319,0,1960,"BurkinaFaso","234435",0
"9",8,265,0,1960,"BurkinaFaso","234435",0
"10",9,286,0,1960,"BurkinaFaso","234435",0
"11",10,285,0,1960,"BurkinaFaso","234435",0
"12",11,317,0,1960,"BurkinaFaso","234435",0
"13",12,344,0,1960,"BurkinaFaso","234435",0
"14",13,306,0,1960,"BurkinaFaso","234435",0
"15",14,291,0,1960,"BurkinaFaso","234435",0
"16",15,306,0,1960,"BurkinaFaso","234435",0
"17",16,281,0,1960,"BurkinaFaso","234435",0
"18",17,279,0,1960,"BurkinaFaso","234435",0
"19",18,318,0,1960,"BurkinaFaso","234435",0
"20",19,280,0,1960,"BurkinaFaso","234435",0
"21",20,279,0,1960,"BurkinaFaso","234435",0
"22",21,267,0,1960,"BurkinaFaso","234435",0
"23",22,284,0,1960,"BurkinaFaso","234435",0
"24",23,267,0,1960,"BurkinaFaso","234435",0
"25",24,274,0,1960,"BurkinaFaso","234435",0
"26",25,230,0,1960,"BurkinaFaso","234435",0
"27",26,228,0,1960,"BurkinaFaso","234435",0
"28",27,256,0,1960,"BurkinaFaso","234435",0
"29",28,232,1,1960,"BurkinaFaso","234435",0.00431034482758621
"30",29,226,2,1960,"BurkinaFaso","234435",0.00884955752212389
"31",30,242,3,1960,"BurkinaFaso","234435",0.012396694214876
"32",31,218,5,1960,"BurkinaFaso","234435",0.0229357798165138
"33",32,209,8,1960,"BurkinaFaso","234435",0.0382775119617225
"34",33,209,13,1960,"BurkinaFaso","234435",0.062200956937799
"35",34,195,13,1960,"BurkinaFaso","234435",0.0666666666666667
"36",35,197,18,1960,"BurkinaFaso","234435",0.0913705583756345
"37",36,173,27,1960,"BurkinaFaso","234435",0.15606936416185
"38",37,206,40,1960,"BurkinaFaso","234435",0.194174757281553
"39",38,182,44,1960,"BurkinaFaso","234435",0.241758241758242
"40",39,166,46,1960,"BurkinaFaso","234435",0.27710843373494
"41",40,165,57,1960,"BurkinaFaso","234435",0.345454545454545
"42",41,200,79,1960,"BurkinaFaso","234435",0.395
"43",42,154,66,1960,"BurkinaFaso","234435",0.428571428571429
"44",43,163,79,1960,"BurkinaFaso","234435",0.484662576687117
"45",44,134,84,1960,"BurkinaFaso","234435",0.626865671641791
"46",45,145,87,1960,"BurkinaFaso","234435",0.6
"47",46,147,95,1960,"BurkinaFaso","234435",0.646258503401361
"48",47,126,86,1960,"BurkinaFaso","234435",0.682539682539683
"49",48,139,93,1960,"BurkinaFaso","234435",0.669064748201439
"50",49,128,83,1960,"BurkinaFaso","234435",0.6484375
"51",50,115,82,1960,"BurkinaFaso","234435",0.71304347826087
"52",51,141,103,1960,"BurkinaFaso","234435",0.730496453900709
"53",52,132,98,1960,"BurkinaFaso","234435",0.742424242424242
"54",53,118,92,1960,"BurkinaFaso","234435",0.779661016949153
"55",54,104,89,1960,"BurkinaFaso","234435",0.855769230769231
"56",55,109,91,1960,"BurkinaFaso","234435",0.834862385321101
"57",56,92,74,1960,"BurkinaFaso","234435",0.804347826086957
"58",57,85,66,1960,"BurkinaFaso","234435",0.776470588235294
"59",58,84,70,1960,"BurkinaFaso","234435",0.833333333333333
"60",59,75,58,1960,"BurkinaFaso","234435",0.773333333333333
"61",60,87,79,1960,"BurkinaFaso","234435",0.908045977011494
"62",61,76,61,1960,"BurkinaFaso","234435",0.802631578947368
"63",62,69,54,1960,"BurkinaFaso","234435",0.782608695652174
"64",63,80,70,1960,"BurkinaFaso","234435",0.875
"65",64,62,49,1960,"BurkinaFaso","234435",0.790322580645161
"66",65,51,41,1960,"BurkinaFaso","234435",0.803921568627451
"67",66,47,35,1960,"BurkinaFaso","234435",0.74468085106383
"68",67,60,50,1960,"BurkinaFaso","234435",0.833333333333333
"69",68,48,39,1960,"BurkinaFaso","234435",0.8125
"70",69,39,32,1960,"BurkinaFaso","234435",0.82051282051282
"71",70,36,30,1960,"BurkinaFaso","234435",0.833333333333333
"72",71,32,29,1960,"BurkinaFaso","234435",0.90625
"73",72,31,24,1960,"BurkinaFaso","234435",0.774193548387097
"74",73,34,30,1960,"BurkinaFaso","234435",0.88235294117647
"75",74,21,15,1960,"BurkinaFaso","234435",0.714285714285714
"76",75,20,15,1960,"BurkinaFaso","234435",0.75
"77",76,15,15,1960,"BurkinaFaso","234435",1
"78",77,9,8,1960,"BurkinaFaso","234435",0.888888888888889
"79",78,9,9,1960,"BurkinaFaso","234435",1
"80",79,9,7,1960,"BurkinaFaso","234435",0.777777777777778
"81",80,7,6,1960,"BurkinaFaso","234435",0.857142857142857
"82",81,2,2,1960,"BurkinaFaso","234435",1
"83",82,3,2,1960,"BurkinaFaso","234435",0.666666666666667
"84",83,5,5,1960,"BurkinaFaso","234435",1
"85",84,1,0,1960,"BurkinaFaso","234435",0
"86",85,2,1,1960,"BurkinaFaso","234435",0.5
"87",88,1,1,1960,"BurkinaFaso","234435",1
"88",0,551,0,1965,"BurkinaFaso","234435",0
"89",1,502,0,1965,"BurkinaFaso","234435",0
"90",2,449,0,1965,"BurkinaFaso","234435",0
"91",3,452,0,1965,"BurkinaFaso","234435",0
"92",4,392,0,1965,"BurkinaFaso","234435",0
"93",5,397,0,1965,"BurkinaFaso","234435",0
"94",6,376,0,1965,"BurkinaFaso","234435",0
"95",7,354,0,1965,"BurkinaFaso","234435",0
"96",8,337,0,1965,"BurkinaFaso","234435",0
"97",9,331,0,1965,"BurkinaFaso","234435",0
"98",10,326,0,1965,"BurkinaFaso","234435",0
"99",11,292,0,1965,"BurkinaFaso","234435",0
"100",12,307,0,1965,"BurkinaFaso","234435",0
"101",13,256,0,1965,"BurkinaFaso","234435",0
"102",14,280,0,1965,"BurkinaFaso","234435",0
"103",15,280,0,1965,"BurkinaFaso","234435",0
"104",16,310,0,1965,"BurkinaFaso","234435",0
"105",17,335,0,1965,"BurkinaFaso","234435",0
"106",18,300,0,1965,"BurkinaFaso","234435",0
"107",19,280,0,1965,"BurkinaFaso","234435",0
"108",20,286,0,1965,"BurkinaFaso","234435",0
"109",21,264,0,1965,"BurkinaFaso","234435",0
"110",22,264,0,1965,"BurkinaFaso","234435",0
"111",23,300,0,1965,"BurkinaFaso","234435",0
"112",24,267,0,1965,"BurkinaFaso","234435",0
"113",25,262,0,1965,"BurkinaFaso","234435",0
"114",26,252,0,1965,"BurkinaFaso","234435",0
"115",27,275,0,1965,"BurkinaFaso","234435",0
"116",28,255,1,1965,"BurkinaFaso","234435",0.00392156862745098
"117",29,262,1,1965,"BurkinaFaso","234435",0.00381679389312977
"118",30,218,3,1965,"BurkinaFaso","234435",0.0137614678899083
"119",31,213,6,1965,"BurkinaFaso","234435",0.028169014084507
"120",32,234,5,1965,"BurkinaFaso","234435",0.0213675213675214
"121",33,220,8,1965,"BurkinaFaso","234435",0.0363636363636364
"122",34,214,18,1965,"BurkinaFaso","234435",0.0841121495327103
"123",35,229,24,1965,"BurkinaFaso","234435",0.104803493449782
"124",36,203,33,1965,"BurkinaFaso","234435",0.16256157635468
"125",37,194,31,1965,"BurkinaFaso","234435",0.15979381443299
"126",38,195,56,1965,"BurkinaFaso","234435",0.287179487179487
"127",39,185,51,1965,"BurkinaFaso","234435",0.275675675675676
"128",40,186,56,1965,"BurkinaFaso","234435",0.301075268817204
"129",41,164,56,1965,"BurkinaFaso","234435",0.341463414634146
"130",42,187,92,1965,"BurkinaFaso","234435",0.491978609625668
"131",43,176,77,1965,"BurkinaFaso","234435",0.4375
"132",44,157,74,1965,"BurkinaFaso","234435",0.471337579617834
"133",45,151,91,1965,"BurkinaFaso","234435",0.602649006622517
"134",46,187,114,1965,"BurkinaFaso","234435",0.609625668449198
"135",47,142,90,1965,"BurkinaFaso","234435",0.633802816901408
"136",48,145,93,1965,"BurkinaFaso","234435",0.641379310344828
"137",49,120,87,1965,"BurkinaFaso","234435",0.725
"138",50,132,94,1965,"BurkinaFaso","234435",0.712121212121212
"139",51,136,101,1965,"BurkinaFaso","234435",0.74264705882353
"140",52,113,87,1965,"BurkinaFaso","234435",0.769911504424779
"141",53,129,100,1965,"BurkinaFaso","234435",0.775193798449612
"142",54,102,83,1965,"BurkinaFaso","234435",0.813725490196078
"143",55,103,84,1965,"BurkinaFaso","234435",0.815533980582524
"144",56,124,94,1965,"BurkinaFaso","234435",0.758064516129032
"145",57,118,93,1965,"BurkinaFaso","234435",0.788135593220339
"146",58,103,84,1965,"BurkinaFaso","234435",0.815533980582524
"147",59,88,76,1965,"BurkinaFaso","234435",0.863636363636364
"148",60,94,79,1965,"BurkinaFaso","234435",0.840425531914894
"149",61,75,62,1965,"BurkinaFaso","234435",0.826666666666667
"150",62,70,55,1965,"BurkinaFaso","234435",0.785714285714286
"151",63,66,59,1965,"BurkinaFaso","234435",0.893939393939394
"152",64,61,48,1965,"BurkinaFaso","234435",0.786885245901639
"153",65,68,62,1965,"BurkinaFaso","234435",0.911764705882353
"154",66,61,50,1965,"BurkinaFaso","234435",0.819672131147541
"155",67,56,43,1965,"BurkinaFaso","234435",0.767857142857143
"156",68,63,55,1965,"BurkinaFaso","234435",0.873015873015873
"157",69,51,40,1965,"BurkinaFaso","234435",0.784313725490196
"158",70,39,31,1965,"BurkinaFaso","234435",0.794871794871795
"159",71,30,24,1965,"BurkinaFaso","234435",0.8
"160",72,34,27,1965,"BurkinaFaso","234435",0.794117647058823
"161",73,28,21,1965,"BurkinaFaso","234435",0.75
"162",74,25,22,1965,"BurkinaFaso","234435",0.88
"163",75,20,17,1965,"BurkinaFaso","234435",0.85
"164",76,17,16,1965,"BurkinaFaso","234435",0.941176470588235
"165",77,16,13,1965,"BurkinaFaso","234435",0.8125
"166",78,14,13,1965,"BurkinaFaso","234435",0.928571428571429
"167",79,12,8,1965,"BurkinaFaso","234435",0.666666666666667
"168",80,10,6,1965,"BurkinaFaso","234435",0.6
"169",81,6,6,1965,"BurkinaFaso","234435",1
"170",82,4,4,1965,"BurkinaFaso","234435",1
"171",83,2,2,1965,"BurkinaFaso","234435",1
"172",84,3,3,1965,"BurkinaFaso","234435",1
"173",85,1,1,1965,"BurkinaFaso","234435",1
"174",87,1,0,1965,"BurkinaFaso","234435",0
"175",88,2,2,1965,"BurkinaFaso","234435",1
"176",90,1,0,1965,"BurkinaFaso","234435",0
"177",0,591,0,1970,"BurkinaFaso","234435",0
"178",1,514,0,1970,"BurkinaFaso","234435",0
"179",2,503,0,1970,"BurkinaFaso","234435",0
"180",3,490,0,1970,"BurkinaFaso","234435",0
"181",4,415,0,1970,"BurkinaFaso","234435",0
"182",5,426,0,1970,"BurkinaFaso","234435",0
"183",6,430,0,1970,"BurkinaFaso","234435",0
