"","age","pop","gp","year","country","seed","share"
"1",0,445,0,1960,"Burundi","21885",0
"2",1,372,0,1960,"Burundi","21885",0
"3",2,378,0,1960,"Burundi","21885",0
"4",3,380,0,1960,"Burundi","21885",0
"5",4,335,0,1960,"Burundi","21885",0
"6",5,326,0,1960,"Burundi","21885",0
"7",6,294,0,1960,"Burundi","21885",0
"8",7,280,0,1960,"Burundi","21885",0
"9",8,296,0,1960,"Burundi","21885",0
"10",9,276,0,1960,"Burundi","21885",0
"11",10,320,0,1960,"Burundi","21885",0
"12",11,288,0,1960,"Burundi","21885",0
"13",12,287,0,1960,"Burundi","21885",0
"14",13,273,0,1960,"Burundi","21885",0
"15",14,311,0,1960,"Burundi","21885",0
"16",15,279,0,1960,"Burundi","21885",0
"17",16,259,0,1960,"Burundi","21885",0
"18",17,266,0,1960,"Burundi","21885",0
"19",18,260,0,1960,"Burundi","21885",0
"20",19,257,0,1960,"Burundi","21885",0
"21",20,266,0,1960,"Burundi","21885",0
"22",21,228,0,1960,"Burundi","21885",0
"23",22,242,0,1960,"Burundi","21885",0
"24",23,208,0,1960,"Burundi","21885",0
"25",24,233,0,1960,"Burundi","21885",0
"26",25,219,0,1960,"Burundi","21885",0
"27",26,226,0,1960,"Burundi","21885",0
"28",27,205,0,1960,"Burundi","21885",0
"29",28,197,0,1960,"Burundi","21885",0
"30",29,196,0,1960,"Burundi","21885",0
"31",30,166,0,1960,"Burundi","21885",0
"32",31,180,1,1960,"Burundi","21885",0.00555555555555556
"33",32,155,0,1960,"Burundi","21885",0
"34",33,176,3,1960,"Burundi","21885",0.0170454545454545
"35",34,191,7,1960,"Burundi","21885",0.0366492146596859
"36",35,149,4,1960,"Burundi","21885",0.0268456375838926
"37",36,150,12,1960,"Burundi","21885",0.08
"38",37,136,10,1960,"Burundi","21885",0.0735294117647059
"39",38,134,15,1960,"Burundi","21885",0.111940298507463
"40",39,135,24,1960,"Burundi","21885",0.177777777777778
"41",40,123,27,1960,"Burundi","21885",0.219512195121951
"42",41,108,37,1960,"Burundi","21885",0.342592592592593
"43",42,123,34,1960,"Burundi","21885",0.276422764227642
"44",43,112,37,1960,"Burundi","21885",0.330357142857143
"45",44,105,51,1960,"Burundi","21885",0.485714285714286
"46",45,121,65,1960,"Burundi","21885",0.537190082644628
"47",46,88,52,1960,"Burundi","21885",0.590909090909091
"48",47,108,65,1960,"Burundi","21885",0.601851851851852
"49",48,113,72,1960,"Burundi","21885",0.63716814159292
"50",49,90,60,1960,"Burundi","21885",0.666666666666667
"51",50,82,66,1960,"Burundi","21885",0.804878048780488
"52",51,95,67,1960,"Burundi","21885",0.705263157894737
"53",52,86,74,1960,"Burundi","21885",0.86046511627907
"54",53,88,65,1960,"Burundi","21885",0.738636363636364
"55",54,72,62,1960,"Burundi","21885",0.861111111111111
"56",55,67,55,1960,"Burundi","21885",0.82089552238806
"57",56,57,44,1960,"Burundi","21885",0.771929824561403
"58",57,55,48,1960,"Burundi","21885",0.872727272727273
"59",58,70,57,1960,"Burundi","21885",0.814285714285714
"60",59,62,57,1960,"Burundi","21885",0.919354838709677
"61",60,44,42,1960,"Burundi","21885",0.954545454545455
"62",61,51,47,1960,"Burundi","21885",0.92156862745098
"63",62,56,48,1960,"Burundi","21885",0.857142857142857
"64",63,45,42,1960,"Burundi","21885",0.933333333333333
"65",64,51,48,1960,"Burundi","21885",0.941176470588235
"66",65,34,30,1960,"Burundi","21885",0.88235294117647
"67",66,37,34,1960,"Burundi","21885",0.918918918918919
