"","age","pop","gp","year","country","seed","share"
"1",0,265,0,1960,"CtedIvoire","134522",0
"2",1,247,0,1960,"CtedIvoire","134522",0
"3",2,210,0,1960,"CtedIvoire","134522",0
"4",3,191,0,1960,"CtedIvoire","134522",0
"5",4,171,0,1960,"CtedIvoire","134522",0
"6",5,190,0,1960,"CtedIvoire","134522",0
"7",6,189,0,1960,"CtedIvoire","134522",0
"8",7,165,0,1960,"CtedIvoire","134522",0
"9",8,149,0,1960,"CtedIvoire","134522",0
"10",9,146,0,1960,"CtedIvoire","134522",0
"11",10,186,0,1960,"CtedIvoire","134522",0
"12",11,167,0,1960,"CtedIvoire","134522",0
"13",12,173,0,1960,"CtedIvoire","134522",0
"14",13,142,0,1960,"CtedIvoire","134522",0
"15",14,135,0,1960,"CtedIvoire","134522",0
"16",15,137,0,1960,"CtedIvoire","134522",0
"17",16,147,0,1960,"CtedIvoire","134522",0
"18",17,138,0,1960,"CtedIvoire","134522",0
"19",18,129,0,1960,"CtedIvoire","134522",0
"20",19,135,0,1960,"CtedIvoire","134522",0
"21",20,145,0,1960,"CtedIvoire","134522",0
"22",21,108,0,1960,"CtedIvoire","134522",0
"23",22,134,0,1960,"CtedIvoire","134522",0
"24",23,102,0,1960,"CtedIvoire","134522",0
"25",24,114,0,1960,"CtedIvoire","134522",0
"26",25,102,0,1960,"CtedIvoire","134522",0
"27",26,102,0,1960,"CtedIvoire","134522",0
"28",27,109,1,1960,"CtedIvoire","134522",0.0091743119266055
"29",28,106,1,1960,"CtedIvoire","134522",0.00943396226415094
"30",29,126,1,1960,"CtedIvoire","134522",0.00793650793650794
"31",30,102,4,1960,"CtedIvoire","134522",0.0392156862745098
"32",31,86,0,1960,"CtedIvoire","134522",0
"33",32,87,4,1960,"CtedIvoire","134522",0.0459770114942529
"34",33,96,6,1960,"CtedIvoire","134522",0.0625
"35",34,96,8,1960,"CtedIvoire","134522",0.0833333333333333
"36",35,83,13,1960,"CtedIvoire","134522",0.156626506024096
"37",36,98,14,1960,"CtedIvoire","134522",0.142857142857143
"38",37,74,14,1960,"CtedIvoire","134522",0.189189189189189
"39",38,87,23,1960,"CtedIvoire","134522",0.264367816091954
"40",39,69,30,1960,"CtedIvoire","134522",0.434782608695652
"41",40,78,24,1960,"CtedIvoire","134522",0.307692307692308
"42",41,76,41,1960,"CtedIvoire","134522",0.539473684210526
"43",42,71,36,1960,"CtedIvoire","134522",0.507042253521127
"44",43,66,43,1960,"CtedIvoire","134522",0.651515151515151
"45",44,65,44,1960,"CtedIvoire","134522",0.676923076923077
"46",45,67,41,1960,"CtedIvoire","134522",0.611940298507463
"47",46,61,34,1960,"CtedIvoire","134522",0.557377049180328
"48",47,67,46,1960,"CtedIvoire","134522",0.686567164179104
"49",48,54,35,1960,"CtedIvoire","134522",0.648148148148148
"50",49,52,33,1960,"CtedIvoire","134522",0.634615384615385
"51",50,61,45,1960,"CtedIvoire","134522",0.737704918032787
"52",51,55,36,1960,"CtedIvoire","134522",0.654545454545455
"53",52,60,41,1960,"CtedIvoire","134522",0.683333333333333
"54",53,53,33,1960,"CtedIvoire","134522",0.622641509433962
"55",54,48,35,1960,"CtedIvoire","134522",0.729166666666667
"56",55,42,36,1960,"CtedIvoire","134522",0.857142857142857
"57",56,46,40,1960,"CtedIvoire","134522",0.869565217391304
"58",57,37,28,1960,"CtedIvoire","134522",0.756756756756757
"59",58,45,36,1960,"CtedIvoire","134522",0.8
"60",59,36,32,1960,"CtedIvoire","134522",0.888888888888889
"61",60,35,33,1960,"CtedIvoire","134522",0.942857142857143
"62",61,37,32,1960,"CtedIvoire","134522",0.864864864864865
"63",62,27,22,1960,"CtedIvoire","134522",0.814814814814815
"64",63,38,36,1960,"CtedIvoire","134522",0.947368421052632
"65",64,27,20,1960,"CtedIvoire","134522",0.740740740740741
"66",65,29,26,1960,"CtedIvoire","134522",0.896551724137931
"67",66,35,29,1960,"CtedIvoire","134522",0.828571428571429
"68",67,32,29,1960,"CtedIvoire","134522",0.90625
"69",68,21,19,1960,"CtedIvoire","134522",0.904761904761905
"70",69,22,15,1960,"CtedIvoire","134522",0.681818181818182
"71",70,28,25,1960,"CtedIvoire","134522",0.892857142857143
"72",71,21,19,1960,"CtedIvoire","134522",0.904761904761905
"73",72,17,15,1960,"CtedIvoire","134522",0.88235294117647
"74",73,15,14,1960,"CtedIvoire","134522",0.933333333333333
"75",74,19,15,1960,"CtedIvoire","134522",0.789473684210526
"76",75,17,14,1960,"CtedIvoire","134522",0.823529411764706
"77",76,9,9,1960,"CtedIvoire","134522",1
"78",77,7,7,1960,"CtedIvoire","134522",1
"79",78,10,9,1960,"CtedIvoire","134522",0.9
"80",79,7,6,1960,"CtedIvoire","134522",0.857142857142857
"81",80,13,12,1960,"CtedIvoire","134522",0.923076923076923
"82",81,5,5,1960,"CtedIvoire","134522",1
"83",82,2,1,1960,"CtedIvoire","134522",0.5
"84",83,7,7,1960,"CtedIvoire","134522",1
"85",84,5,3,1960,"CtedIvoire","134522",0.6
"86",85,3,2,1960,"CtedIvoire","134522",0.666666666666667
"87",86,4,4,1960,"CtedIvoire","134522",1
"88",87,5,4,1960,"CtedIvoire","134522",0.8
"89",88,1,1,1960,"CtedIvoire","134522",1
"90",93,1,1,1960,"CtedIvoire","134522",1
"91",94,1,1,1960,"CtedIvoire","134522",1
"92",0,298,0,1965,"CtedIvoire","134522",0
"93",1,251,0,1965,"CtedIvoire","134522",0
"94",2,248,0,1965,"CtedIvoire","134522",0
"95",3,212,0,1965,"CtedIvoire","134522",0
"96",4,218,0,1965,"CtedIvoire","134522",0
"97",5,200,0,1965,"CtedIvoire","134522",0
"98",6,199,0,1965,"CtedIvoire","134522",0
"99",7,180,0,1965,"CtedIvoire","134522",0
"100",8,175,0,1965,"CtedIvoire","134522",0
"101",9,152,0,1965,"CtedIvoire","134522",0
"102",10,179,0,1965,"CtedIvoire","134522",0
"103",11,181,0,1965,"CtedIvoire","134522",0
"104",12,152,0,1965,"CtedIvoire","134522",0
"105",13,139,0,1965,"CtedIvoire","134522",0
"106",14,138,0,1965,"CtedIvoire","134522",0
"107",15,177,0,1965,"CtedIvoire","134522",0
"108",16,166,0,1965,"CtedIvoire","134522",0
"109",17,166,0,1965,"CtedIvoire","134522",0
