"","age","pop","gp","year","country","seed","share"
"1",0,315,0,1990,"CaboVerde","113017",0
"2",1,303,0,1990,"CaboVerde","113017",0
"3",2,298,0,1990,"CaboVerde","113017",0
"4",3,291,0,1990,"CaboVerde","113017",0
"5",4,292,0,1990,"CaboVerde","113017",0
"6",5,269,0,1990,"CaboVerde","113017",0
"7",6,285,0,1990,"CaboVerde","113017",0
"8",7,252,0,1990,"CaboVerde","113017",0
"9",8,235,0,1990,"CaboVerde","113017",0
"10",9,246,0,1990,"CaboVerde","113017",0
"11",10,218,0,1990,"CaboVerde","113017",0
"12",11,232,0,1990,"CaboVerde","113017",0
"13",12,251,0,1990,"CaboVerde","113017",0
"14",13,229,0,1990,"CaboVerde","113017",0
"15",14,237,0,1990,"CaboVerde","113017",0
"16",15,205,0,1990,"CaboVerde","113017",0
"17",16,211,0,1990,"CaboVerde","113017",0
"18",17,203,0,1990,"CaboVerde","113017",0
"19",18,185,0,1990,"CaboVerde","113017",0
"20",19,175,0,1990,"CaboVerde","113017",0
"21",20,165,0,1990,"CaboVerde","113017",0
"22",21,175,0,1990,"CaboVerde","113017",0
"23",22,168,0,1990,"CaboVerde","113017",0
"24",23,167,0,1990,"CaboVerde","113017",0
"25",24,146,0,1990,"CaboVerde","113017",0
"26",25,160,0,1990,"CaboVerde","113017",0
"27",26,131,0,1990,"CaboVerde","113017",0
"28",27,141,0,1990,"CaboVerde","113017",0
"29",28,135,0,1990,"CaboVerde","113017",0
"30",29,126,0,1990,"CaboVerde","113017",0
"31",30,124,0,1990,"CaboVerde","113017",0
"32",31,97,1,1990,"CaboVerde","113017",0.0103092783505155
"33",32,121,0,1990,"CaboVerde","113017",0
"34",33,115,2,1990,"CaboVerde","113017",0.0173913043478261
"35",34,97,9,1990,"CaboVerde","113017",0.0927835051546392
"36",35,71,7,1990,"CaboVerde","113017",0.0985915492957746
"37",36,84,11,1990,"CaboVerde","113017",0.130952380952381
"38",37,86,13,1990,"CaboVerde","113017",0.151162790697674
"39",38,77,15,1990,"CaboVerde","113017",0.194805194805195
"40",39,97,26,1990,"CaboVerde","113017",0.268041237113402
"41",40,80,16,1990,"CaboVerde","113017",0.2
"42",41,88,35,1990,"CaboVerde","113017",0.397727272727273
"43",42,73,29,1990,"CaboVerde","113017",0.397260273972603
"44",43,67,29,1990,"CaboVerde","113017",0.432835820895522
"45",44,68,38,1990,"CaboVerde","113017",0.558823529411765
"46",45,74,52,1990,"CaboVerde","113017",0.702702702702703
"47",46,65,37,1990,"CaboVerde","113017",0.569230769230769
"48",47,64,42,1990,"CaboVerde","113017",0.65625
"49",48,61,40,1990,"CaboVerde","113017",0.655737704918033
"50",49,59,37,1990,"CaboVerde","113017",0.627118644067797
"51",50,76,62,1990,"CaboVerde","113017",0.815789473684211
"52",51,57,44,1990,"CaboVerde","113017",0.771929824561403
"53",52,55,48,1990,"CaboVerde","113017",0.872727272727273
"54",53,57,45,1990,"CaboVerde","113017",0.789473684210526
"55",54,37,29,1990,"CaboVerde","113017",0.783783783783784
"56",55,50,37,1990,"CaboVerde","113017",0.74
"57",56,45,40,1990,"CaboVerde","113017",0.888888888888889
"58",57,50,49,1990,"CaboVerde","113017",0.98
"59",58,34,33,1990,"CaboVerde","113017",0.970588235294118
"60",59,31,27,1990,"CaboVerde","113017",0.870967741935484
"61",60,37,36,1990,"CaboVerde","113017",0.972972972972973
"62",61,27,24,1990,"CaboVerde","113017",0.888888888888889
"63",62,25,19,1990,"CaboVerde","113017",0.76
"64",63,20,18,1990,"CaboVerde","113017",0.9
"65",64,25,23,1990,"CaboVerde","113017",0.92
"66",65,26,24,1990,"CaboVerde","113017",0.923076923076923
"67",66,28,24,1990,"CaboVerde","113017",0.857142857142857
"68",67,24,21,1990,"CaboVerde","113017",0.875
"69",68,20,16,1990,"CaboVerde","113017",0.8
"70",69,16,15,1990,"CaboVerde","113017",0.9375
"71",70,20,17,1990,"CaboVerde","113017",0.85
"72",71,16,16,1990,"CaboVerde","113017",1
"73",72,17,14,1990,"CaboVerde","113017",0.823529411764706
"74",73,13,11,1990,"CaboVerde","113017",0.846153846153846
"75",74,11,11,1990,"CaboVerde","113017",1
"76",75,10,9,1990,"CaboVerde","113017",0.9
"77",76,7,6,1990,"CaboVerde","113017",0.857142857142857
"78",77,14,13,1990,"CaboVerde","113017",0.928571428571429
"79",78,10,10,1990,"CaboVerde","113017",1
"80",79,4,3,1990,"CaboVerde","113017",0.75
"81",80,3,1,1990,"CaboVerde","113017",0.333333333333333
"82",81,4,2,1990,"CaboVerde","113017",0.5
"83",82,2,1,1990,"CaboVerde","113017",0.5
"84",83,5,5,1990,"CaboVerde","113017",1
"85",84,2,1,1990,"CaboVerde","113017",0.5
"86",85,2,2,1990,"CaboVerde","113017",1
"87",86,1,1,1990,"CaboVerde","113017",1
"88",88,2,2,1990,"CaboVerde","113017",1
"89",90,1,0,1990,"CaboVerde","113017",0
"90",93,1,1,1990,"CaboVerde","113017",1
"91",0,346,0,1995,"CaboVerde","113017",0
"92",1,360,0,1995,"CaboVerde","113017",0
"93",2,333,0,1995,"CaboVerde","113017",0
"94",3,319,0,1995,"CaboVerde","113017",0
"95",4,309,0,1995,"CaboVerde","113017",0
"96",5,307,0,1995,"CaboVerde","113017",0
"97",6,300,0,1995,"CaboVerde","113017",0
"98",7,297,0,1995,"CaboVerde","113017",0
"99",8,288,0,1995,"CaboVerde","113017",0
"100",9,292,0,1995,"CaboVerde","113017",0
"101",10,267,0,1995,"CaboVerde","113017",0
"102",11,283,0,1995,"CaboVerde","113017",0
"103",12,251,0,1995,"CaboVerde","113017",0
"104",13,234,0,1995,"CaboVerde","113017",0
"105",14,246,0,1995,"CaboVerde","113017",0
"106",15,217,0,1995,"CaboVerde","113017",0
"107",16,230,0,1995,"CaboVerde","113017",0
"108",17,249,0,1995,"CaboVerde","113017",0
"109",18,229,0,1995,"CaboVerde","113017",0
"110",19,233,0,1995,"CaboVerde","113017",0
"111",20,204,0,1995,"CaboVerde","113017",0
"112",21,211,0,1995,"CaboVerde","113017",0
"113",22,201,0,1995,"CaboVerde","113017",0
"114",23,183,0,1995,"CaboVerde","113017",0
"115",24,174,0,1995,"CaboVerde","113017",0
"116",25,164,0,1995,"CaboVerde","113017",0
"117",26,173,0,1995,"CaboVerde","113017",0
"118",27,163,0,1995,"CaboVerde","113017",0
"119",28,165,0,1995,"CaboVerde","113017",0
"120",29,144,4,1995,"CaboVerde","113017",0.0277777777777778
"121",30,159,2,1995,"CaboVerde","113017",0.0125786163522013
"122",31,131,3,1995,"CaboVerde","113017",0.0229007633587786
"123",32,139,4,1995,"CaboVerde","113017",0.0287769784172662
"124",33,134,7,1995,"CaboVerde","113017",0.0522388059701493
"125",34,125,12,1995,"CaboVerde","113017",0.096
"126",35,123,6,1995,"CaboVerde","113017",0.0487804878048781
"127",36,96,11,1995,"CaboVerde","113017",0.114583333333333
"128",37,120,16,1995,"CaboVerde","113017",0.133333333333333
"129",38,114,27,1995,"CaboVerde","113017",0.236842105263158
"130",39,97,34,1995,"CaboVerde","113017",0.350515463917526
"131",40,70,27,1995,"CaboVerde","113017",0.385714285714286
"132",41,82,27,1995,"CaboVerde","113017",0.329268292682927
"133",42,84,43,1995,"CaboVerde","113017",0.511904761904762
"134",43,75,43,1995,"CaboVerde","113017",0.573333333333333
"135",44,96,57,1995,"CaboVerde","113017",0.59375
"136",45,76,43,1995,"CaboVerde","113017",0.565789473684211
"137",46,87,57,1995,"CaboVerde","113017",0.655172413793103
"138",47,72,49,1995,"CaboVerde","113017",0.680555555555556
"139",48,63,49,1995,"CaboVerde","113017",0.777777777777778
"140",49,67,46,1995,"CaboVerde","113017",0.686567164179104
"141",50,71,61,1995,"CaboVerde","113017",0.859154929577465
"142",51,63,54,1995,"CaboVerde","113017",0.857142857142857
"143",52,63,51,1995,"CaboVerde","113017",0.80952380952381
"144",53,58,48,1995,"CaboVerde","113017",0.827586206896552
"145",54,56,39,1995,"CaboVerde","113017",0.696428571428571
"146",55,68,61,1995,"CaboVerde","113017",0.897058823529412
"147",56,55,45,1995,"CaboVerde","113017",0.818181818181818
"148",57,53,48,1995,"CaboVerde","113017",0.905660377358491
"149",58,53,48,1995,"CaboVerde","113017",0.905660377358491
"150",59,34,29,1995,"CaboVerde","113017",0.852941176470588
"151",60,47,37,1995,"CaboVerde","113017",0.787234042553192
"152",61,40,37,1995,"CaboVerde","113017",0.925
"153",62,44,43,1995,"CaboVerde","113017",0.977272727272727
