"","age","pop","gp","year","country","seed","share"
"1",0,510,0,1990,"Cambodia","202383",0
"2",1,514,0,1990,"Cambodia","202383",0
"3",2,479,0,1990,"Cambodia","202383",0
"4",3,512,0,1990,"Cambodia","202383",0
"5",4,465,0,1990,"Cambodia","202383",0
"6",5,464,0,1990,"Cambodia","202383",0
"7",6,418,0,1990,"Cambodia","202383",0
"8",7,378,0,1990,"Cambodia","202383",0
"9",8,412,0,1990,"Cambodia","202383",0
"10",9,340,0,1990,"Cambodia","202383",0
"11",10,259,0,1990,"Cambodia","202383",0
"12",11,267,0,1990,"Cambodia","202383",0
"13",12,219,0,1990,"Cambodia","202383",0
"14",13,219,0,1990,"Cambodia","202383",0
"15",14,213,0,1990,"Cambodia","202383",0
"16",15,270,0,1990,"Cambodia","202383",0
"17",16,289,0,1990,"Cambodia","202383",0
"18",17,268,0,1990,"Cambodia","202383",0
"19",18,236,0,1990,"Cambodia","202383",0
"20",19,259,0,1990,"Cambodia","202383",0
"21",20,299,0,1990,"Cambodia","202383",0
"22",21,265,0,1990,"Cambodia","202383",0
"23",22,235,0,1990,"Cambodia","202383",0
"24",23,206,3,1990,"Cambodia","202383",0.0145631067961165
"25",24,211,0,1990,"Cambodia","202383",0
"26",25,232,0,1990,"Cambodia","202383",0
"27",26,203,1,1990,"Cambodia","202383",0.00492610837438424
"28",27,195,3,1990,"Cambodia","202383",0.0153846153846154
"29",28,191,1,1990,"Cambodia","202383",0.00523560209424084
"30",29,189,1,1990,"Cambodia","202383",0.00529100529100529
"31",30,174,1,1990,"Cambodia","202383",0.00574712643678161
"32",31,179,3,1990,"Cambodia","202383",0.0167597765363128
"33",32,177,2,1990,"Cambodia","202383",0.0112994350282486
"34",33,164,2,1990,"Cambodia","202383",0.0121951219512195
"35",34,157,4,1990,"Cambodia","202383",0.0254777070063694
"36",35,166,11,1990,"Cambodia","202383",0.0662650602409639
"37",36,148,2,1990,"Cambodia","202383",0.0135135135135135
"38",37,127,7,1990,"Cambodia","202383",0.0551181102362205
"39",38,140,22,1990,"Cambodia","202383",0.157142857142857
"40",39,118,19,1990,"Cambodia","202383",0.161016949152542
"41",40,118,23,1990,"Cambodia","202383",0.194915254237288
"42",41,128,33,1990,"Cambodia","202383",0.2578125
"43",42,104,28,1990,"Cambodia","202383",0.269230769230769
"44",43,109,43,1990,"Cambodia","202383",0.394495412844037
"45",44,106,60,1990,"Cambodia","202383",0.566037735849057
"46",45,81,39,1990,"Cambodia","202383",0.481481481481481
"47",46,108,66,1990,"Cambodia","202383",0.611111111111111
"48",47,107,63,1990,"Cambodia","202383",0.588785046728972
"49",48,86,44,1990,"Cambodia","202383",0.511627906976744
"50",49,97,69,1990,"Cambodia","202383",0.711340206185567
"51",50,90,69,1990,"Cambodia","202383",0.766666666666667
"52",51,96,69,1990,"Cambodia","202383",0.71875
"53",52,102,82,1990,"Cambodia","202383",0.803921568627451
"54",53,63,59,1990,"Cambodia","202383",0.936507936507937
"55",54,87,64,1990,"Cambodia","202383",0.735632183908046
"56",55,77,72,1990,"Cambodia","202383",0.935064935064935
"57",56,69,63,1990,"Cambodia","202383",0.91304347826087
"58",57,61,54,1990,"Cambodia","202383",0.885245901639344
"59",58,74,64,1990,"Cambodia","202383",0.864864864864865
"60",59,79,74,1990,"Cambodia","202383",0.936708860759494
"61",60,52,46,1990,"Cambodia","202383",0.884615384615385
"62",61,66,61,1990,"Cambodia","202383",0.924242424242424
"63",62,52,48,1990,"Cambodia","202383",0.923076923076923
"64",63,47,43,1990,"Cambodia","202383",0.914893617021277
"65",64,49,43,1990,"Cambodia","202383",0.877551020408163
"66",65,45,39,1990,"Cambodia","202383",0.866666666666667
"67",66,20,20,1990,"Cambodia","202383",1
"68",67,43,34,1990,"Cambodia","202383",0.790697674418605
"69",68,39,34,1990,"Cambodia","202383",0.871794871794872
"70",69,35,32,1990,"Cambodia","202383",0.914285714285714
"71",70,25,24,1990,"Cambodia","202383",0.96
"72",71,26,25,1990,"Cambodia","202383",0.961538461538462
"73",72,24,21,1990,"Cambodia","202383",0.875
"74",73,20,18,1990,"Cambodia","202383",0.9
"75",74,13,13,1990,"Cambodia","202383",1
"76",75,12,12,1990,"Cambodia","202383",1
"77",76,18,17,1990,"Cambodia","202383",0.944444444444444
"78",77,14,14,1990,"Cambodia","202383",1
"79",78,11,11,1990,"Cambodia","202383",1
"80",79,14,13,1990,"Cambodia","202383",0.928571428571429
"81",80,7,6,1990,"Cambodia","202383",0.857142857142857
"82",81,5,5,1990,"Cambodia","202383",1
"83",82,9,7,1990,"Cambodia","202383",0.777777777777778
"84",83,5,5,1990,"Cambodia","202383",1
"85",84,3,2,1990,"Cambodia","202383",0.666666666666667
"86",85,1,1,1990,"Cambodia","202383",1
"87",86,3,3,1990,"Cambodia","202383",1
"88",87,1,1,1990,"Cambodia","202383",1
"89",90,1,1,1990,"Cambodia","202383",1
"90",0,499,0,1995,"Cambodia","202383",0
"91",1,472,0,1995,"Cambodia","202383",0
"92",2,448,0,1995,"Cambodia","202383",0
"93",3,493,0,1995,"Cambodia","202383",0
"94",4,408,0,1995,"Cambodia","202383",0
"95",5,478,0,1995,"Cambodia","202383",0
"96",6,497,0,1995,"Cambodia","202383",0
"97",7,460,0,1995,"Cambodia","202383",0
"98",8,501,0,1995,"Cambodia","202383",0
"99",9,446,0,1995,"Cambodia","202383",0
"100",10,450,0,1995,"Cambodia","202383",0
"101",11,411,0,1995,"Cambodia","202383",0
"102",12,369,0,1995,"Cambodia","202383",0
"103",13,401,0,1995,"Cambodia","202383",0
"104",14,330,0,1995,"Cambodia","202383",0
"105",15,251,0,1995,"Cambodia","202383",0
"106",16,259,0,1995,"Cambodia","202383",0
"107",17,214,0,1995,"Cambodia","202383",0
"108",18,216,0,1995,"Cambodia","202383",0
"109",19,209,0,1995,"Cambodia","202383",0
"110",20,266,0,1995,"Cambodia","202383",0
"111",21,281,0,1995,"Cambodia","202383",0
"112",22,259,0,1995,"Cambodia","202383",0
"113",23,228,0,1995,"Cambodia","202383",0
"114",24,252,0,1995,"Cambodia","202383",0
"115",25,293,0,1995,"Cambodia","202383",0
"116",26,258,0,1995,"Cambodia","202383",0
"117",27,226,0,1995,"Cambodia","202383",0
"118",28,196,3,1995,"Cambodia","202383",0.0153061224489796
"119",29,204,2,1995,"Cambodia","202383",0.00980392156862745
"120",30,230,0,1995,"Cambodia","202383",0
"121",31,193,1,1995,"Cambodia","202383",0.00518134715025907
"122",32,188,2,1995,"Cambodia","202383",0.0106382978723404
"123",33,188,2,1995,"Cambodia","202383",0.0106382978723404
"124",34,179,3,1995,"Cambodia","202383",0.0167597765363128
"125",35,168,3,1995,"Cambodia","202383",0.0178571428571429
"126",36,170,11,1995,"Cambodia","202383",0.0647058823529412
"127",37,172,10,1995,"Cambodia","202383",0.0581395348837209
"128",38,157,7,1995,"Cambodia","202383",0.0445859872611465
