"","age","pop","gp","year","country","seed","share"
"1",0,357,0,1960,"Cameroon","137265",0
"2",1,336,0,1960,"Cameroon","137265",0
"3",2,344,0,1960,"Cameroon","137265",0
"4",3,299,0,1960,"Cameroon","137265",0
"5",4,299,0,1960,"Cameroon","137265",0
"6",5,257,0,1960,"Cameroon","137265",0
"7",6,262,0,1960,"Cameroon","137265",0
"8",7,281,0,1960,"Cameroon","137265",0
"9",8,246,0,1960,"Cameroon","137265",0
"10",9,271,0,1960,"Cameroon","137265",0
"11",10,243,0,1960,"Cameroon","137265",0
"12",11,265,0,1960,"Cameroon","137265",0
"13",12,264,0,1960,"Cameroon","137265",0
"14",13,234,0,1960,"Cameroon","137265",0
"15",14,283,0,1960,"Cameroon","137265",0
"16",15,270,0,1960,"Cameroon","137265",0
"17",16,240,0,1960,"Cameroon","137265",0
"18",17,235,0,1960,"Cameroon","137265",0
"19",18,245,0,1960,"Cameroon","137265",0
"20",19,238,0,1960,"Cameroon","137265",0
"21",20,215,0,1960,"Cameroon","137265",0
"22",21,209,0,1960,"Cameroon","137265",0
"23",22,201,0,1960,"Cameroon","137265",0
"24",23,236,0,1960,"Cameroon","137265",0
"25",24,208,0,1960,"Cameroon","137265",0
"26",25,178,0,1960,"Cameroon","137265",0
"27",26,206,0,1960,"Cameroon","137265",0
"28",27,201,0,1960,"Cameroon","137265",0
"29",28,183,0,1960,"Cameroon","137265",0
"30",29,166,1,1960,"Cameroon","137265",0.00602409638554217
"31",30,198,1,1960,"Cameroon","137265",0.00505050505050505
"32",31,202,5,1960,"Cameroon","137265",0.0247524752475248
"33",32,163,3,1960,"Cameroon","137265",0.0184049079754601
"34",33,163,5,1960,"Cameroon","137265",0.0306748466257669
"35",34,173,11,1960,"Cameroon","137265",0.0635838150289017
"36",35,152,19,1960,"Cameroon","137265",0.125
"37",36,138,24,1960,"Cameroon","137265",0.173913043478261
"38",37,165,34,1960,"Cameroon","137265",0.206060606060606
"39",38,131,25,1960,"Cameroon","137265",0.190839694656489
"40",39,132,38,1960,"Cameroon","137265",0.287878787878788
