"","age","pop","gp","year","country","seed","share"
"1",0,3015,0,1960,"Canada","174589",0
"2",1,3022,0,1960,"Canada","174589",0
"3",2,2888,0,1960,"Canada","174589",0
"4",3,2926,0,1960,"Canada","174589",0
"5",4,2797,0,1960,"Canada","174589",0
"6",5,2636,0,1960,"Canada","174589",0
"7",6,2551,0,1960,"Canada","174589",0
"8",7,2468,0,1960,"Canada","174589",0
"9",8,2428,0,1960,"Canada","174589",0
"10",9,2378,0,1960,"Canada","174589",0
"11",10,2686,0,1960,"Canada","174589",0
"12",11,2571,0,1960,"Canada","174589",0
"13",12,2673,0,1960,"Canada","174589",0
"14",13,2581,0,1960,"Canada","174589",0
"15",14,2431,0,1960,"Canada","174589",0
"16",15,2520,0,1960,"Canada","174589",0
"17",16,2369,0,1960,"Canada","174589",0
"18",17,2389,0,1960,"Canada","174589",0
"19",18,2264,0,1960,"Canada","174589",0
"20",19,2184,0,1960,"Canada","174589",0
"21",20,2152,0,1960,"Canada","174589",0
"22",21,2166,0,1960,"Canada","174589",0
"23",22,2109,0,1960,"Canada","174589",0
"24",23,2087,0,1960,"Canada","174589",0
"25",24,2001,0,1960,"Canada","174589",0
"26",25,1991,0,1960,"Canada","174589",0
"27",26,1949,0,1960,"Canada","174589",0
"28",27,1963,0,1960,"Canada","174589",0
"29",28,1909,2,1960,"Canada","174589",0.00104766893661603
"30",29,1843,3,1960,"Canada","174589",0.00162778079218665
"31",30,1811,7,1960,"Canada","174589",0.00386526780784097
"32",31,1847,9,1960,"Canada","174589",0.00487276664861938
"33",32,1732,9,1960,"Canada","174589",0.00519630484988453
"34",33,1682,25,1960,"Canada","174589",0.0148632580261593
"35",34,1752,41,1960,"Canada","174589",0.0234018264840183
"36",35,1623,85,1960,"Canada","174589",0.0523721503388786
"37",36,1582,108,1960,"Canada","174589",0.06826801517067
"38",37,1660,147,1960,"Canada","174589",0.0885542168674699
"39",38,1571,198,1960,"Canada","174589",0.126034373010821
"40",39,1509,244,1960,"Canada","174589",0.161696487740225
"41",40,1496,347,1960,"Canada","174589",0.231951871657754
"42",41,1458,384,1960,"Canada","174589",0.263374485596708
"43",42,1473,476,1960,"Canada","174589",0.323150033944331
"44",43,1425,522,1960,"Canada","174589",0.366315789473684
"45",44,1402,598,1960,"Canada","174589",0.426533523537803
"46",45,1384,656,1960,"Canada","174589",0.473988439306358
"47",46,1354,698,1960,"Canada","174589",0.515509601181684
"48",47,1272,704,1960,"Canada","174589",0.553459119496855
"49",48,1264,757,1960,"Canada","174589",0.598892405063291
"50",49,1240,796,1960,"Canada","174589",0.641935483870968
"51",50,1211,813,1960,"Canada","174589",0.671345995045417
"52",51,1184,822,1960,"Canada","174589",0.694256756756757
"53",52,1160,842,1960,"Canada","174589",0.725862068965517
"54",53,1152,836,1960,"Canada","174589",0.725694444444444
"55",54,1072,811,1960,"Canada","174589",0.756529850746269
"56",55,1061,812,1960,"Canada","174589",0.765315739868049
"57",56,1092,843,1960,"Canada","174589",0.771978021978022
"58",57,994,799,1960,"Canada","174589",0.803822937625755
"59",58,1003,829,1960,"Canada","174589",0.826520438683948
"60",59,934,715,1960,"Canada","174589",0.765524625267666
"61",60,936,749,1960,"Canada","174589",0.800213675213675
"62",61,846,678,1960,"Canada","174589",0.801418439716312
"63",62,852,699,1960,"Canada","174589",0.820422535211268
"64",63,830,699,1960,"Canada","174589",0.842168674698795
"65",64,819,668,1960,"Canada","174589",0.815628815628816
"66",65,762,633,1960,"Canada","174589",0.830708661417323
"67",66,750,638,1960,"Canada","174589",0.850666666666667
"68",67,711,604,1960,"Canada","174589",0.849507735583685
"69",68,662,576,1960,"Canada","174589",0.870090634441088
"70",69,616,523,1960,"Canada","174589",0.849025974025974
"71",70,587,513,1960,"Canada","174589",0.873935264054514
"72",71,583,498,1960,"Canada","174589",0.854202401372213
"73",72,504,423,1960,"Canada","174589",0.839285714285714
"74",73,494,432,1960,"Canada","174589",0.874493927125506
"75",74,465,399,1960,"Canada","174589",0.858064516129032
"76",75,424,358,1960,"Canada","174589",0.844339622641509
"77",76,380,330,1960,"Canada","174589",0.868421052631579
"78",77,346,290,1960,"Canada","174589",0.838150289017341
"79",78,334,286,1960,"Canada","174589",0.856287425149701
"80",79,277,242,1960,"Canada","174589",0.873646209386282
"81",80,284,235,1960,"Canada","174589",0.827464788732394
"82",81,233,200,1960,"Canada","174589",0.858369098712446
"83",82,189,160,1960,"Canada","174589",0.846560846560847
"84",83,181,156,1960,"Canada","174589",0.861878453038674
"85",84,147,131,1960,"Canada","174589",0.891156462585034
"86",85,127,109,1960,"Canada","174589",0.858267716535433
"87",86,113,101,1960,"Canada","174589",0.893805309734513
"88",87,89,78,1960,"Canada","174589",0.876404494382023
"89",88,77,66,1960,"Canada","174589",0.857142857142857
"90",89,51,36,1960,"Canada","174589",0.705882352941177
"91",90,54,46,1960,"Canada","174589",0.851851851851852
"92",91,24,21,1960,"Canada","174589",0.875
"93",92,28,21,1960,"Canada","174589",0.75
"94",93,16,14,1960,"Canada","174589",0.875
"95",94,13,11,1960,"Canada","174589",0.846153846153846
"96",95,10,8,1960,"Canada","174589",0.8
"97",96,9,6,1960,"Canada","174589",0.666666666666667
"98",97,1,1,1960,"Canada","174589",1
"99",98,5,4,1960,"Canada","174589",0.8
"100",0,3239,0,1965,"Canada","174589",0
"101",1,3037,0,1965,"Canada","174589",0
"102",2,2983,0,1965,"Canada","174589",0
