"","age","pop","gp","year","country","seed","share"
"1",0,390,0,1960,"Chad","104014",0
"2",1,337,0,1960,"Chad","104014",0
"3",2,320,0,1960,"Chad","104014",0
"4",3,290,0,1960,"Chad","104014",0
"5",4,291,0,1960,"Chad","104014",0
"6",5,289,0,1960,"Chad","104014",0
"7",6,290,0,1960,"Chad","104014",0
"8",7,281,0,1960,"Chad","104014",0
"9",8,242,0,1960,"Chad","104014",0
"10",9,234,0,1960,"Chad","104014",0
"11",10,266,0,1960,"Chad","104014",0
"12",11,255,0,1960,"Chad","104014",0
"13",12,263,0,1960,"Chad","104014",0
"14",13,224,0,1960,"Chad","104014",0
"15",14,272,0,1960,"Chad","104014",0
"16",15,235,0,1960,"Chad","104014",0
"17",16,227,0,1960,"Chad","104014",0
"18",17,229,0,1960,"Chad","104014",0
"19",18,228,0,1960,"Chad","104014",0
"20",19,215,0,1960,"Chad","104014",0
"21",20,204,0,1960,"Chad","104014",0
"22",21,213,0,1960,"Chad","104014",0
"23",22,177,0,1960,"Chad","104014",0
"24",23,200,0,1960,"Chad","104014",0
"25",24,197,0,1960,"Chad","104014",0
"26",25,198,0,1960,"Chad","104014",0
"27",26,184,0,1960,"Chad","104014",0
"28",27,165,0,1960,"Chad","104014",0
"29",28,177,0,1960,"Chad","104014",0
"30",29,167,0,1960,"Chad","104014",0
"31",30,179,1,1960,"Chad","104014",0.00558659217877095
"32",31,153,4,1960,"Chad","104014",0.0261437908496732
"33",32,142,7,1960,"Chad","104014",0.0492957746478873
"34",33,136,10,1960,"Chad","104014",0.0735294117647059
"35",34,143,8,1960,"Chad","104014",0.0559440559440559
"36",35,144,14,1960,"Chad","104014",0.0972222222222222
"37",36,129,19,1960,"Chad","104014",0.147286821705426
"38",37,120,21,1960,"Chad","104014",0.175
"39",38,132,34,1960,"Chad","104014",0.257575757575758
"40",39,109,35,1960,"Chad","104014",0.321100917431193
"41",40,144,50,1960,"Chad","104014",0.347222222222222
"42",41,123,48,1960,"Chad","104014",0.390243902439024
"43",42,107,48,1960,"Chad","104014",0.448598130841121
"44",43,123,55,1960,"Chad","104014",0.447154471544715
"45",44,114,56,1960,"Chad","104014",0.491228070175439
"46",45,106,69,1960,"Chad","104014",0.650943396226415
"47",46,94,66,1960,"Chad","104014",0.702127659574468
"48",47,86,60,1960,"Chad","104014",0.697674418604651
"49",48,102,78,1960,"Chad","104014",0.764705882352941
"50",49,98,76,1960,"Chad","104014",0.775510204081633
"51",50,94,76,1960,"Chad","104014",0.808510638297872
"52",51,81,60,1960,"Chad","104014",0.740740740740741
"53",52,82,70,1960,"Chad","104014",0.853658536585366
"54",53,82,71,1960,"Chad","104014",0.865853658536585
"55",54,83,64,1960,"Chad","104014",0.771084337349398
"56",55,67,58,1960,"Chad","104014",0.865671641791045
"57",56,67,55,1960,"Chad","104014",0.82089552238806
"58",57,67,57,1960,"Chad","104014",0.850746268656716
"59",58,58,48,1960,"Chad","104014",0.827586206896552
"60",59,54,44,1960,"Chad","104014",0.814814814814815
"61",60,53,46,1960,"Chad","104014",0.867924528301887
"62",61,59,53,1960,"Chad","104014",0.898305084745763
"63",62,28,25,1960,"Chad","104014",0.892857142857143
"64",63,55,50,1960,"Chad","104014",0.909090909090909
"65",64,41,37,1960,"Chad","104014",0.902439024390244
"66",65,43,38,1960,"Chad","104014",0.883720930232558
"67",66,32,26,1960,"Chad","104014",0.8125
"68",67,40,39,1960,"Chad","104014",0.975
"69",68,35,31,1960,"Chad","104014",0.885714285714286
"70",69,32,29,1960,"Chad","104014",0.90625
"71",70,27,24,1960,"Chad","104014",0.888888888888889
"72",71,24,21,1960,"Chad","104014",0.875
"73",72,26,26,1960,"Chad","104014",1
"74",73,19,18,1960,"Chad","104014",0.947368421052632
"75",74,24,20,1960,"Chad","104014",0.833333333333333
"76",75,13,12,1960,"Chad","104014",0.923076923076923
"77",76,17,16,1960,"Chad","104014",0.941176470588235
"78",77,18,16,1960,"Chad","104014",0.888888888888889
"79",78,13,13,1960,"Chad","104014",1
"80",79,6,5,1960,"Chad","104014",0.833333333333333
"81",80,10,8,1960,"Chad","104014",0.8
"82",81,5,4,1960,"Chad","104014",0.8
"83",82,1,1,1960,"Chad","104014",1
"84",83,6,6,1960,"Chad","104014",1
"85",84,2,1,1960,"Chad","104014",0.5
"86",85,1,1,1960,"Chad","104014",1
"87",89,2,2,1960,"Chad","104014",1
"88",91,1,1,1960,"Chad","104014",1
"89",0,447,0,1965,"Chad","104014",0
"90",1,383,0,1965,"Chad","104014",0
"91",2,350,0,1965,"Chad","104014",0
"92",3,367,0,1965,"Chad","104014",0
"93",4,336,0,1965,"Chad","104014",0
"94",5,310,0,1965,"Chad","104014",0
"95",6,280,0,1965,"Chad","104014",0
"96",7,289,0,1965,"Chad","104014",0
"97",8,266,0,1965,"Chad","104014",0
"98",9,273,0,1965,"Chad","104014",0
"99",10,267,0,1965,"Chad","104014",0
"100",11,275,0,1965,"Chad","104014",0
"101",12,265,0,1965,"Chad","104014",0
"102",13,234,0,1965,"Chad","104014",0
"103",14,231,0,1965,"Chad","104014",0
"104",15,261,0,1965,"Chad","104014",0
"105",16,253,0,1965,"Chad","104014",0
"106",17,254,0,1965,"Chad","104014",0
"107",18,219,0,1965,"Chad","104014",0
"108",19,265,0,1965,"Chad","104014",0
"109",20,223,0,1965,"Chad","104014",0
"110",21,217,0,1965,"Chad","104014",0
"111",22,217,0,1965,"Chad","104014",0
"112",23,221,0,1965,"Chad","104014",0
"113",24,203,0,1965,"Chad","104014",0
"114",25,190,0,1965,"Chad","104014",0
"115",26,203,1,1965,"Chad","104014",0.00492610837438424
"116",27,167,1,1965,"Chad","104014",0.00598802395209581
"117",28,187,0,1965,"Chad","104014",0
"118",29,187,1,1965,"Chad","104014",0.0053475935828877
"119",30,190,2,1965,"Chad","104014",0.0105263157894737
"120",31,180,4,1965,"Chad","104014",0.0222222222222222
"121",32,153,3,1965,"Chad","104014",0.0196078431372549
"122",33,165,14,1965,"Chad","104014",0.0848484848484849
"123",34,163,15,1965,"Chad","104014",0.0920245398773006
"124",35,171,19,1965,"Chad","104014",0.111111111111111
"125",36,143,29,1965,"Chad","104014",0.202797202797203
"126",37,138,29,1965,"Chad","104014",0.210144927536232
"127",38,129,38,1965,"Chad","104014",0.294573643410853
"128",39,133,43,1965,"Chad","104014",0.323308270676692
"129",40,137,54,1965,"Chad","104014",0.394160583941606
"130",41,119,55,1965,"Chad","104014",0.46218487394958
"131",42,114,52,1965,"Chad","104014",0.456140350877193
"132",43,123,64,1965,"Chad","104014",0.520325203252033
"133",44,102,61,1965,"Chad","104014",0.598039215686274
"134",45,134,78,1965,"Chad","104014",0.582089552238806
"135",46,113,71,1965,"Chad","104014",0.628318584070796
"136",47,100,70,1965,"Chad","104014",0.7
"137",48,110,73,1965,"Chad","104014",0.663636363636364
"138",49,106,75,1965,"Chad","104014",0.707547169811321
"139",50,102,80,1965,"Chad","104014",0.784313725490196
"140",51,87,74,1965,"Chad","104014",0.850574712643678
"141",52,77,65,1965,"Chad","104014",0.844155844155844
"142",53,89,75,1965,"Chad","104014",0.842696629213483
"143",54,89,75,1965,"Chad","104014",0.842696629213483
"144",55,84,74,1965,"Chad","104014",0.880952380952381
"145",56,70,59,1965,"Chad","104014",0.842857142857143
"146",57,75,67,1965,"Chad","104014",0.893333333333333
"147",58,73,66,1965,"Chad","104014",0.904109589041096
"148",59,73,62,1965,"Chad","104014",0.849315068493151
"149",60,56,51,1965,"Chad","104014",0.910714285714286
"150",61,58,49,1965,"Chad","104014",0.844827586206897
"151",62,54,50,1965,"Chad","104014",0.925925925925926
"152",63,46,39,1965,"Chad","104014",0.847826086956522
"153",64,47,38,1965,"Chad","104014",0.808510638297872
"154",65,44,39,1965,"Chad","104014",0.886363636363636
"155",66,47,44,1965,"Chad","104014",0.936170212765957
"156",67,23,20,1965,"Chad","104014",0.869565217391304
"157",68,43,38,1965,"Chad","104014",0.883720930232558
"158",69,30,28,1965,"Chad","104014",0.933333333333333
"159",70,35,31,1965,"Chad","104014",0.885714285714286
"160",71,24,17,1965,"Chad","104014",0.708333333333333
"161",72,26,26,1965,"Chad","104014",1
"162",73,22,20,1965,"Chad","104014",0.909090909090909
"163",74,24,22,1965,"Chad","104014",0.916666666666667
"164",75,18,15,1965,"Chad","104014",0.833333333333333
"165",76,16,14,1965,"Chad","104014",0.875
"166",77,14,14,1965,"Chad","104014",1
"167",78,10,10,1965,"Chad","104014",1
"168",79,13,11,1965,"Chad","104014",0.846153846153846
"169",80,5,4,1965,"Chad","104014",0.8
"170",81,5,4,1965,"Chad","104014",0.8
"171",82,5,4,1965,"Chad","104014",0.8
"172",83,6,6,1965,"Chad","104014",1
"173",84,3,3,1965,"Chad","104014",1
"174",85,3,2,1965,"Chad","104014",0.666666666666667
"175",86,1,1,1965,"Chad","104014",1
"176",88,2,2,1965,"Chad","104014",1
"177",94,1,1,1965,"Chad","104014",1
"178",0,504,0,1970,"Chad","104014",0
"179",1,465,0,1970,"Chad","104014",0
"180",2,425,0,1970,"Chad","104014",0
"181",3,365,0,1970,"Chad","104014",0
"182",4,373,0,1970,"Chad","104014",0
"183",5,350,0,1970,"Chad","104014",0
"184",6,331,0,1970,"Chad","104014",0
"185",7,313,0,1970,"Chad","104014",0
"186",8,340,0,1970,"Chad","104014",0
"187",9,311,0,1970,"Chad","104014",0
"188",10,301,0,1970,"Chad","104014",0
"189",11,267,0,1970,"Chad","104014",0
"190",12,279,0,1970,"Chad","104014",0
"191",13,258,0,1970,"Chad","104014",0
"192",14,267,0,1970,"Chad","104014",0
"193",15,256,0,1970,"Chad","104014",0
"194",16,264,0,1970,"Chad","104014",0
"195",17,253,0,1970,"Chad","104014",0
"196",18,229,0,1970,"Chad","104014",0
"197",19,220,0,1970,"Chad","104014",0
"198",20,252,0,1970,"Chad","104014",0
"199",21,246,0,1970,"Chad","104014",0
"200",22,235,0,1970,"Chad","104014",0
"201",23,210,0,1970,"Chad","104014",0
"202",24,249,0,1970,"Chad","104014",0
"203",25,212,0,1970,"Chad","104014",0
"204",26,208,0,1970,"Chad","104014",0
"205",27,206,0,1970,"Chad","104014",0
"206",28,210,1,1970,"Chad","104014",0.00476190476190476
"207",29,189,1,1970,"Chad","104014",0.00529100529100529
"208",30,184,1,1970,"Chad","104014",0.00543478260869565
"209",31,192,6,1970,"Chad","104014",0.03125
"210",32,157,8,1970,"Chad","104014",0.0509554140127389
"211",33,177,8,1970,"Chad","104014",0.0451977401129944
"212",34,173,21,1970,"Chad","104014",0.121387283236994
"213",35,184,29,1970,"Chad","104014",0.157608695652174
"214",36,167,32,1970,"Chad","104014",0.191616766467066
"215",37,145,33,1970,"Chad","104014",0.227586206896552
"216",38,154,51,1970,"Chad","104014",0.331168831168831
"217",39,153,49,1970,"Chad","104014",0.320261437908497
"218",40,159,51,1970,"Chad","104014",0.320754716981132
"219",41,134,61,1970,"Chad","104014",0.455223880597015
"220",42,133,56,1970,"Chad","104014",0.421052631578947
"221",43,118,69,1970,"Chad","104014",0.584745762711864
"222",44,125,70,1970,"Chad","104014",0.56
"223",45,130,76,1970,"Chad","104014",0.584615384615385
"224",46,108,71,1970,"Chad","104014",0.657407407407407
"225",47,107,73,1970,"Chad","104014",0.682242990654206
"226",48,113,85,1970,"Chad","104014",0.752212389380531
