"","age","pop","gp","year","country","seed","share"
"1",0,1486,0,1960,"Chile","199418",0
"2",1,1361,0,1960,"Chile","199418",0
"3",2,1264,0,1960,"Chile","199418",0
"4",3,1192,0,1960,"Chile","199418",0
"5",4,1223,0,1960,"Chile","199418",0
"6",5,1203,0,1960,"Chile","199418",0
"7",6,1111,0,1960,"Chile","199418",0
"8",7,1148,0,1960,"Chile","199418",0
"9",8,1114,0,1960,"Chile","199418",0
"10",9,1066,0,1960,"Chile","199418",0
"11",10,1230,0,1960,"Chile","199418",0
"12",11,1148,0,1960,"Chile","199418",0
"13",12,1170,0,1960,"Chile","199418",0
"14",13,1165,0,1960,"Chile","199418",0
"15",14,1073,0,1960,"Chile","199418",0
"16",15,1056,0,1960,"Chile","199418",0
"17",16,1062,0,1960,"Chile","199418",0
"18",17,1056,0,1960,"Chile","199418",0
"19",18,984,0,1960,"Chile","199418",0
"20",19,954,0,1960,"Chile","199418",0
"21",20,988,0,1960,"Chile","199418",0
"22",21,957,0,1960,"Chile","199418",0
"23",22,882,0,1960,"Chile","199418",0
"24",23,901,0,1960,"Chile","199418",0
"25",24,861,0,1960,"Chile","199418",0
"26",25,813,0,1960,"Chile","199418",0
"27",26,800,0,1960,"Chile","199418",0
"28",27,788,1,1960,"Chile","199418",0.00126903553299492
"29",28,721,0,1960,"Chile","199418",0
"30",29,789,0,1960,"Chile","199418",0
"31",30,713,3,1960,"Chile","199418",0.00420757363253857
"32",31,737,9,1960,"Chile","199418",0.0122116689280868
"33",32,726,8,1960,"Chile","199418",0.0110192837465565
"34",33,659,16,1960,"Chile","199418",0.0242792109256449
"35",34,681,35,1960,"Chile","199418",0.0513950073421439
"36",35,617,41,1960,"Chile","199418",0.06645056726094
"37",36,647,51,1960,"Chile","199418",0.0788253477588872
"38",37,621,74,1960,"Chile","199418",0.119162640901771
"39",38,636,99,1960,"Chile","199418",0.155660377358491
"40",39,562,103,1960,"Chile","199418",0.183274021352313
"41",40,561,133,1960,"Chile","199418",0.237076648841355
"42",41,513,153,1960,"Chile","199418",0.298245614035088
"43",42,528,181,1960,"Chile","199418",0.34280303030303
"44",43,500,196,1960,"Chile","199418",0.392
"45",44,535,247,1960,"Chile","199418",0.461682242990654
"46",45,476,219,1960,"Chile","199418",0.460084033613445
"47",46,467,246,1960,"Chile","199418",0.526766595289079
"48",47,457,281,1960,"Chile","199418",0.614879649890591
"49",48,478,275,1960,"Chile","199418",0.575313807531381
"50",49,442,289,1960,"Chile","199418",0.653846153846154
"51",50,427,277,1960,"Chile","199418",0.648711943793911
"52",51,442,296,1960,"Chile","199418",0.669683257918552
"53",52,392,298,1960,"Chile","199418",0.760204081632653
"54",53,404,310,1960,"Chile","199418",0.767326732673267
"55",54,370,295,1960,"Chile","199418",0.797297297297297
"56",55,365,287,1960,"Chile","199418",0.786301369863014
"57",56,325,259,1960,"Chile","199418",0.796923076923077
"58",57,339,264,1960,"Chile","199418",0.778761061946903
"59",58,308,251,1960,"Chile","199418",0.814935064935065
"60",59,322,261,1960,"Chile","199418",0.81055900621118
"61",60,285,255,1960,"Chile","199418",0.894736842105263
"62",61,259,224,1960,"Chile","199418",0.864864864864865
"63",62,232,195,1960,"Chile","199418",0.84051724137931
"64",63,245,207,1960,"Chile","199418",0.844897959183673
"65",64,234,214,1960,"Chile","199418",0.914529914529915
"66",65,223,190,1960,"Chile","199418",0.852017937219731
"67",66,207,182,1960,"Chile","199418",0.879227053140097
"68",67,203,188,1960,"Chile","199418",0.926108374384236
"69",68,211,172,1960,"Chile","199418",0.815165876777251
"70",69,207,180,1960,"Chile","199418",0.869565217391304
"71",70,154,137,1960,"Chile","199418",0.88961038961039
"72",71,142,135,1960,"Chile","199418",0.950704225352113
"73",72,145,129,1960,"Chile","199418",0.889655172413793
"74",73,131,118,1960,"Chile","199418",0.900763358778626
