"","age","pop","gp","year","country","seed","share"
"1",0,3634,0,1990,"China","142869",0
"2",1,3398,0,1990,"China","142869",0
"3",2,3213,0,1990,"China","142869",0
"4",3,3213,0,1990,"China","142869",0
"5",4,3051,0,1990,"China","142869",0
"6",5,2684,0,1990,"China","142869",0
"7",6,2606,0,1990,"China","142869",0
"8",7,2460,0,1990,"China","142869",0
"9",8,2473,0,1990,"China","142869",0
"10",9,2402,0,1990,"China","142869",0
"11",10,2703,0,1990,"China","142869",0
"12",11,2685,0,1990,"China","142869",0
"13",12,2691,0,1990,"China","142869",0
"14",13,2554,0,1990,"China","142869",0
"15",14,2631,0,1990,"China","142869",0
"16",15,3672,0,1990,"China","142869",0
"17",16,3739,0,1990,"China","142869",0
"18",17,3468,0,1990,"China","142869",0
"19",18,3507,0,1990,"China","142869",0
"20",19,3477,0,1990,"China","142869",0
"21",20,4125,0,1990,"China","142869",0
"22",21,3931,0,1990,"China","142869",0
"23",22,3764,0,1990,"China","142869",0
"24",23,3735,0,1990,"China","142869",0
"25",24,3441,0,1990,"China","142869",0
"26",25,3342,0,1990,"China","142869",0
"27",26,3063,0,1990,"China","142869",0
"28",27,2998,0,1990,"China","142869",0
"29",28,2865,1,1990,"China","142869",0.000349040139616056
"30",29,2850,0,1990,"China","142869",0
"31",30,2451,1,1990,"China","142869",0.000407996736026112
"32",31,2435,5,1990,"China","142869",0.00205338809034908
"33",32,2364,8,1990,"China","142869",0.00338409475465313
"34",33,2335,14,1990,"China","142869",0.00599571734475375
"35",34,2246,19,1990,"China","142869",0.00845948352626892
"36",35,2355,55,1990,"China","142869",0.0233545647558386
"37",36,2353,83,1990,"China","142869",0.0352741181470463
"38",37,2250,127,1990,"China","142869",0.0564444444444444
"39",38,2182,180,1990,"China","142869",0.0824931255728689
"40",39,2141,268,1990,"China","142869",0.125175151798225
"41",40,2425,417,1990,"China","142869",0.171958762886598
"42",41,2248,479,1990,"China","142869",0.213078291814947
"43",42,2286,637,1990,"China","142869",0.278652668416448
"44",43,2269,705,1990,"China","142869",0.310709563684442
"45",44,2131,861,1990,"China","142869",0.404035664007508
"46",45,1972,956,1990,"China","142869",0.484787018255578
"47",46,2017,950,1990,"China","142869",0.470996529499256
"48",47,1888,987,1990,"China","142869",0.522775423728814
"49",48,1894,1088,1990,"China","142869",0.574445617740232
"50",49,1781,1105,1990,"China","142869",0.62043795620438
"51",50,1782,1173,1990,"China","142869",0.658249158249158
"52",51,1663,1134,1990,"China","142869",0.681900180396873
"53",52,1621,1143,1990,"China","142869",0.70512029611351
"54",53,1550,1137,1990,"China","142869",0.733548387096774
"55",54,1495,1137,1990,"China","142869",0.760535117056856
"56",55,1403,1079,1990,"China","142869",0.769066286528867
"57",56,1445,1126,1990,"China","142869",0.779238754325259
"58",57,1344,1093,1990,"China","142869",0.813244047619048
"59",58,1278,1032,1990,"China","142869",0.807511737089202
"60",59,1167,997,1990,"China","142869",0.854327335047129
