"","age","pop","gp","year","country","seed","share"
"1",0,797,0,1990,"CostaRica","130390",0
"2",1,793,0,1990,"CostaRica","130390",0
"3",2,769,0,1990,"CostaRica","130390",0
"4",3,745,0,1990,"CostaRica","130390",0
"5",4,810,0,1990,"CostaRica","130390",0
"6",5,787,0,1990,"CostaRica","130390",0
"7",6,725,0,1990,"CostaRica","130390",0
"8",7,730,0,1990,"CostaRica","130390",0
"9",8,641,0,1990,"CostaRica","130390",0
"10",9,705,0,1990,"CostaRica","130390",0
"11",10,681,0,1990,"CostaRica","130390",0
"12",11,698,0,1990,"CostaRica","130390",0
"13",12,685,0,1990,"CostaRica","130390",0
"14",13,648,0,1990,"CostaRica","130390",0
"15",14,626,0,1990,"CostaRica","130390",0
"16",15,669,0,1990,"CostaRica","130390",0
"17",16,626,0,1990,"CostaRica","130390",0
"18",17,612,0,1990,"CostaRica","130390",0
"19",18,576,0,1990,"CostaRica","130390",0
"20",19,571,0,1990,"CostaRica","130390",0
"21",20,664,0,1990,"CostaRica","130390",0
"22",21,690,0,1990,"CostaRica","130390",0
"23",22,632,0,1990,"CostaRica","130390",0
"24",23,614,0,1990,"CostaRica","130390",0
"25",24,595,1,1990,"CostaRica","130390",0.00168067226890756
"26",25,669,0,1990,"CostaRica","130390",0
"27",26,635,1,1990,"CostaRica","130390",0.0015748031496063
"28",27,658,0,1990,"CostaRica","130390",0
"29",28,616,1,1990,"CostaRica","130390",0.00162337662337662
"30",29,601,2,1990,"CostaRica","130390",0.00332778702163062
"31",30,566,2,1990,"CostaRica","130390",0.00353356890459364
"32",31,524,5,1990,"CostaRica","130390",0.00954198473282443
"33",32,547,8,1990,"CostaRica","130390",0.0146252285191956
"34",33,521,17,1990,"CostaRica","130390",0.0326295585412668
"35",34,506,17,1990,"CostaRica","130390",0.033596837944664
"36",35,428,36,1990,"CostaRica","130390",0.0841121495327103
"37",36,440,44,1990,"CostaRica","130390",0.1
"38",37,405,52,1990,"CostaRica","130390",0.128395061728395
"39",38,388,91,1990,"CostaRica","130390",0.234536082474227
"40",39,380,87,1990,"CostaRica","130390",0.228947368421053
"41",40,478,127,1990,"CostaRica","130390",0.265690376569038
"42",41,434,152,1990,"CostaRica","130390",0.350230414746544
"43",42,450,169,1990,"CostaRica","130390",0.375555555555556
"44",43,404,177,1990,"CostaRica","130390",0.438118811881188
"45",44,399,186,1990,"CostaRica","130390",0.466165413533835
"46",45,369,177,1990,"CostaRica","130390",0.479674796747967
"47",46,372,204,1990,"CostaRica","130390",0.548387096774194
"48",47,355,217,1990,"CostaRica","130390",0.611267605633803
"49",48,354,217,1990,"CostaRica","130390",0.612994350282486
"50",49,321,229,1990,"CostaRica","130390",0.713395638629283
"51",50,326,241,1990,"CostaRica","130390",0.739263803680982
"52",51,328,249,1990,"CostaRica","130390",0.759146341463415
"53",52,284,211,1990,"CostaRica","130390",0.742957746478873
"54",53,280,206,1990,"CostaRica","130390",0.735714285714286
"55",54,285,227,1990,"CostaRica","130390",0.796491228070175
"56",55,218,178,1990,"CostaRica","130390",0.81651376146789
"57",56,252,218,1990,"CostaRica","130390",0.865079365079365
"58",57,238,209,1990,"CostaRica","130390",0.878151260504202
"59",58,224,195,1990,"CostaRica","130390",0.870535714285714
"60",59,223,201,1990,"CostaRica","130390",0.901345291479821
"61",60,205,176,1990,"CostaRica","130390",0.858536585365854
"62",61,192,178,1990,"CostaRica","130390",0.927083333333333
"63",62,175,162,1990,"CostaRica","130390",0.925714285714286
"64",63,168,157,1990,"CostaRica","130390",0.93452380952381
"65",64,178,166,1990,"CostaRica","130390",0.932584269662921
"66",65,150,142,1990,"CostaRica","130390",0.946666666666667
"67",66,144,129,1990,"CostaRica","130390",0.895833333333333
"68",67,147,128,1990,"CostaRica","130390",0.870748299319728
"69",68,135,122,1990,"CostaRica","130390",0.903703703703704
"70",69,111,105,1990,"CostaRica","130390",0.945945945945946
"71",70,135,124,1990,"CostaRica","130390",0.918518518518519
"72",71,108,101,1990,"CostaRica","130390",0.935185185185185
"73",72,114,102,1990,"CostaRica","130390",0.894736842105263
"74",73,79,76,1990,"CostaRica","130390",0.962025316455696
"75",74,96,87,1990,"CostaRica","130390",0.90625
"76",75,74,65,1990,"CostaRica","130390",0.878378378378378
"77",76,72,67,1990,"CostaRica","130390",0.930555555555556
"78",77,80,72,1990,"CostaRica","130390",0.9
"79",78,54,51,1990,"CostaRica","130390",0.944444444444444
"80",79,61,54,1990,"CostaRica","130390",0.885245901639344
"81",80,39,36,1990,"CostaRica","130390",0.923076923076923
"82",81,52,44,1990,"CostaRica","130390",0.846153846153846
"83",82,40,38,1990,"CostaRica","130390",0.95
"84",83,28,28,1990,"CostaRica","130390",1
"85",84,33,31,1990,"CostaRica","130390",0.939393939393939
"86",85,24,21,1990,"CostaRica","130390",0.875
"87",86,18,17,1990,"CostaRica","130390",0.944444444444444
"88",87,20,19,1990,"CostaRica","130390",0.95
"89",88,12,9,1990,"CostaRica","130390",0.75
"90",89,11,9,1990,"CostaRica","130390",0.818181818181818
"91",90,10,10,1990,"CostaRica","130390",1
"92",91,5,5,1990,"CostaRica","130390",1
"93",92,2,2,1990,"CostaRica","130390",1
"94",93,5,5,1990,"CostaRica","130390",1
"95",94,1,1,1990,"CostaRica","130390",1
"96",95,2,1,1990,"CostaRica","130390",0.5
"97",96,2,2,1990,"CostaRica","130390",1
"98",97,2,2,1990,"CostaRica","130390",1
"99",98,1,1,1990,"CostaRica","130390",1
"100",0,779,0,1995,"CostaRica","130390",0
"101",1,760,0,1995,"CostaRica","130390",0
"102",2,771,0,1995,"CostaRica","130390",0
"103",3,745,0,1995,"CostaRica","130390",0
"104",4,766,0,1995,"CostaRica","130390",0
"105",5,789,0,1995,"CostaRica","130390",0
"106",6,792,0,1995,"CostaRica","130390",0
"107",7,769,0,1995,"CostaRica","130390",0
