"","age","pop","gp","year","country","seed","share"
"1",0,973,0,1990,"Croatia","158837",0
"2",1,1006,0,1990,"Croatia","158837",0
"3",2,1004,0,1990,"Croatia","158837",0
"4",3,1056,0,1990,"Croatia","158837",0
"5",4,1035,0,1990,"Croatia","158837",0
"6",5,1065,0,1990,"Croatia","158837",0
"7",6,1131,0,1990,"Croatia","158837",0
"8",7,1129,0,1990,"Croatia","158837",0
"9",8,1126,0,1990,"Croatia","158837",0
"10",9,1102,0,1990,"Croatia","158837",0
"11",10,1198,0,1990,"Croatia","158837",0
"12",11,1118,0,1990,"Croatia","158837",0
"13",12,1133,0,1990,"Croatia","158837",0
"14",13,1150,0,1990,"Croatia","158837",0
"15",14,1145,0,1990,"Croatia","158837",0
"16",15,1157,0,1990,"Croatia","158837",0
"17",16,1187,0,1990,"Croatia","158837",0
"18",17,1140,0,1990,"Croatia","158837",0
"19",18,1145,0,1990,"Croatia","158837",0
"20",19,1172,0,1990,"Croatia","158837",0
"21",20,1189,0,1990,"Croatia","158837",0
"22",21,1161,0,1990,"Croatia","158837",0
"23",22,1121,0,1990,"Croatia","158837",0
"24",23,1135,0,1990,"Croatia","158837",0
"25",24,1156,0,1990,"Croatia","158837",0
"26",25,1161,0,1990,"Croatia","158837",0
"27",26,1192,0,1990,"Croatia","158837",0
"28",27,1195,0,1990,"Croatia","158837",0
"29",28,1191,0,1990,"Croatia","158837",0
"30",29,1208,1,1990,"Croatia","158837",0.000827814569536424
"31",30,1289,3,1990,"Croatia","158837",0.00232738557020946
"32",31,1234,5,1990,"Croatia","158837",0.00405186385737439
"33",32,1212,3,1990,"Croatia","158837",0.00247524752475248
"34",33,1175,10,1990,"Croatia","158837",0.00851063829787234
"35",34,1215,16,1990,"Croatia","158837",0.0131687242798354
"36",35,1410,35,1990,"Croatia","158837",0.024822695035461
"37",36,1313,44,1990,"Croatia","158837",0.0335110434120335
"38",37,1322,77,1990,"Croatia","158837",0.0582450832072617
"39",38,1261,83,1990,"Croatia","158837",0.0658207771609833
"40",39,1311,140,1990,"Croatia","158837",0.106788710907704
"41",40,1257,127,1990,"Croatia","158837",0.101034208432776
"42",41,1233,165,1990,"Croatia","158837",0.1338199513382
