"","age","pop","gp","year","country","seed","share"
"1",0,3107,0,1990,"Cuba","119305",0
"2",1,3085,0,1990,"Cuba","119305",0
"3",2,2992,0,1990,"Cuba","119305",0
"4",3,2879,0,1990,"Cuba","119305",0
"5",4,2869,0,1990,"Cuba","119305",0
"6",5,2781,0,1990,"Cuba","119305",0
"7",6,2741,0,1990,"Cuba","119305",0
"8",7,2660,0,1990,"Cuba","119305",0
"9",8,2632,0,1990,"Cuba","119305",0
"10",9,2583,0,1990,"Cuba","119305",0
"11",10,2846,0,1990,"Cuba","119305",0
"12",11,2762,0,1990,"Cuba","119305",0
"13",12,2751,0,1990,"Cuba","119305",0
"14",13,2662,0,1990,"Cuba","119305",0
"15",14,2693,0,1990,"Cuba","119305",0
"16",15,4086,0,1990,"Cuba","119305",0
"17",16,3887,0,1990,"Cuba","119305",0
"18",17,3812,0,1990,"Cuba","119305",0
"19",18,3834,0,1990,"Cuba","119305",0
"20",19,3838,0,1990,"Cuba","119305",0
"21",20,4245,0,1990,"Cuba","119305",0
"22",21,4240,0,1990,"Cuba","119305",0
"23",22,4138,0,1990,"Cuba","119305",0
"24",23,4061,0,1990,"Cuba","119305",0
"25",24,4007,2,1990,"Cuba","119305",0.000499126528574994
"26",25,4193,3,1990,"Cuba","119305",0.000715478177915574
"27",26,4174,2,1990,"Cuba","119305",0.000479156684235745
"28",27,4094,3,1990,"Cuba","119305",0.000732779677576942
"29",28,4024,9,1990,"Cuba","119305",0.00223658051689861
"30",29,3942,20,1990,"Cuba","119305",0.00507356671740233
"31",30,3107,25,1990,"Cuba","119305",0.00804634695848085
"32",31,3033,55,1990,"Cuba","119305",0.0181338608638312
"33",32,2959,83,1990,"Cuba","119305",0.0280500168976005
"34",33,2836,113,1990,"Cuba","119305",0.0398448519040903
"35",34,2815,170,1990,"Cuba","119305",0.0603907637655417
"36",35,2918,273,1990,"Cuba","119305",0.0935572309801234
"37",36,2909,332,1990,"Cuba","119305",0.114128566517704
"38",37,2808,402,1990,"Cuba","119305",0.143162393162393
"39",38,2797,502,1990,"Cuba","119305",0.179478012155881
"40",39,2677,575,1990,"Cuba","119305",0.214792678371311
"41",40,2988,781,1990,"Cuba","119305",0.261378848728246
"42",41,2960,907,1990,"Cuba","119305",0.306418918918919
"43",42,2812,969,1990,"Cuba","119305",0.344594594594595
"44",43,2778,1126,1990,"Cuba","119305",0.405327573794096
"45",44,2733,1199,1990,"Cuba","119305",0.438712038053421
"46",45,2765,1327,1990,"Cuba","119305",0.479927667269439
"47",46,2688,1387,1990,"Cuba","119305",0.515997023809524
"48",47,2517,1405,1990,"Cuba","119305",0.558204211362733
"49",48,2596,1557,1990,"Cuba","119305",0.599768875192604
"50",49,2424,1479,1990,"Cuba","119305",0.610148514851485
"51",50,2501,1574,1990,"Cuba","119305",0.629348260695722
"52",51,2392,1596,1990,"Cuba","119305",0.667224080267559
"53",52,2260,1544,1990,"Cuba","119305",0.683185840707965
"54",53,2193,1537,1990,"Cuba","119305",0.700866393068855
"55",54,2162,1584,1990,"Cuba","119305",0.732654949121184
"56",55,2111,1505,1990,"Cuba","119305",0.71293225959261
"57",56,2088,1544,1990,"Cuba","119305",0.739463601532567
"58",57,1920,1482,1990,"Cuba","119305",0.771875
"59",58,1937,1500,1990,"Cuba","119305",0.774393391843056
"60",59,1910,1477,1990,"Cuba","119305",0.773298429319372
"61",60,1798,1413,1990,"Cuba","119305",0.78587319243604
"62",61,1705,1338,1990,"Cuba","119305",0.78475073313783
"63",62,1673,1337,1990,"Cuba","119305",0.799163179916318
"64",63,1589,1294,1990,"Cuba","119305",0.814348646947766
"65",64,1517,1237,1990,"Cuba","119305",0.81542518127884
"66",65,1470,1207,1990,"Cuba","119305",0.82108843537415
"67",66,1417,1186,1990,"Cuba","119305",0.836979534227241
"68",67,1349,1144,1990,"Cuba","119305",0.848035581912528
"69",68,1332,1132,1990,"Cuba","119305",0.84984984984985
"70",69,1255,1097,1990,"Cuba","119305",0.874103585657371
"71",70,1204,1019,1990,"Cuba","119305",0.846345514950166
"72",71,1132,986,1990,"Cuba","119305",0.871024734982332
"73",72,1107,953,1990,"Cuba","119305",0.860885275519422
"74",73,1046,881,1990,"Cuba","119305",0.84225621414914
"75",74,941,809,1990,"Cuba","119305",0.859723698193411
"76",75,853,739,1990,"Cuba","119305",0.866354044548652
"77",76,845,729,1990,"Cuba","119305",0.862721893491124
"78",77,769,658,1990,"Cuba","119305",0.855656697009103
"79",78,705,611,1990,"Cuba","119305",0.866666666666667
"80",79,670,588,1990,"Cuba","119305",0.877611940298507
"81",80,588,530,1990,"Cuba","119305",0.901360544217687
"82",81,492,427,1990,"Cuba","119305",0.867886178861789
"83",82,506,442,1990,"Cuba","119305",0.873517786561265
"84",83,416,362,1990,"Cuba","119305",0.870192307692308
"85",84,402,359,1990,"Cuba","119305",0.893034825870647
"86",85,323,278,1990,"Cuba","119305",0.860681114551084
"87",86,273,246,1990,"Cuba","119305",0.901098901098901
"88",87,226,191,1990,"Cuba","119305",0.845132743362832
"89",88,181,152,1990,"Cuba","119305",0.839779005524862
"90",89,142,131,1990,"Cuba","119305",0.922535211267606
"91",90,100,82,1990,"Cuba","119305",0.82
"92",91,87,73,1990,"Cuba","119305",0.839080459770115
"93",92,73,63,1990,"Cuba","119305",0.863013698630137
