"","age","pop","gp","year","country","seed","share"
"1",0,866,0,1990,"Cyprus","123911",0
"2",1,939,0,1990,"Cyprus","123911",0
"3",2,902,0,1990,"Cyprus","123911",0
"4",3,926,0,1990,"Cyprus","123911",0
"5",4,946,0,1990,"Cyprus","123911",0
"6",5,948,0,1990,"Cyprus","123911",0
"7",6,923,0,1990,"Cyprus","123911",0
"8",7,895,0,1990,"Cyprus","123911",0
"9",8,885,0,1990,"Cyprus","123911",0
"10",9,895,0,1990,"Cyprus","123911",0
"11",10,796,0,1990,"Cyprus","123911",0
"12",11,809,0,1990,"Cyprus","123911",0
"13",12,818,0,1990,"Cyprus","123911",0
"14",13,786,0,1990,"Cyprus","123911",0
"15",14,839,0,1990,"Cyprus","123911",0
"16",15,851,0,1990,"Cyprus","123911",0
"17",16,802,0,1990,"Cyprus","123911",0
"18",17,765,0,1990,"Cyprus","123911",0
"19",18,780,0,1990,"Cyprus","123911",0
"20",19,796,0,1990,"Cyprus","123911",0
"21",20,827,0,1990,"Cyprus","123911",0
"22",21,863,0,1990,"Cyprus","123911",0
"23",22,821,0,1990,"Cyprus","123911",0
"24",23,773,0,1990,"Cyprus","123911",0
"25",24,835,0,1990,"Cyprus","123911",0
"26",25,973,0,1990,"Cyprus","123911",0
"27",26,908,0,1990,"Cyprus","123911",0
"28",27,869,0,1990,"Cyprus","123911",0
"29",28,878,0,1990,"Cyprus","123911",0
"30",29,875,1,1990,"Cyprus","123911",0.00114285714285714
"31",30,885,0,1990,"Cyprus","123911",0
"32",31,873,2,1990,"Cyprus","123911",0.00229095074455899
"33",32,836,2,1990,"Cyprus","123911",0.00239234449760766
"34",33,738,3,1990,"Cyprus","123911",0.0040650406504065
"35",34,814,8,1990,"Cyprus","123911",0.00982800982800983
"36",35,784,12,1990,"Cyprus","123911",0.0153061224489796
"37",36,782,17,1990,"Cyprus","123911",0.0217391304347826
"38",37,751,21,1990,"Cyprus","123911",0.0279627163781625
"39",38,770,32,1990,"Cyprus","123911",0.0415584415584416
"40",39,721,44,1990,"Cyprus","123911",0.0610263522884882
"41",40,725,66,1990,"Cyprus","123911",0.0910344827586207
"42",41,697,69,1990,"Cyprus","123911",0.0989956958393113
"43",42,703,108,1990,"Cyprus","123911",0.153627311522048
"44",43,667,136,1990,"Cyprus","123911",0.203898050974513
"45",44,677,143,1990,"Cyprus","123911",0.21122599704579
"46",45,654,209,1990,"Cyprus","123911",0.319571865443425
"47",46,666,250,1990,"Cyprus","123911",0.375375375375375
"48",47,624,253,1990,"Cyprus","123911",0.405448717948718
"49",48,641,292,1990,"Cyprus","123911",0.455538221528861
"50",49,605,291,1990,"Cyprus","123911",0.48099173553719
"51",50,635,352,1990,"Cyprus","123911",0.554330708661417
"52",51,573,320,1990,"Cyprus","123911",0.558464223385689
"53",52,628,357,1990,"Cyprus","123911",0.568471337579618
"54",53,602,361,1990,"Cyprus","123911",0.599667774086379
"55",54,579,369,1990,"Cyprus","123911",0.637305699481865
"56",55,514,350,1990,"Cyprus","123911",0.680933852140078
"57",56,561,390,1990,"Cyprus","123911",0.695187165775401
"58",57,550,387,1990,"Cyprus","123911",0.703636363636364
"59",58,497,379,1990,"Cyprus","123911",0.762575452716298
"60",59,486,372,1990,"Cyprus","123911",0.765432098765432
"61",60,473,357,1990,"Cyprus","123911",0.754756871035941
"62",61,512,381,1990,"Cyprus","123911",0.744140625
"63",62,466,353,1990,"Cyprus","123911",0.757510729613734
"64",63,441,338,1990,"Cyprus","123911",0.766439909297052
"65",64,442,327,1990,"Cyprus","123911",0.739819004524887
"66",65,402,323,1990,"Cyprus","123911",0.803482587064677
"67",66,377,305,1990,"Cyprus","123911",0.809018567639257
"68",67,395,321,1990,"Cyprus","123911",0.812658227848101
"69",68,377,300,1990,"Cyprus","123911",0.795755968169761
"70",69,340,291,1990,"Cyprus","123911",0.855882352941176
"71",70,310,257,1990,"Cyprus","123911",0.829032258064516
"72",71,306,269,1990,"Cyprus","123911",0.879084967320261
"73",72,274,243,1990,"Cyprus","123911",0.886861313868613
"74",73,290,248,1990,"Cyprus","123911",0.855172413793103
"75",74,278,238,1990,"Cyprus","123911",0.856115107913669
"76",75,249,216,1990,"Cyprus","123911",0.867469879518072
"77",76,262,225,1990,"Cyprus","123911",0.858778625954199
"78",77,206,167,1990,"Cyprus","123911",0.810679611650485
"79",78,208,172,1990,"Cyprus","123911",0.826923076923077
"80",79,193,164,1990,"Cyprus","123911",0.849740932642487
"81",80,182,148,1990,"Cyprus","123911",0.813186813186813
"82",81,152,133,1990,"Cyprus","123911",0.875
"83",82,117,88,1990,"Cyprus","123911",0.752136752136752
"84",83,105,89,1990,"Cyprus","123911",0.847619047619048
"85",84,94,77,1990,"Cyprus","123911",0.819148936170213
"86",85,83,69,1990,"Cyprus","123911",0.831325301204819
"87",86,76,60,1990,"Cyprus","123911",0.789473684210526
"88",87,49,45,1990,"Cyprus","123911",0.918367346938776
"89",88,39,24,1990,"Cyprus","123911",0.615384615384615
"90",89,42,36,1990,"Cyprus","123911",0.857142857142857
"91",90,27,20,1990,"Cyprus","123911",0.740740740740741
"92",91,19,15,1990,"Cyprus","123911",0.789473684210526
"93",92,16,13,1990,"Cyprus","123911",0.8125
"94",93,10,7,1990,"Cyprus","123911",0.7
"95",94,10,8,1990,"Cyprus","123911",0.8
"96",95,5,5,1990,"Cyprus","123911",1
"97",96,6,4,1990,"Cyprus","123911",0.666666666666667
"98",97,2,2,1990,"Cyprus","123911",1
"99",99,1,1,1990,"Cyprus","123911",1
"100",0,922,0,1995,"Cyprus","123911",0
"101",1,863,0,1995,"Cyprus","123911",0
"102",2,916,0,1995,"Cyprus","123911",0
"103",3,923,0,1995,"Cyprus","123911",0
"104",4,953,0,1995,"Cyprus","123911",0
"105",5,860,0,1995,"Cyprus","123911",0
"106",6,936,0,1995,"Cyprus","123911",0
"107",7,901,0,1995,"Cyprus","123911",0
"108",8,921,0,1995,"Cyprus","123911",0
"109",9,945,0,1995,"Cyprus","123911",0
"110",10,948,0,1995,"Cyprus","123911",0
"111",11,922,0,1995,"Cyprus","123911",0
"112",12,895,0,1995,"Cyprus","123911",0
"113",13,882,0,1995,"Cyprus","123911",0
"114",14,894,0,1995,"Cyprus","123911",0
"115",15,795,0,1995,"Cyprus","123911",0
"116",16,809,0,1995,"Cyprus","123911",0
"117",17,817,0,1995,"Cyprus","123911",0
"118",18,783,0,1995,"Cyprus","123911",0
"119",19,838,0,1995,"Cyprus","123911",0
"120",20,849,0,1995,"Cyprus","123911",0
"121",21,801,0,1995,"Cyprus","123911",0
"122",22,762,0,1995,"Cyprus","123911",0
"123",23,777,0,1995,"Cyprus","123911",0
"124",24,796,0,1995,"Cyprus","123911",0
"125",25,825,0,1995,"Cyprus","123911",0
"126",26,859,0,1995,"Cyprus","123911",0
"127",27,818,1,1995,"Cyprus","123911",0.00122249388753056
"128",28,771,0,1995,"Cyprus","123911",0
"129",29,833,0,1995,"Cyprus","123911",0
"130",30,967,0,1995,"Cyprus","123911",0
"131",31,904,0,1995,"Cyprus","123911",0
"132",32,865,1,1995,"Cyprus","123911",0.00115606936416185
"133",33,875,4,1995,"Cyprus","123911",0.00457142857142857
"134",34,869,4,1995,"Cyprus","123911",0.0046029919447641
"135",35,882,13,1995,"Cyprus","123911",0.0147392290249433
"136",36,870,14,1995,"Cyprus","123911",0.0160919540229885
"137",37,834,20,1995,"Cyprus","123911",0.0239808153477218
"138",38,734,32,1995,"Cyprus","123911",0.0435967302452316
"139",39,812,39,1995,"Cyprus","123911",0.0480295566502463
"140",40,782,56,1995,"Cyprus","123911",0.0716112531969309
"141",41,779,75,1995,"Cyprus","123911",0.0962772785622593
"142",42,746,98,1995,"Cyprus","123911",0.131367292225201
"143",43,768,127,1995,"Cyprus","123911",0.165364583333333
"144",44,717,166,1995,"Cyprus","123911",0.231520223152022
"145",45,720,179,1995,"Cyprus","123911",0.248611111111111
"146",46,688,189,1995,"Cyprus","123911",0.274709302325581
"147",47,693,263,1995,"Cyprus","123911",0.37950937950938
"148",48,663,264,1995,"Cyprus","123911",0.398190045248869
"149",49,665,254,1995,"Cyprus","123911",0.381954887218045
"150",50,649,320,1995,"Cyprus","123911",0.49306625577812
"151",51,660,357,1995,"Cyprus","123911",0.540909090909091
"152",52,615,351,1995,"Cyprus","123911",0.570731707317073
"153",53,634,385,1995,"Cyprus","123911",0.607255520504732
"154",54,595,364,1995,"Cyprus","123911",0.611764705882353
"155",55,615,402,1995,"Cyprus","123911",0.653658536585366
"156",56,559,362,1995,"Cyprus","123911",0.647584973166369
"157",57,620,412,1995,"Cyprus","123911",0.664516129032258
"158",58,591,402,1995,"Cyprus","123911",0.680203045685279
"159",59,556,404,1995,"Cyprus","123911",0.726618705035971
"160",60,504,373,1995,"Cyprus","123911",0.740079365079365
"161",61,538,392,1995,"Cyprus","123911",0.728624535315985
"162",62,524,391,1995,"Cyprus","123911",0.74618320610687
"163",63,471,378,1995,"Cyprus","123911",0.802547770700637
"164",64,452,364,1995,"Cyprus","123911",0.805309734513274
"165",65,437,343,1995,"Cyprus","123911",0.784897025171625
"166",66,473,368,1995,"Cyprus","123911",0.778012684989429
"167",67,427,342,1995,"Cyprus","123911",0.800936768149883
"168",68,411,317,1995,"Cyprus","123911",0.771289537712895
"169",69,408,317,1995,"Cyprus","123911",0.776960784313726
"170",70,367,297,1995,"Cyprus","123911",0.809264305177112
"171",71,333,275,1995,"Cyprus","123911",0.825825825825826
"172",72,347,287,1995,"Cyprus","123911",0.827089337175792
"173",73,337,267,1995,"Cyprus","123911",0.792284866468843
"174",74,285,248,1995,"Cyprus","123911",0.870175438596491
"175",75,258,216,1995,"Cyprus","123911",0.837209302325581
"176",76,248,216,1995,"Cyprus","123911",0.870967741935484
"177",77,212,193,1995,"Cyprus","123911",0.910377358490566
"178",78,222,187,1995,"Cyprus","123911",0.842342342342342
"179",79,217,187,1995,"Cyprus","123911",0.861751152073733
"180",80,188,165,1995,"Cyprus","123911",0.877659574468085
"181",81,180,155,1995,"Cyprus","123911",0.861111111111111
"182",82,132,107,1995,"Cyprus","123911",0.810606060606061
"183",83,133,108,1995,"Cyprus","123911",0.81203007518797
"184",84,107,91,1995,"Cyprus","123911",0.850467289719626
"185",85,99,80,1995,"Cyprus","123911",0.808080808080808
"186",86,79,68,1995,"Cyprus","123911",0.860759493670886
"187",87,61,43,1995,"Cyprus","123911",0.704918032786885
"188",88,53,46,1995,"Cyprus","123911",0.867924528301887
"189",89,30,26,1995,"Cyprus","123911",0.866666666666667
"190",90,34,28,1995,"Cyprus","123911",0.823529411764706
"191",91,25,21,1995,"Cyprus","123911",0.84
"192",92,18,17,1995,"Cyprus","123911",0.944444444444444
"193",93,14,8,1995,"Cyprus","123911",0.571428571428571
"194",94,10,10,1995,"Cyprus","123911",1
