"","age","pop","gp","year","country","seed","share"
"1",0,2675,0,1990,"Czechia","161894",0
"2",1,2530,0,1990,"Czechia","161894",0
"3",2,2577,0,1990,"Czechia","161894",0
"4",3,2658,0,1990,"Czechia","161894",0
"5",4,2700,0,1990,"Czechia","161894",0
"6",5,2662,0,1990,"Czechia","161894",0
"7",6,2801,0,1990,"Czechia","161894",0
"8",7,2809,0,1990,"Czechia","161894",0
"9",8,2775,0,1990,"Czechia","161894",0
"10",9,2944,0,1990,"Czechia","161894",0
"11",10,3459,0,1990,"Czechia","161894",0
"12",11,3477,0,1990,"Czechia","161894",0
"13",12,3638,0,1990,"Czechia","161894",0
"14",13,3413,0,1990,"Czechia","161894",0
"15",14,3572,0,1990,"Czechia","161894",0
"16",15,3419,0,1990,"Czechia","161894",0
"17",16,3481,0,1990,"Czechia","161894",0
"18",17,3459,0,1990,"Czechia","161894",0
"19",18,3388,0,1990,"Czechia","161894",0
"20",19,3537,0,1990,"Czechia","161894",0
"21",20,3127,0,1990,"Czechia","161894",0
"22",21,3155,0,1990,"Czechia","161894",0
"23",22,3057,0,1990,"Czechia","161894",0
"24",23,3105,0,1990,"Czechia","161894",0
"25",24,3018,0,1990,"Czechia","161894",0
"26",25,3342,1,1990,"Czechia","161894",0.000299222022740874
"27",26,3269,0,1990,"Czechia","161894",0
"28",27,3346,0,1990,"Czechia","161894",0
"29",28,3261,1,1990,"Czechia","161894",0.000306654400490647
"30",29,3218,4,1990,"Czechia","161894",0.00124300807955252
"31",30,3432,11,1990,"Czechia","161894",0.00320512820512821
"32",31,3450,23,1990,"Czechia","161894",0.00666666666666667
"33",32,3379,35,1990,"Czechia","161894",0.0103580941106836
"34",33,3286,39,1990,"Czechia","161894",0.0118685331710286
"35",34,3377,67,1990,"Czechia","161894",0.0198400947586615
"36",35,3693,137,1990,"Czechia","161894",0.0370972109396155
"37",36,3626,200,1990,"Czechia","161894",0.0551571980143409
"38",37,3652,286,1990,"Czechia","161894",0.0783132530120482
"39",38,3691,346,1990,"Czechia","161894",0.093741533459767
"40",39,3638,485,1990,"Czechia","161894",0.133315008246289
"41",40,3991,620,1990,"Czechia","161894",0.155349536457028
"42",41,3830,768,1990,"Czechia","161894",0.200522193211488
"43",42,3941,926,1990,"Czechia","161894",0.234965744734839
"44",43,3771,1059,1990,"Czechia","161894",0.280827366746221
"45",44,3825,1201,1990,"Czechia","161894",0.313986928104575
"46",45,3694,1332,1990,"Czechia","161894",0.360584731997834
"47",46,3695,1405,1990,"Czechia","161894",0.380243572395129
"48",47,3593,1512,1990,"Czechia","161894",0.420818257723351
"49",48,3689,1706,1990,"Czechia","161894",0.462455950121984
"50",49,3468,1645,1990,"Czechia","161894",0.474336793540946
"51",50,3386,1714,1990,"Czechia","161894",0.506202008269344
"52",51,3423,1864,1990,"Czechia","161894",0.544551562956471
"53",52,3392,1919,1990,"Czechia","161894",0.565742924528302
"54",53,3270,1934,1990,"Czechia","161894",0.591437308868502
"55",54,3226,1785,1990,"Czechia","161894",0.55331680099194
"56",55,3273,1881,1990,"Czechia","161894",0.574702108157654
"57",56,3155,1863,1990,"Czechia","161894",0.590491283676704
"58",57,3077,1874,1990,"Czechia","161894",0.609034774130647
"59",58,3078,1935,1990,"Czechia","161894",0.628654970760234
"60",59,3052,1910,1990,"Czechia","161894",0.625819134993447
"61",60,2837,1825,1990,"Czechia","161894",0.643285160380684
"62",61,2865,1876,1990,"Czechia","161894",0.654799301919721
"63",62,2754,1858,1990,"Czechia","161894",0.674655047204067
"64",63,2657,1806,1990,"Czechia","161894",0.679713963116297
"65",64,2649,1811,1990,"Czechia","161894",0.683654209135523
