"","age","pop","gp","year","country","seed","share"
"1",0,2238,0,1960,"DemPeoplesRepublicofKorea","240604",0
"2",1,2185,0,1960,"DemPeoplesRepublicofKorea","240604",0
"3",2,2114,0,1960,"DemPeoplesRepublicofKorea","240604",0
"4",3,2021,0,1960,"DemPeoplesRepublicofKorea","240604",0
"5",4,2016,0,1960,"DemPeoplesRepublicofKorea","240604",0
"6",5,1393,0,1960,"DemPeoplesRepublicofKorea","240604",0
"7",6,1367,0,1960,"DemPeoplesRepublicofKorea","240604",0
"8",7,1334,0,1960,"DemPeoplesRepublicofKorea","240604",0
"9",8,1318,0,1960,"DemPeoplesRepublicofKorea","240604",0
"10",9,1328,0,1960,"DemPeoplesRepublicofKorea","240604",0
"11",10,1418,0,1960,"DemPeoplesRepublicofKorea","240604",0
"12",11,1410,0,1960,"DemPeoplesRepublicofKorea","240604",0
"13",12,1414,0,1960,"DemPeoplesRepublicofKorea","240604",0
"14",13,1400,0,1960,"DemPeoplesRepublicofKorea","240604",0
"15",14,1433,0,1960,"DemPeoplesRepublicofKorea","240604",0
"16",15,1353,0,1960,"DemPeoplesRepublicofKorea","240604",0
"17",16,1420,0,1960,"DemPeoplesRepublicofKorea","240604",0
"18",17,1339,0,1960,"DemPeoplesRepublicofKorea","240604",0
"19",18,1328,0,1960,"DemPeoplesRepublicofKorea","240604",0
"20",19,1351,0,1960,"DemPeoplesRepublicofKorea","240604",0
"21",20,1275,0,1960,"DemPeoplesRepublicofKorea","240604",0
"22",21,1221,0,1960,"DemPeoplesRepublicofKorea","240604",0
"23",22,1246,0,1960,"DemPeoplesRepublicofKorea","240604",0
"24",23,1331,0,1960,"DemPeoplesRepublicofKorea","240604",0
"25",24,1325,0,1960,"DemPeoplesRepublicofKorea","240604",0
"26",25,1195,0,1960,"DemPeoplesRepublicofKorea","240604",0
"27",26,1236,0,1960,"DemPeoplesRepublicofKorea","240604",0
"28",27,1195,0,1960,"DemPeoplesRepublicofKorea","240604",0
"29",28,1253,0,1960,"DemPeoplesRepublicofKorea","240604",0
"30",29,1152,0,1960,"DemPeoplesRepublicofKorea","240604",0
"31",30,1110,0,1960,"DemPeoplesRepublicofKorea","240604",0
"32",31,1005,0,1960,"DemPeoplesRepublicofKorea","240604",0
"33",32,998,0,1960,"DemPeoplesRepublicofKorea","240604",0
"34",33,1028,0,1960,"DemPeoplesRepublicofKorea","240604",0
"35",34,1006,0,1960,"DemPeoplesRepublicofKorea","240604",0
