"","age","pop","gp","year","country","seed","share"
"1",0,2060,0,1990,"Djibouti","130885",0
"2",1,2027,0,1990,"Djibouti","130885",0
"3",2,1885,0,1990,"Djibouti","130885",0
"4",3,1801,0,1990,"Djibouti","130885",0
"5",4,1708,0,1990,"Djibouti","130885",0
"6",5,1741,0,1990,"Djibouti","130885",0
"7",6,1662,0,1990,"Djibouti","130885",0
"8",7,1617,0,1990,"Djibouti","130885",0
"9",8,1648,0,1990,"Djibouti","130885",0
"10",9,1606,0,1990,"Djibouti","130885",0
"11",10,1537,0,1990,"Djibouti","130885",0
"12",11,1532,0,1990,"Djibouti","130885",0
"13",12,1502,0,1990,"Djibouti","130885",0
"14",13,1515,0,1990,"Djibouti","130885",0
"15",14,1438,0,1990,"Djibouti","130885",0
"16",15,1421,0,1990,"Djibouti","130885",0
"17",16,1440,0,1990,"Djibouti","130885",0
"18",17,1423,0,1990,"Djibouti","130885",0
"19",18,1354,0,1990,"Djibouti","130885",0
"20",19,1340,0,1990,"Djibouti","130885",0
"21",20,1260,0,1990,"Djibouti","130885",0
"22",21,1316,0,1990,"Djibouti","130885",0
"23",22,1224,0,1990,"Djibouti","130885",0
"24",23,1139,0,1990,"Djibouti","130885",0
"25",24,1147,0,1990,"Djibouti","130885",0
"26",25,1028,0,1990,"Djibouti","130885",0
"27",26,1004,0,1990,"Djibouti","130885",0
"28",27,1019,1,1990,"Djibouti","130885",0.00098135426889107
"29",28,963,0,1990,"Djibouti","130885",0
"30",29,940,0,1990,"Djibouti","130885",0
"31",30,893,2,1990,"Djibouti","130885",0.00223964165733483
"32",31,845,2,1990,"Djibouti","130885",0.00236686390532544
"33",32,821,6,1990,"Djibouti","130885",0.00730816077953715
"34",33,807,7,1990,"Djibouti","130885",0.00867410161090459
"35",34,780,16,1990,"Djibouti","130885",0.0205128205128205
"36",35,744,16,1990,"Djibouti","130885",0.021505376344086
"37",36,630,24,1990,"Djibouti","130885",0.0380952380952381
"38",37,649,40,1990,"Djibouti","130885",0.061633281972265
"39",38,625,54,1990,"Djibouti","130885",0.0864
"40",39,639,78,1990,"Djibouti","130885",0.122065727699531
"41",40,728,82,1990,"Djibouti","130885",0.112637362637363
"42",41,709,146,1990,"Djibouti","130885",0.205923836389281
"43",42,730,153,1990,"Djibouti","130885",0.20958904109589
"44",43,722,157,1990,"Djibouti","130885",0.217451523545706
"45",44,666,211,1990,"Djibouti","130885",0.316816816816817
"46",45,636,199,1990,"Djibouti","130885",0.312893081761006
"47",46,586,218,1990,"Djibouti","130885",0.372013651877133
"48",47,596,251,1990,"Djibouti","130885",0.421140939597315
"49",48,616,288,1990,"Djibouti","130885",0.467532467532468
"50",49,587,336,1990,"Djibouti","130885",0.572402044293015
"51",50,545,316,1990,"Djibouti","130885",0.579816513761468
"52",51,553,335,1990,"Djibouti","130885",0.605786618444846
"53",52,532,334,1990,"Djibouti","130885",0.62781954887218
