"","age","pop","gp","country","seed","year","share"
"1",0,1263,0,"Ecuador","238395",2022,0
"2",1,1208,0,"Ecuador","238395",2022,0
"3",2,1237,0,"Ecuador","238395",2022,0
"4",3,1241,0,"Ecuador","238395",2022,0
"5",4,1262,0,"Ecuador","238395",2022,0
"6",5,1246,0,"Ecuador","238395",2022,0
"7",6,1198,0,"Ecuador","238395",2022,0
"8",7,1274,0,"Ecuador","238395",2022,0
"9",8,1283,0,"Ecuador","238395",2022,0
"10",9,1235,0,"Ecuador","238395",2022,0
"11",10,1269,0,"Ecuador","238395",2022,0
"12",11,1261,0,"Ecuador","238395",2022,0
"13",12,1235,0,"Ecuador","238395",2022,0
"14",13,1277,0,"Ecuador","238395",2022,0
"15",14,1224,0,"Ecuador","238395",2022,0
"16",15,1213,0,"Ecuador","238395",2022,0
"17",16,1249,0,"Ecuador","238395",2022,0
"18",17,1259,0,"Ecuador","238395",2022,0
"19",18,1278,0,"Ecuador","238395",2022,0
"20",19,1267,0,"Ecuador","238395",2022,0
"21",20,1239,0,"Ecuador","238395",2022,0
"22",21,1233,0,"Ecuador","238395",2022,0
"23",22,1324,0,"Ecuador","238395",2022,0
"24",23,1249,0,"Ecuador","238395",2022,0
"25",24,1248,1,"Ecuador","238395",2022,0.000801282051282051
"26",25,1261,0,"Ecuador","238395",2022,0
"27",26,1224,2,"Ecuador","238395",2022,0.00163398692810458
"28",27,1332,1,"Ecuador","238395",2022,0.000750750750750751
"29",28,1236,2,"Ecuador","238395",2022,0.00161812297734628
"30",29,1234,3,"Ecuador","238395",2022,0.00243111831442464
"31",30,1156,5,"Ecuador","238395",2022,0.00432525951557093
"32",31,1103,13,"Ecuador","238395",2022,0.0117860380779692
"33",32,1229,22,"Ecuador","238395",2022,0.0179007323026851
"34",33,1162,26,"Ecuador","238395",2022,0.0223752151462995
"35",34,1194,54,"Ecuador","238395",2022,0.0452261306532663
"36",35,1125,59,"Ecuador","238395",2022,0.0524444444444444
"37",36,1094,75,"Ecuador","238395",2022,0.0685557586837294
"38",37,1111,112,"Ecuador","238395",2022,0.100810081008101
"39",38,1155,159,"Ecuador","238395",2022,0.137662337662338
"40",39,1033,179,"Ecuador","238395",2022,0.173281703775411
"41",40,1069,200,"Ecuador","238395",2022,0.187090739008419
"42",41,1066,255,"Ecuador","238395",2022,0.23921200750469
"43",42,1166,301,"Ecuador","238395",2022,0.258147512864494
