"","age","pop","gp","year","country","seed","share"
"1",0,1319,0,1960,"Egypt","174136",0
"2",1,1122,0,1960,"Egypt","174136",0
"3",2,1088,0,1960,"Egypt","174136",0
"4",3,972,0,1960,"Egypt","174136",0
"5",4,984,0,1960,"Egypt","174136",0
"6",5,877,0,1960,"Egypt","174136",0
"7",6,840,0,1960,"Egypt","174136",0
"8",7,848,0,1960,"Egypt","174136",0
"9",8,806,0,1960,"Egypt","174136",0
"10",9,777,0,1960,"Egypt","174136",0
"11",10,914,0,1960,"Egypt","174136",0
"12",11,846,0,1960,"Egypt","174136",0
"13",12,870,0,1960,"Egypt","174136",0
"14",13,817,0,1960,"Egypt","174136",0
"15",14,753,0,1960,"Egypt","174136",0
"16",15,816,0,1960,"Egypt","174136",0
"17",16,760,0,1960,"Egypt","174136",0
"18",17,799,0,1960,"Egypt","174136",0
"19",18,707,0,1960,"Egypt","174136",0
"20",19,741,0,1960,"Egypt","174136",0
"21",20,664,0,1960,"Egypt","174136",0
"22",21,677,0,1960,"Egypt","174136",0
"23",22,658,0,1960,"Egypt","174136",0
"24",23,664,0,1960,"Egypt","174136",0
"25",24,664,0,1960,"Egypt","174136",0
"26",25,635,0,1960,"Egypt","174136",0
"27",26,617,0,1960,"Egypt","174136",0
"28",27,585,1,1960,"Egypt","174136",0.00170940170940171
"29",28,573,1,1960,"Egypt","174136",0.00174520069808028
"30",29,577,1,1960,"Egypt","174136",0.00173310225303293
"31",30,553,4,1960,"Egypt","174136",0.00723327305605787
"32",31,529,6,1960,"Egypt","174136",0.0113421550094518
"33",32,509,13,1960,"Egypt","174136",0.0255402750491159
"34",33,536,28,1960,"Egypt","174136",0.0522388059701493
"35",34,494,23,1960,"Egypt","174136",0.0465587044534413
"36",35,507,48,1960,"Egypt","174136",0.0946745562130177
"37",36,487,68,1960,"Egypt","174136",0.139630390143737
"38",37,493,80,1960,"Egypt","174136",0.162271805273834
"39",38,450,94,1960,"Egypt","174136",0.208888888888889
"40",39,444,106,1960,"Egypt","174136",0.238738738738739
"41",40,413,121,1960,"Egypt","174136",0.292978208232446
"42",41,457,148,1960,"Egypt","174136",0.323851203501094
"43",42,422,172,1960,"Egypt","174136",0.407582938388626
"44",43,414,183,1960,"Egypt","174136",0.442028985507246
"45",44,424,202,1960,"Egypt","174136",0.476415094339623
"46",45,401,217,1960,"Egypt","174136",0.541147132169576
"47",46,403,247,1960,"Egypt","174136",0.612903225806452
