"","age","pop","gp","year","country","seed","share"
"1",0,623,0,1960,"ElSalvador","173286",0
"2",1,544,0,1960,"ElSalvador","173286",0
"3",2,576,0,1960,"ElSalvador","173286",0
"4",3,469,0,1960,"ElSalvador","173286",0
"5",4,436,0,1960,"ElSalvador","173286",0
"6",5,419,0,1960,"ElSalvador","173286",0
"7",6,408,0,1960,"ElSalvador","173286",0
"8",7,402,0,1960,"ElSalvador","173286",0
"9",8,392,0,1960,"ElSalvador","173286",0
"10",9,379,0,1960,"ElSalvador","173286",0
"11",10,388,0,1960,"ElSalvador","173286",0
"12",11,357,0,1960,"ElSalvador","173286",0
"13",12,340,0,1960,"ElSalvador","173286",0
"14",13,360,0,1960,"ElSalvador","173286",0
"15",14,336,0,1960,"ElSalvador","173286",0
"16",15,322,0,1960,"ElSalvador","173286",0
"17",16,308,0,1960,"ElSalvador","173286",0
"18",17,305,0,1960,"ElSalvador","173286",0
"19",18,291,0,1960,"ElSalvador","173286",0
"20",19,301,0,1960,"ElSalvador","173286",0
"21",20,289,0,1960,"ElSalvador","173286",0
"22",21,265,0,1960,"ElSalvador","173286",0
"23",22,273,0,1960,"ElSalvador","173286",0
"24",23,257,0,1960,"ElSalvador","173286",0
"25",24,239,0,1960,"ElSalvador","173286",0
"26",25,242,0,1960,"ElSalvador","173286",0
"27",26,226,0,1960,"ElSalvador","173286",0
"28",27,212,0,1960,"ElSalvador","173286",0
"29",28,213,1,1960,"ElSalvador","173286",0.00469483568075117
"30",29,215,1,1960,"ElSalvador","173286",0.00465116279069767
"31",30,212,1,1960,"ElSalvador","173286",0.00471698113207547
"32",31,197,3,1960,"ElSalvador","173286",0.0152284263959391
"33",32,183,5,1960,"ElSalvador","173286",0.0273224043715847
"34",33,163,2,1960,"ElSalvador","173286",0.0122699386503067
"35",34,176,8,1960,"ElSalvador","173286",0.0454545454545455
"36",35,158,15,1960,"ElSalvador","173286",0.0949367088607595
"37",36,167,23,1960,"ElSalvador","173286",0.137724550898204
"38",37,172,36,1960,"ElSalvador","173286",0.209302325581395
"39",38,133,36,1960,"ElSalvador","173286",0.270676691729323
"40",39,141,41,1960,"ElSalvador","173286",0.290780141843972
"41",40,132,51,1960,"ElSalvador","173286",0.386363636363636
"42",41,135,51,1960,"ElSalvador","173286",0.377777777777778
"43",42,118,56,1960,"ElSalvador","173286",0.474576271186441
"44",43,108,68,1960,"ElSalvador","173286",0.62962962962963
"45",44,112,69,1960,"ElSalvador","173286",0.616071428571429
"46",45,109,79,1960,"ElSalvador","173286",0.724770642201835
"47",46,103,70,1960,"ElSalvador","173286",0.679611650485437
"48",47,114,92,1960,"ElSalvador","173286",0.807017543859649
"49",48,99,74,1960,"ElSalvador","173286",0.747474747474748
"50",49,91,72,1960,"ElSalvador","173286",0.791208791208791
"51",50,110,95,1960,"ElSalvador","173286",0.863636363636364
"52",51,88,75,1960,"ElSalvador","173286",0.852272727272727
"53",52,89,76,1960,"ElSalvador","173286",0.853932584269663
"54",53,76,61,1960,"ElSalvador","173286",0.802631578947368
"55",54,70,57,1960,"ElSalvador","173286",0.814285714285714
"56",55,79,70,1960,"ElSalvador","173286",0.886075949367089
"57",56,76,70,1960,"ElSalvador","173286",0.921052631578947
"58",57,71,61,1960,"ElSalvador","173286",0.859154929577465
"59",58,68,62,1960,"ElSalvador","173286",0.911764705882353
"60",59,67,62,1960,"ElSalvador","173286",0.925373134328358
"61",60,58,55,1960,"ElSalvador","173286",0.948275862068966
"62",61,53,49,1960,"ElSalvador","173286",0.924528301886792
"63",62,41,37,1960,"ElSalvador","173286",0.902439024390244
"64",63,49,48,1960,"ElSalvador","173286",0.979591836734694
"65",64,48,45,1960,"ElSalvador","173286",0.9375
"66",65,38,33,1960,"ElSalvador","173286",0.868421052631579
"67",66,25,22,1960,"ElSalvador","173286",0.88
"68",67,34,30,1960,"ElSalvador","173286",0.88235294117647
"69",68,32,30,1960,"ElSalvador","173286",0.9375
"70",69,40,38,1960,"ElSalvador","173286",0.95
"71",70,33,29,1960,"ElSalvador","173286",0.878787878787879
"72",71,21,18,1960,"ElSalvador","173286",0.857142857142857
"73",72,19,19,1960,"ElSalvador","173286",1
"74",73,19,18,1960,"ElSalvador","173286",0.947368421052632
"75",74,19,17,1960,"ElSalvador","173286",0.894736842105263
"76",75,20,19,1960,"ElSalvador","173286",0.95
"77",76,12,12,1960,"ElSalvador","173286",1
"78",77,13,12,1960,"ElSalvador","173286",0.923076923076923
"79",78,13,11,1960,"ElSalvador","173286",0.846153846153846
"80",79,6,6,1960,"ElSalvador","173286",1
"81",80,7,7,1960,"ElSalvador","173286",1
"82",81,4,3,1960,"ElSalvador","173286",0.75
"83",82,5,3,1960,"ElSalvador","173286",0.6
"84",84,5,4,1960,"ElSalvador","173286",0.8
"85",85,3,3,1960,"ElSalvador","173286",1
"86",86,4,3,1960,"ElSalvador","173286",0.75
"87",87,1,1,1960,"ElSalvador","173286",1
"88",88,3,3,1960,"ElSalvador","173286",1
"89",89,1,1,1960,"ElSalvador","173286",1
"90",90,1,1,1960,"ElSalvador","173286",1
"91",0,763,0,1965,"ElSalvador","173286",0
"92",1,689,0,1965,"ElSalvador","173286",0
"93",2,635,0,1965,"ElSalvador","173286",0
"94",3,601,0,1965,"ElSalvador","173286",0
"95",4,603,0,1965,"ElSalvador","173286",0
"96",5,539,0,1965,"ElSalvador","173286",0
"97",6,485,0,1965,"ElSalvador","173286",0
"98",7,530,0,1965,"ElSalvador","173286",0
"99",8,447,0,1965,"ElSalvador","173286",0
"100",9,428,0,1965,"ElSalvador","173286",0
"101",10,415,0,1965,"ElSalvador","173286",0
"102",11,402,0,1965,"ElSalvador","173286",0
"103",12,398,0,1965,"ElSalvador","173286",0
"104",13,386,0,1965,"ElSalvador","173286",0
"105",14,372,0,1965,"ElSalvador","173286",0
"106",15,383,0,1965,"ElSalvador","173286",0
"107",16,356,0,1965,"ElSalvador","173286",0
"108",17,335,0,1965,"ElSalvador","173286",0
"109",18,357,0,1965,"ElSalvador","173286",0
"110",19,334,0,1965,"ElSalvador","173286",0
"111",20,315,0,1965,"ElSalvador","173286",0
"112",21,304,0,1965,"ElSalvador","173286",0
"113",22,302,0,1965,"ElSalvador","173286",0
"114",23,283,0,1965,"ElSalvador","173286",0
"115",24,295,0,1965,"ElSalvador","173286",0
"116",25,282,0,1965,"ElSalvador","173286",0
"117",26,260,0,1965,"ElSalvador","173286",0
"118",27,264,0,1965,"ElSalvador","173286",0
"119",28,254,0,1965,"ElSalvador","173286",0
"120",29,235,0,1965,"ElSalvador","173286",0
"121",30,237,1,1965,"ElSalvador","173286",0.00421940928270042
"122",31,220,3,1965,"ElSalvador","173286",0.0136363636363636
"123",32,207,6,1965,"ElSalvador","173286",0.0289855072463768
"124",33,210,7,1965,"ElSalvador","173286",0.0333333333333333
"125",34,210,12,1965,"ElSalvador","173286",0.0571428571428571
"126",35,202,22,1965,"ElSalvador","173286",0.108910891089109
"127",36,191,25,1965,"ElSalvador","173286",0.130890052356021
"128",37,175,26,1965,"ElSalvador","173286",0.148571428571429
"129",38,157,31,1965,"ElSalvador","173286",0.197452229299363
"130",39,171,45,1965,"ElSalvador","173286",0.263157894736842
"131",40,152,59,1965,"ElSalvador","173286",0.388157894736842
"132",41,166,63,1965,"ElSalvador","173286",0.379518072289157
"133",42,169,89,1965,"ElSalvador","173286",0.526627218934911
"134",43,127,64,1965,"ElSalvador","173286",0.503937007874016
"135",44,137,83,1965,"ElSalvador","173286",0.605839416058394
"136",45,129,84,1965,"ElSalvador","173286",0.651162790697674
"137",46,129,88,1965,"ElSalvador","173286",0.682170542635659
"138",47,115,83,1965,"ElSalvador","173286",0.721739130434783
"139",48,107,89,1965,"ElSalvador","173286",0.831775700934579
"140",49,110,93,1965,"ElSalvador","173286",0.845454545454545
"141",50,104,91,1965,"ElSalvador","173286",0.875
"142",51,98,84,1965,"ElSalvador","173286",0.857142857142857
"143",52,110,100,1965,"ElSalvador","173286",0.909090909090909
