"","age","pop","gp","year","country","seed","share"
"1",0,581,0,1990,"EquatorialGuinea","109312",0
"2",1,505,0,1990,"EquatorialGuinea","109312",0
"3",2,483,0,1990,"EquatorialGuinea","109312",0
"4",3,467,0,1990,"EquatorialGuinea","109312",0
"5",4,419,0,1990,"EquatorialGuinea","109312",0
"6",5,434,0,1990,"EquatorialGuinea","109312",0
"7",6,386,0,1990,"EquatorialGuinea","109312",0
"8",7,374,0,1990,"EquatorialGuinea","109312",0
"9",8,370,0,1990,"EquatorialGuinea","109312",0
"10",9,379,0,1990,"EquatorialGuinea","109312",0
"11",10,319,0,1990,"EquatorialGuinea","109312",0
"12",11,323,0,1990,"EquatorialGuinea","109312",0
"13",12,302,0,1990,"EquatorialGuinea","109312",0
"14",13,309,0,1990,"EquatorialGuinea","109312",0
"15",14,295,0,1990,"EquatorialGuinea","109312",0
"16",15,262,0,1990,"EquatorialGuinea","109312",0
"17",16,269,0,1990,"EquatorialGuinea","109312",0
"18",17,275,0,1990,"EquatorialGuinea","109312",0
"19",18,264,0,1990,"EquatorialGuinea","109312",0
"20",19,267,0,1990,"EquatorialGuinea","109312",0
"21",20,234,0,1990,"EquatorialGuinea","109312",0
"22",21,260,0,1990,"EquatorialGuinea","109312",0
"23",22,245,0,1990,"EquatorialGuinea","109312",0
"24",23,236,0,1990,"EquatorialGuinea","109312",0
"25",24,257,0,1990,"EquatorialGuinea","109312",0
"26",25,223,0,1990,"EquatorialGuinea","109312",0
"27",26,236,0,1990,"EquatorialGuinea","109312",0
"28",27,194,0,1990,"EquatorialGuinea","109312",0
"29",28,191,2,1990,"EquatorialGuinea","109312",0.0104712041884817
"30",29,211,1,1990,"EquatorialGuinea","109312",0.004739336492891
"31",30,187,2,1990,"EquatorialGuinea","109312",0.0106951871657754
"32",31,178,4,1990,"EquatorialGuinea","109312",0.0224719101123595
"33",32,195,7,1990,"EquatorialGuinea","109312",0.0358974358974359
"34",33,181,11,1990,"EquatorialGuinea","109312",0.0607734806629834
"35",34,183,16,1990,"EquatorialGuinea","109312",0.087431693989071
"36",35,134,22,1990,"EquatorialGuinea","109312",0.164179104477612
"37",36,159,32,1990,"EquatorialGuinea","109312",0.20125786163522
"38",37,151,38,1990,"EquatorialGuinea","109312",0.251655629139073
"39",38,156,54,1990,"EquatorialGuinea","109312",0.346153846153846
"40",39,139,40,1990,"EquatorialGuinea","109312",0.287769784172662
"41",40,149,43,1990,"EquatorialGuinea","109312",0.288590604026846
"42",41,124,58,1990,"EquatorialGuinea","109312",0.467741935483871
"43",42,116,54,1990,"EquatorialGuinea","109312",0.46551724137931
"44",43,147,73,1990,"EquatorialGuinea","109312",0.496598639455782
"45",44,131,76,1990,"EquatorialGuinea","109312",0.580152671755725
"46",45,107,55,1990,"EquatorialGuinea","109312",0.514018691588785
"47",46,121,76,1990,"EquatorialGuinea","109312",0.628099173553719
"48",47,115,82,1990,"EquatorialGuinea","109312",0.71304347826087
"49",48,119,85,1990,"EquatorialGuinea","109312",0.714285714285714
"50",49,108,82,1990,"EquatorialGuinea","109312",0.759259259259259
"51",50,99,71,1990,"EquatorialGuinea","109312",0.717171717171717
"52",51,89,72,1990,"EquatorialGuinea","109312",0.808988764044944
"53",52,106,88,1990,"EquatorialGuinea","109312",0.830188679245283
"54",53,104,79,1990,"EquatorialGuinea","109312",0.759615384615385
"55",54,97,74,1990,"EquatorialGuinea","109312",0.762886597938144
"56",55,96,75,1990,"EquatorialGuinea","109312",0.78125
"57",56,97,81,1990,"EquatorialGuinea","109312",0.835051546391753
"58",57,67,57,1990,"EquatorialGuinea","109312",0.850746268656716
"59",58,71,61,1990,"EquatorialGuinea","109312",0.859154929577465
"60",59,67,59,1990,"EquatorialGuinea","109312",0.880597014925373
"61",60,64,58,1990,"EquatorialGuinea","109312",0.90625
"62",61,70,59,1990,"EquatorialGuinea","109312",0.842857142857143
