"","age","pop","gp","year","country","seed","share"
"1",0,164,0,1960,"Eritrea","257216",0
"2",1,156,0,1960,"Eritrea","257216",0
"3",2,144,0,1960,"Eritrea","257216",0
"4",3,130,0,1960,"Eritrea","257216",0
"5",4,133,0,1960,"Eritrea","257216",0
"6",5,121,0,1960,"Eritrea","257216",0
"7",6,117,0,1960,"Eritrea","257216",0
"8",7,93,0,1960,"Eritrea","257216",0
"9",8,115,0,1960,"Eritrea","257216",0
"10",9,98,0,1960,"Eritrea","257216",0
"11",10,111,0,1960,"Eritrea","257216",0
"12",11,100,0,1960,"Eritrea","257216",0
"13",12,94,0,1960,"Eritrea","257216",0
"14",13,113,0,1960,"Eritrea","257216",0
"15",14,116,0,1960,"Eritrea","257216",0
"16",15,94,0,1960,"Eritrea","257216",0
"17",16,93,0,1960,"Eritrea","257216",0
"18",17,116,0,1960,"Eritrea","257216",0
"19",18,88,0,1960,"Eritrea","257216",0
"20",19,98,0,1960,"Eritrea","257216",0
"21",20,86,0,1960,"Eritrea","257216",0
"22",21,91,0,1960,"Eritrea","257216",0
"23",22,78,0,1960,"Eritrea","257216",0
"24",23,79,0,1960,"Eritrea","257216",0
"25",24,70,0,1960,"Eritrea","257216",0
"26",25,80,0,1960,"Eritrea","257216",0
"27",26,87,0,1960,"Eritrea","257216",0
"28",27,83,0,1960,"Eritrea","257216",0
"29",28,75,0,1960,"Eritrea","257216",0
"30",29,73,1,1960,"Eritrea","257216",0.0136986301369863
"31",30,76,0,1960,"Eritrea","257216",0
"32",31,59,0,1960,"Eritrea","257216",0
"33",32,68,1,1960,"Eritrea","257216",0.0147058823529412
"34",33,60,3,1960,"Eritrea","257216",0.05
"35",34,56,1,1960,"Eritrea","257216",0.0178571428571429
"36",35,43,4,1960,"Eritrea","257216",0.0930232558139535
"37",36,54,5,1960,"Eritrea","257216",0.0925925925925926
"38",37,51,9,1960,"Eritrea","257216",0.176470588235294
"39",38,54,7,1960,"Eritrea","257216",0.12962962962963
"40",39,52,8,1960,"Eritrea","257216",0.153846153846154
"41",40,52,7,1960,"Eritrea","257216",0.134615384615385
"42",41,53,12,1960,"Eritrea","257216",0.226415094339623
"43",42,42,17,1960,"Eritrea","257216",0.404761904761905
"44",43,41,14,1960,"Eritrea","257216",0.341463414634146
"45",44,56,23,1960,"Eritrea","257216",0.410714285714286
"46",45,45,15,1960,"Eritrea","257216",0.333333333333333
"47",46,50,30,1960,"Eritrea","257216",0.6
"48",47,44,23,1960,"Eritrea","257216",0.522727272727273
"49",48,35,19,1960,"Eritrea","257216",0.542857142857143
"50",49,44,25,1960,"Eritrea","257216",0.568181818181818
"51",50,44,30,1960,"Eritrea","257216",0.681818181818182
"52",51,34,23,1960,"Eritrea","257216",0.676470588235294
"53",52,24,21,1960,"Eritrea","257216",0.875
"54",53,26,19,1960,"Eritrea","257216",0.730769230769231
"55",54,24,21,1960,"Eritrea","257216",0.875
"56",55,36,32,1960,"Eritrea","257216",0.888888888888889
"57",56,25,22,1960,"Eritrea","257216",0.88
"58",57,19,15,1960,"Eritrea","257216",0.789473684210526
"59",58,19,15,1960,"Eritrea","257216",0.789473684210526
"60",59,22,17,1960,"Eritrea","257216",0.772727272727273
"61",60,29,26,1960,"Eritrea","257216",0.896551724137931
"62",61,19,15,1960,"Eritrea","257216",0.789473684210526
"63",62,12,11,1960,"Eritrea","257216",0.916666666666667
"64",63,18,14,1960,"Eritrea","257216",0.777777777777778
"65",64,17,15,1960,"Eritrea","257216",0.88235294117647
"66",65,14,10,1960,"Eritrea","257216",0.714285714285714
"67",66,16,15,1960,"Eritrea","257216",0.9375
"68",67,25,24,1960,"Eritrea","257216",0.96
"69",68,20,20,1960,"Eritrea","257216",1
"70",69,14,13,1960,"Eritrea","257216",0.928571428571429
"71",70,11,11,1960,"Eritrea","257216",1
"72",71,14,13,1960,"Eritrea","257216",0.928571428571429
"73",72,14,14,1960,"Eritrea","257216",1
"74",73,8,6,1960,"Eritrea","257216",0.75
"75",74,6,5,1960,"Eritrea","257216",0.833333333333333
"76",75,7,6,1960,"Eritrea","257216",0.857142857142857
"77",76,10,10,1960,"Eritrea","257216",1
"78",77,3,3,1960,"Eritrea","257216",1
"79",78,3,2,1960,"Eritrea","257216",0.666666666666667
"80",79,2,2,1960,"Eritrea","257216",1
"81",80,2,2,1960,"Eritrea","257216",1
"82",81,2,2,1960,"Eritrea","257216",1
"83",82,1,1,1960,"Eritrea","257216",1
"84",83,2,2,1960,"Eritrea","257216",1
"85",85,1,1,1960,"Eritrea","257216",1
"86",87,1,1,1960,"Eritrea","257216",1
"87",89,1,1,1960,"Eritrea","257216",1
"88",0,198,0,1965,"Eritrea","257216",0
"89",1,171,0,1965,"Eritrea","257216",0
"90",2,159,0,1965,"Eritrea","257216",0
"91",3,146,0,1965,"Eritrea","257216",0
"92",4,149,0,1965,"Eritrea","257216",0
"93",5,126,0,1965,"Eritrea","257216",0
"94",6,137,0,1965,"Eritrea","257216",0
"95",7,131,0,1965,"Eritrea","257216",0
"96",8,119,0,1965,"Eritrea","257216",0
"97",9,125,0,1965,"Eritrea","257216",0
"98",10,116,0,1965,"Eritrea","257216",0
"99",11,113,0,1965,"Eritrea","257216",0
"100",12,92,0,1965,"Eritrea","257216",0
"101",13,108,0,1965,"Eritrea","257216",0
"102",14,95,0,1965,"Eritrea","257216",0
"103",15,108,0,1965,"Eritrea","257216",0
"104",16,98,0,1965,"Eritrea","257216",0
"105",17,90,0,1965,"Eritrea","257216",0
"106",18,113,0,1965,"Eritrea","257216",0
"107",19,110,0,1965,"Eritrea","257216",0
"108",20,93,0,1965,"Eritrea","257216",0
"109",21,88,0,1965,"Eritrea","257216",0
"110",22,114,0,1965,"Eritrea","257216",0
"111",23,88,0,1965,"Eritrea","257216",0
"112",24,96,0,1965,"Eritrea","257216",0
"113",25,82,0,1965,"Eritrea","257216",0
"114",26,87,0,1965,"Eritrea","257216",0
"115",27,77,0,1965,"Eritrea","257216",0
"116",28,74,0,1965,"Eritrea","257216",0
"117",29,68,0,1965,"Eritrea","257216",0
"118",30,78,0,1965,"Eritrea","257216",0
"119",31,82,0,1965,"Eritrea","257216",0
"120",32,78,0,1965,"Eritrea","257216",0
"121",33,69,1,1965,"Eritrea","257216",0.0144927536231884
"122",34,69,3,1965,"Eritrea","257216",0.0434782608695652
"123",35,73,1,1965,"Eritrea","257216",0.0136986301369863
"124",36,56,4,1965,"Eritrea","257216",0.0714285714285714
"125",37,63,7,1965,"Eritrea","257216",0.111111111111111
"126",38,59,10,1965,"Eritrea","257216",0.169491525423729
"127",39,51,5,1965,"Eritrea","257216",0.0980392156862745
"128",40,42,12,1965,"Eritrea","257216",0.285714285714286
"129",41,51,15,1965,"Eritrea","257216",0.294117647058824
"130",42,48,19,1965,"Eritrea","257216",0.395833333333333
"131",43,50,19,1965,"Eritrea","257216",0.38
"132",44,48,16,1965,"Eritrea","257216",0.333333333333333
"133",45,50,21,1965,"Eritrea","257216",0.42
"134",46,49,23,1965,"Eritrea","257216",0.469387755102041
"135",47,40,22,1965,"Eritrea","257216",0.55
"136",48,39,19,1965,"Eritrea","257216",0.487179487179487
"137",49,51,29,1965,"Eritrea","257216",0.568627450980392
"138",50,40,22,1965,"Eritrea","257216",0.55
"139",51,47,36,1965,"Eritrea","257216",0.765957446808511
"140",52,39,28,1965,"Eritrea","257216",0.717948717948718
"141",53,32,23,1965,"Eritrea","257216",0.71875
"142",54,40,27,1965,"Eritrea","257216",0.675
"143",55,38,28,1965,"Eritrea","257216",0.736842105263158
"144",56,30,28,1965,"Eritrea","257216",0.933333333333333
"145",57,23,21,1965,"Eritrea","257216",0.91304347826087
"146",58,23,17,1965,"Eritrea","257216",0.739130434782609
"147",59,22,18,1965,"Eritrea","257216",0.818181818181818
"148",60,31,27,1965,"Eritrea","257216",0.870967741935484
"149",61,24,22,1965,"Eritrea","257216",0.916666666666667
"150",62,16,12,1965,"Eritrea","257216",0.75
"151",63,16,15,1965,"Eritrea","257216",0.9375
"152",64,19,16,1965,"Eritrea","257216",0.842105263157895
"153",65,21,18,1965,"Eritrea","257216",0.857142857142857
"154",66,19,16,1965,"Eritrea","257216",0.842105263157895
"155",67,8,8,1965,"Eritrea","257216",1
"156",68,16,12,1965,"Eritrea","257216",0.75
"157",69,12,11,1965,"Eritrea","257216",0.916666666666667
"158",70,13,10,1965,"Eritrea","257216",0.769230769230769
"159",71,15,14,1965,"Eritrea","257216",0.933333333333333
"160",72,18,17,1965,"Eritrea","257216",0.944444444444444
"161",73,18,18,1965,"Eritrea","257216",1
"162",74,12,11,1965,"Eritrea","257216",0.916666666666667
"163",75,9,9,1965,"Eritrea","257216",1
"164",76,4,4,1965,"Eritrea","257216",1
"165",77,8,8,1965,"Eritrea","257216",1
"166",78,5,4,1965,"Eritrea","257216",0.8
"167",79,3,2,1965,"Eritrea","257216",0.666666666666667
"168",80,5,4,1965,"Eritrea","257216",0.8
"169",81,3,3,1965,"Eritrea","257216",1
"170",83,1,1,1965,"Eritrea","257216",1
"171",94,1,1,1965,"Eritrea","257216",1
"172",0,192,0,1970,"Eritrea","257216",0
"173",1,192,0,1970,"Eritrea","257216",0
"174",2,156,0,1970,"Eritrea","257216",0
"175",3,154,0,1970,"Eritrea","257216",0
"176",4,146,0,1970,"Eritrea","257216",0
"177",5,148,0,1970,"Eritrea","257216",0
"178",6,150,0,1970,"Eritrea","257216",0
"179",7,138,0,1970,"Eritrea","257216",0
"180",8,135,0,1970,"Eritrea","257216",0
"181",9,144,0,1970,"Eritrea","257216",0
"182",10,121,0,1970,"Eritrea","257216",0
"183",11,133,0,1970,"Eritrea","257216",0
"184",12,126,0,1970,"Eritrea","257216",0
"185",13,118,0,1970,"Eritrea","257216",0
"186",14,119,0,1970,"Eritrea","257216",0
"187",15,111,0,1970,"Eritrea","257216",0
"188",16,109,0,1970,"Eritrea","257216",0
"189",17,85,0,1970,"Eritrea","257216",0
"190",18,102,0,1970,"Eritrea","257216",0
"191",19,91,0,1970,"Eritrea","257216",0
"192",20,102,0,1970,"Eritrea","257216",0
"193",21,91,0,1970,"Eritrea","257216",0
"194",22,87,0,1970,"Eritrea","257216",0
"195",23,107,0,1970,"Eritrea","257216",0
"196",24,105,0,1970,"Eritrea","257216",0
"197",25,92,0,1970,"Eritrea","257216",0
"198",26,87,0,1970,"Eritrea","257216",0
"199",27,110,0,1970,"Eritrea","257216",0
"200",28,86,0,1970,"Eritrea","257216",0
"201",29,90,0,1970,"Eritrea","257216",0
"202",30,80,0,1970,"Eritrea","257216",0
"203",31,86,0,1970,"Eritrea","257216",0
"204",32,73,0,1970,"Eritrea","257216",0
"205",33,71,0,1970,"Eritrea","257216",0
"206",34,64,0,1970,"Eritrea","257216",0
"207",35,68,2,1970,"Eritrea","257216",0.0294117647058824
"208",36,79,6,1970,"Eritrea","257216",0.0759493670886076
"209",37,72,6,1970,"Eritrea","257216",0.0833333333333333
"210",38,68,8,1970,"Eritrea","257216",0.117647058823529
"211",39,68,10,1970,"Eritrea","257216",0.147058823529412
"212",40,68,13,1970,"Eritrea","257216",0.191176470588235
"213",41,55,17,1970,"Eritrea","257216",0.309090909090909
