"","age","pop","gp","year","country","seed","share"
"1",0,234,0,1960,"Eswatini","358058",0
"2",1,180,0,1960,"Eswatini","358058",0
"3",2,196,0,1960,"Eswatini","358058",0
"4",3,169,0,1960,"Eswatini","358058",0
"5",4,163,0,1960,"Eswatini","358058",0
"6",5,153,0,1960,"Eswatini","358058",0
"7",6,137,0,1960,"Eswatini","358058",0
"8",7,141,0,1960,"Eswatini","358058",0
"9",8,166,0,1960,"Eswatini","358058",0
"10",9,124,0,1960,"Eswatini","358058",0
"11",10,150,0,1960,"Eswatini","358058",0
"12",11,123,0,1960,"Eswatini","358058",0
"13",12,139,0,1960,"Eswatini","358058",0
"14",13,126,0,1960,"Eswatini","358058",0
"15",14,127,0,1960,"Eswatini","358058",0
"16",15,111,0,1960,"Eswatini","358058",0
"17",16,123,0,1960,"Eswatini","358058",0
"18",17,112,0,1960,"Eswatini","358058",0
"19",18,111,0,1960,"Eswatini","358058",0
"20",19,115,0,1960,"Eswatini","358058",0
"21",20,103,0,1960,"Eswatini","358058",0
"22",21,83,0,1960,"Eswatini","358058",0
"23",22,91,0,1960,"Eswatini","358058",0
"24",23,77,0,1960,"Eswatini","358058",0
"25",24,84,0,1960,"Eswatini","358058",0
"26",25,87,0,1960,"Eswatini","358058",0
"27",26,67,0,1960,"Eswatini","358058",0
"28",27,75,0,1960,"Eswatini","358058",0
"29",28,81,0,1960,"Eswatini","358058",0
"30",29,66,0,1960,"Eswatini","358058",0
"31",30,58,0,1960,"Eswatini","358058",0
"32",31,57,0,1960,"Eswatini","358058",0
"33",32,62,0,1960,"Eswatini","358058",0
"34",33,75,7,1960,"Eswatini","358058",0.0933333333333333
"35",34,64,2,1960,"Eswatini","358058",0.03125
"36",35,62,6,1960,"Eswatini","358058",0.0967741935483871
"37",36,62,6,1960,"Eswatini","358058",0.0967741935483871
"38",37,56,7,1960,"Eswatini","358058",0.125
"39",38,42,6,1960,"Eswatini","358058",0.142857142857143
"40",39,58,12,1960,"Eswatini","358058",0.206896551724138
"41",40,53,16,1960,"Eswatini","358058",0.30188679245283
"42",41,43,19,1960,"Eswatini","358058",0.441860465116279
"43",42,47,17,1960,"Eswatini","358058",0.361702127659574
"44",43,50,14,1960,"Eswatini","358058",0.28
"45",44,53,21,1960,"Eswatini","358058",0.39622641509434
"46",45,43,24,1960,"Eswatini","358058",0.558139534883721
"47",46,41,23,1960,"Eswatini","358058",0.560975609756098
"48",47,46,29,1960,"Eswatini","358058",0.630434782608696
"49",48,26,17,1960,"Eswatini","358058",0.653846153846154
