"","age","pop","gp","country","seed","year","share"
"1",0,1419,0,"Ethiopia","357495",2022,0
"2",1,1406,0,"Ethiopia","357495",2022,0
"3",2,1477,0,"Ethiopia","357495",2022,0
"4",3,1497,0,"Ethiopia","357495",2022,0
"5",4,1389,0,"Ethiopia","357495",2022,0
"6",5,1333,0,"Ethiopia","357495",2022,0
"7",6,1343,0,"Ethiopia","357495",2022,0
"8",7,1416,0,"Ethiopia","357495",2022,0
"9",8,1358,0,"Ethiopia","357495",2022,0
"10",9,1277,0,"Ethiopia","357495",2022,0
"11",10,1292,0,"Ethiopia","357495",2022,0
"12",11,1220,0,"Ethiopia","357495",2022,0
"13",12,1271,0,"Ethiopia","357495",2022,0
"14",13,1264,0,"Ethiopia","357495",2022,0
"15",14,1213,0,"Ethiopia","357495",2022,0
"16",15,1143,0,"Ethiopia","357495",2022,0
"17",16,1177,0,"Ethiopia","357495",2022,0
"18",17,1221,0,"Ethiopia","357495",2022,0
"19",18,1182,0,"Ethiopia","357495",2022,0
"20",19,1172,0,"Ethiopia","357495",2022,0
"21",20,1072,0,"Ethiopia","357495",2022,0
"22",21,1134,0,"Ethiopia","357495",2022,0
"23",22,1158,0,"Ethiopia","357495",2022,0
"24",23,1097,0,"Ethiopia","357495",2022,0
"25",24,1061,0,"Ethiopia","357495",2022,0
"26",25,1030,0,"Ethiopia","357495",2022,0
"27",26,973,0,"Ethiopia","357495",2022,0
"28",27,999,0,"Ethiopia","357495",2022,0
"29",28,902,2,"Ethiopia","357495",2022,0.00221729490022173
"30",29,890,2,"Ethiopia","357495",2022,0.00224719101123596
"31",30,845,2,"Ethiopia","357495",2022,0.00236686390532544
"32",31,830,7,"Ethiopia","357495",2022,0.00843373493975904
"33",32,919,10,"Ethiopia","357495",2022,0.0108813928182807
"34",33,792,18,"Ethiopia","357495",2022,0.0227272727272727
"35",34,765,21,"Ethiopia","357495",2022,0.0274509803921569
"36",35,779,40,"Ethiopia","357495",2022,0.0513478818998716
"37",36,714,52,"Ethiopia","357495",2022,0.0728291316526611
"38",37,724,70,"Ethiopia","357495",2022,0.0966850828729282
"39",38,606,90,"Ethiopia","357495",2022,0.148514851485149
"40",39,608,114,"Ethiopia","357495",2022,0.1875
"41",40,609,124,"Ethiopia","357495",2022,0.203612479474548
"42",41,581,164,"Ethiopia","357495",2022,0.282271944922547
"43",42,547,195,"Ethiopia","357495",2022,0.356489945155393
"44",43,510,207,"Ethiopia","357495",2022,0.405882352941176
"45",44,523,220,"Ethiopia","357495",2022,0.420650095602294
"46",45,514,253,"Ethiopia","357495",2022,0.492217898832685
"47",46,519,275,"Ethiopia","357495",2022,0.529865125240848
"48",47,502,283,"Ethiopia","357495",2022,0.563745019920319
"49",48,486,297,"Ethiopia","357495",2022,0.611111111111111
"50",49,472,341,"Ethiopia","357495",2022,0.722457627118644
"51",50,462,321,"Ethiopia","357495",2022,0.694805194805195
"52",51,435,325,"Ethiopia","357495",2022,0.747126436781609
"53",52,408,321,"Ethiopia","357495",2022,0.786764705882353
"54",53,386,307,"Ethiopia","357495",2022,0.795336787564767
"55",54,376,306,"Ethiopia","357495",2022,0.813829787234043
"56",55,380,323,"Ethiopia","357495",2022,0.85
"57",56,353,294,"Ethiopia","357495",2022,0.8328611898017
"58",57,368,304,"Ethiopia","357495",2022,0.826086956521739
"59",58,348,278,"Ethiopia","357495",2022,0.798850574712644
"60",59,317,271,"Ethiopia","357495",2022,0.854889589905363
"61",60,269,220,"Ethiopia","357495",2022,0.817843866171004
"62",61,323,271,"Ethiopia","357495",2022,0.839009287925697
"63",62,258,220,"Ethiopia","357495",2022,0.852713178294574
"64",63,237,211,"Ethiopia","357495",2022,0.890295358649789
"65",64,223,194,"Ethiopia","357495",2022,0.869955156950673
"66",65,238,213,"Ethiopia","357495",2022,0.894957983193277
"67",66,209,193,"Ethiopia","357495",2022,0.923444976076555
"68",67,222,203,"Ethiopia","357495",2022,0.914414414414414
"69",68,186,161,"Ethiopia","357495",2022,0.865591397849462
"70",69,182,159,"Ethiopia","357495",2022,0.873626373626374
"71",70,162,144,"Ethiopia","357495",2022,0.888888888888889
"72",71,160,142,"Ethiopia","357495",2022,0.8875
"73",72,152,135,"Ethiopia","357495",2022,0.888157894736842
"74",73,164,147,"Ethiopia","357495",2022,0.896341463414634
"75",74,154,139,"Ethiopia","357495",2022,0.902597402597403
"76",75,131,117,"Ethiopia","357495",2022,0.893129770992366
"77",76,121,110,"Ethiopia","357495",2022,0.909090909090909
"78",77,111,101,"Ethiopia","357495",2022,0.90990990990991
"79",78,90,82,"Ethiopia","357495",2022,0.911111111111111
"80",79,93,86,"Ethiopia","357495",2022,0.924731182795699
"81",80,79,74,"Ethiopia","357495",2022,0.936708860759494
"82",81,60,51,"Ethiopia","357495",2022,0.85
"83",82,65,59,"Ethiopia","357495",2022,0.907692307692308
"84",83,61,56,"Ethiopia","357495",2022,0.918032786885246
"85",84,43,38,"Ethiopia","357495",2022,0.883720930232558
"86",85,42,41,"Ethiopia","357495",2022,0.976190476190476
"87",86,18,17,"Ethiopia","357495",2022,0.944444444444444
"88",87,25,25,"Ethiopia","357495",2022,1
"89",88,16,14,"Ethiopia","357495",2022,0.875
"90",89,12,12,"Ethiopia","357495",2022,1
"91",90,8,8,"Ethiopia","357495",2022,1
"92",91,4,3,"Ethiopia","357495",2022,0.75
"93",92,6,6,"Ethiopia","357495",2022,1
"94",93,5,5,"Ethiopia","357495",2022,1
"95",94,4,3,"Ethiopia","357495",2022,0.75
"96",95,3,3,"Ethiopia","357495",2022,1
"97",96,1,1,"Ethiopia","357495",2022,1
"98",98,1,0,"Ethiopia","357495",2022,0
