"","age","pop","gp","year","country","seed","share"
"1",0,1394,0,1960,"Fiji","160464",0
"2",1,1391,0,1960,"Fiji","160464",0
"3",2,1377,0,1960,"Fiji","160464",0
"4",3,1252,0,1960,"Fiji","160464",0
"5",4,1265,0,1960,"Fiji","160464",0
"6",5,1174,0,1960,"Fiji","160464",0
"7",6,1103,0,1960,"Fiji","160464",0
"8",7,1078,0,1960,"Fiji","160464",0
"9",8,1054,0,1960,"Fiji","160464",0
"10",9,977,0,1960,"Fiji","160464",0
"11",10,1141,0,1960,"Fiji","160464",0
"12",11,1072,0,1960,"Fiji","160464",0
"13",12,1001,0,1960,"Fiji","160464",0
"14",13,978,0,1960,"Fiji","160464",0
"15",14,992,0,1960,"Fiji","160464",0
"16",15,940,0,1960,"Fiji","160464",0
"17",16,893,0,1960,"Fiji","160464",0
"18",17,894,0,1960,"Fiji","160464",0
"19",18,896,0,1960,"Fiji","160464",0
"20",19,804,0,1960,"Fiji","160464",0
"21",20,727,0,1960,"Fiji","160464",0
"22",21,787,0,1960,"Fiji","160464",0
"23",22,746,0,1960,"Fiji","160464",0
"24",23,716,0,1960,"Fiji","160464",0
"25",24,705,0,1960,"Fiji","160464",0
"26",25,648,0,1960,"Fiji","160464",0
"27",26,645,0,1960,"Fiji","160464",0
"28",27,591,0,1960,"Fiji","160464",0
"29",28,573,2,1960,"Fiji","160464",0.00349040139616056
"30",29,613,5,1960,"Fiji","160464",0.00815660685154975
"31",30,530,6,1960,"Fiji","160464",0.0113207547169811
"32",31,493,11,1960,"Fiji","160464",0.0223123732251521
"33",32,522,20,1960,"Fiji","160464",0.0383141762452107
"34",33,461,19,1960,"Fiji","160464",0.0412147505422994
"35",34,446,43,1960,"Fiji","160464",0.0964125560538117
"36",35,442,51,1960,"Fiji","160464",0.115384615384615
"37",36,408,59,1960,"Fiji","160464",0.144607843137255
"38",37,423,94,1960,"Fiji","160464",0.222222222222222
"39",38,410,119,1960,"Fiji","160464",0.290243902439024
"40",39,374,128,1960,"Fiji","160464",0.342245989304813
"41",40,370,151,1960,"Fiji","160464",0.408108108108108
"42",41,338,174,1960,"Fiji","160464",0.514792899408284
"43",42,323,166,1960,"Fiji","160464",0.513931888544892
"44",43,333,185,1960,"Fiji","160464",0.555555555555556
"45",44,362,212,1960,"Fiji","160464",0.585635359116022
"46",45,304,195,1960,"Fiji","160464",0.641447368421053
"47",46,289,222,1960,"Fiji","160464",0.768166089965398
"48",47,274,212,1960,"Fiji","160464",0.773722627737226
"49",48,266,212,1960,"Fiji","160464",0.796992481203007
"50",49,260,206,1960,"Fiji","160464",0.792307692307692
"51",50,242,194,1960,"Fiji","160464",0.801652892561983
"52",51,231,197,1960,"Fiji","160464",0.852813852813853
"53",52,211,186,1960,"Fiji","160464",0.881516587677725
"54",53,208,184,1960,"Fiji","160464",0.884615384615385
"55",54,199,174,1960,"Fiji","160464",0.874371859296482
"56",55,198,170,1960,"Fiji","160464",0.858585858585859
"57",56,165,147,1960,"Fiji","160464",0.890909090909091
