"","age","pop","gp","year","country","seed","share"
"1",0,1766,0,1990,"Finland","192173",0
"2",1,1744,0,1990,"Finland","192173",0
"3",2,1740,0,1990,"Finland","192173",0
"4",3,1715,0,1990,"Finland","192173",0
"5",4,1679,0,1990,"Finland","192173",0
"6",5,1703,0,1990,"Finland","192173",0
"7",6,1822,0,1990,"Finland","192173",0
"8",7,1732,0,1990,"Finland","192173",0
"9",8,1733,0,1990,"Finland","192173",0
"10",9,1810,0,1990,"Finland","192173",0
"11",10,1772,0,1990,"Finland","192173",0
"12",11,1732,0,1990,"Finland","192173",0
"13",12,1776,0,1990,"Finland","192173",0
"14",13,1784,0,1990,"Finland","192173",0
"15",14,1681,0,1990,"Finland","192173",0
"16",15,1655,0,1990,"Finland","192173",0
"17",16,1621,0,1990,"Finland","192173",0
"18",17,1713,0,1990,"Finland","192173",0
"19",18,1619,0,1990,"Finland","192173",0
"20",19,1623,0,1990,"Finland","192173",0
"21",20,2183,0,1990,"Finland","192173",0
"22",21,2160,0,1990,"Finland","192173",0
"23",22,2152,0,1990,"Finland","192173",0
"24",23,2183,0,1990,"Finland","192173",0
"25",24,2085,0,1990,"Finland","192173",0
"26",25,2444,0,1990,"Finland","192173",0
"27",26,2451,0,1990,"Finland","192173",0
"28",27,2469,0,1990,"Finland","192173",0
"29",28,2410,0,1990,"Finland","192173",0
"30",29,2381,1,1990,"Finland","192173",0.000419991600167997
"31",30,2520,0,1990,"Finland","192173",0
"32",31,2329,0,1990,"Finland","192173",0
"33",32,2314,4,1990,"Finland","192173",0.0017286084701815
"34",33,2278,6,1990,"Finland","192173",0.00263388937664618
"35",34,2301,11,1990,"Finland","192173",0.00478053020425902
"36",35,2416,21,1990,"Finland","192173",0.00869205298013245
"37",36,2278,28,1990,"Finland","192173",0.0122914837576822
"38",37,2340,47,1990,"Finland","192173",0.0200854700854701
"39",38,2330,70,1990,"Finland","192173",0.0300429184549356
"40",39,2346,90,1990,"Finland","192173",0.0383631713554987
"41",40,2514,143,1990,"Finland","192173",0.0568814638027049
"42",41,2357,180,1990,"Finland","192173",0.0763682647433178
"43",42,2370,253,1990,"Finland","192173",0.106751054852321
"44",43,2401,314,1990,"Finland","192173",0.130778842149105
"45",44,2308,382,1990,"Finland","192173",0.165511265164645
"46",45,2309,464,1990,"Finland","192173",0.200952793417064
"47",46,2259,540,1990,"Finland","192173",0.239043824701195
"48",47,2286,621,1990,"Finland","192173",0.271653543307087
"49",48,2194,712,1990,"Finland","192173",0.324521422060164
"50",49,2184,732,1990,"Finland","192173",0.335164835164835
"51",50,2140,811,1990,"Finland","192173",0.378971962616822
"52",51,2076,901,1990,"Finland","192173",0.434007707129094
"53",52,1983,902,1990,"Finland","192173",0.454866364094806
"54",53,2032,991,1990,"Finland","192173",0.487696850393701
"55",54,2057,1044,1990,"Finland","192173",0.50753524550316
"56",55,1948,1068,1990,"Finland","192173",0.548254620123203
"57",56,1927,1074,1990,"Finland","192173",0.557343020238713
"58",57,1823,1032,1990,"Finland","192173",0.566099835436094
"59",58,1817,1122,1990,"Finland","192173",0.617501375894331
"60",59,1827,1152,1990,"Finland","192173",0.630541871921182
"61",60,1685,1055,1990,"Finland","192173",0.626112759643917
"62",61,1767,1198,1990,"Finland","192173",0.677985285795133
"63",62,1586,1063,1990,"Finland","192173",0.670239596469105
"64",63,1648,1096,1990,"Finland","192173",0.66504854368932
"65",64,1550,1060,1990,"Finland","192173",0.683870967741935
"66",65,1451,991,1990,"Finland","192173",0.682977257064094
"67",66,1447,1029,1990,"Finland","192173",0.711126468555632
"68",67,1358,964,1990,"Finland","192173",0.709867452135493
"69",68,1240,902,1990,"Finland","192173",0.72741935483871
"70",69,1273,965,1990,"Finland","192173",0.758051846032993
"71",70,1230,888,1990,"Finland","192173",0.721951219512195
"72",71,1151,859,1990,"Finland","192173",0.746307558644657
"73",72,1103,839,1990,"Finland","192173",0.760652765185857
"74",73,1012,780,1990,"Finland","192173",0.770750988142292
"75",74,974,737,1990,"Finland","192173",0.756673511293634
"76",75,964,723,1990,"Finland","192173",0.75
"77",76,882,685,1990,"Finland","192173",0.776643990929705
"78",77,785,613,1990,"Finland","192173",0.780891719745223
"79",78,735,569,1990,"Finland","192173",0.774149659863946
"80",79,637,487,1990,"Finland","192173",0.764521193092622
"81",80,585,443,1990,"Finland","192173",0.757264957264957
"82",81,483,383,1990,"Finland","192173",0.79296066252588
"83",82,451,354,1990,"Finland","192173",0.784922394678492
"84",83,388,307,1990,"Finland","192173",0.791237113402062
"85",84,345,248,1990,"Finland","192173",0.718840579710145
"86",85,297,232,1990,"Finland","192173",0.781144781144781
"87",86,276,210,1990,"Finland","192173",0.760869565217391
"88",87,160,132,1990,"Finland","192173",0.825
"89",88,160,119,1990,"Finland","192173",0.74375
"90",89,131,104,1990,"Finland","192173",0.793893129770992
"91",90,128,100,1990,"Finland","192173",0.78125
"92",91,81,67,1990,"Finland","192173",0.827160493827161
"93",92,40,30,1990,"Finland","192173",0.75
"94",93,39,31,1990,"Finland","192173",0.794871794871795
"95",94,34,20,1990,"Finland","192173",0.588235294117647
"96",95,16,13,1990,"Finland","192173",0.8125
"97",96,14,13,1990,"Finland","192173",0.928571428571429
"98",97,7,5,1990,"Finland","192173",0.714285714285714
"99",98,6,4,1990,"Finland","192173",0.666666666666667
"100",0,1667,0,1995,"Finland","192173",0
"101",1,1750,0,1995,"Finland","192173",0
"102",2,1726,0,1995,"Finland","192173",0
"103",3,1779,0,1995,"Finland","192173",0
"104",4,1817,0,1995,"Finland","192173",0
"105",5,1763,0,1995,"Finland","192173",0
"106",6,1740,0,1995,"Finland","192173",0
"107",7,1738,0,1995,"Finland","192173",0
"108",8,1714,0,1995,"Finland","192173",0
"109",9,1677,0,1995,"Finland","192173",0
"110",10,1703,0,1995,"Finland","192173",0
"111",11,1821,0,1995,"Finland","192173",0
"112",12,1729,0,1995,"Finland","192173",0
"113",13,1733,0,1995,"Finland","192173",0
"114",14,1809,0,1995,"Finland","192173",0
"115",15,1771,0,1995,"Finland","192173",0
"116",16,1730,0,1995,"Finland","192173",0
"117",17,1771,0,1995,"Finland","192173",0
"118",18,1781,0,1995,"Finland","192173",0
"119",19,1679,0,1995,"Finland","192173",0
"120",20,1649,0,1995,"Finland","192173",0
"121",21,1616,0,1995,"Finland","192173",0
"122",22,1710,0,1995,"Finland","192173",0
"123",23,1615,0,1995,"Finland","192173",0
"124",24,1618,0,1995,"Finland","192173",0
"125",25,2172,0,1995,"Finland","192173",0
"126",26,2153,0,1995,"Finland","192173",0
"127",27,2143,0,1995,"Finland","192173",0
"128",28,2171,0,1995,"Finland","192173",0
"129",29,2074,1,1995,"Finland","192173",0.000482160077145612
"130",30,2434,1,1995,"Finland","192173",0.000410846343467543
"131",31,2439,2,1995,"Finland","192173",0.000820008200082001
"132",32,2455,3,1995,"Finland","192173",0.00122199592668024
"133",33,2393,5,1995,"Finland","192173",0.00208942749686586
"134",34,2373,9,1995,"Finland","192173",0.00379266750948167
"135",35,2499,12,1995,"Finland","192173",0.00480192076830732
"136",36,2315,16,1995,"Finland","192173",0.00691144708423326
"137",37,2297,29,1995,"Finland","192173",0.0126251632564214
"138",38,2257,65,1995,"Finland","192173",0.0287992910943731
"139",39,2279,87,1995,"Finland","192173",0.0381746379991224
"140",40,2394,123,1995,"Finland","192173",0.0513784461152882
"141",41,2261,160,1995,"Finland","192173",0.070765148164529
"142",42,2299,190,1995,"Finland","192173",0.0826446280991736
"143",43,2296,272,1995,"Finland","192173",0.118466898954704
"144",44,2316,299,1995,"Finland","192173",0.129101899827288
"145",45,2481,411,1995,"Finland","192173",0.165659008464329
"146",46,2324,439,1995,"Finland","192173",0.188898450946644
"147",47,2328,538,1995,"Finland","192173",0.231099656357388
"148",48,2357,630,1995,"Finland","192173",0.267288926601612
"149",49,2275,686,1995,"Finland","192173",0.301538461538462
"150",50,2266,813,1995,"Finland","192173",0.358781994704325
"151",51,2201,860,1995,"Finland","192173",0.390731485688323
"152",52,2234,915,1995,"Finland","192173",0.409579230080573
"153",53,2131,1004,1995,"Finland","192173",0.471140309713749
"154",54,2126,992,1995,"Finland","192173",0.466603951081844
"155",55,2079,1051,1995,"Finland","192173",0.505531505531505
"156",56,2009,1084,1995,"Finland","192173",0.539571926331508
"157",57,1917,1108,1995,"Finland","192173",0.577986437141367
"158",58,1960,1154,1995,"Finland","192173",0.588775510204082
"159",59,1979,1165,1995,"Finland","192173",0.588681152097019
"160",60,1842,1150,1995,"Finland","192173",0.624321389793703
"161",61,1824,1129,1995,"Finland","192173",0.618969298245614
"162",62,1736,1069,1995,"Finland","192173",0.615783410138249
