"","age","pop","gp","year","country","seed","share"
"1",0,753,0,1990,"France","324374",0
"2",1,687,0,1990,"France","324374",0
"3",2,645,0,1990,"France","324374",0
"4",3,695,0,1990,"France","324374",0
"5",4,652,0,1990,"France","324374",0
"6",5,692,0,1990,"France","324374",0
"7",6,668,0,1990,"France","324374",0
"8",7,689,0,1990,"France","324374",0
"9",8,663,0,1990,"France","324374",0
"10",9,646,0,1990,"France","324374",0
"11",10,655,0,1990,"France","324374",0
"12",11,656,0,1990,"France","324374",0
"13",12,679,0,1990,"France","324374",0
"14",13,636,0,1990,"France","324374",0
"15",14,689,0,1990,"France","324374",0
"16",15,782,0,1990,"France","324374",0
"17",16,759,0,1990,"France","324374",0
"18",17,805,0,1990,"France","324374",0
"19",18,808,0,1990,"France","324374",0
"20",19,758,0,1990,"France","324374",0
"21",20,864,0,1990,"France","324374",0
"22",21,814,0,1990,"France","324374",0
"23",22,852,0,1990,"France","324374",0
"24",23,846,0,1990,"France","324374",0
"25",24,823,0,1990,"France","324374",0
"26",25,873,0,1990,"France","324374",0
"27",26,818,0,1990,"France","324374",0
"28",27,822,0,1990,"France","324374",0
"29",28,851,0,1990,"France","324374",0
"30",29,827,0,1990,"France","324374",0
"31",30,814,0,1990,"France","324374",0
"32",31,727,0,1990,"France","324374",0
"33",32,776,0,1990,"France","324374",0
"34",33,754,1,1990,"France","324374",0.0013262599469496
"35",34,728,1,1990,"France","324374",0.00137362637362637
"36",35,771,12,1990,"France","324374",0.0155642023346304
"37",36,737,8,1990,"France","324374",0.0108548168249661
"38",37,736,12,1990,"France","324374",0.016304347826087
"39",38,728,8,1990,"France","324374",0.010989010989011
"40",39,705,21,1990,"France","324374",0.0297872340425532
"41",40,726,36,1990,"France","324374",0.0495867768595041
"42",41,705,34,1990,"France","324374",0.0482269503546099
"43",42,718,63,1990,"France","324374",0.0877437325905292
"44",43,615,77,1990,"France","324374",0.12520325203252
"45",44,685,100,1990,"France","324374",0.145985401459854
"46",45,639,110,1990,"France","324374",0.172143974960876
"47",46,687,153,1990,"France","324374",0.222707423580786
"48",47,633,161,1990,"France","324374",0.25434439178515
"49",48,691,210,1990,"France","324374",0.303907380607815
"50",49,616,229,1990,"France","324374",0.371753246753247
"51",50,658,253,1990,"France","324374",0.384498480243161
"52",51,596,274,1990,"France","324374",0.459731543624161
"53",52,633,317,1990,"France","324374",0.500789889415482
"54",53,583,317,1990,"France","324374",0.543739279588336
"55",54,595,342,1990,"France","324374",0.574789915966387
"56",55,604,346,1990,"France","324374",0.572847682119205
"57",56,621,365,1990,"France","324374",0.587761674718196
"58",57,628,372,1990,"France","324374",0.592356687898089
"59",58,530,360,1990,"France","324374",0.679245283018868
"60",59,568,377,1990,"France","324374",0.663732394366197
"61",60,545,389,1990,"France","324374",0.713761467889908
"62",61,520,354,1990,"France","324374",0.680769230769231
"63",62,494,353,1990,"France","324374",0.714574898785425
"64",63,483,336,1990,"France","324374",0.695652173913043
"65",64,492,356,1990,"France","324374",0.723577235772358
"66",65,473,343,1990,"France","324374",0.725158562367865
"67",66,443,331,1990,"France","324374",0.747178329571106
"68",67,452,344,1990,"France","324374",0.761061946902655
"69",68,417,305,1990,"France","324374",0.731414868105516
"70",69,417,331,1990,"France","324374",0.793764988009592
"71",70,425,318,1990,"France","324374",0.748235294117647
"72",71,384,282,1990,"France","324374",0.734375
"73",72,382,298,1990,"France","324374",0.780104712041885
"74",73,357,282,1990,"France","324374",0.789915966386555
"75",74,351,270,1990,"France","324374",0.769230769230769
"76",75,328,254,1990,"France","324374",0.774390243902439
"77",76,294,221,1990,"France","324374",0.751700680272109
"78",77,268,208,1990,"France","324374",0.776119402985075
"79",78,278,222,1990,"France","324374",0.798561151079137
"80",79,259,201,1990,"France","324374",0.776061776061776
"81",80,247,195,1990,"France","324374",0.789473684210526
"82",81,236,180,1990,"France","324374",0.76271186440678
"83",82,209,158,1990,"France","324374",0.755980861244019
"84",83,161,124,1990,"France","324374",0.770186335403727
"85",84,141,106,1990,"France","324374",0.75177304964539
"86",85,139,108,1990,"France","324374",0.776978417266187
"87",86,92,76,1990,"France","324374",0.826086956521739
"88",87,75,62,1990,"France","324374",0.826666666666667
"89",88,88,78,1990,"France","324374",0.886363636363636
"90",89,68,52,1990,"France","324374",0.764705882352941
"91",90,57,42,1990,"France","324374",0.736842105263158
"92",91,25,21,1990,"France","324374",0.84
"93",92,21,15,1990,"France","324374",0.714285714285714
"94",93,25,17,1990,"France","324374",0.68
"95",94,12,9,1990,"France","324374",0.75
"96",95,14,9,1990,"France","324374",0.642857142857143
"97",96,9,5,1990,"France","324374",0.555555555555556
"98",97,3,3,1990,"France","324374",1
"99",98,4,3,1990,"France","324374",0.75
"100",99,1,0,1990,"France","324374",0
"101",0,669,0,1995,"France","324374",0
"102",1,679,0,1995,"France","324374",0
"103",2,638,0,1995,"France","324374",0
"104",3,647,0,1995,"France","324374",0
"105",4,660,0,1995,"France","324374",0
"106",5,746,0,1995,"France","324374",0
"107",6,687,0,1995,"France","324374",0
"108",7,645,0,1995,"France","324374",0
"109",8,695,0,1995,"France","324374",0
"110",9,651,0,1995,"France","324374",0
"111",10,691,0,1995,"France","324374",0
"112",11,668,0,1995,"France","324374",0
"113",12,688,0,1995,"France","324374",0
"114",13,663,0,1995,"France","324374",0
"115",14,646,0,1995,"France","324374",0
"116",15,655,0,1995,"France","324374",0
"117",16,655,0,1995,"France","324374",0
"118",17,678,0,1995,"France","324374",0
"119",18,635,0,1995,"France","324374",0
"120",19,689,0,1995,"France","324374",0
"121",20,781,0,1995,"France","324374",0
"122",21,757,0,1995,"France","324374",0
"123",22,803,0,1995,"France","324374",0
"124",23,806,0,1995,"France","324374",0
"125",24,757,0,1995,"France","324374",0
"126",25,861,0,1995,"France","324374",0
"127",26,811,0,1995,"France","324374",0
"128",27,847,0,1995,"France","324374",0
"129",28,840,0,1995,"France","324374",0
"130",29,819,0,1995,"France","324374",0
"131",30,868,0,1995,"France","324374",0
"132",31,813,0,1995,"France","324374",0
"133",32,809,0,1995,"France","324374",0
"134",33,844,1,1995,"France","324374",0.00118483412322275
"135",34,824,3,1995,"France","324374",0.00364077669902913
"136",35,808,0,1995,"France","324374",0
"137",36,722,6,1995,"France","324374",0.00831024930747922
"138",37,765,11,1995,"France","324374",0.0143790849673203
"139",38,750,11,1995,"France","324374",0.0146666666666667
"140",39,724,11,1995,"France","324374",0.0151933701657459
"141",40,764,37,1995,"France","324374",0.0484293193717278
"142",41,727,39,1995,"France","324374",0.0536451169188446
"143",42,729,63,1995,"France","324374",0.0864197530864197
"144",43,718,62,1995,"France","324374",0.0863509749303621
"145",44,691,84,1995,"France","324374",0.121562952243126
"146",45,720,111,1995,"France","324374",0.154166666666667
"147",46,700,128,1995,"France","324374",0.182857142857143
"148",47,707,162,1995,"France","324374",0.229137199434229
"149",48,609,179,1995,"France","324374",0.293924466338259
"150",49,674,229,1995,"France","324374",0.339762611275964
"151",50,629,238,1995,"France","324374",0.378378378378378
"152",51,677,269,1995,"France","324374",0.397341211225997
"153",52,627,260,1995,"France","324374",0.414673046251994
"154",53,666,321,1995,"France","324374",0.481981981981982
"155",54,603,332,1995,"France","324374",0.550580431177446
"156",55,649,366,1995,"France","324374",0.563944530046225
"157",56,583,346,1995,"France","324374",0.593481989708405
"158",57,612,377,1995,"France","324374",0.616013071895425
"159",58,567,369,1995,"France","324374",0.650793650793651
"160",59,569,373,1995,"France","324374",0.655536028119508
"161",60,583,383,1995,"France","324374",0.656946826758148
"162",61,598,400,1995,"France","324374",0.668896321070234
"163",62,599,400,1995,"France","324374",0.667779632721202
"164",63,500,369,1995,"France","324374",0.738
"165",64,537,377,1995,"France","324374",0.702048417132216
"166",65,515,401,1995,"France","324374",0.778640776699029
"167",66,488,353,1995,"France","324374",0.723360655737705
"168",67,456,337,1995,"France","324374",0.739035087719298
"169",68,444,320,1995,"France","324374",0.720720720720721
"170",69,460,340,1995,"France","324374",0.739130434782609
"171",70,434,323,1995,"France","324374",0.744239631336406
"172",71,401,303,1995,"France","324374",0.755610972568579
"173",72,403,310,1995,"France","324374",0.769230769230769
"174",73,372,275,1995,"France","324374",0.739247311827957
"175",74,368,302,1995,"France","324374",0.820652173913043
"176",75,379,283,1995,"France","324374",0.746701846965699
"177",76,340,247,1995,"France","324374",0.726470588235294
"178",77,313,238,1995,"France","324374",0.76038338658147
"179",78,297,236,1995,"France","324374",0.794612794612795
"180",79,286,219,1995,"France","324374",0.765734265734266
"181",80,260,209,1995,"France","324374",0.803846153846154
"182",81,233,178,1995,"France","324374",0.763948497854077
"183",82,196,155,1995,"France","324374",0.790816326530612
"184",83,198,158,1995,"France","324374",0.797979797979798
"185",84,187,148,1995,"France","324374",0.79144385026738
"186",85,163,125,1995,"France","324374",0.766871165644172
"187",86,130,96,1995,"France","324374",0.738461538461539
"188",87,124,96,1995,"France","324374",0.774193548387097
"189",88,87,68,1995,"France","324374",0.781609195402299
"190",89,76,53,1995,"France","324374",0.697368421052632
"191",90,64,47,1995,"France","324374",0.734375
"192",91,35,29,1995,"France","324374",0.828571428571429
"193",92,24,17,1995,"France","324374",0.708333333333333
"194",93,31,29,1995,"France","324374",0.935483870967742
"195",94,22,16,1995,"France","324374",0.727272727272727
"196",95,24,17,1995,"France","324374",0.708333333333333
"197",96,8,5,1995,"France","324374",0.625
"198",97,5,3,1995,"France","324374",0.6
"199",98,7,4,1995,"France","324374",0.571428571428571
"200",99,4,4,1995,"France","324374",1
"201",0,654,0,2000,"France","324374",0
"202",1,643,0,2000,"France","324374",0
"203",2,656,0,2000,"France","324374",0
"204",3,678,0,2000,"France","324374",0
"205",4,709,0,2000,"France","324374",0
"206",5,668,0,2000,"France","324374",0
