"","age","pop","gp","year","country","seed","share"
"1",0,1837,0,1990,"FrenchPolynesia","174927",0
"2",1,1807,0,1990,"FrenchPolynesia","174927",0
"3",2,1795,0,1990,"FrenchPolynesia","174927",0
"4",3,1655,0,1990,"FrenchPolynesia","174927",0
"5",4,1732,0,1990,"FrenchPolynesia","174927",0
"6",5,1684,0,1990,"FrenchPolynesia","174927",0
"7",6,1668,0,1990,"FrenchPolynesia","174927",0
"8",7,1556,0,1990,"FrenchPolynesia","174927",0
"9",8,1539,0,1990,"FrenchPolynesia","174927",0
"10",9,1442,0,1990,"FrenchPolynesia","174927",0
"11",10,1570,0,1990,"FrenchPolynesia","174927",0
"12",11,1552,0,1990,"FrenchPolynesia","174927",0
"13",12,1508,0,1990,"FrenchPolynesia","174927",0
"14",13,1496,0,1990,"FrenchPolynesia","174927",0
"15",14,1440,0,1990,"FrenchPolynesia","174927",0
"16",15,1511,0,1990,"FrenchPolynesia","174927",0
"17",16,1559,0,1990,"FrenchPolynesia","174927",0
"18",17,1492,0,1990,"FrenchPolynesia","174927",0
"19",18,1466,0,1990,"FrenchPolynesia","174927",0
"20",19,1463,0,1990,"FrenchPolynesia","174927",0
"21",20,1468,0,1990,"FrenchPolynesia","174927",0
"22",21,1382,0,1990,"FrenchPolynesia","174927",0
"23",22,1368,0,1990,"FrenchPolynesia","174927",0
"24",23,1370,0,1990,"FrenchPolynesia","174927",0
"25",24,1337,0,1990,"FrenchPolynesia","174927",0
"26",25,1308,0,1990,"FrenchPolynesia","174927",0
"27",26,1232,1,1990,"FrenchPolynesia","174927",0.000811688311688312
"28",27,1259,0,1990,"FrenchPolynesia","174927",0
"29",28,1126,3,1990,"FrenchPolynesia","174927",0.00266429840142096
"30",29,1195,5,1990,"FrenchPolynesia","174927",0.00418410041841004
"31",30,1138,5,1990,"FrenchPolynesia","174927",0.00439367311072056
"32",31,1152,10,1990,"FrenchPolynesia","174927",0.00868055555555556
"33",32,1086,17,1990,"FrenchPolynesia","174927",0.0156537753222836
"34",33,1000,35,1990,"FrenchPolynesia","174927",0.035
"35",34,1035,64,1990,"FrenchPolynesia","174927",0.0618357487922705
"36",35,984,50,1990,"FrenchPolynesia","174927",0.0508130081300813
"37",36,924,85,1990,"FrenchPolynesia","174927",0.091991341991342
"38",37,868,113,1990,"FrenchPolynesia","174927",0.130184331797235
"39",38,841,161,1990,"FrenchPolynesia","174927",0.191438763376932
"40",39,795,198,1990,"FrenchPolynesia","174927",0.249056603773585
"41",40,942,285,1990,"FrenchPolynesia","174927",0.302547770700637
"42",41,928,331,1990,"FrenchPolynesia","174927",0.356681034482759
"43",42,880,354,1990,"FrenchPolynesia","174927",0.402272727272727
"44",43,829,386,1990,"FrenchPolynesia","174927",0.46562123039807
"45",44,840,439,1990,"FrenchPolynesia","174927",0.522619047619048
"46",45,763,419,1990,"FrenchPolynesia","174927",0.549148099606815
"47",46,755,424,1990,"FrenchPolynesia","174927",0.56158940397351
"48",47,727,455,1990,"FrenchPolynesia","174927",0.62585969738652
