"","age","pop","gp","year","country","seed","share"
"1",0,221,0,1960,"Gabon","484721",0
"2",1,170,0,1960,"Gabon","484721",0
"3",2,162,0,1960,"Gabon","484721",0
"4",3,154,0,1960,"Gabon","484721",0
"5",4,181,0,1960,"Gabon","484721",0
"6",5,146,0,1960,"Gabon","484721",0
"7",6,137,0,1960,"Gabon","484721",0
"8",7,146,0,1960,"Gabon","484721",0
"9",8,128,0,1960,"Gabon","484721",0
"10",9,138,0,1960,"Gabon","484721",0
"11",10,142,0,1960,"Gabon","484721",0
"12",11,123,0,1960,"Gabon","484721",0
"13",12,129,0,1960,"Gabon","484721",0
"14",13,121,0,1960,"Gabon","484721",0
"15",14,130,0,1960,"Gabon","484721",0
"16",15,143,0,1960,"Gabon","484721",0
"17",16,127,0,1960,"Gabon","484721",0
"18",17,123,0,1960,"Gabon","484721",0
"19",18,117,0,1960,"Gabon","484721",0
"20",19,128,0,1960,"Gabon","484721",0
"21",20,126,0,1960,"Gabon","484721",0
"22",21,112,0,1960,"Gabon","484721",0
"23",22,104,0,1960,"Gabon","484721",0
"24",23,111,0,1960,"Gabon","484721",0
"25",24,121,0,1960,"Gabon","484721",0
"26",25,100,0,1960,"Gabon","484721",0
"27",26,104,1,1960,"Gabon","484721",0.00961538461538462
"28",27,101,1,1960,"Gabon","484721",0.0099009900990099
"29",28,113,1,1960,"Gabon","484721",0.00884955752212389
"30",29,109,0,1960,"Gabon","484721",0
"31",30,103,2,1960,"Gabon","484721",0.0194174757281553
"32",31,103,5,1960,"Gabon","484721",0.0485436893203883
"33",32,105,4,1960,"Gabon","484721",0.0380952380952381
"34",33,99,8,1960,"Gabon","484721",0.0808080808080808
"35",34,94,7,1960,"Gabon","484721",0.074468085106383
"36",35,98,10,1960,"Gabon","484721",0.102040816326531
"37",36,91,17,1960,"Gabon","484721",0.186813186813187
"38",37,97,24,1960,"Gabon","484721",0.247422680412371
"39",38,83,24,1960,"Gabon","484721",0.289156626506024
"40",39,90,27,1960,"Gabon","484721",0.3
"41",40,72,30,1960,"Gabon","484721",0.416666666666667
"42",41,92,24,1960,"Gabon","484721",0.260869565217391
"43",42,95,41,1960,"Gabon","484721",0.431578947368421
"44",43,98,41,1960,"Gabon","484721",0.418367346938776
"45",44,77,41,1960,"Gabon","484721",0.532467532467532
"46",45,78,44,1960,"Gabon","484721",0.564102564102564
"47",46,59,39,1960,"Gabon","484721",0.661016949152542
"48",47,66,32,1960,"Gabon","484721",0.484848484848485
"49",48,78,42,1960,"Gabon","484721",0.538461538461538
"50",49,74,59,1960,"Gabon","484721",0.797297297297297
