"","age","pop","gp","year","country","seed","share"
"1",0,2839,0,1990,"Gambia","2335",0
"2",1,2604,0,1990,"Gambia","2335",0
"3",2,2452,0,1990,"Gambia","2335",0
"4",3,2429,0,1990,"Gambia","2335",0
"5",4,2368,0,1990,"Gambia","2335",0
"6",5,2198,0,1990,"Gambia","2335",0
"7",6,2112,0,1990,"Gambia","2335",0
"8",7,2164,0,1990,"Gambia","2335",0
"9",8,2113,0,1990,"Gambia","2335",0
"10",9,1989,0,1990,"Gambia","2335",0
"11",10,1964,0,1990,"Gambia","2335",0
"12",11,1890,0,1990,"Gambia","2335",0
"13",12,1896,0,1990,"Gambia","2335",0
"14",13,1844,0,1990,"Gambia","2335",0
"15",14,1825,0,1990,"Gambia","2335",0
"16",15,1718,0,1990,"Gambia","2335",0
"17",16,1651,0,1990,"Gambia","2335",0
"18",17,1636,0,1990,"Gambia","2335",0
"19",18,1556,0,1990,"Gambia","2335",0
"20",19,1557,0,1990,"Gambia","2335",0
"21",20,1502,0,1990,"Gambia","2335",0
"22",21,1498,0,1990,"Gambia","2335",0
"23",22,1466,0,1990,"Gambia","2335",0
"24",23,1415,0,1990,"Gambia","2335",0
"25",24,1408,1,1990,"Gambia","2335",0.000710227272727273
"26",25,1284,0,1990,"Gambia","2335",0
"27",26,1216,1,1990,"Gambia","2335",0.000822368421052632
"28",27,1276,1,1990,"Gambia","2335",0.000783699059561128
"29",28,1136,8,1990,"Gambia","2335",0.00704225352112676
"30",29,1200,5,1990,"Gambia","2335",0.00416666666666667
"31",30,1112,19,1990,"Gambia","2335",0.0170863309352518
"32",31,1067,26,1990,"Gambia","2335",0.0243673851921275
"33",32,1040,44,1990,"Gambia","2335",0.0423076923076923
"34",33,1040,72,1990,"Gambia","2335",0.0692307692307692
"35",34,1001,89,1990,"Gambia","2335",0.0889110889110889
"36",35,971,141,1990,"Gambia","2335",0.145211122554068
"37",36,978,161,1990,"Gambia","2335",0.164621676891616
"38",37,940,195,1990,"Gambia","2335",0.207446808510638
"39",38,881,242,1990,"Gambia","2335",0.274687854710556
"40",39,862,267,1990,"Gambia","2335",0.309744779582367
"41",40,1008,374,1990,"Gambia","2335",0.371031746031746
"42",41,913,355,1990,"Gambia","2335",0.388828039430449
"43",42,917,408,1990,"Gambia","2335",0.444929116684842
"44",43,858,429,1990,"Gambia","2335",0.5
"45",44,897,458,1990,"Gambia","2335",0.510590858416945
"46",45,893,505,1990,"Gambia","2335",0.565509518477044
"47",46,811,479,1990,"Gambia","2335",0.590628853267571
"48",47,834,538,1990,"Gambia","2335",0.645083932853717
"49",48,827,552,1990,"Gambia","2335",0.667472793228537
