"","age","pop","gp","year","country","seed","share"
"1",0,512,0,1960,"Georgia","304694",0
"2",1,461,0,1960,"Georgia","304694",0
"3",2,473,0,1960,"Georgia","304694",0
"4",3,461,0,1960,"Georgia","304694",0
"5",4,461,0,1960,"Georgia","304694",0
"6",5,433,0,1960,"Georgia","304694",0
"7",6,439,0,1960,"Georgia","304694",0
"8",7,439,0,1960,"Georgia","304694",0
"9",8,431,0,1960,"Georgia","304694",0
"10",9,404,0,1960,"Georgia","304694",0
"11",10,402,0,1960,"Georgia","304694",0
"12",11,396,0,1960,"Georgia","304694",0
"13",12,447,0,1960,"Georgia","304694",0
"14",13,403,0,1960,"Georgia","304694",0
"15",14,385,0,1960,"Georgia","304694",0
"16",15,392,0,1960,"Georgia","304694",0
"17",16,417,0,1960,"Georgia","304694",0
"18",17,398,0,1960,"Georgia","304694",0
"19",18,411,0,1960,"Georgia","304694",0
"20",19,400,0,1960,"Georgia","304694",0
"21",20,379,0,1960,"Georgia","304694",0
"22",21,403,0,1960,"Georgia","304694",0
"23",22,425,0,1960,"Georgia","304694",0
"24",23,384,0,1960,"Georgia","304694",0
"25",24,434,0,1960,"Georgia","304694",0
"26",25,401,0,1960,"Georgia","304694",0
"27",26,378,0,1960,"Georgia","304694",0
"28",27,399,0,1960,"Georgia","304694",0
"29",28,357,0,1960,"Georgia","304694",0
"30",29,343,0,1960,"Georgia","304694",0
"31",30,358,2,1960,"Georgia","304694",0.00558659217877095
"32",31,389,0,1960,"Georgia","304694",0
"33",32,356,0,1960,"Georgia","304694",0
"34",33,366,0,1960,"Georgia","304694",0
"35",34,343,0,1960,"Georgia","304694",0
"36",35,335,3,1960,"Georgia","304694",0.00895522388059702
"37",36,336,6,1960,"Georgia","304694",0.0178571428571429
"38",37,338,10,1960,"Georgia","304694",0.029585798816568
"39",38,314,16,1960,"Georgia","304694",0.0509554140127389
"40",39,346,16,1960,"Georgia","304694",0.046242774566474
"41",40,326,28,1960,"Georgia","304694",0.0858895705521472
"42",41,332,31,1960,"Georgia","304694",0.0933734939759036
"43",42,330,41,1960,"Georgia","304694",0.124242424242424
"44",43,304,54,1960,"Georgia","304694",0.177631578947368
"45",44,319,62,1960,"Georgia","304694",0.19435736677116
"46",45,337,82,1960,"Georgia","304694",0.243323442136499
"47",46,300,91,1960,"Georgia","304694",0.303333333333333
"48",47,306,99,1960,"Georgia","304694",0.323529411764706
"49",48,299,103,1960,"Georgia","304694",0.344481605351171
"50",49,299,129,1960,"Georgia","304694",0.431438127090301
"51",50,293,134,1960,"Georgia","304694",0.457337883959044
"52",51,289,146,1960,"Georgia","304694",0.505190311418685
"53",52,283,149,1960,"Georgia","304694",0.526501766784452
"54",53,296,169,1960,"Georgia","304694",0.570945945945946
"55",54,294,183,1960,"Georgia","304694",0.622448979591837
"56",55,241,141,1960,"Georgia","304694",0.5850622406639
"57",56,258,153,1960,"Georgia","304694",0.593023255813954
"58",57,240,154,1960,"Georgia","304694",0.641666666666667
"59",58,256,170,1960,"Georgia","304694",0.6640625
"60",59,270,174,1960,"Georgia","304694",0.644444444444444
"61",60,239,167,1960,"Georgia","304694",0.698744769874477
"62",61,220,161,1960,"Georgia","304694",0.731818181818182
"63",62,228,163,1960,"Georgia","304694",0.714912280701754
"64",63,176,135,1960,"Georgia","304694",0.767045454545455
"65",64,193,141,1960,"Georgia","304694",0.730569948186529
"66",65,205,149,1960,"Georgia","304694",0.726829268292683
"67",66,179,134,1960,"Georgia","304694",0.748603351955307
"68",67,191,137,1960,"Georgia","304694",0.717277486910995
"69",68,176,120,1960,"Georgia","304694",0.681818181818182
"70",69,166,119,1960,"Georgia","304694",0.716867469879518
"71",70,176,133,1960,"Georgia","304694",0.755681818181818
"72",71,145,105,1960,"Georgia","304694",0.724137931034483
"73",72,141,111,1960,"Georgia","304694",0.787234042553192
"74",73,130,109,1960,"Georgia","304694",0.838461538461538
"75",74,119,90,1960,"Georgia","304694",0.756302521008403
"76",75,101,82,1960,"Georgia","304694",0.811881188118812
"77",76,93,76,1960,"Georgia","304694",0.817204301075269
"78",77,87,65,1960,"Georgia","304694",0.747126436781609
"79",78,87,65,1960,"Georgia","304694",0.747126436781609
"80",79,76,57,1960,"Georgia","304694",0.75
"81",80,59,46,1960,"Georgia","304694",0.779661016949153
"82",81,56,43,1960,"Georgia","304694",0.767857142857143
"83",82,48,36,1960,"Georgia","304694",0.75
"84",83,30,26,1960,"Georgia","304694",0.866666666666667
"85",84,24,18,1960,"Georgia","304694",0.75
"86",85,21,17,1960,"Georgia","304694",0.80952380952381
"87",86,13,9,1960,"Georgia","304694",0.692307692307692
"88",87,9,7,1960,"Georgia","304694",0.777777777777778
"89",88,8,5,1960,"Georgia","304694",0.625
"90",89,8,8,1960,"Georgia","304694",1
"91",90,2,2,1960,"Georgia","304694",1
"92",91,4,4,1960,"Georgia","304694",1
"93",92,4,4,1960,"Georgia","304694",1
"94",93,1,1,1960,"Georgia","304694",1
"95",95,2,2,1960,"Georgia","304694",1
"96",0,532,0,1965,"Georgia","304694",0
"97",1,539,0,1965,"Georgia","304694",0
"98",2,478,0,1965,"Georgia","304694",0
"99",3,517,0,1965,"Georgia","304694",0
"100",4,489,0,1965,"Georgia","304694",0
"101",5,486,0,1965,"Georgia","304694",0
"102",6,457,0,1965,"Georgia","304694",0
"103",7,468,0,1965,"Georgia","304694",0
"104",8,460,0,1965,"Georgia","304694",0
"105",9,457,0,1965,"Georgia","304694",0
"106",10,432,0,1965,"Georgia","304694",0
"107",11,437,0,1965,"Georgia","304694",0
"108",12,435,0,1965,"Georgia","304694",0
"109",13,431,0,1965,"Georgia","304694",0
"110",14,402,0,1965,"Georgia","304694",0
"111",15,401,0,1965,"Georgia","304694",0
"112",16,394,0,1965,"Georgia","304694",0
"113",17,445,0,1965,"Georgia","304694",0
"114",18,403,0,1965,"Georgia","304694",0
"115",19,384,0,1965,"Georgia","304694",0
"116",20,387,0,1965,"Georgia","304694",0
"117",21,417,0,1965,"Georgia","304694",0
"118",22,394,0,1965,"Georgia","304694",0
"119",23,408,0,1965,"Georgia","304694",0
"120",24,395,0,1965,"Georgia","304694",0
"121",25,377,0,1965,"Georgia","304694",0
"122",26,401,0,1965,"Georgia","304694",0
"123",27,417,0,1965,"Georgia","304694",0
"124",28,378,0,1965,"Georgia","304694",0
"125",29,431,0,1965,"Georgia","304694",0
"126",30,401,0,1965,"Georgia","304694",0
"127",31,372,1,1965,"Georgia","304694",0.00268817204301075
