"","age","pop","gp","year","country","seed","share"
"1",0,1033,0,1960,"Germany","235485",0
"2",1,1066,0,1960,"Germany","235485",0
"3",2,1049,0,1960,"Germany","235485",0
"4",3,1095,0,1960,"Germany","235485",0
"5",4,1054,0,1960,"Germany","235485",0
"6",5,1023,0,1960,"Germany","235485",0
"7",6,1043,0,1960,"Germany","235485",0
"8",7,1023,0,1960,"Germany","235485",0
"9",8,1050,0,1960,"Germany","235485",0
"10",9,1024,0,1960,"Germany","235485",0
"11",10,1153,0,1960,"Germany","235485",0
"12",11,1122,0,1960,"Germany","235485",0
"13",12,1136,0,1960,"Germany","235485",0
"14",13,1143,0,1960,"Germany","235485",0
"15",14,1165,0,1960,"Germany","235485",0
"16",15,1085,0,1960,"Germany","235485",0
"17",16,1103,0,1960,"Germany","235485",0
"18",17,1166,0,1960,"Germany","235485",0
"19",18,1164,0,1960,"Germany","235485",0
"20",19,1167,0,1960,"Germany","235485",0
"21",20,1135,0,1960,"Germany","235485",0
"22",21,1126,0,1960,"Germany","235485",0
"23",22,1099,0,1960,"Germany","235485",0
"24",23,1189,0,1960,"Germany","235485",0
"25",24,1153,0,1960,"Germany","235485",0
"26",25,1176,0,1960,"Germany","235485",0
"27",26,1120,0,1960,"Germany","235485",0
"28",27,1165,0,1960,"Germany","235485",0
"29",28,1172,1,1960,"Germany","235485",0.000853242320819113
"30",29,1206,0,1960,"Germany","235485",0
"31",30,1180,1,1960,"Germany","235485",0.000847457627118644
"32",31,1169,3,1960,"Germany","235485",0.00256629597946963
"33",32,1125,6,1960,"Germany","235485",0.00533333333333333
"34",33,1095,9,1960,"Germany","235485",0.00821917808219178
"35",34,1181,10,1960,"Germany","235485",0.00846740050804403
"36",35,1138,21,1960,"Germany","235485",0.0184534270650264
"37",36,1138,23,1960,"Germany","235485",0.0202108963093146
"38",37,1165,38,1960,"Germany","235485",0.032618025751073
"39",38,1175,54,1960,"Germany","235485",0.0459574468085106
"40",39,1142,76,1960,"Germany","235485",0.0665499124343257
"41",40,1155,89,1960,"Germany","235485",0.0770562770562771
"42",41,1164,153,1960,"Germany","235485",0.131443298969072
"43",42,1135,151,1960,"Germany","235485",0.133039647577093
"44",43,1103,219,1960,"Germany","235485",0.198549410698096
"45",44,1136,231,1960,"Germany","235485",0.203345070422535
"46",45,1115,265,1960,"Germany","235485",0.237668161434978
"47",46,1174,331,1960,"Germany","235485",0.281942078364566
"48",47,1139,359,1960,"Germany","235485",0.315188762071993
"49",48,1099,389,1960,"Germany","235485",0.353958143767061
"50",49,1095,420,1960,"Germany","235485",0.383561643835616
"51",50,1145,460,1960,"Germany","235485",0.40174672489083
"52",51,1116,495,1960,"Germany","235485",0.443548387096774
"53",52,1128,499,1960,"Germany","235485",0.442375886524823
"54",53,1084,567,1960,"Germany","235485",0.523062730627306
"55",54,1068,560,1960,"Germany","235485",0.524344569288389
"56",55,1073,599,1960,"Germany","235485",0.558247903075489
"57",56,1071,651,1960,"Germany","235485",0.607843137254902
"58",57,1113,637,1960,"Germany","235485",0.572327044025157
"59",58,1071,628,1960,"Germany","235485",0.586367880485528
"60",59,1038,639,1960,"Germany","235485",0.615606936416185
"61",60,1057,647,1960,"Germany","235485",0.612109744560076
"62",61,1058,644,1960,"Germany","235485",0.608695652173913
"63",62,1039,644,1960,"Germany","235485",0.619826756496631
"64",63,1003,607,1960,"Germany","235485",0.60518444666002
"65",64,1012,647,1960,"Germany","235485",0.639328063241107
