"","age","pop","gp","year","country","seed","share"
"1",0,765,0,1960,"Ghana","161474",0
"2",1,700,0,1960,"Ghana","161474",0
"3",2,652,0,1960,"Ghana","161474",0
"4",3,621,0,1960,"Ghana","161474",0
"5",4,567,0,1960,"Ghana","161474",0
"6",5,551,0,1960,"Ghana","161474",0
"7",6,553,0,1960,"Ghana","161474",0
"8",7,515,0,1960,"Ghana","161474",0
"9",8,497,0,1960,"Ghana","161474",0
"10",9,518,0,1960,"Ghana","161474",0
"11",10,583,0,1960,"Ghana","161474",0
"12",11,538,0,1960,"Ghana","161474",0
"13",12,533,0,1960,"Ghana","161474",0
"14",13,519,0,1960,"Ghana","161474",0
"15",14,503,0,1960,"Ghana","161474",0
"16",15,539,0,1960,"Ghana","161474",0
"17",16,489,0,1960,"Ghana","161474",0
"18",17,481,0,1960,"Ghana","161474",0
"19",18,426,0,1960,"Ghana","161474",0
"20",19,456,0,1960,"Ghana","161474",0
"21",20,435,0,1960,"Ghana","161474",0
"22",21,411,0,1960,"Ghana","161474",0
"23",22,393,0,1960,"Ghana","161474",0
"24",23,340,0,1960,"Ghana","161474",0
"25",24,388,0,1960,"Ghana","161474",0
"26",25,351,0,1960,"Ghana","161474",0
"27",26,364,0,1960,"Ghana","161474",0
"28",27,355,0,1960,"Ghana","161474",0
"29",28,308,0,1960,"Ghana","161474",0
"30",29,327,3,1960,"Ghana","161474",0.0091743119266055
"31",30,322,2,1960,"Ghana","161474",0.0062111801242236
"32",31,300,9,1960,"Ghana","161474",0.03
"33",32,276,15,1960,"Ghana","161474",0.0543478260869565
"34",33,274,11,1960,"Ghana","161474",0.0401459854014599
"35",34,296,20,1960,"Ghana","161474",0.0675675675675676
"36",35,262,32,1960,"Ghana","161474",0.122137404580153
"37",36,285,42,1960,"Ghana","161474",0.147368421052632
"38",37,257,42,1960,"Ghana","161474",0.163424124513619
"39",38,230,46,1960,"Ghana","161474",0.2
"40",39,227,57,1960,"Ghana","161474",0.251101321585903
"41",40,226,75,1960,"Ghana","161474",0.331858407079646
"42",41,217,93,1960,"Ghana","161474",0.428571428571429
"43",42,206,83,1960,"Ghana","161474",0.402912621359223
"44",43,213,91,1960,"Ghana","161474",0.427230046948357
"45",44,214,109,1960,"Ghana","161474",0.509345794392523
"46",45,196,95,1960,"Ghana","161474",0.48469387755102
"47",46,191,106,1960,"Ghana","161474",0.554973821989529
"48",47,178,106,1960,"Ghana","161474",0.595505617977528
"49",48,187,117,1960,"Ghana","161474",0.625668449197861
"50",49,161,115,1960,"Ghana","161474",0.714285714285714
"51",50,171,122,1960,"Ghana","161474",0.713450292397661
"52",51,179,120,1960,"Ghana","161474",0.670391061452514
"53",52,163,111,1960,"Ghana","161474",0.680981595092024
"54",53,144,110,1960,"Ghana","161474",0.763888888888889
"55",54,147,119,1960,"Ghana","161474",0.80952380952381
"56",55,134,113,1960,"Ghana","161474",0.843283582089552
"57",56,130,103,1960,"Ghana","161474",0.792307692307692
"58",57,127,106,1960,"Ghana","161474",0.834645669291339
"59",58,118,103,1960,"Ghana","161474",0.872881355932203
"60",59,127,104,1960,"Ghana","161474",0.818897637795276
"61",60,101,78,1960,"Ghana","161474",0.772277227722772
"62",61,94,81,1960,"Ghana","161474",0.861702127659574
"63",62,89,79,1960,"Ghana","161474",0.887640449438202
"64",63,84,72,1960,"Ghana","161474",0.857142857142857
"65",64,79,68,1960,"Ghana","161474",0.860759493670886
"66",65,82,67,1960,"Ghana","161474",0.817073170731707
"67",66,78,53,1960,"Ghana","161474",0.67948717948718
"68",67,66,58,1960,"Ghana","161474",0.878787878787879
"69",68,57,52,1960,"Ghana","161474",0.912280701754386
"70",69,39,33,1960,"Ghana","161474",0.846153846153846
"71",70,47,40,1960,"Ghana","161474",0.851063829787234
"72",71,40,37,1960,"Ghana","161474",0.925
"73",72,42,38,1960,"Ghana","161474",0.904761904761905
"74",73,33,30,1960,"Ghana","161474",0.909090909090909
"75",74,39,36,1960,"Ghana","161474",0.923076923076923
"76",75,39,33,1960,"Ghana","161474",0.846153846153846
"77",76,33,29,1960,"Ghana","161474",0.878787878787879
"78",77,20,19,1960,"Ghana","161474",0.95
"79",78,17,15,1960,"Ghana","161474",0.88235294117647
"80",79,12,11,1960,"Ghana","161474",0.916666666666667
"81",80,9,9,1960,"Ghana","161474",1
"82",81,9,9,1960,"Ghana","161474",1
"83",82,6,6,1960,"Ghana","161474",1
"84",83,5,5,1960,"Ghana","161474",1
"85",84,2,2,1960,"Ghana","161474",1
"86",85,4,2,1960,"Ghana","161474",0.5
"87",86,3,3,1960,"Ghana","161474",1
"88",87,2,2,1960,"Ghana","161474",1
"89",88,1,1,1960,"Ghana","161474",1
"90",89,1,1,1960,"Ghana","161474",1
"91",90,1,1,1960,"Ghana","161474",1
"92",0,851,0,1965,"Ghana","161474",0
"93",1,840,0,1965,"Ghana","161474",0
"94",2,818,0,1965,"Ghana","161474",0
"95",3,715,0,1965,"Ghana","161474",0
"96",4,701,0,1965,"Ghana","161474",0
"97",5,648,0,1965,"Ghana","161474",0
"98",6,646,0,1965,"Ghana","161474",0
"99",7,606,0,1965,"Ghana","161474",0
"100",8,581,0,1965,"Ghana","161474",0
"101",9,541,0,1965,"Ghana","161474",0
"102",10,529,0,1965,"Ghana","161474",0
"103",11,540,0,1965,"Ghana","161474",0
"104",12,505,0,1965,"Ghana","161474",0
"105",13,488,0,1965,"Ghana","161474",0
"106",14,515,0,1965,"Ghana","161474",0
"107",15,571,0,1965,"Ghana","161474",0
"108",16,530,0,1965,"Ghana","161474",0
"109",17,523,0,1965,"Ghana","161474",0
"110",18,509,0,1965,"Ghana","161474",0
"111",19,487,0,1965,"Ghana","161474",0
