"","age","pop","gp","year","country","seed","share"
"1",0,1690,0,1990,"Greece","122602",0
"2",1,1623,0,1990,"Greece","122602",0
"3",2,1600,0,1990,"Greece","122602",0
"4",3,1713,0,1990,"Greece","122602",0
"5",4,1641,0,1990,"Greece","122602",0
"6",5,2075,0,1990,"Greece","122602",0
"7",6,2052,0,1990,"Greece","122602",0
"8",7,2058,0,1990,"Greece","122602",0
"9",8,2141,0,1990,"Greece","122602",0
"10",9,2112,0,1990,"Greece","122602",0
"11",10,2415,0,1990,"Greece","122602",0
"12",11,2370,0,1990,"Greece","122602",0
"13",12,2464,0,1990,"Greece","122602",0
"14",13,2510,0,1990,"Greece","122602",0
"15",14,2402,0,1990,"Greece","122602",0
"16",15,2608,0,1990,"Greece","122602",0
"17",16,2624,0,1990,"Greece","122602",0
"18",17,2558,0,1990,"Greece","122602",0
"19",18,2594,0,1990,"Greece","122602",0
"20",19,2559,0,1990,"Greece","122602",0
"21",20,2544,0,1990,"Greece","122602",0
"22",21,2551,0,1990,"Greece","122602",0
"23",22,2507,0,1990,"Greece","122602",0
"24",23,2531,0,1990,"Greece","122602",0
"25",24,2486,0,1990,"Greece","122602",0
"26",25,2358,0,1990,"Greece","122602",0
"27",26,2309,1,1990,"Greece","122602",0.00043308791684712
"28",27,2280,2,1990,"Greece","122602",0.00087719298245614
"29",28,2327,1,1990,"Greece","122602",0.000429737859905458
"30",29,2318,2,1990,"Greece","122602",0.000862812769628991
"31",30,2368,2,1990,"Greece","122602",0.000844594594594595
"32",31,2416,8,1990,"Greece","122602",0.0033112582781457
"33",32,2458,9,1990,"Greece","122602",0.00366151342554923
"34",33,2340,20,1990,"Greece","122602",0.00854700854700855
"35",34,2394,42,1990,"Greece","122602",0.0175438596491228
"36",35,2315,48,1990,"Greece","122602",0.0207343412526998
"37",36,2377,68,1990,"Greece","122602",0.0286074884307951
"38",37,2366,106,1990,"Greece","122602",0.0448013524936602
"39",38,2326,140,1990,"Greece","122602",0.060189165950129
"40",39,2472,175,1990,"Greece","122602",0.0707928802588997
"41",40,2584,261,1990,"Greece","122602",0.101006191950464
"42",41,2574,280,1990,"Greece","122602",0.108780108780109
"43",42,2517,354,1990,"Greece","122602",0.140643623361144
"44",43,2469,439,1990,"Greece","122602",0.177804779262859
"45",44,2493,511,1990,"Greece","122602",0.204973926995588
"46",45,2433,579,1990,"Greece","122602",0.237977805178792
"47",46,2444,648,1990,"Greece","122602",0.265139116202946
"48",47,2384,687,1990,"Greece","122602",0.288171140939597
"49",48,2471,820,1990,"Greece","122602",0.331849453662485
"50",49,2435,848,1990,"Greece","122602",0.348254620123203
"51",50,2354,922,1990,"Greece","122602",0.391673746813934
"52",51,2361,950,1990,"Greece","122602",0.402371876323592
"53",52,2337,1010,1990,"Greece","122602",0.432178005990586
"54",53,2291,1055,1990,"Greece","122602",0.460497599301615
"55",54,2331,1121,1990,"Greece","122602",0.480909480909481
"56",55,2311,1173,1990,"Greece","122602",0.507572479446127
"57",56,2273,1194,1990,"Greece","122602",0.525296964364276
"58",57,2147,1171,1990,"Greece","122602",0.545412203074057
"59",58,2201,1227,1990,"Greece","122602",0.557473875511131
"60",59,2224,1231,1990,"Greece","122602",0.553507194244604
"61",60,2037,1195,1990,"Greece","122602",0.586647029945999
"62",61,2138,1277,1990,"Greece","122602",0.597287184284378
"63",62,2089,1264,1990,"Greece","122602",0.605074198180948
"64",63,2001,1294,1990,"Greece","122602",0.646676661669165
"65",64,1961,1288,1990,"Greece","122602",0.656807751147374
"66",65,1861,1218,1990,"Greece","122602",0.654486835034927
"67",66,1890,1229,1990,"Greece","122602",0.65026455026455
"68",67,1786,1212,1990,"Greece","122602",0.678611422172452
"69",68,1787,1216,1990,"Greece","122602",0.68047006155568
"70",69,1705,1193,1990,"Greece","122602",0.699706744868035
"71",70,1638,1138,1990,"Greece","122602",0.694749694749695
"72",71,1598,1082,1990,"Greece","122602",0.677096370463079
"73",72,1529,1029,1990,"Greece","122602",0.672988881621975
"74",73,1488,1037,1990,"Greece","122602",0.696908602150538
"75",74,1364,924,1990,"Greece","122602",0.67741935483871
"76",75,1345,947,1990,"Greece","122602",0.704089219330855
"77",76,1160,829,1990,"Greece","122602",0.714655172413793
"78",77,1075,747,1990,"Greece","122602",0.694883720930233
"79",78,1025,738,1990,"Greece","122602",0.72
"80",79,991,686,1990,"Greece","122602",0.692230070635722
"81",80,899,643,1990,"Greece","122602",0.71523915461624
"82",81,777,538,1990,"Greece","122602",0.692406692406692
"83",82,689,507,1990,"Greece","122602",0.735849056603774
"84",83,613,458,1990,"Greece","122602",0.747145187601958
"85",84,597,426,1990,"Greece","122602",0.71356783919598
"86",85,508,351,1990,"Greece","122602",0.690944881889764
"87",86,441,320,1990,"Greece","122602",0.72562358276644
"88",87,339,230,1990,"Greece","122602",0.678466076696165
"89",88,280,192,1990,"Greece","122602",0.685714285714286
"90",89,247,173,1990,"Greece","122602",0.700404858299595
"91",90,171,118,1990,"Greece","122602",0.690058479532164
"92",91,155,117,1990,"Greece","122602",0.754838709677419
"93",92,109,75,1990,"Greece","122602",0.688073394495413
"94",93,80,57,1990,"Greece","122602",0.7125
"95",94,50,28,1990,"Greece","122602",0.56
"96",95,43,32,1990,"Greece","122602",0.744186046511628
"97",96,21,16,1990,"Greece","122602",0.761904761904762
"98",97,16,12,1990,"Greece","122602",0.75
"99",98,9,4,1990,"Greece","122602",0.444444444444444
"100",0,1544,0,1995,"Greece","122602",0
"101",1,1586,0,1995,"Greece","122602",0
"102",2,1497,0,1995,"Greece","122602",0
"103",3,1500,0,1995,"Greece","122602",0
"104",4,1525,0,1995,"Greece","122602",0
"105",5,1682,0,1995,"Greece","122602",0
"106",6,1620,0,1995,"Greece","122602",0
"107",7,1600,0,1995,"Greece","122602",0
"108",8,1710,0,1995,"Greece","122602",0
"109",9,1641,0,1995,"Greece","122602",0
"110",10,2073,0,1995,"Greece","122602",0
"111",11,2048,0,1995,"Greece","122602",0
"112",12,2057,0,1995,"Greece","122602",0
"113",13,2140,0,1995,"Greece","122602",0
"114",14,2110,0,1995,"Greece","122602",0
"115",15,2414,0,1995,"Greece","122602",0
"116",16,2365,0,1995,"Greece","122602",0
"117",17,2461,0,1995,"Greece","122602",0
"118",18,2508,0,1995,"Greece","122602",0
"119",19,2399,0,1995,"Greece","122602",0
"120",20,2602,0,1995,"Greece","122602",0
"121",21,2618,0,1995,"Greece","122602",0
"122",22,2552,0,1995,"Greece","122602",0
"123",23,2583,0,1995,"Greece","122602",0
"124",24,2549,0,1995,"Greece","122602",0
"125",25,2535,1,1995,"Greece","122602",0.000394477317554241
"126",26,2542,1,1995,"Greece","122602",0.0003933910306845
"127",27,2499,1,1995,"Greece","122602",0.00040016006402561
"128",28,2526,0,1995,"Greece","122602",0
"129",29,2477,3,1995,"Greece","122602",0.00121114251110214
"130",30,2349,1,1995,"Greece","122602",0.00042571306939123
"131",31,2298,15,1995,"Greece","122602",0.00652741514360313
"132",32,2271,13,1995,"Greece","122602",0.00572435050638485
"133",33,2312,18,1995,"Greece","122602",0.00778546712802768
"134",34,2305,19,1995,"Greece","122602",0.00824295010845987
"135",35,2358,49,1995,"Greece","122602",0.0207803223070399
"136",36,2406,65,1995,"Greece","122602",0.0270157938487116
"137",37,2443,61,1995,"Greece","122602",0.0249693000409333
"138",38,2324,101,1995,"Greece","122602",0.0434595524956971
"139",39,2383,161,1995,"Greece","122602",0.0675618967687789
"140",40,2304,172,1995,"Greece","122602",0.0746527777777778
"141",41,2365,223,1995,"Greece","122602",0.094291754756871
"142",42,2356,310,1995,"Greece","122602",0.131578947368421
"143",43,2308,337,1995,"Greece","122602",0.146013864818024
"144",44,2451,430,1995,"Greece","122602",0.175438596491228
"145",45,2562,558,1995,"Greece","122602",0.217798594847775
"146",46,2559,609,1995,"Greece","122602",0.237983587338804
"147",47,2489,699,1995,"Greece","122602",0.280835676978706
"148",48,2447,805,1995,"Greece","122602",0.328974254188803
"149",49,2467,848,1995,"Greece","122602",0.343737332792866
"150",50,2392,915,1995,"Greece","122602",0.38252508361204
"151",51,2417,978,1995,"Greece","122602",0.404633843607778
"152",52,2339,982,1995,"Greece","122602",0.419837537409149
"153",53,2430,1066,1995,"Greece","122602",0.438683127572016
"154",54,2383,1107,1995,"Greece","122602",0.46454049517415
"155",55,2316,1141,1995,"Greece","122602",0.4926597582038
"156",56,2308,1165,1995,"Greece","122602",0.504766031195841
"157",57,2279,1162,1995,"Greece","122602",0.50987275120667
"158",58,2216,1177,1995,"Greece","122602",0.531137184115523
"159",59,2271,1254,1995,"Greece","122602",0.55217965653897
"160",60,2245,1298,1995,"Greece","122602",0.578173719376392
"161",61,2195,1278,1995,"Greece","122602",0.582232346241458
"162",62,2068,1237,1995,"Greece","122602",0.59816247582205
"163",63,2115,1267,1995,"Greece","122602",0.599054373522459
"164",64,2121,1254,1995,"Greece","122602",0.591230551626591
"165",65,1940,1186,1995,"Greece","122602",0.611340206185567
"166",66,2021,1262,1995,"Greece","122602",0.624443344878773
"167",67,1966,1240,1995,"Greece","122602",0.630722278738555
"168",68,1863,1242,1995,"Greece","122602",0.666666666666667
"169",69,1816,1216,1995,"Greece","122602",0.669603524229075
"170",70,1682,1116,1995,"Greece","122602",0.663495838287753
"171",71,1685,1111,1995,"Greece","122602",0.659347181008902
"172",72,1587,1105,1995,"Greece","122602",0.696282293635791
"173",73,1549,1048,1995,"Greece","122602",0.676565526145901
"174",74,1445,1011,1995,"Greece","122602",0.699653979238754
"175",75,1371,947,1995,"Greece","122602",0.690736688548505
"176",76,1321,902,1995,"Greece","122602",0.682816048448145
"177",77,1243,835,1995,"Greece","122602",0.671761866452132
"178",78,1178,828,1995,"Greece","122602",0.702886247877759
"179",79,1061,721,1995,"Greece","122602",0.679547596606975
"180",80,987,703,1995,"Greece","122602",0.71225937183384
"181",81,842,597,1995,"Greece","122602",0.709026128266033
"182",82,726,518,1995,"Greece","122602",0.713498622589532
"183",83,667,481,1995,"Greece","122602",0.721139430284858
"184",84,639,456,1995,"Greece","122602",0.713615023474178
"185",85,546,389,1995,"Greece","122602",0.712454212454212
"186",86,468,333,1995,"Greece","122602",0.711538461538462
"187",87,357,273,1995,"Greece","122602",0.764705882352941
"188",88,308,238,1995,"Greece","122602",0.772727272727273
"189",89,288,202,1995,"Greece","122602",0.701388888888889
"190",90,222,156,1995,"Greece","122602",0.702702702702703
"191",91,188,128,1995,"Greece","122602",0.680851063829787
"192",92,117,83,1995,"Greece","122602",0.709401709401709
"193",93,107,75,1995,"Greece","122602",0.700934579439252
"194",94,81,51,1995,"Greece","122602",0.62962962962963
"195",95,51,33,1995,"Greece","122602",0.647058823529412
"196",96,36,27,1995,"Greece","122602",0.75
"197",97,24,16,1995,"Greece","122602",0.666666666666667
"198",98,8,5,1995,"Greece","122602",0.625
"199",0,1445,0,2000,"Greece","122602",0
"200",1,1448,0,2000,"Greece","122602",0
"201",2,1490,0,2000,"Greece","122602",0
"202",3,1423,0,2000,"Greece","122602",0
"203",4,1408,0,2000,"Greece","122602",0
"204",5,1537,0,2000,"Greece","122602",0
"205",6,1585,0,2000,"Greece","122602",0
"206",7,1495,0,2000,"Greece","122602",0
"207",8,1499,0,2000,"Greece","122602",0
"208",9,1524,0,2000,"Greece","122602",0
"209",10,1682,0,2000,"Greece","122602",0
"210",11,1620,0,2000,"Greece","122602",0
"211",12,1598,0,2000,"Greece","122602",0
"212",13,1706,0,2000,"Greece","122602",0
"213",14,1641,0,2000,"Greece","122602",0
"214",15,2072,0,2000,"Greece","122602",0
"215",16,2044,0,2000,"Greece","122602",0
"216",17,2054,0,2000,"Greece","122602",0
"217",18,2133,0,2000,"Greece","122602",0
"218",19,2109,0,2000,"Greece","122602",0
"219",20,2410,0,2000,"Greece","122602",0
"220",21,2362,0,2000,"Greece","122602",0
"221",22,2455,0,2000,"Greece","122602",0
"222",23,2500,0,2000,"Greece","122602",0
"223",24,2390,0,2000,"Greece","122602",0
"224",25,2589,0,2000,"Greece","122602",0
"225",26,2608,0,2000,"Greece","122602",0
"226",27,2542,2,2000,"Greece","122602",0.000786782061369001
"227",28,2576,0,2000,"Greece","122602",0
"228",29,2545,3,2000,"Greece","122602",0.00117878192534381
"229",30,2525,2,2000,"Greece","122602",0.000792079207920792
"230",31,2528,2,2000,"Greece","122602",0.000791139240506329
"231",32,2490,11,2000,"Greece","122602",0.00441767068273092
"232",33,2521,12,2000,"Greece","122602",0.00476001586671956
