"","age","pop","gp","year","country","seed","share"
"1",0,1595,0,1960,"Grenada","23384",0
"2",1,1464,0,1960,"Grenada","23384",0
"3",2,1459,0,1960,"Grenada","23384",0
"4",3,1321,0,1960,"Grenada","23384",0
"5",4,1325,0,1960,"Grenada","23384",0
"6",5,1100,0,1960,"Grenada","23384",0
"7",6,1054,0,1960,"Grenada","23384",0
"8",7,1061,0,1960,"Grenada","23384",0
"9",8,1015,0,1960,"Grenada","23384",0
"10",9,936,0,1960,"Grenada","23384",0
"11",10,1119,0,1960,"Grenada","23384",0
"12",11,1095,0,1960,"Grenada","23384",0
"13",12,1065,0,1960,"Grenada","23384",0
"14",13,983,0,1960,"Grenada","23384",0
"15",14,1011,0,1960,"Grenada","23384",0
"16",15,977,0,1960,"Grenada","23384",0
"17",16,927,0,1960,"Grenada","23384",0
"18",17,899,0,1960,"Grenada","23384",0
"19",18,872,0,1960,"Grenada","23384",0
"20",19,835,0,1960,"Grenada","23384",0
"21",20,827,0,1960,"Grenada","23384",0
"22",21,777,0,1960,"Grenada","23384",0
"23",22,792,0,1960,"Grenada","23384",0
"24",23,729,0,1960,"Grenada","23384",0
"25",24,693,1,1960,"Grenada","23384",0.00144300144300144
"26",25,681,0,1960,"Grenada","23384",0
"27",26,693,0,1960,"Grenada","23384",0
"28",27,624,0,1960,"Grenada","23384",0
"29",28,605,3,1960,"Grenada","23384",0.00495867768595041
"30",29,620,5,1960,"Grenada","23384",0.00806451612903226
"31",30,560,8,1960,"Grenada","23384",0.0142857142857143
"32",31,527,12,1960,"Grenada","23384",0.0227703984819734
"33",32,561,20,1960,"Grenada","23384",0.035650623885918
"34",33,539,41,1960,"Grenada","23384",0.0760667903525046
"35",34,523,60,1960,"Grenada","23384",0.11472275334608
"36",35,536,86,1960,"Grenada","23384",0.16044776119403
"37",36,486,99,1960,"Grenada","23384",0.203703703703704
"38",37,459,121,1960,"Grenada","23384",0.263616557734205
"39",38,468,151,1960,"Grenada","23384",0.322649572649573
"40",39,423,149,1960,"Grenada","23384",0.352245862884161
"41",40,443,177,1960,"Grenada","23384",0.399548532731377
"42",41,433,218,1960,"Grenada","23384",0.503464203233256
"43",42,406,195,1960,"Grenada","23384",0.480295566502463
"44",43,408,244,1960,"Grenada","23384",0.598039215686274
"45",44,372,233,1960,"Grenada","23384",0.626344086021505
"46",45,381,248,1960,"Grenada","23384",0.650918635170604
"47",46,358,235,1960,"Grenada","23384",0.656424581005587
"48",47,323,244,1960,"Grenada","23384",0.755417956656347
"49",48,326,225,1960,"Grenada","23384",0.690184049079755
"50",49,302,244,1960,"Grenada","23384",0.80794701986755
"51",50,289,232,1960,"Grenada","23384",0.802768166089965
"52",51,289,240,1960,"Grenada","23384",0.830449826989619
"53",52,275,235,1960,"Grenada","23384",0.854545454545454
"54",53,272,233,1960,"Grenada","23384",0.856617647058823
"55",54,234,196,1960,"Grenada","23384",0.837606837606838
"56",55,222,188,1960,"Grenada","23384",0.846846846846847
"57",56,252,217,1960,"Grenada","23384",0.861111111111111
"58",57,241,220,1960,"Grenada","23384",0.912863070539419
"59",58,195,173,1960,"Grenada","23384",0.887179487179487
"60",59,208,186,1960,"Grenada","23384",0.894230769230769
"61",60,207,181,1960,"Grenada","23384",0.8743961352657
"62",61,168,155,1960,"Grenada","23384",0.922619047619048
"63",62,187,175,1960,"Grenada","23384",0.935828877005348
"64",63,166,145,1960,"Grenada","23384",0.873493975903614
"65",64,140,125,1960,"Grenada","23384",0.892857142857143
"66",65,147,141,1960,"Grenada","23384",0.959183673469388
"67",66,121,114,1960,"Grenada","23384",0.942148760330578
"68",67,128,117,1960,"Grenada","23384",0.9140625
"69",68,131,121,1960,"Grenada","23384",0.923664122137405
"70",69,103,98,1960,"Grenada","23384",0.951456310679612
"71",70,86,81,1960,"Grenada","23384",0.941860465116279
"72",71,98,96,1960,"Grenada","23384",0.979591836734694
"73",72,75,71,1960,"Grenada","23384",0.946666666666667
"74",73,72,67,1960,"Grenada","23384",0.930555555555556
"75",74,65,61,1960,"Grenada","23384",0.938461538461538
"76",75,55,55,1960,"Grenada","23384",1
"77",76,54,50,1960,"Grenada","23384",0.925925925925926
"78",77,45,43,1960,"Grenada","23384",0.955555555555556
"79",78,42,39,1960,"Grenada","23384",0.928571428571429
"80",79,27,26,1960,"Grenada","23384",0.962962962962963
"81",80,21,20,1960,"Grenada","23384",0.952380952380952
"82",81,25,23,1960,"Grenada","23384",0.92
"83",82,19,19,1960,"Grenada","23384",1
"84",83,26,24,1960,"Grenada","23384",0.923076923076923
"85",84,10,9,1960,"Grenada","23384",0.9
"86",85,7,7,1960,"Grenada","23384",1
"87",86,8,8,1960,"Grenada","23384",1
"88",87,6,6,1960,"Grenada","23384",1
"89",88,4,4,1960,"Grenada","23384",1
"90",89,3,2,1960,"Grenada","23384",0.666666666666667
"91",90,3,3,1960,"Grenada","23384",1
