"","age","pop","gp","year","country","seed","share"
"1",0,1804,0,1960,"Guadeloupe","256461",0
"2",1,1607,0,1960,"Guadeloupe","256461",0
"3",2,1543,0,1960,"Guadeloupe","256461",0
"4",3,1554,0,1960,"Guadeloupe","256461",0
"5",4,1456,0,1960,"Guadeloupe","256461",0
"6",5,1453,0,1960,"Guadeloupe","256461",0
"7",6,1424,0,1960,"Guadeloupe","256461",0
"8",7,1292,0,1960,"Guadeloupe","256461",0
"9",8,1240,0,1960,"Guadeloupe","256461",0
"10",9,1252,0,1960,"Guadeloupe","256461",0
"11",10,1403,0,1960,"Guadeloupe","256461",0
"12",11,1376,0,1960,"Guadeloupe","256461",0
"13",12,1337,0,1960,"Guadeloupe","256461",0
"14",13,1310,0,1960,"Guadeloupe","256461",0
"15",14,1265,0,1960,"Guadeloupe","256461",0
"16",15,1234,0,1960,"Guadeloupe","256461",0
"17",16,1180,0,1960,"Guadeloupe","256461",0
"18",17,1196,0,1960,"Guadeloupe","256461",0
"19",18,1077,0,1960,"Guadeloupe","256461",0
"20",19,1040,0,1960,"Guadeloupe","256461",0
"21",20,1086,0,1960,"Guadeloupe","256461",0
"22",21,1046,0,1960,"Guadeloupe","256461",0
"23",22,953,0,1960,"Guadeloupe","256461",0
"24",23,958,0,1960,"Guadeloupe","256461",0
"25",24,934,0,1960,"Guadeloupe","256461",0
"26",25,881,0,1960,"Guadeloupe","256461",0
"27",26,906,0,1960,"Guadeloupe","256461",0
"28",27,912,0,1960,"Guadeloupe","256461",0
"29",28,833,2,1960,"Guadeloupe","256461",0.00240096038415366
"30",29,786,3,1960,"Guadeloupe","256461",0.00381679389312977
"31",30,744,3,1960,"Guadeloupe","256461",0.00403225806451613
"32",31,765,6,1960,"Guadeloupe","256461",0.00784313725490196
"33",32,731,7,1960,"Guadeloupe","256461",0.00957592339261286
"34",33,714,13,1960,"Guadeloupe","256461",0.0182072829131653
"35",34,697,21,1960,"Guadeloupe","256461",0.03012912482066
"36",35,637,34,1960,"Guadeloupe","256461",0.0533751962323391
"37",36,672,49,1960,"Guadeloupe","256461",0.0729166666666667
"38",37,657,67,1960,"Guadeloupe","256461",0.101978691019787
"39",38,633,86,1960,"Guadeloupe","256461",0.135860979462875
"40",39,566,108,1960,"Guadeloupe","256461",0.190812720848057
"41",40,572,121,1960,"Guadeloupe","256461",0.211538461538462
"42",41,530,162,1960,"Guadeloupe","256461",0.305660377358491
"43",42,487,190,1960,"Guadeloupe","256461",0.390143737166324
"44",43,474,204,1960,"Guadeloupe","256461",0.430379746835443
"45",44,494,233,1960,"Guadeloupe","256461",0.47165991902834
"46",45,463,250,1960,"Guadeloupe","256461",0.539956803455723
"47",46,435,236,1960,"Guadeloupe","256461",0.542528735632184
"48",47,456,265,1960,"Guadeloupe","256461",0.581140350877193
"49",48,382,253,1960,"Guadeloupe","256461",0.662303664921466
"50",49,387,268,1960,"Guadeloupe","256461",0.69250645994832
"51",50,376,280,1960,"Guadeloupe","256461",0.74468085106383
"52",51,380,291,1960,"Guadeloupe","256461",0.765789473684211
"53",52,329,257,1960,"Guadeloupe","256461",0.781155015197568
"54",53,307,246,1960,"Guadeloupe","256461",0.801302931596091
"55",54,341,289,1960,"Guadeloupe","256461",0.847507331378299
"56",55,293,254,1960,"Guadeloupe","256461",0.866894197952218
"57",56,294,246,1960,"Guadeloupe","256461",0.836734693877551
"58",57,239,205,1960,"Guadeloupe","256461",0.857740585774059
"59",58,266,228,1960,"Guadeloupe","256461",0.857142857142857
"60",59,234,205,1960,"Guadeloupe","256461",0.876068376068376
"61",60,233,197,1960,"Guadeloupe","256461",0.84549356223176
"62",61,196,178,1960,"Guadeloupe","256461",0.908163265306122
"63",62,196,172,1960,"Guadeloupe","256461",0.877551020408163
"64",63,182,164,1960,"Guadeloupe","256461",0.901098901098901
"65",64,168,151,1960,"Guadeloupe","256461",0.898809523809524
"66",65,147,132,1960,"Guadeloupe","256461",0.897959183673469
"67",66,140,133,1960,"Guadeloupe","256461",0.95
"68",67,144,130,1960,"Guadeloupe","256461",0.902777777777778
"69",68,141,126,1960,"Guadeloupe","256461",0.893617021276596
"70",69,148,132,1960,"Guadeloupe","256461",0.891891891891892
"71",70,110,105,1960,"Guadeloupe","256461",0.954545454545455
"72",71,100,90,1960,"Guadeloupe","256461",0.9
"73",72,90,82,1960,"Guadeloupe","256461",0.911111111111111
"74",73,82,71,1960,"Guadeloupe","256461",0.865853658536585
"75",74,67,63,1960,"Guadeloupe","256461",0.940298507462687
"76",75,71,68,1960,"Guadeloupe","256461",0.957746478873239
"77",76,67,60,1960,"Guadeloupe","256461",0.895522388059702
"78",77,42,39,1960,"Guadeloupe","256461",0.928571428571429
"79",78,46,44,1960,"Guadeloupe","256461",0.956521739130435
"80",79,38,31,1960,"Guadeloupe","256461",0.81578947368421
"81",80,41,37,1960,"Guadeloupe","256461",0.902439024390244
"82",81,32,29,1960,"Guadeloupe","256461",0.90625
"83",82,26,23,1960,"Guadeloupe","256461",0.884615384615385
"84",83,26,23,1960,"Guadeloupe","256461",0.884615384615385
"85",84,18,17,1960,"Guadeloupe","256461",0.944444444444444
"86",85,14,11,1960,"Guadeloupe","256461",0.785714285714286
"87",86,15,12,1960,"Guadeloupe","256461",0.8
"88",87,8,8,1960,"Guadeloupe","256461",1
"89",88,7,7,1960,"Guadeloupe","256461",1
"90",89,7,6,1960,"Guadeloupe","256461",0.857142857142857
"91",90,3,3,1960,"Guadeloupe","256461",1
"92",91,3,2,1960,"Guadeloupe","256461",0.666666666666667
"93",92,1,1,1960,"Guadeloupe","256461",1
"94",93,1,1,1960,"Guadeloupe","256461",1
"95",94,2,1,1960,"Guadeloupe","256461",0.5
"96",95,1,0,1960,"Guadeloupe","256461",0
"97",97,1,1,1960,"Guadeloupe","256461",1
"98",0,1997,0,1965,"Guadeloupe","256461",0
"99",1,1926,0,1965,"Guadeloupe","256461",0
"100",2,1875,0,1965,"Guadeloupe","256461",0
"101",3,1748,0,1965,"Guadeloupe","256461",0
"102",4,1794,0,1965,"Guadeloupe","256461",0
"103",5,1699,0,1965,"Guadeloupe","256461",0
"104",6,1554,0,1965,"Guadeloupe","256461",0
"105",7,1499,0,1965,"Guadeloupe","256461",0
"106",8,1528,0,1965,"Guadeloupe","256461",0
"107",9,1439,0,1965,"Guadeloupe","256461",0
"108",10,1444,0,1965,"Guadeloupe","256461",0
"109",11,1417,0,1965,"Guadeloupe","256461",0
"110",12,1285,0,1965,"Guadeloupe","256461",0
"111",13,1235,0,1965,"Guadeloupe","256461",0
"112",14,1239,0,1965,"Guadeloupe","256461",0
"113",15,1398,0,1965,"Guadeloupe","256461",0
"114",16,1368,0,1965,"Guadeloupe","256461",0
"115",17,1327,0,1965,"Guadeloupe","256461",0
"116",18,1297,0,1965,"Guadeloupe","256461",0
"117",19,1250,0,1965,"Guadeloupe","256461",0
