"","age","pop","gp","year","country","seed","share"
"1",0,1544,0,1960,"Guam","115673",0
"2",1,1437,0,1960,"Guam","115673",0
"3",2,1403,0,1960,"Guam","115673",0
"4",3,1279,0,1960,"Guam","115673",0
"5",4,1257,0,1960,"Guam","115673",0
"6",5,1186,0,1960,"Guam","115673",0
"7",6,1184,0,1960,"Guam","115673",0
"8",7,1119,0,1960,"Guam","115673",0
"9",8,1059,0,1960,"Guam","115673",0
"10",9,1014,0,1960,"Guam","115673",0
"11",10,1169,0,1960,"Guam","115673",0
"12",11,1159,0,1960,"Guam","115673",0
"13",12,1140,0,1960,"Guam","115673",0
"14",13,1092,0,1960,"Guam","115673",0
"15",14,1114,0,1960,"Guam","115673",0
"16",15,978,0,1960,"Guam","115673",0
"17",16,992,0,1960,"Guam","115673",0
"18",17,974,0,1960,"Guam","115673",0
"19",18,940,0,1960,"Guam","115673",0
"20",19,918,0,1960,"Guam","115673",0
"21",20,874,0,1960,"Guam","115673",0
"22",21,820,0,1960,"Guam","115673",0
"23",22,787,0,1960,"Guam","115673",0
"24",23,800,0,1960,"Guam","115673",0
"25",24,791,0,1960,"Guam","115673",0
"26",25,729,0,1960,"Guam","115673",0
"27",26,676,0,1960,"Guam","115673",0
"28",27,693,1,1960,"Guam","115673",0.00144300144300144
"29",28,735,3,1960,"Guam","115673",0.00408163265306122
"30",29,645,3,1960,"Guam","115673",0.00465116279069767
"31",30,636,5,1960,"Guam","115673",0.00786163522012579
"32",31,598,8,1960,"Guam","115673",0.0133779264214047
"33",32,601,20,1960,"Guam","115673",0.0332778702163062
"34",33,600,21,1960,"Guam","115673",0.035
"35",34,553,25,1960,"Guam","115673",0.0452079566003617
"36",35,535,42,1960,"Guam","115673",0.0785046728971963
"37",36,504,64,1960,"Guam","115673",0.126984126984127
"38",37,528,104,1960,"Guam","115673",0.196969696969697
"39",38,506,118,1960,"Guam","115673",0.233201581027668
"40",39,467,131,1960,"Guam","115673",0.28051391862955
"41",40,477,157,1960,"Guam","115673",0.329140461215933
"42",41,456,184,1960,"Guam","115673",0.403508771929825
"43",42,426,188,1960,"Guam","115673",0.44131455399061
"44",43,357,188,1960,"Guam","115673",0.526610644257703
"45",44,384,216,1960,"Guam","115673",0.5625
"46",45,409,265,1960,"Guam","115673",0.647921760391198
"47",46,356,242,1960,"Guam","115673",0.679775280898876
"48",47,380,258,1960,"Guam","115673",0.678947368421053
"49",48,320,246,1960,"Guam","115673",0.76875
"50",49,316,229,1960,"Guam","115673",0.724683544303797
"51",50,332,259,1960,"Guam","115673",0.780120481927711
"52",51,313,244,1960,"Guam","115673",0.779552715654952
"53",52,295,241,1960,"Guam","115673",0.816949152542373
"54",53,308,258,1960,"Guam","115673",0.837662337662338
"55",54,275,230,1960,"Guam","115673",0.836363636363636
"56",55,267,235,1960,"Guam","115673",0.880149812734082
"57",56,240,217,1960,"Guam","115673",0.904166666666667
"58",57,248,219,1960,"Guam","115673",0.883064516129032
"59",58,239,222,1960,"Guam","115673",0.928870292887029
"60",59,238,209,1960,"Guam","115673",0.878151260504202
"61",60,219,207,1960,"Guam","115673",0.945205479452055
"62",61,191,183,1960,"Guam","115673",0.958115183246073
"63",62,164,152,1960,"Guam","115673",0.926829268292683
"64",63,179,171,1960,"Guam","115673",0.955307262569832
"65",64,154,138,1960,"Guam","115673",0.896103896103896
"66",65,175,158,1960,"Guam","115673",0.902857142857143
"67",66,139,130,1960,"Guam","115673",0.935251798561151
"68",67,139,128,1960,"Guam","115673",0.920863309352518
"69",68,134,116,1960,"Guam","115673",0.865671641791045
"70",69,137,126,1960,"Guam","115673",0.91970802919708
"71",70,106,101,1960,"Guam","115673",0.952830188679245
"72",71,104,96,1960,"Guam","115673",0.923076923076923
"73",72,112,103,1960,"Guam","115673",0.919642857142857
"74",73,70,66,1960,"Guam","115673",0.942857142857143
"75",74,76,71,1960,"Guam","115673",0.93421052631579
"76",75,61,58,1960,"Guam","115673",0.950819672131147
"77",76,69,60,1960,"Guam","115673",0.869565217391304
"78",77,55,50,1960,"Guam","115673",0.909090909090909
"79",78,45,42,1960,"Guam","115673",0.933333333333333
"80",79,45,43,1960,"Guam","115673",0.955555555555556
"81",80,33,29,1960,"Guam","115673",0.878787878787879
"82",81,25,23,1960,"Guam","115673",0.92
"83",82,21,20,1960,"Guam","115673",0.952380952380952
"84",83,23,20,1960,"Guam","115673",0.869565217391304
"85",84,14,14,1960,"Guam","115673",1
"86",85,13,12,1960,"Guam","115673",0.923076923076923
"87",86,10,7,1960,"Guam","115673",0.7
"88",87,4,3,1960,"Guam","115673",0.75
"89",88,8,7,1960,"Guam","115673",0.875
"90",89,2,2,1960,"Guam","115673",1
"91",90,2,2,1960,"Guam","115673",1
"92",91,2,2,1960,"Guam","115673",1
"93",92,2,2,1960,"Guam","115673",1
"94",94,2,2,1960,"Guam","115673",1
"95",97,1,1,1960,"Guam","115673",1
"96",0,1774,0,1965,"Guam","115673",0
"97",1,1772,0,1965,"Guam","115673",0
"98",2,1625,0,1965,"Guam","115673",0
"99",3,1642,0,1965,"Guam","115673",0
"100",4,1547,0,1965,"Guam","115673",0
"101",5,1462,0,1965,"Guam","115673",0
"102",6,1396,0,1965,"Guam","115673",0
"103",7,1381,0,1965,"Guam","115673",0
"104",8,1274,0,1965,"Guam","115673",0
"105",9,1243,0,1965,"Guam","115673",0
"106",10,1168,0,1965,"Guam","115673",0
"107",11,1178,0,1965,"Guam","115673",0
