"","age","pop","gp","country","seed","year","share"
"1",0,1574,0,"Guatemala","296608",2022,0
"2",1,1611,0,"Guatemala","296608",2022,0
"3",2,1692,0,"Guatemala","296608",2022,0
"4",3,1698,0,"Guatemala","296608",2022,0
"5",4,1664,0,"Guatemala","296608",2022,0
"6",5,1611,0,"Guatemala","296608",2022,0
"7",6,1572,0,"Guatemala","296608",2022,0
"8",7,1606,0,"Guatemala","296608",2022,0
"9",8,1657,0,"Guatemala","296608",2022,0
"10",9,1623,0,"Guatemala","296608",2022,0
"11",10,1582,0,"Guatemala","296608",2022,0
"12",11,1608,0,"Guatemala","296608",2022,0
"13",12,1690,0,"Guatemala","296608",2022,0
"14",13,1605,0,"Guatemala","296608",2022,0
"15",14,1553,0,"Guatemala","296608",2022,0
"16",15,1599,0,"Guatemala","296608",2022,0
"17",16,1579,0,"Guatemala","296608",2022,0
"18",17,1780,0,"Guatemala","296608",2022,0
"19",18,1692,0,"Guatemala","296608",2022,0
"20",19,1659,0,"Guatemala","296608",2022,0
"21",20,1657,0,"Guatemala","296608",2022,0
"22",21,1589,0,"Guatemala","296608",2022,0
"23",22,1625,0,"Guatemala","296608",2022,0
"24",23,1621,0,"Guatemala","296608",2022,0
"25",24,1547,0,"Guatemala","296608",2022,0
"26",25,1512,0,"Guatemala","296608",2022,0
"27",26,1513,0,"Guatemala","296608",2022,0
"28",27,1509,2,"Guatemala","296608",2022,0.00132538104705103
"29",28,1446,3,"Guatemala","296608",2022,0.0020746887966805
"30",29,1383,4,"Guatemala","296608",2022,0.00289226319595083
"31",30,1398,6,"Guatemala","296608",2022,0.00429184549356223
"32",31,1337,6,"Guatemala","296608",2022,0.00448765893792072
"33",32,1282,15,"Guatemala","296608",2022,0.0117004680187207
"34",33,1311,33,"Guatemala","296608",2022,0.0251716247139588
"35",34,1270,47,"Guatemala","296608",2022,0.037007874015748
"36",35,1227,68,"Guatemala","296608",2022,0.0554197229013855
"37",36,1186,115,"Guatemala","296608",2022,0.096964586846543
"38",37,1203,148,"Guatemala","296608",2022,0.123025768911056
"39",38,1223,210,"Guatemala","296608",2022,0.171708912510221
"40",39,1146,233,"Guatemala","296608",2022,0.203315881326353
"41",40,1130,264,"Guatemala","296608",2022,0.233628318584071
"42",41,1091,309,"Guatemala","296608",2022,0.283226397800183
"43",42,1051,328,"Guatemala","296608",2022,0.312083729781161
"44",43,1033,379,"Guatemala","296608",2022,0.366892545982575
"45",44,972,396,"Guatemala","296608",2022,0.407407407407407
"46",45,982,485,"Guatemala","296608",2022,0.493890020366599
"47",46,924,495,"Guatemala","296608",2022,0.535714285714286
