"","age","pop","gp","year","country","seed","share"
"1",0,6192,0,1990,"Guyana","303301",0
"2",1,5908,0,1990,"Guyana","303301",0
"3",2,5836,0,1990,"Guyana","303301",0
"4",3,5752,0,1990,"Guyana","303301",0
"5",4,5582,0,1990,"Guyana","303301",0
"6",5,6223,0,1990,"Guyana","303301",0
"7",6,6009,0,1990,"Guyana","303301",0
"8",7,5847,0,1990,"Guyana","303301",0
"9",8,5671,0,1990,"Guyana","303301",0
"10",9,5511,0,1990,"Guyana","303301",0
"11",10,5762,0,1990,"Guyana","303301",0
"12",11,5657,0,1990,"Guyana","303301",0
"13",12,5592,0,1990,"Guyana","303301",0
"14",13,5479,0,1990,"Guyana","303301",0
"15",14,5274,0,1990,"Guyana","303301",0
"16",15,6124,0,1990,"Guyana","303301",0
"17",16,5802,0,1990,"Guyana","303301",0
"18",17,5682,0,1990,"Guyana","303301",0
"19",18,5628,0,1990,"Guyana","303301",0
"20",19,5473,0,1990,"Guyana","303301",0
"21",20,5892,0,1990,"Guyana","303301",0
"22",21,5667,0,1990,"Guyana","303301",0
"23",22,5517,0,1990,"Guyana","303301",0
"24",23,5293,0,1990,"Guyana","303301",0
"25",24,5193,0,1990,"Guyana","303301",0
"26",25,5268,0,1990,"Guyana","303301",0
"27",26,5005,2,1990,"Guyana","303301",0.0003996003996004
"28",27,4870,11,1990,"Guyana","303301",0.00225872689938398
"29",28,4726,6,1990,"Guyana","303301",0.00126957257723233
"30",29,4584,14,1990,"Guyana","303301",0.00305410122164049
"31",30,4598,38,1990,"Guyana","303301",0.00826446280991736
"32",31,4443,52,1990,"Guyana","303301",0.0117038037362143
"33",32,4279,89,1990,"Guyana","303301",0.02079925216172
"34",33,4164,136,1990,"Guyana","303301",0.0326609029779059
"35",34,3949,227,1990,"Guyana","303301",0.0574829070650798
"36",35,3719,286,1990,"Guyana","303301",0.0769023931164291
"37",36,3535,372,1990,"Guyana","303301",0.105233380480905
"38",37,3386,497,1990,"Guyana","303301",0.146780862374483
"39",38,3290,663,1990,"Guyana","303301",0.201519756838906
"40",39,3126,774,1990,"Guyana","303301",0.247600767754319
"41",40,3615,1084,1990,"Guyana","303301",0.299861687413555
"42",41,3345,1114,1990,"Guyana","303301",0.333034379671151
"43",42,3221,1304,1990,"Guyana","303301",0.404843216392425
"44",43,3287,1466,1990,"Guyana","303301",0.44599939154244
"45",44,3040,1538,1990,"Guyana","303301",0.505921052631579
"46",45,3017,1704,1990,"Guyana","303301",0.564799469671859
"47",46,2878,1746,1990,"Guyana","303301",0.606671299513551
"48",47,2695,1753,1990,"Guyana","303301",0.650463821892393
"49",48,2599,1843,1990,"Guyana","303301",0.709118891881493
"50",49,2476,1839,1990,"Guyana","303301",0.742730210016155
"51",50,2309,1785,1990,"Guyana","303301",0.773061931572109
"52",51,2280,1797,1990,"Guyana","303301",0.788157894736842
"53",52,2173,1725,1990,"Guyana","303301",0.793833410032214
"54",53,2112,1720,1990,"Guyana","303301",0.814393939393939
"55",54,2043,1694,1990,"Guyana","303301",0.829172785119922
"56",55,1915,1648,1990,"Guyana","303301",0.860574412532637
"57",56,1777,1551,1990,"Guyana","303301",0.87281935846933
