"","age","pop","gp","year","country","seed","share"
"1",0,1435,0,1990,"Haiti","322335",0
"2",1,1335,0,1990,"Haiti","322335",0
"3",2,1270,0,1990,"Haiti","322335",0
"4",3,1255,0,1990,"Haiti","322335",0
"5",4,1190,0,1990,"Haiti","322335",0
"6",5,1239,0,1990,"Haiti","322335",0
"7",6,1228,0,1990,"Haiti","322335",0
"8",7,1174,0,1990,"Haiti","322335",0
"9",8,1199,0,1990,"Haiti","322335",0
"10",9,1173,0,1990,"Haiti","322335",0
"11",10,1035,0,1990,"Haiti","322335",0
"12",11,1020,0,1990,"Haiti","322335",0
"13",12,987,0,1990,"Haiti","322335",0
"14",13,937,0,1990,"Haiti","322335",0
"15",14,969,0,1990,"Haiti","322335",0
"16",15,929,0,1990,"Haiti","322335",0
"17",16,843,0,1990,"Haiti","322335",0
"18",17,875,0,1990,"Haiti","322335",0
"19",18,869,0,1990,"Haiti","322335",0
"20",19,765,0,1990,"Haiti","322335",0
"21",20,850,0,1990,"Haiti","322335",0
"22",21,826,0,1990,"Haiti","322335",0
"23",22,810,0,1990,"Haiti","322335",0
"24",23,772,0,1990,"Haiti","322335",0
"25",24,752,0,1990,"Haiti","322335",0
"26",25,783,0,1990,"Haiti","322335",0
"27",26,778,0,1990,"Haiti","322335",0
"28",27,713,0,1990,"Haiti","322335",0
"29",28,685,0,1990,"Haiti","322335",0
"30",29,646,3,1990,"Haiti","322335",0.00464396284829721
"31",30,679,1,1990,"Haiti","322335",0.00147275405007364
"32",31,656,1,1990,"Haiti","322335",0.00152439024390244
"33",32,627,9,1990,"Haiti","322335",0.0143540669856459
"34",33,673,10,1990,"Haiti","322335",0.0148588410104012
"35",34,567,15,1990,"Haiti","322335",0.0264550264550265
"36",35,549,21,1990,"Haiti","322335",0.0382513661202186
"37",36,558,35,1990,"Haiti","322335",0.0627240143369176
"38",37,562,52,1990,"Haiti","322335",0.0925266903914591
"39",38,513,52,1990,"Haiti","322335",0.101364522417154
"40",39,492,93,1990,"Haiti","322335",0.189024390243902
"41",40,551,95,1990,"Haiti","322335",0.172413793103448
"42",41,528,114,1990,"Haiti","322335",0.215909090909091
"43",42,509,119,1990,"Haiti","322335",0.233791748526523
"44",43,545,152,1990,"Haiti","322335",0.278899082568807
"45",44,468,159,1990,"Haiti","322335",0.33974358974359
"46",45,475,147,1990,"Haiti","322335",0.309473684210526
"47",46,478,209,1990,"Haiti","322335",0.437238493723849
"48",47,451,192,1990,"Haiti","322335",0.425720620842572
"49",48,442,214,1990,"Haiti","322335",0.484162895927602
"50",49,416,227,1990,"Haiti","322335",0.545673076923077
"51",50,421,247,1990,"Haiti","322335",0.586698337292161
"52",51,407,236,1990,"Haiti","322335",0.57985257985258
"53",52,382,251,1990,"Haiti","322335",0.657068062827225
"54",53,368,226,1990,"Haiti","322335",0.614130434782609
"55",54,381,266,1990,"Haiti","322335",0.698162729658793
"56",55,376,270,1990,"Haiti","322335",0.718085106382979
"57",56,323,241,1990,"Haiti","322335",0.746130030959752
"58",57,321,236,1990,"Haiti","322335",0.735202492211838
"59",58,309,235,1990,"Haiti","322335",0.760517799352751
"60",59,273,220,1990,"Haiti","322335",0.805860805860806
"61",60,314,244,1990,"Haiti","322335",0.777070063694268
"62",61,271,218,1990,"Haiti","322335",0.804428044280443
"63",62,252,211,1990,"Haiti","322335",0.837301587301587
"64",63,238,204,1990,"Haiti","322335",0.857142857142857
"65",64,245,211,1990,"Haiti","322335",0.861224489795918
"66",65,233,201,1990,"Haiti","322335",0.862660944206009
"67",66,213,180,1990,"Haiti","322335",0.845070422535211
"68",67,180,154,1990,"Haiti","322335",0.855555555555556
"69",68,181,153,1990,"Haiti","322335",0.845303867403315
"70",69,167,147,1990,"Haiti","322335",0.880239520958084
"71",70,171,145,1990,"Haiti","322335",0.847953216374269
"72",71,135,112,1990,"Haiti","322335",0.82962962962963
"73",72,150,129,1990,"Haiti","322335",0.86
