"","age","pop","gp","year","country","seed","share"
"1",0,1194,0,1990,"Honduras","311204",0
"2",1,1084,0,1990,"Honduras","311204",0
"3",2,1122,0,1990,"Honduras","311204",0
"4",3,1040,0,1990,"Honduras","311204",0
"5",4,1000,0,1990,"Honduras","311204",0
"6",5,1037,0,1990,"Honduras","311204",0
"7",6,1006,0,1990,"Honduras","311204",0
"8",7,980,0,1990,"Honduras","311204",0
"9",8,961,0,1990,"Honduras","311204",0
"10",9,910,0,1990,"Honduras","311204",0
"11",10,959,0,1990,"Honduras","311204",0
"12",11,948,0,1990,"Honduras","311204",0
"13",12,895,0,1990,"Honduras","311204",0
"14",13,877,0,1990,"Honduras","311204",0
"15",14,832,0,1990,"Honduras","311204",0
"16",15,842,0,1990,"Honduras","311204",0
"17",16,824,0,1990,"Honduras","311204",0
"18",17,747,0,1990,"Honduras","311204",0
"19",18,772,0,1990,"Honduras","311204",0
"20",19,679,0,1990,"Honduras","311204",0
"21",20,747,0,1990,"Honduras","311204",0
"22",21,697,0,1990,"Honduras","311204",0
"23",22,688,0,1990,"Honduras","311204",0
"24",23,674,1,1990,"Honduras","311204",0.00148367952522255
"25",24,662,0,1990,"Honduras","311204",0
"26",25,646,1,1990,"Honduras","311204",0.00154798761609907
"27",26,557,1,1990,"Honduras","311204",0.00179533213644524
"28",27,592,2,1990,"Honduras","311204",0.00337837837837838
"29",28,585,4,1990,"Honduras","311204",0.00683760683760684
"30",29,510,3,1990,"Honduras","311204",0.00588235294117647
"31",30,509,2,1990,"Honduras","311204",0.00392927308447937
"32",31,491,11,1990,"Honduras","311204",0.0224032586558045
"33",32,476,10,1990,"Honduras","311204",0.0210084033613445
"34",33,461,16,1990,"Honduras","311204",0.03470715835141
"35",34,424,39,1990,"Honduras","311204",0.0919811320754717
"36",35,426,48,1990,"Honduras","311204",0.112676056338028
"37",36,368,51,1990,"Honduras","311204",0.138586956521739
"38",37,396,82,1990,"Honduras","311204",0.207070707070707
"39",38,395,98,1990,"Honduras","311204",0.248101265822785
"40",39,374,106,1990,"Honduras","311204",0.283422459893048
"41",40,420,146,1990,"Honduras","311204",0.347619047619048
"42",41,388,158,1990,"Honduras","311204",0.407216494845361
"43",42,416,186,1990,"Honduras","311204",0.447115384615385
"44",43,378,194,1990,"Honduras","311204",0.513227513227513
"45",44,373,210,1990,"Honduras","311204",0.563002680965147
"46",45,332,195,1990,"Honduras","311204",0.587349397590361
"47",46,349,234,1990,"Honduras","311204",0.670487106017192
"48",47,327,226,1990,"Honduras","311204",0.691131498470948
"49",48,322,232,1990,"Honduras","311204",0.720496894409938
"50",49,297,212,1990,"Honduras","311204",0.713804713804714
"51",50,285,222,1990,"Honduras","311204",0.778947368421053
"52",51,248,202,1990,"Honduras","311204",0.814516129032258
"53",52,264,217,1990,"Honduras","311204",0.821969696969697
"54",53,258,216,1990,"Honduras","311204",0.837209302325581
"55",54,247,199,1990,"Honduras","311204",0.805668016194332
"56",55,207,176,1990,"Honduras","311204",0.85024154589372
"57",56,207,181,1990,"Honduras","311204",0.8743961352657
"58",57,196,161,1990,"Honduras","311204",0.821428571428571
"59",58,192,162,1990,"Honduras","311204",0.84375
"60",59,199,175,1990,"Honduras","311204",0.879396984924623
"61",60,193,174,1990,"Honduras","311204",0.901554404145078
"62",61,169,157,1990,"Honduras","311204",0.928994082840237
"63",62,161,150,1990,"Honduras","311204",0.93167701863354
"64",63,158,147,1990,"Honduras","311204",0.930379746835443
"65",64,150,137,1990,"Honduras","311204",0.913333333333333
"66",65,129,121,1990,"Honduras","311204",0.937984496124031
"67",66,140,130,1990,"Honduras","311204",0.928571428571429
"68",67,119,113,1990,"Honduras","311204",0.949579831932773
"69",68,117,110,1990,"Honduras","311204",0.94017094017094
"70",69,116,107,1990,"Honduras","311204",0.922413793103448
"71",70,88,81,1990,"Honduras","311204",0.920454545454545
"72",71,94,91,1990,"Honduras","311204",0.968085106382979
"73",72,87,83,1990,"Honduras","311204",0.954022988505747
"74",73,80,79,1990,"Honduras","311204",0.9875
"75",74,75,71,1990,"Honduras","311204",0.946666666666667
"76",75,72,66,1990,"Honduras","311204",0.916666666666667
"77",76,55,55,1990,"Honduras","311204",1
"78",77,51,46,1990,"Honduras","311204",0.901960784313726
"79",78,40,39,1990,"Honduras","311204",0.975
"80",79,43,42,1990,"Honduras","311204",0.976744186046512
"81",80,25,22,1990,"Honduras","311204",0.88
"82",81,36,34,1990,"Honduras","311204",0.944444444444444
"83",82,23,20,1990,"Honduras","311204",0.869565217391304
"84",83,24,21,1990,"Honduras","311204",0.875
"85",84,14,13,1990,"Honduras","311204",0.928571428571429
"86",85,12,11,1990,"Honduras","311204",0.916666666666667
"87",86,16,15,1990,"Honduras","311204",0.9375
"88",87,6,6,1990,"Honduras","311204",1
"89",88,4,4,1990,"Honduras","311204",1
"90",89,2,2,1990,"Honduras","311204",1
"91",90,3,3,1990,"Honduras","311204",1
"92",91,4,4,1990,"Honduras","311204",1
"93",92,2,2,1990,"Honduras","311204",1
"94",93,2,1,1990,"Honduras","311204",0.5
"95",0,1289,0,1995,"Honduras","311204",0
"96",1,1195,0,1995,"Honduras","311204",0
"97",2,1239,0,1995,"Honduras","311204",0
"98",3,1131,0,1995,"Honduras","311204",0
"99",4,1092,0,1995,"Honduras","311204",0
"100",5,1150,0,1995,"Honduras","311204",0
"101",6,1068,0,1995,"Honduras","311204",0
"102",7,1103,0,1995,"Honduras","311204",0
"103",8,1027,0,1995,"Honduras","311204",0
"104",9,992,0,1995,"Honduras","311204",0
"105",10,1030,0,1995,"Honduras","311204",0
"106",11,1000,0,1995,"Honduras","311204",0
"107",12,972,0,1995,"Honduras","311204",0
"108",13,957,0,1995,"Honduras","311204",0
"109",14,902,0,1995,"Honduras","311204",0
"110",15,954,0,1995,"Honduras","311204",0
"111",16,941,0,1995,"Honduras","311204",0
"112",17,887,0,1995,"Honduras","311204",0
"113",18,866,0,1995,"Honduras","311204",0
"114",19,828,0,1995,"Honduras","311204",0
"115",20,836,0,1995,"Honduras","311204",0
"116",21,819,0,1995,"Honduras","311204",0
"117",22,737,0,1995,"Honduras","311204",0
