"","age","pop","gp","year","country","seed","share"
"1",0,1335,0,1990,"Hungary","131023",0
"2",1,1353,0,1990,"Hungary","131023",0
"3",2,1287,0,1990,"Hungary","131023",0
"4",3,1235,0,1990,"Hungary","131023",0
"5",4,1282,0,1990,"Hungary","131023",0
"6",5,1270,0,1990,"Hungary","131023",0
"7",6,1319,0,1990,"Hungary","131023",0
"8",7,1337,0,1990,"Hungary","131023",0
"9",8,1288,0,1990,"Hungary","131023",0
"10",9,1359,0,1990,"Hungary","131023",0
"11",10,1678,0,1990,"Hungary","131023",0
"12",11,1682,0,1990,"Hungary","131023",0
"13",12,1726,0,1990,"Hungary","131023",0
"14",13,1769,0,1990,"Hungary","131023",0
"15",14,1733,0,1990,"Hungary","131023",0
"16",15,1586,0,1990,"Hungary","131023",0
"17",16,1537,0,1990,"Hungary","131023",0
"18",17,1551,0,1990,"Hungary","131023",0
"19",18,1547,0,1990,"Hungary","131023",0
"20",19,1583,0,1990,"Hungary","131023",0
"21",20,1469,0,1990,"Hungary","131023",0
"22",21,1491,0,1990,"Hungary","131023",0
"23",22,1398,0,1990,"Hungary","131023",0
"24",23,1461,0,1990,"Hungary","131023",0
"25",24,1410,0,1990,"Hungary","131023",0
"26",25,1308,0,1990,"Hungary","131023",0
"27",26,1277,0,1990,"Hungary","131023",0
"28",27,1308,0,1990,"Hungary","131023",0
"29",28,1284,1,1990,"Hungary","131023",0.000778816199376947
"30",29,1306,5,1990,"Hungary","131023",0.00382848392036753
"31",30,1566,4,1990,"Hungary","131023",0.00255427841634738
"32",31,1563,6,1990,"Hungary","131023",0.00383877159309021
"33",32,1472,16,1990,"Hungary","131023",0.0108695652173913
"34",33,1483,23,1990,"Hungary","131023",0.0155091031692515
"35",34,1521,25,1990,"Hungary","131023",0.0164365548980934
"36",35,1735,47,1990,"Hungary","131023",0.0270893371757925
"37",36,1708,66,1990,"Hungary","131023",0.0386416861826698
"38",37,1605,87,1990,"Hungary","131023",0.0542056074766355
"39",38,1628,142,1990,"Hungary","131023",0.0872235872235872
"40",39,1715,185,1990,"Hungary","131023",0.107871720116618
"41",40,1584,193,1990,"Hungary","131023",0.121843434343434
"42",41,1582,265,1990,"Hungary","131023",0.167509481668774
"43",42,1566,351,1990,"Hungary","131023",0.224137931034483
"44",43,1592,398,1990,"Hungary","131023",0.25
"45",44,1569,443,1990,"Hungary","131023",0.282345442957298
"46",45,1534,504,1990,"Hungary","131023",0.328552803129074
"47",46,1529,554,1990,"Hungary","131023",0.362328319162852
"48",47,1544,625,1990,"Hungary","131023",0.40479274611399
"49",48,1514,667,1990,"Hungary","131023",0.440554821664465
"50",49,1483,696,1990,"Hungary","131023",0.46931894807822
"51",50,1410,699,1990,"Hungary","131023",0.495744680851064
"52",51,1404,742,1990,"Hungary","131023",0.528490028490028
"53",52,1389,757,1990,"Hungary","131023",0.544996400287977
"54",53,1390,814,1990,"Hungary","131023",0.585611510791367
"55",54,1305,748,1990,"Hungary","131023",0.573180076628352
"56",55,1335,782,1990,"Hungary","131023",0.585767790262172
"57",56,1300,835,1990,"Hungary","131023",0.642307692307692
"58",57,1308,832,1990,"Hungary","131023",0.636085626911315
"59",58,1280,840,1990,"Hungary","131023",0.65625
"60",59,1170,773,1990,"Hungary","131023",0.660683760683761
"61",60,1191,831,1990,"Hungary","131023",0.697732997481108
"62",61,1151,734,1990,"Hungary","131023",0.637706342311034
"63",62,1128,753,1990,"Hungary","131023",0.667553191489362
"64",63,1079,760,1990,"Hungary","131023",0.704355885078777
"65",64,1033,722,1990,"Hungary","131023",0.698935140367861
"66",65,1074,736,1990,"Hungary","131023",0.685288640595903
"67",66,976,677,1990,"Hungary","131023",0.693647540983607
"68",67,1036,717,1990,"Hungary","131023",0.692084942084942
"69",68,908,620,1990,"Hungary","131023",0.682819383259912
"70",69,940,655,1990,"Hungary","131023",0.696808510638298
"71",70,860,616,1990,"Hungary","131023",0.716279069767442
"72",71,830,592,1990,"Hungary","131023",0.713253012048193
"73",72,780,562,1990,"Hungary","131023",0.720512820512821
"74",73,721,521,1990,"Hungary","131023",0.722607489597781
"75",74,733,527,1990,"Hungary","131023",0.718963165075034
"76",75,638,487,1990,"Hungary","131023",0.763322884012539
"77",76,592,438,1990,"Hungary","131023",0.739864864864865
"78",77,545,404,1990,"Hungary","131023",0.741284403669725
"79",78,507,377,1990,"Hungary","131023",0.743589743589744
"80",79,461,341,1990,"Hungary","131023",0.739696312364425
"81",80,406,288,1990,"Hungary","131023",0.70935960591133
"82",81,341,263,1990,"Hungary","131023",0.771260997067449
"83",82,295,211,1990,"Hungary","131023",0.715254237288136
"84",83,266,191,1990,"Hungary","131023",0.718045112781955
"85",84,225,155,1990,"Hungary","131023",0.688888888888889
"86",85,200,145,1990,"Hungary","131023",0.725
"87",86,150,110,1990,"Hungary","131023",0.733333333333333
"88",87,116,88,1990,"Hungary","131023",0.758620689655172
"89",88,81,62,1990,"Hungary","131023",0.765432098765432
"90",89,58,46,1990,"Hungary","131023",0.793103448275862
"91",90,59,41,1990,"Hungary","131023",0.694915254237288
"92",91,38,27,1990,"Hungary","131023",0.710526315789474
"93",92,33,21,1990,"Hungary","131023",0.636363636363636
"94",93,22,13,1990,"Hungary","131023",0.590909090909091
"95",94,17,12,1990,"Hungary","131023",0.705882352941177
"96",95,12,11,1990,"Hungary","131023",0.916666666666667
"97",96,8,6,1990,"Hungary","131023",0.75
"98",97,2,0,1990,"Hungary","131023",0
"99",98,2,0,1990,"Hungary","131023",0
"100",99,1,1,1990,"Hungary","131023",1
"101",0,1210,0,1995,"Hungary","131023",0
"102",1,1188,0,1995,"Hungary","131023",0
"103",2,1274,0,1995,"Hungary","131023",0
"104",3,1241,0,1995,"Hungary","131023",0
"105",4,1217,0,1995,"Hungary","131023",0
"106",5,1318,0,1995,"Hungary","131023",0
"107",6,1349,0,1995,"Hungary","131023",0
"108",7,1286,0,1995,"Hungary","131023",0
